time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
0.000000000000000000e+00,2.000000000000000042e-02,2.549999999999999378e+00,1.000000000000000000e+00,-1.741526313137500678e-16
6.000000000000000000e+01,2.000000000000000042e-02,2.539198797234687000e+00,1.002250642084115073e+00,1.054577891215047842e-04
1.200000000000000000e+02,2.000000000000000042e-02,2.529650801613766653e+00,1.004356961025747230e+00,1.210335326804604420e-04
1.800000000000000000e+02,2.000000000000000042e-02,2.520754865252806898e+00,1.006383957591322487e+00,1.274432171311420112e-04
2.400000000000000000e+02,2.000000000000000042e-02,2.512326103722441140e+00,1.008352914728272598e+00,1.311953609916005376e-04
3.000000000000000000e+02,2.000000000000000042e-02,2.504265861041050201e+00,1.010273986932322288e+00,1.338846773301361186e-04
3.600000000000000000e+02,2.000000000000000042e-02,2.496508426464881580e+00,1.012153790634652051e+00,1.357703527571417848e-04
4.200000000000000000e+02,2.000000000000000042e-02,2.489008586879339013e+00,1.013997591037386403e+00,1.372694842354489153e-04
4.800000000000000000e+02,2.000000000000000042e-02,2.481732656702435591e+00,1.015809196185305963e+00,1.384191377371764319e-04
5.400000000000000000e+02,2.000000000000000042e-02,2.474655053837334862e+00,1.017591426780084296e+00,1.394657392060219352e-04
6.000000000000000000e+02,2.000000000000000042e-02,2.467753804668298745e+00,1.019346255040124216e+00,1.403221635275258737e-04
6.600000000000000000e+02,2.000000000000000042e-02,2.461010391046870360e+00,1.021075934729910317e+00,1.411069957701632663e-04
7.200000000000000000e+02,2.000000000000000042e-02,2.454408899236154795e+00,1.022782368639506112e+00,1.417012922243684190e-04
7.800000000000000000e+02,2.000000000000000042e-02,2.447937240011693660e+00,1.024467415307144913e+00,1.422666357920365006e-04
8.400000000000000000e+02,2.000000000000000042e-02,2.441584933519598266e+00,1.026132213226278900e+00,1.427325079987960658e-04
9.000000000000000000e+02,2.000000000000000042e-02,2.435343175779468794e+00,1.027778345775720359e+00,1.431911495843503910e-04
9.600000000000000000e+02,2.000000000000000042e-02,2.429203048951920962e+00,1.029406760109665253e+00,1.436252936603663499e-04
1.020000000000000000e+03,2.000000000000000042e-02,2.423156748475097100e+00,1.031018439986268520e+00,1.439187932899554944e-04
1.080000000000000000e+03,2.000000000000000042e-02,2.417199086122108209e+00,1.032613934700346014e+00,1.443453866278647752e-04
1.140000000000000000e+03,2.000000000000000042e-02,2.411322565455295663e+00,1.034193739586535932e+00,1.446107430890372831e-04
