time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
0.000000000000000000e+00,2.000000000000000042e-02,2.549999999999999378e+00,1.000000000000000000e+00,-1.741526313137500678e-16
6.000000000000000000e+01,1.994987326860841667e-02,2.540437480951721838e+00,9.969670206763818765e-01,6.237940641585148702e-04
1.200000000000000000e+02,1.990016802588997005e-02,2.533042287802310888e+00,9.935972380250545077e-01,1.581452067659051223e-03
1.800000000000000000e+02,1.985089669902912607e-02,2.526631958415640256e+00,9.900873908965139858e-01,2.720882474983865595e-03
2.400000000000000000e+02,1.980207171521035717e-02,2.520868995443212413e+00,9.864994629788496061e-01,3.980452338309360336e-03
3.000000000000000000e+02,1.975370550161812191e-02,2.515580256098661316e+00,9.828661122565368613e-01,5.326696820586446571e-03
3.600000000000000000e+02,1.970581048543689276e-02,2.510653830695897870e+00,9.792094746482893353e-01,6.737176149653370527e-03
4.200000000000000000e+02,1.965839909385113174e-02,2.506015175502111170e+00,9.755455223656583907e-01,8.197020417422758859e-03
4.800000000000000000e+02,1.961148375404530783e-02,2.501610117149237311e+00,9.718862813641946374e-01,9.695055576103072531e-03
5.400000000000000000e+02,1.956507689320388307e-02,2.497398535679042020e+00,9.682409833314445935e-01,1.122310752160208397e-02
6.000000000000000000e+02,1.951919093851132644e-02,2.493346074692912140e+00,9.646175051057278571e-01,1.277383914197993686e-02
6.600000000000000000e+02,1.947383831715210345e-02,2.489424816878273106e+00,9.610228222778494089e-01,1.434152529127565544e-02
7.200000000000000000e+02,1.942903145631067960e-02,2.485610938000145875e+00,9.574630683506991646e-01,1.592097541563864543e-02
7.800000000000000000e+02,1.938478278317152387e-02,2.481886951279786757e+00,9.539432840829057403e-01,1.750843336378386447e-02
8.400000000000000000e+02,1.934110472491909483e-02,2.478237451789099488e+00,9.504677641386434228e-01,1.910025417413984544e-02
9.000000000000000000e+02,1.929800970873786492e-02,2.474650152790493163e+00,9.470404904155050874e-01,2.069365559828340029e-02
9.600000000000000000e+02,1.925551016181229619e-02,2.471112787144313039e+00,9.436649150202162106e-01,2.228594890710837439e-02
1.020000000000000000e+03,1.921361851132686108e-02,2.467614088350893908e+00,9.403445167258533965e-01,2.387437273753381661e-02
1.080000000000000000e+03,1.917234718446601816e-02,2.464146618697305335e+00,9.370818663275876093e-01,2.545709856407673069e-02
1.140000000000000000e+03,1.913170860841423987e-02,2.460699328151681353e+00,9.338800584961691742e-01,2.703130596727866888e-02
1.200000000000000000e+03,1.909171521035598826e-02,2.457265516197281841e+00,9.307419702560968400e-01,2.859540221795153422e-02
1.260000000000000000e+03,1.905237941747572883e-02,2.453838620955330008e+00,9.276701427376036202e-01,3.014751829093791427e-02
