time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
0.000000000000000000e+00,2.000000000000000042e-02,2.549999999999999378e+00,1.000000000000000000e+00,-1.741526313137500678e-16
6.000000000000000000e+01,1.994987326860841667e-02,2.539189993382291011e+00,9.972341776550899262e-01,1.076599314664961320e-04
1.200000000000000000e+02,1.990016802588997005e-02,2.529606011695056278e+00,9.943636750357980336e-01,1.244894573387520811e-04
1.800000000000000000e+02,1.985089669902912607e-02,2.520652579911311975e+00,9.914545407093686702e-01,1.316737751833379144e-04
2.400000000000000000e+02,1.980207171521035717e-02,2.512146486227020858e+00,9.885297822022801606e-01,1.360001642309033440e-04
3.000000000000000000e+02,1.975370550161812191e-02,2.503990312434502208e+00,9.856011468714027668e-01,1.391455356026756246e-04
3.600000000000000000e+02,1.970581048543689276e-02,2.496119320698504396e+00,9.826767848105212311e-01,1.414034329777137829e-04
4.200000000000000000e+02,1.965839909385113174e-02,2.488489145356851395e+00,9.797634036714184536e-01,1.432184206658300473e-04
4.800000000000000000e+02,1.961148375404530783e-02,2.481066822802215022e+00,9.768662259308976692e-01,1.446395432115583175e-04
5.400000000000000000e+02,1.956507689320388307e-02,2.473827414004146519e+00,9.739894426949287087e-01,1.459262939611483904e-04
6.000000000000000000e+02,1.951919093851132644e-02,2.466749474206546111e+00,9.711364019669880276e-01,1.469915715620291130e-04
6.600000000000000000e+02,1.947383831715210345e-02,2.459814962200655764e+00,9.683106730667272455e-01,1.479616454965650824e-04
7.200000000000000000e+02,1.942903145631067960e-02,2.453008389365293418e+00,9.655154662749438899e-01,1.487177190602947117e-04
7.800000000000000000e+02,1.938478278317152387e-02,2.446318104913764557e+00,9.627538969432459792e-01,1.494309045429258154e-04
8.400000000000000000e+02,1.934110472491909483e-02,2.439734023155254672e+00,9.600283804132607735e-01,1.500291525825406334e-04
9.000000000000000000e+02,1.929800970873786492e-02,2.433247731677844250e+00,9.573417235096798317e-01,1.506099815676505181e-04
9.600000000000000000e+02,1.925551016181229619e-02,2.426850614248542648e+00,9.546961093180656999e-01,1.511542066868090488e-04
1.020000000000000000e+03,1.921361851132686108e-02,2.420535177826281359e+00,9.520937488796109571e-01,1.515444894208591573e-04
1.080000000000000000e+03,1.917234718446601816e-02,2.414296590687642574e+00,9.495364001435847578e-01,1.520685307146060186e-04
1.140000000000000000e+03,1.913170860841423987e-02,2.408127550772721115e+00,9.470258022787265695e-01,1.524121869582206236e-04
1.200000000000000000e+03,1.909171521035598826e-02,2.402023419334822218e+00,9.445644642429082971e-01,1.527911842641776141e-04
1.260000000000000000e+03,1.905237941747572883e-02,2.395979666971059352e+00,9.421544719786889566e-01,1.530750583090148369e-04
1.320000000000000000e+03,1.901371365695792709e-02,2.389992210124799676e+00,9.397977615385162409e-01,1.534107736933085675e-04
1.380000000000000000e+03,1.897573035598705202e-02,2.384057572527726876e+00,9.374950481003410108e-01,1.537065545196324775e-04
1.440000000000000000e+03,1.893844194174757259e-02,2.378171737485217374e+00,9.352490880570581977e-01,1.539426334025020902e-04
1.500000000000000000e+03,1.890186084142394737e-02,2.372331966067894093e+00,9.330620543590016913e-01,1.541146718487578697e-04
1.560000000000000000e+03,1.886599948220064882e-02,2.366537022336280494e+00,9.309353126362222008e-01,1.543797209526752521e-04
1.620000000000000000e+03,1.883087029126213549e-02,2.360783943530996964e+00,9.288700495588052553e-01,1.545498655894318642e-04
1.680000000000000000e+03,1.879648569579287984e-02,2.355071027055617883e+00,9.268681915164093121e-01,1.547611029551030520e-04
1.740000000000000000e+03,1.876285812297734737e-02,2.349395837350076732e+00,9.249304427507942794e-01,1.549876887530161939e-04
1.800000000000000000e+03,1.873000000000000012e-02,2.343755524060765261e+00,9.230581270580794362e-01,1.551554554578037971e-04
1.860000000000000000e+03,1.869799288355860137e-02,2.338147909273237346e+00,9.212600091812553904e-01,1.553209856880020012e-04
1.920000000000000000e+03,1.866687451335744680e-02,2.332571841642420374e+00,9.195404489651662905e-01,1.554092144855705150e-04
1.980000000000000000e+03,1.863659159109080574e-02,2.327027310507250313e+00,9.178949483629951223e-01,1.555886787020646709e-04
2.040000000000000000e+03,1.860709081845294405e-02,2.321512187510700542e+00,9.163179844640433336e-01,1.557338943410009906e-04
2.100000000000000000e+03,1.857831889713814494e-02,2.316024955343362279e+00,9.148046716115616483e-01,1.558241939889452323e-04
2.160000000000000000e+03,1.855022252884066039e-02,2.310565417587217674e+00,9.133500746712043261e-01,1.559373402489861934e-04
2.220000000000000000e+03,1.852274841525477361e-02,2.305132829977906361e+00,9.119484970677073088e-01,1.561030113871342024e-04
