time_s,temperature_C,moisture_kg_kg
0,28,0.01963
60,28.528,0.02002
120,29.192,0.02053
180,29.684,0.021
240,30.037,0.02151
300,30.834,0.02191
360,31.293,0.02233
420,31.82,0.02278
480,32.121,0.02325
540,32.73,0.02377
600,33.202,0.02428
660,33.879,0.02465
720,34.268,0.02506
780,34.806,0.02552
840,35.142,0.02612
900,35.524,0.0266
960,36.091,0.02687
1020,36.354,0.02732
1080,37.067,0.02793
1140,37.419,0.02826
1200,37.882,0.02891
1260,38.134,0.02921
1320,38.767,0.02961
1380,39.125,0.03029
1440,39.458,0.03051
1500,39.595,0.03098
1560,40.061,0.03137
1620,40.238,0.03179
1680,40.621,0.03219
1740,41.166,0.03262
1800,41.513,0.03307
1860,41.918,0.03345
1920,41.952,0.03403
1980,42.263,0.03447
2040,42.589,0.03476
2100,42.745,0.03513
2160,42.985,0.03558
2220,43.393,0.03609
2280,43.534,0.03646
2340,43.97,0.03653
2400,44.102,0.03694
2460,44.503,0.03731
2520,44.663,0.03766
2580,44.701,0.03812
2640,45.138,0.0384
2700,45.323,0.03858
2760,45.324,0.03903
2820,45.462,0.0394
2880,45.818,0.03954
2940,45.739,0.04013
3000,45.93,0.04011
3060,45.999,0.04076
3120,46.512,0.0407
3180,46.602,0.04128
3240,46.761,0.04157
3300,46.933,0.04187
3360,46.912,0.04205
3420,47.089,0.04229
3480,47.008,0.04247
3540,47.111,0.04277
3600,47.485,0.04272
3660,47.498,0.04312
3720,47.646,0.04333
3780,47.84,0.04369
3840,47.873,0.04373
3900,47.926,0.04389
3960,48.016,0.0442
4020,47.977,0.04422
4080,47.926,0.04435
4140,48.199,0.04468
4200,48.166,0.04483
4260,48.331,0.04491
4320,48.615,0.04514
4380,48.38,0.0453
4440,48.357,0.04543
4500,48.526,0.04561
4560,48.59,0.04589
4620,48.825,0.04585
4680,48.827,0.04629
4740,48.988,0.04641
4800,48.979,0.04633
4860,48.9,0.04639
4920,49.144,0.0466
4980,48.87,0.04687
5040,48.84,0.04689
5100,48.913,0.04707
5160,49.261,0.04705
5220,49.169,0.0472
5280,49.056,0.04713
5340,49.257,0.04744
5400,49.116,0.04728
5460,49.415,0.0476
5520,49.321,0.04777
5580,49.317,0.04751
5640,49.304,0.04782
5700,49.492,0.04765
5760,49.384,0.04802
5820,49.272,0.04779
5880,49.31,0.04827
5940,49.749,0.04795
6000,49.743,0.04841
6060,49.66,0.0484
6120,49.463,0.04836
6180,49.83,0.04851
6240,49.753,0.04858
6300,49.739,0.04871
6360,49.622,0.04842
6420,49.55,0.04864
6480,49.477,0.04845
6540,49.891,0.04875
6600,49.683,0.04858
6660,49.569,0.04882
6720,49.633,0.04886
6780,49.781,0.04885
6840,49.592,0.04892
6900,49.941,0.04908
6960,49.902,0.04913
7020,49.892,0.04902
7080,49.759,0.04911
7140,49.865,0.0493
7200,49.852,0.04894
7260,49.893,0.04897
7320,49.619,0.04898
7380,49.792,0.04929
7440,49.612,0.0492
7500,49.845,0.04941
7560,49.77,0.04938
7620,49.683,0.04924
7680,49.669,0.04954
7740,49.916,0.0495
7800,49.714,0.04928
7860,50.095,0.04935
7920,49.929,0.04934
7980,49.817,0.04929
8040,49.943,0.0493
8100,49.664,0.04971
8160,50.135,0.04948
8220,49.902,0.04947
8280,50.056,0.04966
8340,49.71,0.04959
8400,49.915,0.0498
8460,49.92,0.04973
8520,50.147,0.0496
8580,49.967,0.04956
8640,49.921,0.04988
8700,49.821,0.04976
8760,49.856,0.04989
8820,49.953,0.04949
8880,49.915,0.04986
8940,49.708,0.04977
9000,50.163,0.04981
9060,50.198,0.05004
9120,49.82,0.05009
9180,50.027,0.04976
9240,49.804,0.04998
9300,50.086,0.05016
9360,49.891,0.0499
9420,50.08,0.04998
9480,50.113,0.04997
9540,50.134,0.0499
9600,49.804,0.05021
9660,50.208,0.05014
9720,49.865,0.04981
9780,49.769,0.05025
9840,50.027,0.05019
9900,49.935,0.04989
9960,50.165,0.05017
10020,50.154,0.0498
10080,49.909,0.05025
10140,50.226,0.05008
10200,49.895,0.05008
10260,50.008,0.0498
10320,49.878,0.0502
10380,50.218,0.04976
10440,49.832,0.04987
10500,49.772,0.04982
10560,49.968,0.05014
10620,50.246,0.04985
10680,50.196,0.05021
10740,50.124,0.05008
10800,50.195,0.04977
10860,50.197,0.04975
10920,50.009,0.04978
10980,49.908,0.05005
11040,50.136,0.05015
11100,50.081,0.04987
11160,49.937,0.05017
11220,49.797,0.04978
11280,50.123,0.05015
11340,49.881,0.05021
11400,50.218,0.05014
11460,49.87,0.0501
11520,49.811,0.05017
11580,50.166,0.04977
11640,49.827,0.04985
11700,49.84,0.04981
11760,50.05,0.05
11820,50.187,0.05012
11880,49.848,0.05007
11940,49.905,0.05018
12000,50.139,0.04983
12060,50.236,0.05012
12120,50,0.04985
12180,49.822,0.04989
12240,49.757,0.0501
12300,49.865,0.05024
12360,49.816,0.05006
12420,50.089,0.04978
12480,49.811,0.05006
12540,50.003,0.04977
12600,50.097,0.05019
12660,50.041,0.0501
12720,49.85,0.04984
12780,50.152,0.0498
