model,moving,n,dt,scheme,interpolation,tail,mode,omega,ale,event_s,event_h,max_picard_iterations,max_step_balance_relative,max_cumulative_balance_relative,final_max_C,radius_extrapolated,name,wall_seconds
2,False,21,1.0,be,pchip,last,0,1.0,True,205958.5,57.21069444444444,3,1.3885605216056824e-16,5.232869897202096e-13,0.14999998953892604,False,q3_grid_21,7.070649799999956
2,False,41,1.0,be,pchip,last,0,1.0,True,205851.125,57.18086805555556,3,1.0271312516031008e-16,4.1667377609246844e-14,0.1499999949639506,False,q3_grid_41,2.877458399999796
2,False,81,1.0,be,pchip,last,0,1.0,True,205822.875,57.17302083333333,4,8.651984822750726e-17,7.578785774334947e-14,0.1499999865190289,False,q3_grid_81,4.953975099999752
2,False,81,4.0,be,pchip,last,0,1.0,True,205832.25,57.175625,4,9.056816746070797e-17,1.0097961410404208e-14,0.14999999675511005,False,q3_dt_4,1.6742441999999755
2,False,81,2.0,be,pchip,last,0,1.0,True,205826.0,57.17388888888889,4,1.435855789570479e-16,4.113590595606767e-14,0.14999998994803088,False,q3_dt_2,3.00417890000017
2,False,81,1.0,be,pchip,last,0,1.0,True,205822.875,57.17302083333333,4,8.651984822750726e-17,7.578785774334947e-14,0.1499999865190289,False,q3_dt_1,4.890382200000204
2,False,81,0.5,be,pchip,last,0,1.0,True,205821.3125,57.172586805555554,3,1.2664621755017766e-16,1.7942483011328738e-13,0.14999998480225707,False,q3_dt_0.5,9.211272300000019
2,False,81,1.0,bdf2,pchip,last,0,1.0,True,205819.75,57.172152777777775,4,3.395008741560779e-16,5.684833391065661e-12,0.14999998305086307,False,q3_bdf2,4.635901600000125
2,False,41,2.0,be,linear,last,0,1.0,True,205854.25,57.181736111111114,4,1.1176994190638089e-16,1.1479787708670049e-14,0.14999999544798778,False,q3_linear,1.4098589999998694
2,False,41,2.0,be,pchip,mean,0,1.0,True,206951.1875,57.48644097222222,4,1.124187110142656e-16,4.995833539884188e-15,0.14999998184731766,False,q3_tail_mean,1.4215602999997827
