D,hm,hT,k
9.970177531054094100e-01,1.039334780571414152e+00,1.058878859980942000e+00,8.104916578815325456e-01
1.010751377761505809e+00,9.034913625691123329e-01,8.182476027220471071e-01,8.637107801362825521e-01
9.224535866219145674e-01,1.145028287210740459e+00,8.672172966639601910e-01,9.180024973243787745e-01
1.072735486597589105e+00,8.374544650486819286e-01,8.414141050612942152e-01,1.002901745693740576e+00
1.125860324243331601e+00,8.610197924447706708e-01,1.028701679741664154e+00,8.795611157192766427e-01
1.041236385944245946e+00,1.109484798988592757e+00,9.389469896587900877e-01,1.199785991960553355e+00
8.092049683076880662e-01,8.105803199811268955e-01,1.046743373335474070e+00,1.123418902149899257e+00
1.059411447400822714e+00,9.450001416042476121e-01,9.965097313127296852e-01,1.018756265713463671e+00
8.867089614079761706e-01,1.173221505388583719e+00,1.077581657022211870e+00,8.175530034836725468e-01
8.572770437582909464e-01,8.261206210063342104e-01,9.183258400165963398e-01,9.946776366016356619e-01
1.171733418831103712e+00,8.781029945456272356e-01,1.178974115894803276e+00,9.383193185083191779e-01
9.462018003515441089e-01,9.751148279502520611e-01,8.069995257829907231e-01,9.635182272540924187e-01
1.154479322360692617e+00,1.074191948922922801e+00,8.563082790062344074e-01,9.104642613867195422e-01
8.429967790013228601e-01,1.125086172034715837e+00,9.755004847932305934e-01,8.887393462858396154e-01
1.107047041591730174e+00,1.193062155950125547e+00,1.199969960773219713e+00,1.036766148987074976e+00
9.580102629809278403e-01,1.161224255603145572e+00,9.083340829598134381e-01,1.181775901108423010e+00
1.184921598790777519e+00,8.835043972069249740e-01,1.165687746374740374e+00,1.160696146356810399e+00
8.711655903696819969e-01,9.947626978130353903e-01,1.090549170693925873e+00,9.763904839614162556e-01
1.137096464039485610e+00,9.173589266505994821e-01,8.851934095613886999e-01,1.072984408913332466e+00
9.139954281221989163e-01,1.050882298611472310e+00,1.016272792855470453e+00,8.450381757263190075e-01
1.095306441781656703e+00,9.554695669712882644e-01,1.141877282232124813e+00,1.148451857520709218e+00
8.331190352042512348e-01,1.089928070887106193e+00,1.108475277794317870e+00,1.089976964644326696e+00
1.023932935602241079e+00,1.001825681528338841e+00,9.513600523688234833e-01,1.113529047314960607e+00
9.676313188421578060e-01,1.020204556227953585e+00,1.122682895796283997e+00,1.055673212208484202e+00
