time_s,radius_cm
6.000000000000000000e+01,1.994987326860841570e+00
1.200000000000000000e+02,1.990016802588997047e+00
1.800000000000000000e+02,1.985089669902912579e+00
2.400000000000000000e+02,1.980207171521035647e+00
3.000000000000000000e+02,1.975370550161812178e+00
3.600000000000000000e+02,1.970581048543689207e+00
4.200000000000000000e+02,1.965839909385113105e+00
4.800000000000000000e+02,1.961148375404530686e+00
5.400000000000000000e+02,1.956507689320388321e+00
6.000000000000000000e+02,1.951919093851132603e+00
6.600000000000000000e+02,1.947383831715210345e+00
7.200000000000000000e+02,1.942903145631067918e+00
7.800000000000000000e+02,1.938478278317152359e+00
8.400000000000000000e+02,1.934110472491909594e+00
9.000000000000000000e+02,1.929800970873786436e+00
9.600000000000000000e+02,1.925551016181229702e+00
1.020000000000000000e+03,1.921361851132686205e+00
1.080000000000000000e+03,1.917234718446601871e+00
1.140000000000000000e+03,1.913170860841423959e+00
1.200000000000000000e+03,1.909171521035598840e+00
1.260000000000000000e+03,1.905237941747572883e+00
1.320000000000000000e+03,1.901371365695792681e+00
1.380000000000000000e+03,1.897573035598705271e+00
1.440000000000000000e+03,1.893844194174757245e+00
1.500000000000000000e+03,1.890186084142394751e+00
1.560000000000000000e+03,1.886599948220064826e+00
1.620000000000000000e+03,1.883087029126213618e+00
1.680000000000000000e+03,1.879648569579287942e+00
1.740000000000000000e+03,1.876285812297734834e+00
1.800000000000000000e+03,1.872999999999999998e+00
1.860000000000000000e+03,1.869799288355860067e+00
1.920000000000000000e+03,1.866687451335744763e+00
1.980000000000000000e+03,1.863659159109080532e+00
2.040000000000000000e+03,1.860709081845294488e+00
2.100000000000000000e+03,1.857831889713814411e+00
2.160000000000000000e+03,1.855022252884066081e+00
2.220000000000000000e+03,1.852274841525477278e+00
2.280000000000000000e+03,1.849584325807475338e+00
2.340000000000000000e+03,1.846945375899486042e+00
2.400000000000000000e+03,1.844352661970937612e+00
2.460000000000000000e+03,1.841800854191256054e+00
2.520000000000000000e+03,1.839284622729868701e+00
2.580000000000000000e+03,1.836798637756202890e+00
2.640000000000000000e+03,1.834337569439685067e+00
2.700000000000000000e+03,1.831896087949743235e+00
2.760000000000000000e+03,1.829468863455803396e+00
2.820000000000000000e+03,1.827050566127292219e+00
2.880000000000000000e+03,1.824635866133637929e+00
2.940000000000000000e+03,1.822219433644266973e+00
3.000000000000000000e+03,1.819795938828606019e+00
3.060000000000000000e+03,1.817360051856082404e+00
3.120000000000000000e+03,1.814906442896123018e+00
3.180000000000000000e+03,1.812429782118154753e+00
3.240000000000000000e+03,1.809924739691605167e+00
3.300000000000000000e+03,1.807385985785900040e+00
3.360000000000000000e+03,1.804808190570467596e+00
3.420000000000000000e+03,1.802186024214734728e+00
3.480000000000000000e+03,1.799514156888127436e+00
3.540000000000000000e+03,1.796787258760073724e+00
3.600000000000000000e+03,1.794000000000000039e+00
3.660000000000000000e+03,1.791159229193899804e+00
3.720000000000000000e+03,1.788277336819172447e+00
3.780000000000000000e+03,1.785357305882353085e+00
3.840000000000000000e+03,1.782402119389978390e+00
3.900000000000000000e+03,1.779414760348584146e+00
3.960000000000000000e+03,1.776398211764706359e+00
4.020000000000000000e+03,1.773355456644879924e+00
4.080000000000000000e+03,1.770289477995642624e+00
4.140000000000000000e+03,1.767203258823529355e+00
4.200000000000000000e+03,1.764099782135076344e+00
4.260000000000000000e+03,1.760982030936819154e+00
4.320000000000000000e+03,1.757852988235294012e+00
4.380000000000000000e+03,1.754715637037037146e+00
4.440000000000000000e+03,1.751572960348583896e+00
4.500000000000000000e+03,1.748427941176470712e+00
4.560000000000000000e+03,1.745283562527233379e+00
4.620000000000000000e+03,1.742142807407407679e+00
4.680000000000000000e+03,1.739008658823529618e+00
4.740000000000000000e+03,1.735884099782134982e+00
4.800000000000000000e+03,1.732772113289760441e+00
4.860000000000000000e+03,1.729675682352940669e+00
4.920000000000000000e+03,1.726597789978213227e+00
4.980000000000000000e+03,1.723541419172113232e+00
5.040000000000000000e+03,1.720509552941176468e+00
5.100000000000000000e+03,1.717505174291938941e+00
5.160000000000000000e+03,1.714531266230936879e+00
5.220000000000000000e+03,1.711590811764706066e+00
5.280000000000000000e+03,1.708686793899782286e+00
5.340000000000000000e+03,1.705822195642701544e+00
5.400000000000000000e+03,1.703000000000000069e+00
5.460000000000000000e+03,1.700182245614035192e+00
5.520000000000000000e+03,1.697332350877192919e+00
5.580000000000000000e+03,1.694455368421052599e+00
5.640000000000000000e+03,1.691556350877192916e+00
5.700000000000000000e+03,1.688640350877192775e+00
5.760000000000000000e+03,1.685712421052631305e+00
5.820000000000000000e+03,1.682777614035087632e+00
5.880000000000000000e+03,1.679840982456140441e+00
5.940000000000000000e+03,1.676907578947368638e+00
6.000000000000000000e+03,1.673982456140350683e+00
6.060000000000000000e+03,1.671070666666666815e+00
6.120000000000000000e+03,1.668177263157894608e+00
6.180000000000000000e+03,1.665307298245614298e+00
6.240000000000000000e+03,1.662465824561403238e+00
6.300000000000000000e+03,1.659657894736842332e+00
6.360000000000000000e+03,1.656888561403508486e+00
6.420000000000000000e+03,1.654162877192982384e+00
6.480000000000000000e+03,1.651485894736842042e+00
6.540000000000000000e+03,1.648862666666666588e+00
6.600000000000000000e+03,1.646298245614034927e+00
6.660000000000000000e+03,1.643797684210525967e+00
