parameter,factor,event_h,change_percent,source_case
D,0.8,62.35064236111111,22.036938682792396,D_0.8
D,0.9,56.091770833333335,9.786647556116002,D_0.9
D,1.0,51.09161458333333,0.0,grid_81
D,1.1,47.01164930555556,-7.985586893369989,D_1.1
D,1.2,43.621128472222225,-14.62174599889835,D_1.2
hm,0.8,51.77732638888889,1.3421220118951638,hm_0.8
hm,0.9,51.38274305555556,0.5698165434709024,hm_0.9
hm,1.0,51.09161458333333,0.0,grid_81
hm,1.1,50.87078125,-0.43223009320471073,hm_1.1
hm,1.2,50.699375,-0.7677181207369377,hm_1.2
hT,0.8,51.109774305555554,0.03554344948837329,hT_0.8
hT,0.9,51.09965277777778,0.015732903549836585,hT_0.9
hT,1.0,51.09161458333333,0.0,grid_81
hT,1.1,51.08510416666667,-0.012742632464757264,hT_1.1
hT,1.2,51.07972222222222,-0.023276541968964004,hT_1.2
k,0.8,51.096041666666665,0.00866499007603494,k_0.8
k,0.9,51.09355902777778,0.0038057995628060226,k_0.9
k,1.0,51.09161458333333,0.0,grid_81
k,1.1,51.09005208333333,-0.0030582317915417434,k_1.1
k,1.2,51.08875,-0.005606758284493196,k_1.2
