seed,method,point_error_m,point_attempt_success,diameter_stop,mec_stop,mec_center_error_m
0,random_safe,5.442500737097381,True,False,False,6.064745177027525
0,perpendicular_midpoint,11.252994345519179,True,False,False,12.433716456775082
0,NBV,8.442066520376757,True,False,False,8.999577332262474
1,random_safe,9.537607325303782,True,True,True,9.433113165637785
1,perpendicular_midpoint,16.332769479495457,True,True,True,16.362138421460227
1,NBV,25.823074544198665,False,False,False,25.729712418750623
2,random_safe,4.79141009117087,True,False,False,13.300475428648594
2,perpendicular_midpoint,8.501755077995325,True,False,False,19.50625087363912
2,NBV,7.404891250366297,True,False,False,12.55634872321277
3,random_safe,6.934745803612981,True,True,True,7.095199349218791
3,perpendicular_midpoint,15.876914997575637,True,False,False,15.827041926780877
3,NBV,23.69002572124075,False,False,False,23.726267732508227
4,random_safe,26.232202965066065,False,False,False,40.0964874002407
4,perpendicular_midpoint,49.526900105325694,False,False,False,51.642891338736355
4,NBV,21.865721033641957,False,False,False,16.492264227934182
5,random_safe,5.297434619236961,True,False,False,4.358753540942031
5,perpendicular_midpoint,2.938813408139528,True,True,True,3.1815514040617776
5,NBV,1.1477117910142518,True,False,False,1.1244131152886547
6,random_safe,6.113525371576292,True,False,False,6.0567197582624726
6,perpendicular_midpoint,3.0107520452684575,True,True,True,3.2467704056333266
6,NBV,4.335201858659529,True,True,True,4.033751197466214
7,random_safe,9.055069048778394,True,False,False,9.362578325027453
7,perpendicular_midpoint,15.928260496329749,True,False,False,15.923958945985422
7,NBV,28.45655240210446,False,False,False,28.482833395947644
8,random_safe,6.746829172160217,True,True,True,6.674189494565104
8,perpendicular_midpoint,5.646519882892402,True,True,True,5.606907952507019
8,NBV,9.275059506973271,True,False,False,9.31827699414348
9,random_safe,11.912507617065446,True,True,True,12.258274032134262
9,perpendicular_midpoint,10.925698540512927,True,True,True,10.813036428037686
9,NBV,12.643682905729573,True,False,False,12.8715771640277
10,random_safe,4.353086433936891,True,True,True,4.544144118525804
10,perpendicular_midpoint,11.669881800849407,True,False,False,11.724381377815238
10,NBV,22.388594506397187,False,False,False,22.254150151233567
11,random_safe,5.583662647190043,True,False,False,5.556117791906491
11,perpendicular_midpoint,2.191365266475981,True,False,False,1.8868625804139438
11,NBV,5.583662647190043,True,False,False,5.556117791906491
12,random_safe,37.495681950036925,False,False,False,26.396507721980974
12,perpendicular_midpoint,22.191627865424028,False,False,False,30.728006779032096
12,NBV,19.62194590744538,True,False,False,23.98098872442499
13,random_safe,283.894990897973,False,False,False,34.47794139649064
13,perpendicular_midpoint,6.176167531367337,True,False,False,6.2771599349609035
13,NBV,9.11039982293844,True,True,True,8.992133990487623
14,random_safe,10.666324027668155,True,False,False,10.194224987025075
14,perpendicular_midpoint,11.995042668499826,True,True,True,11.625207653143693
14,NBV,10.78037431505019,True,True,True,10.775425542268216
15,random_safe,19.76601196839559,True,False,False,19.54965741665535
15,perpendicular_midpoint,6.3396273608322105,True,False,False,6.104351023669546
15,NBV,1.8319579156599777,True,False,False,2.4385960103299884
16,random_safe,4.231650729331485,True,True,True,4.056609126741343
16,perpendicular_midpoint,4.489595649488312,True,False,False,4.270101961696471
16,NBV,12.460349553061777,True,False,False,12.4554907289092
17,random_safe,3.1163475500416893,True,False,False,3.4531379113778216
17,perpendicular_midpoint,6.054595899174175,True,False,False,6.288004309647195
17,NBV,1.2326251762021527,True,False,False,0.7553974982664604
18,random_safe,12.012015520290769,True,True,True,11.633867809725304
18,perpendicular_midpoint,10.765899734066,True,False,False,11.208127322786506
18,NBV,10.556083236541323,True,True,True,10.523698747827662
19,random_safe,14.14379246280625,True,False,False,13.051121768079632
19,perpendicular_midpoint,12.428948692606982,True,True,True,12.70334278718926
19,NBV,12.58839043817539,True,True,True,12.391817963910128
20,random_safe,3.524803141822427,True,True,True,3.445407081895587
20,perpendicular_midpoint,7.364658186586219,True,True,True,7.432580534518737
20,NBV,6.98161509848906,True,False,False,7.070635344301866
21,random_safe,9.76810714560126,True,True,True,9.773921169437193
21,perpendicular_midpoint,9.680028746113514,True,True,True,9.68661003896529
21,NBV,19.616384128456808,True,False,False,19.620917285508362
22,random_safe,9.026217131883016,True,True,True,8.898794789395295
22,perpendicular_midpoint,8.986858312810135,True,True,True,8.771183323270579
22,NBV,9.026217131883016,True,True,True,8.898794789395295
23,random_safe,43.05152358221967,False,False,False,39.34182771173206
23,perpendicular_midpoint,57.563116292659025,False,False,False,64.1790493892957
23,NBV,28.436979567187986,False,False,False,26.8948091357742
24,random_safe,198.46885330188945,False,False,False,198.45435937433197
24,perpendicular_midpoint,5.65293479302551,True,False,False,5.317835695460332
24,NBV,16.01626315357111,True,False,False,16.040790421728
25,random_safe,62.51691450083904,False,False,False,23.516818203551928
25,perpendicular_midpoint,32.378448530476106,False,False,False,44.68701702911231
25,NBV,5.6434200897266535,True,False,False,6.148502855591205
26,random_safe,2.503544562594423,True,False,False,2.152801978919605
26,perpendicular_midpoint,29.815707012257764,False,False,False,29.798417826403405
26,NBV,37.95880720385178,False,False,False,37.85690433234967
