seed,scheduling,cleared,total,time_per_source_s
0,False,15,15,297.3763329851212
0,True,15,15,286.7330484553507
1,False,13,13,329.5193280806982
1,True,13,13,329.5193280806982
2,False,15,15,316.70177996746946
2,True,15,15,286.1273542315449
3,False,15,15,287.53953102390744
3,True,15,15,191.83483201947402
4,False,15,15,311.82358089284276
4,True,15,15,287.5559532727867
5,False,14,14,328.93829193515245
5,True,14,14,302.1528209313837
6,False,13,13,349.362047205097
6,True,13,13,337.5873463692643
7,False,16,16,278.6118061225302
7,True,16,16,190.5817365024401
8,False,15,15,331.18117851994987
8,True,15,15,299.6717814047591
9,False,12,12,386.14957053824884
9,True,12,12,351.2802409277953
10,False,15,15,296.65092128703327
10,True,15,15,252.92856742776354
11,False,10,10,365.05971811414395
11,True,10,10,296.67443734145075
12,False,14,14,355.6536337878655
12,True,14,14,287.95410319490355
13,False,16,16,301.3022198635225
13,True,16,16,289.0158883776609
14,False,11,11,349.88737682478853
14,True,11,11,343.5435426231415
15,False,16,16,281.52672561711347
15,True,16,16,181.0527265033884
16,False,13,13,325.28947378370134
16,True,13,13,282.53844198858184
17,False,15,15,267.2355490529798
17,True,15,15,270.67258111163085
18,False,16,16,309.84306657680713
18,True,16,16,292.19228072649076
19,False,14,14,298.0045990506775
19,True,14,14,209.46537160002194
20,False,16,16,290.5401721315836
20,True,16,16,224.97340519292118
21,False,12,12,334.7205503848385
21,True,12,12,334.7205503848385
22,False,15,15,304.3405624299088
22,True,15,15,266.058356603932
23,False,10,10,359.8022630445925
23,True,10,10,307.03977974779457
24,False,12,12,340.8888584573083
24,True,12,12,339.2092288384038
25,False,13,13,334.01562748154595
25,True,13,13,321.9314911251869
26,False,16,16,299.74839101501317
26,True,16,16,289.61432746985054
27,False,10,10,361.7141810491394
27,True,10,10,291.85418569636755
28,False,14,14,344.74285672259396
28,True,14,14,314.6245958690309
29,False,16,16,317.3889469858139
29,True,16,16,490.7990075790186
30,False,10,10,387.05613925648146
30,True,10,10,391.2484663210365
31,False,13,13,310.2986786868987
31,True,13,13,223.97862275460528
32,False,16,16,307.5795696867729
32,True,16,16,304.30994072945225
33,False,16,16,266.92630386876937
33,True,16,16,269.0527073523618
34,False,10,10,434.4937182890587
34,True,10,10,426.3702529115947
35,False,10,10,362.83232284140615
35,True,10,10,309.58921367748223
36,False,12,12,363.29963462750607
36,True,12,12,321.700507518826
37,False,11,11,351.8599107039307
37,True,11,11,351.8599107039307
38,False,11,11,374.0073563153122
38,True,11,11,355.62112932491885
39,False,16,16,278.64552162210566
39,True,16,16,179.56187786547736
40,False,13,13,324.8588572744992
40,True,13,13,254.27135782413964
41,False,14,14,299.1831872688204
41,True,14,14,299.1831872688204
42,False,10,10,343.33859647203553
42,True,10,10,367.82256361459565
43,False,13,13,311.54430058644044
43,True,13,13,225.93764641514133
44,False,14,14,320.52128330916423
44,True,14,14,284.93891249574654
45,False,16,16,287.1572080623963
45,True,16,16,285.18573086871834
46,False,13,13,300.89831450081203
46,True,13,13,319.5912590145215
47,False,10,10,360.9139205413111
47,True,10,10,305.6894834104987
48,False,10,10,393.68164464121327
48,True,10,10,346.5760097237223
49,False,10,10,440.6514412241776
49,True,10,10,382.9974345456222
50,False,15,15,319.8204344461102
50,True,15,15,397.8638688079987
51,False,12,12,326.3149166457962
51,True,12,12,244.8628834162529
52,False,16,16,304.61268610436366
52,True,16,16,275.30382579158214
53,False,15,15,330.7460550698844
53,True,15,15,314.8082844830529
54,False,12,12,336.5412442685243
54,True,12,12,349.2877522527347
55,False,16,16,281.03437561967587
55,True,16,16,191.60015069946365
56,False,12,12,348.76661609863186
56,True,12,12,556.1313890136023
57,False,10,10,378.47335111504674
57,True,10,10,378.47335111504674
58,False,13,13,323.75350782945986
58,True,13,13,311.454076672816
59,False,15,15,290.8465004298803
59,True,15,15,193.3852925204954
60,False,11,11,384.8128316509979
60,True,11,11,292.37577214975454
61,False,12,12,336.23287346992225
61,True,12,12,336.23287346992225
62,False,13,13,365.4068500695323
62,True,13,13,284.41266597696443
63,False,13,13,314.1083702126007
63,True,13,13,236.72716970309145
64,False,13,13,333.2235537077625
64,True,13,13,277.5508254655355
65,False,11,11,375.6519345822617
65,True,11,11,375.6519345822617
66,False,16,16,315.04404142719574
66,True,16,16,287.8496253604305
67,False,15,15,290.5094379445753
67,True,15,15,206.33415126180768
68,False,13,13,381.31213564997296
68,True,13,13,332.68320524842505
69,False,10,10,405.96715628807704
69,True,10,10,405.96715628807704
70,False,14,14,314.8765268340221
70,True,14,14,262.41897168658926
71,False,16,16,280.54042272449203
71,True,16,16,190.90927399953475
72,False,16,16,309.6432627527738
72,True,16,16,263.9952339664487
73,False,15,15,287.822218833426
73,True,15,15,287.822218833426
74,False,11,11,403.1669809254878
74,True,11,11,351.17982571356924
75,False,14,14,299.11418939655607
75,True,14,14,207.24065948133304
76,False,13,13,344.6937875927703
76,True,13,13,314.6544853178615
77,False,10,10,365.65076960754146
77,True,10,10,365.65076960754146
78,False,15,15,329.29728170028886
78,True,15,15,318.11602671743304
79,False,10,10,364.08036530804765
79,True,10,10,309.65595152359305
80,False,16,16,335.9202472558326
80,True,16,16,291.1411403780641
81,False,10,10,451.1613664584418
81,True,10,10,389.4730033821649
82,False,15,15,292.91885368761615
82,True,15,15,299.8564145262375
83,False,15,15,288.2509689368556
83,True,15,15,192.1748804078278
84,False,14,14,327.41924493292106
84,True,14,14,286.6618258650473
85,False,14,14,315.8862906562521
85,True,14,14,315.8862906562521
86,False,16,16,269.9088585185053
86,True,16,16,226.82521055270797
87,False,14,14,303.21861193150835
87,True,14,14,220.38433347053402
88,False,13,13,346.0510409239891
88,True,13,13,319.8840892796624
89,False,16,16,298.34827798045313
89,True,16,16,298.34827798045313
90,False,14,14,338.99088236193694
90,True,14,14,346.9945817788278
91,False,15,15,288.52754302167403
91,True,15,15,202.15879552145518
92,False,13,13,349.8618861539731
92,True,13,13,329.8248676262962
93,False,16,16,280.14305272189887
93,True,16,16,280.14305272189887
94,False,10,10,385.32756224967795
94,True,10,10,309.331536989011
95,False,13,13,313.3813590291303
95,True,13,13,235.73701790994528
96,False,15,15,332.02203751277835
96,True,15,15,338.2714195528669
97,False,10,10,369.1285057221318
97,True,10,10,369.1285057221318
98,False,12,12,403.66519999736903
98,True,12,12,317.800731244755
99,False,16,16,279.3235177758362
99,True,16,16,191.98197200121862
