seed,method,diameter_m,mec_radius_m,time_s
0,random_safe,56.43359296807692,28.216796494038462,165.41654534117697
0,perpendicular_midpoint,58.186134491535235,29.093067255767647,165.81909806178342
0,NBV,42.99901575676996,21.49950788838502,183.53312273534692
1,random_safe,21.447659970295096,10.723829995147566,131.01258558647936
1,perpendicular_midpoint,38.2514958849012,19.125747952450627,164.87832575321016
1,NBV,80.82653634721359,40.413268183606796,199.37056898519432
2,random_safe,189.95351570405498,94.97675786202748,156.30517546774303
2,perpendicular_midpoint,214.16230202345628,107.08115102172813,164.98589166222058
2,NBV,140.51465974965822,70.25732988482912,191.0390671101356
3,random_safe,23.017291344833197,11.508645682416603,129.52738260856668
3,perpendicular_midpoint,50.38786273459043,25.19393137729524,164.92838359477577
3,NBV,69.96088483199634,34.98044242599818,194.39243016472255
4,random_safe,239.37163387560992,119.68581694780504,165.36923373807798
4,perpendicular_midpoint,229.2149380821877,114.60746905109396,164.69001082315057
4,NBV,145.97302659018726,72.98651330509362,178.62788189613042
5,random_safe,47.94767792578046,23.973838972890277,131.64107594661434
5,perpendicular_midpoint,29.164743816248315,14.582371918124158,166.00876931177925
5,NBV,43.58924059066745,21.794620305333726,199.76236400573856
6,random_safe,41.12156468258875,20.5607823512944,188.38359341146946
6,perpendicular_midpoint,29.11225631947504,14.556128169737528,164.90634511278532
6,NBV,34.999196901283646,17.499598460641824,182.24087398229605
7,random_safe,62.75243394969522,31.376216984847634,165.51360813253052
7,perpendicular_midpoint,58.96373392094619,29.481866970473096,164.83508433464246
7,NBV,88.69313045043978,44.34656523521992,193.46745450525276
8,random_safe,30.58812406463411,15.29406204231706,165.39632623275537
8,perpendicular_midpoint,30.31275148414819,15.156375752074101,164.716895706111
8,NBV,49.387492609878315,24.693746314939215,194.2762599684939
9,random_safe,31.883102178489505,15.941551099244796,132.34692385647764
9,perpendicular_midpoint,29.272842953333008,14.636421486666533,164.80992089705938
9,NBV,50.464047881874826,25.232023950937464,197.4562225012269
10,random_safe,38.97671879547264,19.48835940773633,132.34692385647799
10,perpendicular_midpoint,62.874285643526704,31.437142831763364,166.04096733989593
10,NBV,99.21631914046574,49.608159580232886,197.4562225012272
11,random_safe,57.146768164181154,28.57338409209061,186.66698171922943
11,perpendicular_midpoint,48.491287165702765,24.245643592851412,164.70191199494406
11,NBV,57.146768164181154,28.57338409209061,186.66698171922943
12,random_safe,207.2808448110133,103.64042241550676,141.65660375182102
12,perpendicular_midpoint,182.120002150811,91.06000108540557,165.95360403224046
12,NBV,127.32354636879695,63.661773194398556,191.03906711013568
13,random_safe,998.8006779750489,499.40033899752444,209.76013559500953
13,perpendicular_midpoint,42.26567639395263,21.132838206976345,164.65974067353574
13,NBV,38.9637995299561,19.481899774978082,174.46241628793192
14,random_safe,44.57911421413997,22.28955711707,151.57901861504305
14,perpendicular_midpoint,35.74242383120097,17.87121192560052,164.70938725586092
14,NBV,30.782916511913694,15.39145826595687,183.33998230316143
15,random_safe,110.52275350231271,55.26137676115637,202.65758619819556
15,perpendicular_midpoint,44.23677497148031,22.118387495740155,165.05690288871253
15,NBV,70.00777280428068,35.00388641214036,194.39243016472267
16,random_safe,22.230088177763502,11.115044098881784,129.5273826085666
16,perpendicular_midpoint,44.790754945875605,22.395377482937803,165.55309423578876
16,NBV,60.21653329834013,30.108266659170067,187.4129742049434
17,random_safe,61.54707931860845,30.773539669304256,165.5535562074124
17,perpendicular_midpoint,61.21387234258916,30.60693618129461,164.87522318144516
17,NBV,63.57641172919462,31.788205874597338,182.3158092316481
18,random_safe,36.54513473154186,18.272567375770933,170.5964050417323
18,perpendicular_midpoint,40.47692588068591,20.23846295034296,165.63058653347542
18,NBV,34.456231073134894,17.22811554656748,197.45622250122688
19,random_safe,59.30268888502475,29.65134445251238,129.5273826085667
19,perpendicular_midpoint,34.20961894864039,17.104809484320228,164.83700561573897
19,NBV,31.154512174517723,15.577256097258896,175.09970935507707
20,random_safe,38.40263784703523,19.201318933517648,165.38260676580143
20,perpendicular_midpoint,38.334510936648925,19.167255478324485,164.70318037386647
20,NBV,71.98603295509035,35.99301648754518,200.04759233148454
21,random_safe,27.91495734041003,13.957478680205043,165.34432621913345
21,perpendicular_midpoint,27.692048486987886,13.84602425349397,164.66491137002498
21,NBV,54.32944869829477,27.164724359147435,199.8356749819295
22,random_safe,32.351030678068376,16.17551534903421,183.53312273534698
22,perpendicular_midpoint,38.86321889601028,19.43160945800517,165.99393200866467
22,NBV,32.351030678068376,16.17551534903421,183.53312273534698
23,random_safe,111.85589500243792,55.92794751121907,164.84929374322002
23,perpendicular_midpoint,154.3950351651379,77.19751759256894,165.05548147513912
23,NBV,74.47550108058891,37.23775055029446,199.08893809978625
24,random_safe,564.2481706445046,282.1240853322524,209.78537803236105
24,perpendicular_midpoint,41.854480645398446,20.927240332699224,165.79050184630697
24,NBV,42.90665295956299,21.45332648978152,173.90256461388134
25,random_safe,325.2484816750706,162.62424084753533,209.2373582430404
25,perpendicular_midpoint,223.77353620905387,111.88676811452693,165.05548147513937
25,NBV,149.51061390715253,74.7553069635763,177.69756412109942
26,random_safe,47.68907214704576,23.844536083522886,129.42154249349184
26,perpendicular_midpoint,87.80250508588429,43.901252552942154,165.96195983106117
26,NBV,124.20166586770065,62.10083294385033,196.88227300954298
27,random_safe,42.830903808913426,21.415451914456742,165.41654534117697
27,perpendicular_midpoint,46.57610731474165,23.288053667370825,164.75573814116905
27,NBV,43.27028579010929,21.635142905054646,175.0997093550771
28,random_safe,27.77475351501121,13.887376767505605,129.24718913737408
28,perpendicular_midpoint,31.89803482139941,15.949017420699718,165.77947678500297
28,NBV,42.749374998604495,21.37468750930227,186.3532705711842
29,random_safe,238.51463655376276,119.25731828688149,141.65660375182114
29,perpendicular_midpoint,159.7070335322224,79.85351677611129,165.63732313448813
29,NBV,118.45093272517687,59.22546637258853,191.03906711013562
30,random_safe,37.58252794381401,18.791263981907004,129.52738260856668
30,perpendicular_midpoint,72.40125296533134,36.20062649266568,165.05690288871253
30,NBV,132.96045874297025,66.48022938148513,200.21559666005095
31,random_safe,76.91874228083223,38.45937115041612,194.3924301647226
31,perpendicular_midpoint,47.58066701314369,23.79033351657185,165.2326050986492
31,NBV,76.91874228083223,38.45937115041612,194.3924301647226
32,random_safe,357.00658108143074,178.50329055071538,160.0654788209458
32,perpendicular_midpoint,77.4095081171363,38.70475406856821,164.86592829540376
32,NBV,42.388567587975665,21.194283803987844,193.40603661546157
33,random_safe,297.3858746420268,148.6929373310134,209.460957219857
33,perpendicular_midpoint,89.08187508895085,44.54093755447543,165.64148955606143
33,NBV,122.79630835674618,61.3981541883731,193.23477534749486
34,random_safe,39.85312477244287,19.926562396221446,136.4454431048479
34,perpendicular_midpoint,27.191785352278192,13.595892686139097,164.68020438417437
34,NBV,29.33062599727038,14.665313008635202,174.64823306790365
35,random_safe,255.41944286951593,127.70972144475796,146.73528543613767
35,perpendicular_midpoint,164.22555185799249,82.11277593899635,166.05685004803624
35,NBV,115.41682558791669,57.708412803958346,187.17107025622377
36,random_safe,68.55617453219466,34.27808727609736,165.37982898013473
36,perpendicular_midpoint,67.8737210645181,33.936860542259055,164.70040342549433
36,NBV,82.1655368970951,41.082768458547555,190.80770176678567
37,random_safe,34.48252325804384,17.241261639021936,204.7710142216583
37,perpendicular_midpoint,56.356190649974934,28.178095334987468,165.58679136746713
37,NBV,43.20630459656129,21.603152308280652,179.4207801980771
38,random_safe,168.17413716686178,84.08706859343089,209.053558565822
38,perpendicular_midpoint,32.558815554625355,16.279407787312678,166.00401227684347
38,NBV,30.05069479888139,15.025347409440723,179.42078019807713
39,random_safe,782.0040413507874,391.01462244201,110.29422819960159
39,perpendicular_midpoint,41.93810548841687,20.96905275420844,165.66667656472728
39,NBV,32.862001058503104,16.43100053925157,196.43109812475612
40,random_safe,88.93492185473295,44.467460937366496,185.35971721100384
40,perpendicular_midpoint,74.34016993972527,37.17008497986264,165.29309896939623
40,NBV,86.25845838022009,43.129229200110046,185.38730923742386
41,random_safe,96.16954453593253,48.084772277966266,209.7307325554477
41,perpendicular_midpoint,126.77277964812859,63.386389834064374,164.71340697024843
41,NBV,67.94402130585227,33.97201066292614,194.25555968215252
42,random_safe,34.66431426387762,17.332157141938854,187.1554565304875
42,perpendicular_midpoint,46.901792658567246,23.450896339283677,166.0546426475937
42,NBV,34.66431426387762,17.332157141938854,187.1554565304875
43,random_safe,82.99125326607296,41.4956266430365,199.7623640057386
43,perpendicular_midpoint,41.71071705433519,20.855358537167625,166.00876931177925
