certified_clears,clear_attempts,clear_rate,cleared,distance_m,error,evidence,localization_observations,mean_time_per_source_s,measure_count,mixed,optical_fallbacks,policy,runtime_s,seed,stress,switch_count,total,use_negative,virtual_time_s
15,15,1.0,15,28550.413520589063,,synthetic_local,37,425.80551360785427,105,False,0,P1,0.029961899999999986,0,random,77,15,True,6387.082704117814
15,15,1.0,15,30645.241443053525,,synthetic_local,36,453.4032192407137,104,False,0,P2,0.6584628000000001,0,random,77,15,True,6801.048288610706
15,15,1.0,15,17929.9786341513,,synthetic_local,37,286.7330484553507,108,False,0,P3,0.5495231,0,random,100,15,True,4300.9957268302605
9,486,1.0,15,173355.34254088285,,synthetic_local,34,2598.8045672117723,484,True,6,P1,0.07464369999999998,0,random,403,15,True,38982.068508176584
14,16,1.0,15,42925.81166220915,,synthetic_local,59,790.2108221627888,541,True,1,P4,0.7210880999999999,0,random,485,15,True,11853.16233244183
13,23,1.0,15,43059.6301979916,,synthetic_local,58,793.3950693065548,541,True,2,P4,0.6649630999999999,0,random,485,15,False,11900.926039598322
13,13,1.0,13,25916.67962831752,,synthetic_local,37,460.2566096664233,127,False,0,P1,0.04309700000000005,1,edge,100,13,True,5983.335925663503
13,13,1.0,13,26506.789217667363,,synthetic_local,30,466.6429110410364,120,False,0,P2,0.6272796,1,edge,100,13,True,6066.357843533474
13,13,1.0,13,17483.756325245377,,synthetic_local,32,329.5193280806982,122,False,0,P3,0.6643602,1,edge,112,13,True,4283.751265049076
5,954,1.0,13,272064.44198031595,,synthetic_local,22,4672.683722774097,587,True,8,P1,0.09951909999999997,1,edge,509,13,True,60744.88839606326
10,199,1.0,13,46689.996478893045,,synthetic_local,39,1043.6922535214308,610,True,3,P4,0.6431020000000001,1,edge,557,13,True,13567.9992957786
8,221,1.0,13,48031.73929259742,,synthetic_local,36,1069.026758347652,609,True,5,P4,0.5046307999999999,1,edge,557,13,False,13897.347858519477
15,15,1.0,15,34534.22836902352,,synthetic_local,42,503.65637825364695,101,False,0,P1,0.030752700000000077,2,bias,68,15,True,7554.845673804704
15,15,1.0,15,36414.78904799112,,synthetic_local,42,528.7305206398818,101,False,0,P2,0.8248096999999999,2,bias,68,15,True,7930.957809598226
15,15,1.0,15,18014.551567365863,,synthetic_local,44,286.1273542315449,104,False,0,P3,0.7121158999999999,2,bias,94,15,True,4291.910313473174
13,84,1.0,15,70034.04808147394,,synthetic_local,38,1109.720641086319,405,True,2,P1,0.0667371000000001,2,bias,332,15,True,16645.809616294784
12,35,1.0,15,39988.01620346998,,synthetic_local,49,720.9068827129332,455,True,3,P4,0.5802852999999999,2,bias,406,15,True,10813.603240693998
10,54,1.0,15,41427.33564201962,,synthetic_local,46,744.2311418935948,456,True,5,P4,0.5255174999999999,2,bias,406,15,False,11163.467128403921
15,15,1.0,15,29600.97658486185,,synthetic_local,45,429.279687798158,80,False,0,P1,0.037225299999999795,3,cluster,44,15,True,6439.19531697237
15,15,1.0,15,32562.885316894706,,synthetic_local,45,468.7718042252627,80,False,0,P2,0.9000594999999998,3,cluster,44,15,True,7031.577063378941
15,15,1.0,15,11667.612401460556,,synthetic_local,45,191.83483201947402,80,False,0,P3,0.6632790000000002,3,cluster,69,15,True,2877.5224802921102
8,891,1.0,15,330025.1352149269,,synthetic_local,29,4760.935136199037,464,True,7,P1,0.07286159999999997,3,cluster,386,15,True,71414.02704298554
8,29,1.0,15,35896.004087265115,,synthetic_local,38,722.9467211635346,599,True,7,P4,0.5757945999999996,3,cluster,553,15,True,10844.200817453018
8,29,1.0,15,35896.004087265115,,synthetic_local,38,722.9467211635346,599,True,7,P4,0.4775957000000002,3,cluster,553,15,False,10844.200817453018
15,15,1.0,15,33709.477105352715,,synthetic_local,40,493.5263614047027,103,False,0,P1,0.03295770000000031,4,random,71,15,True,7402.895421070541
15,15,1.0,15,35731.963462323394,,synthetic_local,40,520.4928461643119,103,False,0,P2,0.7684355000000003,4,random,71,15,True,7807.3926924646785
13,29,1.0,15,18158.939231119937,,synthetic_local,40,294.25252308159924,112,False,2,P3,0.6235219999999999,4,random,105,15,True,4413.787846223989
8,477,1.0,15,180727.53351624173,,synthetic_local,33,2664.300446883223,407,True,7,P1,0.06718959999999985,4,random,323,15,True,39964.50670324834
11,117,1.0,15,51403.19612493208,,synthetic_local,54,882.0426149990944,439,True,4,P4,0.6294630999999997,4,random,374,15,True,13230.639224986417
10,518,1.0,15,170168.50078166215,,synthetic_local,49,2544.7800104221583,436,True,5,P4,0.6064493999999998,4,random,374,15,False,38171.70015633237
14,14,1.0,14,30771.050101561843,,synthetic_local,42,492.72928716516935,118,False,0,P1,0.031987099999999824,5,edge,84,14,True,6898.210020312371
14,14,1.0,14,31652.96908623845,,synthetic_local,39,504.2567012319778,115,False,0,P2,0.8546713000000001,5,edge,84,14,True,7059.593817247689
13,24,1.0,14,17585.52470849429,,synthetic_local,36,307.36463869277566,116,False,1,P3,0.7064286999999996,5,edge,106,14,True,4303.104941698859
9,576,1.0,14,164202.11942235747,,synthetic_local,30,2725.601706033684,606,True,5,P1,0.07371460000000019,5,edge,532,14,True,38158.42388447157
9,47,1.0,14,40603.51803144989,,synthetic_local,40,858.4788290207125,629,True,5,P4,0.5179596999999996,5,edge,584,14,True,12018.703606289975
9,301,1.0,14,112554.39854770392,,synthetic_local,39,1940.4199792529132,628,True,5,P4,0.49427900000000013,5,edge,584,14,False,27165.879709540786
13,13,1.0,13,29728.213988980333,,synthetic_local,36,507.1263690612358,102,False,0,P1,0.029771100000000494,6,bias,72,13,True,6592.642797796065
13,13,1.0,13,31501.046857601945,,synthetic_local,34,533.631490116953,100,False,0,P2,0.6549705000000001,6,bias,72,13,True,6937.209371520389
10,88,1.0,13,18690.52534979083,,synthetic_local,32,360.6234669198588,111,False,3,P3,0.4534090000000006,6,bias,105,13,True,4688.105069958165
7,466,1.0,13,120652.60168857995,,synthetic_local,26,2169.578487516617,454,True,6,P1,0.06820150000000069,6,bias,380,13,True,28204.52033771602
11,115,1.0,13,55209.55150102713,,synthetic_local,49,1103.0700230927253,499,True,2,P4,0.6067040000000006,6,bias,432,13,True,14339.910300205427
10,192,1.0,13,75761.55212149836,,synthetic_local,46,1436.6392634076665,498,True,3,P4,0.5456408000000001,6,bias,432,13,False,18676.310424299663
16,16,1.0,16,31156.25049670683,,synthetic_local,48,420.5781312088355,76,False,0,P1,0.0398695,7,cluster,38,16,True,6729.250099341368
16,16,1.0,16,34300.86563847597,,synthetic_local,48,459.8858204809496,76,False,0,P2,0.9836178000000002,7,cluster,38,16,True,7358.173127695193
16,16,1.0,16,12626.53892019521,,synthetic_local,48,190.5817365024401,76,False,0,P3,0.7180499999999999,7,cluster,64,16,True,3049.3077840390415
10,1164,1.0,16,457870.91997567343,,synthetic_local,36,6088.136499695915,399,True,6,P1,0.07802750000000014,7,cluster,317,16,True,97410.18399513463
7,23,1.0,16,35333.81125259171,,synthetic_local,51,668.0476406573965,595,True,9,P4,0.7053760999999996,7,cluster,546,16,True,10688.762250518344
5,30,1.0,16,35632.19708565825,,synthetic_local,49,673.7149635707282,597,True,11,P4,0.5666872000000005,7,cluster,546,16,False,10779.43941713165
15,15,1.0,15,33784.25573429945,,synthetic_local,41,490.990076457326,94,False,0,P1,0.03195649999999972,8,random,63,15,True,7364.85114685989
15,15,1.0,15,35865.625798484165,,synthetic_local,40,518.4083439797889,93,False,0,P2,0.8309972000000005,8,random,63,15,True,7776.125159696833
15,15,1.0,15,18895.383605356932,,synthetic_local,44,299.6717814047591,108,False,0,P3,0.6184997000000001,8,random,101,15,True,4495.076721071387
9,478,1.0,15,187300.0740253652,,synthetic_local,32,2758.467653671541,422,True,6,P1,0.0738897000000005,8,random,343,15,True,41377.014805073115
11,264,1.0,15,110776.2264551856,,synthetic_local,51,1727.4163527358066,499,True,4,P4,0.7278678999999997,8,random,439,15,True,25911.2452910371
8,332,1.0,15,117247.53367629084,,synthetic_local,43,1826.6337823505432,497,True,7,P4,0.5749398999999995,8,random,439,15,False,27399.50673525815
12,12,1.0,12,26980.25156181089,,synthetic_local,34,515.3375260301815,126,False,0,P1,0.027952100000000257,9,edge,98,12,True,6184.050312362178
12,12,1.0,12,27824.009004842053,,synthetic_local,30,527.7334834140341,122,False,0,P2,0.6116558999999997,9,edge,98,12,True,6332.80180096841
11,19,1.0,12,17117.92813235995,,synthetic_local,30,356.2154688726658,130,False,1,P3,0.5576090000000002,9,edge,120,12,True,4274.58562647199
4,1065,1.0,12,303222.9868334362,,synthetic_local,20,5639.1331138906025,647,True,8,P1,0.07938340000000021,9,edge,571,12,True,67669.59736668723
8,263,1.0,12,84225.7411236588,,synthetic_local,34,1792.7623520609795,651,True,4,P4,0.4997024000000003,9,edge,600,12,True,21513.148224731754
9,25,1.0,12,42158.23669728446,,synthetic_local,35,1032.1372782880746,651,True,3,P4,0.4678576999999997,9,edge,600,12,False,12385.647339456895
15,15,1.0,15,30467.246755873257,,synthetic_local,40,450.3632900783101,103,False,0,P1,0.031060899999999947,10,bias,72,15,True,6755.449351174651
15,15,1.0,15,32217.51658958044,,synthetic_local,37,472.7002211944058,100,False,0,P2,0.6841222999999994,10,bias,72,15,True,7090.503317916087
15,15,1.0,15,15514.642557082267,,synthetic_local,40,252.92856742776354,104,False,0,P3,0.6771415000000003,10,bias,96,15,True,3793.928511416453
7,767,1.0,15,226614.14729240033,,synthetic_local,26,3358.4552972320184,467,True,8,P1,0.0610949999999999,10,bias,388,15,True,50376.82945848028
14,27,1.0,15,45350.32288355939,,synthetic_local,54,802.5376384474588,485,True,1,P4,0.6946450999999998,10,bias,432,15,True,12038.064576711882
13,27,1.0,15,45083.66993219569,,synthetic_local,51,798.3155990959425,483,True,2,P4,0.5982623,10,bias,432,15,False,11974.733986439138
10,10,1.0,10,21701.009915000417,,synthetic_local,30,496.42019830000834,100,False,0,P1,0.027375699999999448,11,cluster,74,10,True,4964.201983000084
10,10,1.0,10,23826.897111816434,,synthetic_local,30,538.9379422363286,100,False,0,P2,0.6317650999999991,11,cluster,74,10,True,5389.379422363286
10,10,1.0,10,11633.721867072538,,synthetic_local,30,296.67443734145075,100,False,0,P3,0.5251634000000003,11,cluster,90,10,True,2966.7443734145077
5,647,1.0,10,235155.47365493482,,synthetic_local,20,5198.909473098696,511,True,5,P1,0.057816800000000335,11,cluster,442,10,True,51989.09473098696
3,12,1.0,10,34316.16619944163,,synthetic_local,26,1088.4233239888326,668,True,7,P4,0.6069996000000009,11,cluster,625,10,True,10884.233239888326
3,12,1.0,10,34316.16619944163,,synthetic_local,26,1088.4233239888326,668,True,7,P4,0.4508983000000004,11,cluster,625,10,False,10884.233239888326
14,14,1.0,14,34444.68835476033,,synthetic_local,42,537.8526907822903,101,False,0,P1,0.03445920000000058,12,random,66,14,True,7529.937670952064
14,14,1.0,14,35798.16902514465,,synthetic_local,39,556.1167003592094,98,False,0,P2,0.8418998000000002,12,random,66,14,True,7785.633805028932
11,32,1.0,14,16755.52219270372,,synthetic_local,38,295.86460275291,112,False,3,P3,0.5011013999999996,12,random,107,14,True,4142.10443854074
12,215,1.0,14,137538.95511397516,,synthetic_local,38,2228.270787342501,515,True,2,P1,0.07614149999999853,12,random,440,14,True,31195.791022795016
9,471,1.0,14,208268.7745435334,,synthetic_local,49,3320.4824934790486,575,True,5,P4,0.5940209000000003,12,random,517,14,True,46486.75490870668
9,471,1.0,14,208268.7745435334,,synthetic_local,49,3320.4824934790486,575,True,5,P4,0.5421080000000007,12,random,517,14,False,46486.75490870668
16,16,1.0,16,36210.17415632048,,synthetic_local,44,500.43967695400585,120,False,0,P1,0.03221630000000175,13,edge,85,16,True,8007.034831264094
16,16,1.0,16,37213.15775233544,,synthetic_local,40,511.7269719041934,116,False,0,P2,0.8673936999999992,13,edge,85,16,True,8187.631550467095
16,16,1.0,16,19286.27107021288,,synthetic_local,40,289.0158883776609,116,False,0,P3,0.8782192999999996,13,edge,107,16,True,4624.254214042574
7,1259,1.0,16,383348.65969266294,,synthetic_local,31,5239.108246158288,572,True,9,P1,0.10746440000000135,13,edge,487,16,True,83825.73193853261
14,158,1.0,16,78055.61522318069,,synthetic_local,50,1227.9451902897574,597,True,2,P4,0.6567880000000006,13,edge,545,16,True,19647.12304463612
13,281,1.0,16,114407.24520268344,,synthetic_local,49,1705.4030650335408,597,True,3,P4,0.6566162000000002,13,edge,545,16,False,27286.449040536652
11,11,1.0,11,26544.684340726344,,synthetic_local,32,551.8124425586607,122,False,0,P1,0.032985400000001164,14,bias,96,11,True,6069.936868145267
11,11,1.0,11,27532.79046519154,,synthetic_local,28,567.9598266398461,118,False,0,P2,0.6422436000000005,14,bias,96,11,True,6247.558093038308
11,11,1.0,11,15089.89484427278,,synthetic_local,29,343.5435426231415,119,False,0,P3,0.5873030999999997,14,bias,111,11,True,3778.978968854556
8,374,1.0,11,136955.51642463118,,synthetic_local,28,2854.0093895387513,488,True,3,P1,0.06581659999999978,14,bias,419,11,True,31394.103284926266
9,16,1.0,11,39416.41604609691,,synthetic_local,40,1011.2075644744892,537,True,2,P4,0.6266190999999992,14,bias,485,11,True,11123.283209219382
9,16,1.0,11,39416.41604609691,,synthetic_local,40,1011.2075644744892,537,True,2,P4,0.5845054000000012,14,bias,485,11,False,11123.283209219382
16,16,1.0,16,32167.943392719742,,synthetic_local,48,433.16179240899686,76,False,0,P1,0.04056369999999987,15,cluster,37,16,True,6930.58867854395
16,16,1.0,16,35491.9954293029,,synthetic_local,48,474.7124428662859,76,False,0,P2,1.1231475,15,cluster,37,16,True,7595.399085860575
16,16,1.0,16,11854.218120271074,,synthetic_local,48,181.0527265033884,76,False,0,P3,0.8122301000000007,15,cluster,66,16,True,2896.8436240542146
11,558,1.0,16,212017.64611317927,,synthetic_local,35,2879.7830764147425,341,True,5,P1,0.08694110000000066,15,cluster,262,16,True,46076.52922263588
9,19,1.0,16,35980.60023866217,,synthetic_local,51,659.6950029832773,553,True,7,P4,0.8766850000000002,15,cluster,505,16,True,10555.120047732436
9,19,1.0,16,35668.04608718452,,synthetic_local,49,654.8505760898069,550,True,7,P4,0.6486046999999999,15,cluster,505,16,False,10477.60921743691
13,13,1.0,13,29499.03442439925,,synthetic_local,35,506.9851449907577,109,False,0,P1,0.03161000000000058,16,random,81,13,True,6590.80688487985
13,13,1.0,13,31144.04480267773,,synthetic_local,35,532.2929969642726,109,False,0,P2,0.7519283000000012,16,random,81,13,True,6919.8089605355435
12,17,1.0,13,14571.225418612716,,synthetic_local,35,283.94192951711875,118,False,1,P3,0.5366917000000004,16,random,110,13,True,3691.2450837225438
7,427,1.0,13,152026.12141131493,,synthetic_local,28,2664.7864832510045,501,True,6,P1,0.06959600000000066,16,random,425,13,True,34642.22428226306
12,25,1.0,13,43180.59636251674,,synthetic_local,51,906.5476363464115,518,True,1,P4,0.6753046999999999,16,random,458,13,True,11785.11927250335
11,32,1.0,13,43337.63304674232,,synthetic_local,49,910.5789699498823,518,True,2,P4,0.6177241000000002,16,random,458,13,False,11837.52660934847
15,15,1.0,15,32465.840225535,,synthetic_local,45,484.2112030071335,122,False,0,P1,0.03440419999999911,17,edge,85,15,True,7263.168045107002
15,15,1.0,15,33315.026847818684,,synthetic_local,40,493.86702463758263,117,False,0,P2,0.9063543000000003,17,edge,85,15,True,7408.00536956374
15,15,1.0,15,16530.4435833723,,synthetic_local,38,270.67258111163085,115,False,0,P3,0.7878195999999988,17,edge,104,15,True,4060.0887166744624
5,1329,1.0,15,393920.7481371109,,synthetic_local,25,5739.743308494827,563,True,10,P1,0.09528279999999967,17,edge,480,15,True,86096.1496274224
8,747,1.0,15,173513.0028316673,,synthetic_local,41,2698.773371088902,594,True,7,P4,0.6957438000000007,17,edge,538,15,True,40481.60056633353
