certified_clears,clear_attempts,clear_rate,cleared,distance_m,error,evidence,localization_observations,mean_time_per_source_s,measure_count,mixed,optical_fallbacks,policy,runtime_s,seed,stress,switch_count,total,use_negative,virtual_time_s
15,15,1.0,15,28550.413520589063,,synthetic_local,37,425.80551360785427,105,False,0,P1,0.05484119999999998,0,random,77,15,True,6387.082704117814
15,15,1.0,15,30645.241443053525,,synthetic_local,36,453.4032192407137,104,False,0,P2,0.8471263,0,random,77,15,True,6801.048288610706
15,15,1.0,15,17929.9786341513,,synthetic_local,37,286.7330484553507,108,False,0,P3,0.7337795,0,random,100,15,True,4300.9957268302605
9,486,1.0,15,173355.34254088285,,synthetic_local,34,2598.8045672117723,484,True,6,P1,0.10346130000000003,0,random,403,15,True,38982.068508176584
15,15,1.0,15,42996.564104667086,,synthetic_local,50,788.3541880622281,533,True,0,P4,2.4522427,0,random,486,15,True,11825.31282093342
14,18,1.0,15,43021.203537944086,,synthetic_local,49,789.2827138392546,533,True,1,P4,1.7035144,0,random,486,15,False,11839.240707588819
13,13,1.0,13,25916.67962831752,,synthetic_local,37,460.2566096664233,127,False,0,P1,0.053372500000000045,1,edge,100,13,True,5983.335925663503
13,13,1.0,13,26506.789217667363,,synthetic_local,30,466.6429110410364,120,False,0,P2,0.6661816999999999,1,edge,100,13,True,6066.357843533474
13,13,1.0,13,17483.756325245377,,synthetic_local,32,329.5193280806982,122,False,0,P3,0.8263255999999999,1,edge,112,13,True,4283.751265049076
5,954,1.0,13,272064.44198031595,,synthetic_local,22,4672.683722774097,587,True,8,P1,0.08753389999999994,1,edge,509,13,True,60744.88839606326
12,195,1.0,13,46880.95107882881,,synthetic_local,34,1043.168478135827,603,True,1,P4,2.1360827,1,edge,559,13,True,13561.190215765751
8,217,1.0,13,48004.31640732736,,synthetic_local,30,1066.6817908819585,606,True,5,P4,1.5770697,1,edge,559,13,False,13866.86328146546
15,15,1.0,15,34534.22836902352,,synthetic_local,42,503.65637825364695,101,False,0,P1,0.03645299999999985,2,bias,68,15,True,7554.845673804704
15,15,1.0,15,36414.78904799112,,synthetic_local,42,528.7305206398818,101,False,0,P2,1.098992,2,bias,68,15,True,7930.957809598226
15,15,1.0,15,18014.551567365863,,synthetic_local,44,286.1273542315449,104,False,0,P3,1.0181339,2,bias,94,15,True,4291.910313473174
13,84,1.0,15,70034.04808147394,,synthetic_local,38,1109.720641086319,405,True,2,P1,0.11317540000000026,2,bias,332,15,True,16645.809616294784
15,15,1.0,15,39674.117552369135,,synthetic_local,45,710.9882340315885,449,True,0,P4,1.8896782,2,bias,410,15,True,10664.823510473827
13,29,1.0,15,40725.04250599378,,synthetic_local,43,728.1339000799169,450,True,2,P4,1.4528132999999999,2,bias,410,15,False,10922.008501198754
15,15,1.0,15,29600.97658486185,,synthetic_local,45,429.279687798158,80,False,0,P1,0.05925909999999979,3,cluster,44,15,True,6439.19531697237
15,15,1.0,15,32562.885316894706,,synthetic_local,45,468.7718042252627,80,False,0,P2,1.2211509999999999,3,cluster,44,15,True,7031.577063378941
15,15,1.0,15,11667.612401460556,,synthetic_local,45,191.83483201947402,80,False,0,P3,0.9792910999999993,3,cluster,69,15,True,2877.5224802921102
8,891,1.0,15,330025.1352149269,,synthetic_local,29,4760.935136199037,464,True,7,P1,0.09498590000000018,3,cluster,386,15,True,71414.02704298554
13,15,1.0,15,35642.725718049885,,synthetic_local,43,718.769676240665,604,True,2,P4,1.7482106000000002,3,cluster,558,15,True,10781.545143609976
11,24,1.0,15,36066.17112552055,,synthetic_local,41,727.5489483402738,608,True,4,P4,1.4994378,3,cluster,558,15,False,10913.234225104106
15,15,1.0,15,33709.477105352715,,synthetic_local,40,493.5263614047027,103,False,0,P1,0.041556900000000674,4,random,71,15,True,7402.895421070541
15,15,1.0,15,35731.963462323394,,synthetic_local,40,520.4928461643119,103,False,0,P2,1.1380005000000004,4,random,71,15,True,7807.3926924646785
15,15,1.0,15,17751.696495459,,synthetic_local,44,287.5559532727867,116,False,0,P3,1.0644341000000006,4,random,108,15,True,4313.339299091801
8,477,1.0,15,180727.53351624173,,synthetic_local,33,2664.300446883223,407,True,7,P1,0.12003640000000004,4,random,323,15,True,39964.50670324834
13,114,1.0,15,52308.45870604912,,synthetic_local,43,889.9794494139888,428,True,2,P4,2.141682500000001,4,random,376,15,True,13349.691741209832
10,438,1.0,15,152942.69365436968,,synthetic_local,38,2296.5692487249244,428,True,5,P4,1.7584657000000004,4,random,376,15,False,34448.538730873865
14,14,1.0,14,30771.050101561843,,synthetic_local,42,492.72928716516935,118,False,0,P1,0.039890800000000226,5,edge,84,14,True,6898.210020312371
14,14,1.0,14,31652.96908623845,,synthetic_local,39,504.2567012319778,115,False,0,P2,1.2272811,5,edge,84,14,True,7059.593817247689
14,14,1.0,14,17340.69746519686,,synthetic_local,37,302.1528209313837,117,False,0,P3,1.2068015999999995,5,edge,107,14,True,4230.139493039372
9,576,1.0,14,164202.11942235747,,synthetic_local,30,2725.601706033684,606,True,5,P1,0.10441690000000037,5,edge,532,14,True,38158.42388447157
9,45,1.0,14,40949.60895979667,,synthetic_local,36,862.2801279970948,627,True,5,P4,3.4319483,5,edge,584,14,True,12071.921791959328
6,333,1.0,14,115147.41881148827,,synthetic_local,32,1985.0345544498325,630,True,8,P4,1.6707236000000005,5,edge,584,14,False,27790.483762297656
13,13,1.0,13,29728.213988980333,,synthetic_local,36,507.1263690612358,102,False,0,P1,0.05269820000000003,6,bias,72,13,True,6592.642797796065
13,13,1.0,13,31501.046857601945,,synthetic_local,34,533.631490116953,100,False,0,P2,0.9521721000000003,6,bias,72,13,True,6937.209371520389
12,47,1.0,13,17718.177514002185,,synthetic_local,35,337.5873463692643,114,False,1,P3,0.7033881999999991,6,bias,108,13,True,4388.635502800436
7,466,1.0,13,120652.60168857995,,synthetic_local,26,2169.578487516617,454,True,6,P1,0.1185887000000001,6,bias,380,13,True,28204.52033771602
12,94,1.0,13,54017.0513813931,,synthetic_local,35,1074.4930981752784,485,True,1,P4,2.3422861999999984,6,bias,432,13,True,13968.41027627862
9,245,1.0,13,84226.92728939369,,synthetic_local,31,1574.4911890675953,486,True,4,P4,2.0948186,6,bias,432,13,False,20468.38545787874
16,16,1.0,16,31156.25049670683,,synthetic_local,48,420.5781312088355,76,False,0,P1,0.09377500000000083,7,cluster,38,16,True,6729.250099341368
16,16,1.0,16,34300.86563847597,,synthetic_local,48,459.8858204809496,76,False,0,P2,1.6104269999999996,7,cluster,38,16,True,7358.173127695193
16,16,1.0,16,12626.53892019521,,synthetic_local,48,190.5817365024401,76,False,0,P3,1.2397335999999992,7,cluster,64,16,True,3049.3077840390415
10,1164,1.0,16,457870.91997567343,,synthetic_local,36,6088.136499695915,399,True,6,P1,0.17440679999999986,7,cluster,317,16,True,97410.18399513463
16,16,1.0,16,35648.94315201636,,synthetic_local,56,674.4242894002048,605,True,0,P4,2.859895999999999,7,cluster,556,16,True,10790.788630403276
11,39,1.0,16,36508.986178266954,,synthetic_local,52,691.674827228337,612,True,5,P4,2.5558247000000005,7,cluster,556,16,False,11066.797235653392
15,15,1.0,15,33784.25573429945,,synthetic_local,41,490.990076457326,94,False,0,P1,0.060933699999999646,8,random,63,15,True,7364.85114685989
15,15,1.0,15,35865.625798484165,,synthetic_local,40,518.4083439797889,93,False,0,P2,1.3114845000000006,8,random,63,15,True,7776.125159696833
15,15,1.0,15,18895.383605356932,,synthetic_local,44,299.6717814047591,108,False,0,P3,1.0340346,8,random,101,15,True,4495.076721071387
9,478,1.0,15,187300.0740253652,,synthetic_local,32,2758.467653671541,422,True,6,P1,0.13614749999999987,8,random,343,15,True,41377.014805073115
14,207,1.0,15,123227.20291425771,,synthetic_local,44,1879.6293721901027,491,True,1,P4,2.3833995000000012,8,random,443,15,True,28194.44058285154
12,225,1.0,15,97368.26402952136,,synthetic_local,42,1539.1101870602834,493,True,3,P4,1.8280066999999995,8,random,443,15,False,23086.65280590425
12,12,1.0,12,26980.25156181089,,synthetic_local,34,515.3375260301815,126,False,0,P1,0.04327140000000007,9,edge,98,12,True,6184.050312362178
12,12,1.0,12,27824.009004842053,,synthetic_local,30,527.7334834140341,122,False,0,P2,0.9283684000000001,9,edge,98,12,True,6332.80180096841
12,12,1.0,12,16896.81445566772,,synthetic_local,31,351.2802409277953,131,False,0,P3,0.9942072,9,edge,121,12,True,4215.362891133544
4,1065,1.0,12,303222.9868334362,,synthetic_local,20,5639.1331138906025,647,True,8,P1,0.14221219999999946,9,edge,571,12,True,67669.59736668723
12,12,1.0,12,42898.245328471865,,synthetic_local,32,1038.7207554745307,645,True,0,P4,2.328861899999998,9,edge,600,12,True,12464.64906569437
9,59,1.0,12,47203.604521308866,,synthetic_local,29,1123.0600753551475,647,True,3,P4,1.668822800000001,9,edge,600,12,False,13476.72090426177
15,15,1.0,15,30467.246755873257,,synthetic_local,40,450.3632900783101,103,False,0,P1,0.05468169999999972,10,bias,72,15,True,6755.449351174651
15,15,1.0,15,32217.51658958044,,synthetic_local,37,472.7002211944058,100,False,0,P2,1.1588489000000006,10,bias,72,15,True,7090.503317916087
15,15,1.0,15,15514.642557082267,,synthetic_local,40,252.92856742776354,104,False,0,P3,1.1537824000000008,10,bias,96,15,True,3793.928511416453
7,767,1.0,15,226614.14729240033,,synthetic_local,26,3358.4552972320184,467,True,8,P1,0.1451418000000011,10,bias,388,15,True,50376.82945848028
14,27,1.0,15,45143.94852724209,,synthetic_local,43,795.4526470298948,472,True,1,P4,2.1620279999999994,10,bias,432,15,True,11931.789705448422
12,71,1.0,15,49809.23799693626,,synthetic_local,41,867.4565066258169,475,True,3,P4,1.8071772000000017,10,bias,432,15,False,13011.847599387254
10,10,1.0,10,21701.009915000417,,synthetic_local,30,496.42019830000834,100,False,0,P1,0.043680099999999555,11,cluster,74,10,True,4964.201983000084
10,10,1.0,10,23826.897111816434,,synthetic_local,30,538.9379422363286,100,False,0,P2,0.9539966,11,cluster,74,10,True,5389.379422363286
10,10,1.0,10,11633.721867072538,,synthetic_local,30,296.67443734145075,100,False,0,P3,0.8202563999999981,11,cluster,90,10,True,2966.7443734145077
5,647,1.0,10,235155.47365493482,,synthetic_local,20,5198.909473098696,511,True,5,P1,0.1107572999999995,11,cluster,442,10,True,51989.09473098696
10,10,1.0,10,34569.74898990393,,synthetic_local,32,1099.1949797980787,679,True,0,P4,1.8895114,11,cluster,633,10,True,10991.949797980787
7,17,1.0,10,34727.165281113295,,synthetic_local,30,1105.443305622266,681,True,3,P4,1.6113491999999994,11,cluster,633,10,False,11054.43305622266
14,14,1.0,14,34444.68835476033,,synthetic_local,42,537.8526907822903,101,False,0,P1,0.06532760000000337,12,random,66,14,True,7529.937670952064
14,14,1.0,14,35798.16902514465,,synthetic_local,39,556.1167003592094,98,False,0,P2,1.3933557999999984,12,random,66,14,True,7785.633805028932
14,14,1.0,14,16381.787223643263,,synthetic_local,41,287.95410319490355,115,False,0,P3,1.0316451999999998,12,random,110,14,True,4031.35744472865
12,215,1.0,14,137538.95511397516,,synthetic_local,38,2228.270787342501,515,True,2,P1,0.12317669999999836,12,random,440,14,True,31195.791022795016
11,455,1.0,14,192957.9251606915,,synthetic_local,36,3093.9703594384487,562,True,3,P4,2.1759912999999997,12,random,521,14,True,43315.58503213828
10,458,1.0,14,202995.61979662956,,synthetic_local,35,3238.7231399518496,564,True,4,P4,1.463367899999998,12,random,521,14,False,45342.123959325894
