seed,stress,variant,total,cleared,clear_rate,error,mean_time_per_source,distance,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,runtime,config_hash
0,random,P4_current,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,4.535457199999655,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
0,random,P4_diagnostic_v1,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,1.9234472000007372,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
0,random,P4_diagnostic_v2,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,1.916947000001528,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
1,edge,P4_current,13,13,1.0,,1043.168478135827,46880.95107882881,1,200,195,183,0,603,559,1.5523069000009855,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
1,edge,P4_diagnostic_v1,13,13,1.0,,893.9229684410662,39859.9929486693,0,0,13,0,2,605,559,1.8934810999999172,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
1,edge,P4_diagnostic_v2,13,13,1.0,,893.1953055292282,39787.694859399824,0,0,13,0,3,606,559,3.6211813000008988,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
2,bias,P4_current,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,1.8970296000006783,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
2,bias,P4_diagnostic_v1,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,1.431640900000275,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
2,bias,P4_diagnostic_v2,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,1.443573299999116,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
3,cluster,P4_current,15,15,1.0,,718.769676240665,35642.725718049885,2,620,15,2,0,604,558,1.2515165000004345,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
3,cluster,P4_diagnostic_v1,15,15,1.0,,847.1656705407994,42092.42529055997,1,312,218,204,5,609,560,1.542593099999067,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
3,cluster,P4_diagnostic_v2,15,15,1.0,,748.2521419609759,37718.9106470732,0,0,15,0,5,609,560,4.441784600001483,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
4,random,P4_current,15,15,1.0,,889.9794494139888,52308.45870604912,2,425,114,101,0,428,376,2.0439690000002884,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
4,random,P4_diagnostic_v1,15,15,1.0,,741.4106480522577,42540.7986039193,0,0,15,0,4,432,378,2.0632481000011467,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
4,random,P4_diagnostic_v2,15,15,1.0,,737.8721988295205,42300.41491221401,0,0,15,0,3,431,378,2.5832934999998542,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
5,edge,P4_current,14,14,1.0,,862.2801279970948,40949.60895979667,5,346,45,36,0,627,584,2.637928099999044,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
5,edge,P4_diagnostic_v1,14,14,1.0,,861.2996626139072,41125.976382973495,1,10,17,4,6,633,589,3.211210100000244,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
5,edge,P4_diagnostic_v2,14,14,1.0,,846.5418336516041,40137.92835561229,0,0,14,0,6,633,589,4.721583100001226,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
6,bias,P4_current,13,13,1.0,,1074.4930981752784,54017.0513813931,1,325,94,82,0,485,432,1.4024422999991657,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
6,bias,P4_diagnostic_v1,13,13,1.0,,886.9920381418872,42994.482479222665,0,0,13,0,2,487,432,1.53647219999948,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
