seed,stress,variant,total,cleared,clear_rate,error,mean_time_per_source,distance,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,runtime,config_hash
0,random,P4_current,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,3.0757128999994165,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
0,random,P4_diagnostic_v1,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,3.119600400001218,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
0,random,P4_diagnostic_v2,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,3.0214235999992525,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
0,random,P4_route_only,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,3.113262200000463,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
1,edge,P4_current,13,13,1.0,,1043.168478135827,46880.95107882881,1,200,195,183,0,603,559,2.3395414000005985,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
1,edge,P4_diagnostic_v1,13,13,1.0,,893.9229684410662,39859.9929486693,0,0,13,0,2,605,559,2.5221641000007367,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
1,edge,P4_diagnostic_v2,13,13,1.0,,893.1953055292282,39787.694859399824,0,0,13,0,3,606,559,3.9334667999992234,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
1,edge,P4_route_only,13,13,1.0,,975.3582854396301,42473.288553575956,1,200,195,183,0,603,559,2.460752999999386,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
2,bias,P4_current,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,2.0257232999992993,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
2,bias,P4_diagnostic_v1,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,2.080553100000543,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
2,bias,P4_diagnostic_v2,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,2.123478299999988,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
2,bias,P4_route_only,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,2.188607599999159,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
3,cluster,P4_current,15,15,1.0,,718.769676240665,35642.725718049885,2,620,15,2,0,604,558,1.9323772999996436,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
3,cluster,P4_diagnostic_v1,15,15,1.0,,847.1656705407994,42092.42529055997,1,312,218,204,5,609,560,2.381830500000433,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
3,cluster,P4_diagnostic_v2,15,15,1.0,,748.2521419609759,37718.9106470732,0,0,15,0,5,609,560,4.45193289999952,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
3,cluster,P4_route_only,15,15,1.0,,756.3357088162339,37695.17816121755,2,620,66,53,0,604,558,1.9546387999998842,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
