problem,case,total,omni,directional,cleared,full_clear,seconds_per_source,virtual_time_s,runtime_s,distance_m,measurements,channel_switches,clear_attempts,optical_fallbacks,certified_clears,last_source_first_detection_s,max_time_audit_error_s,protocol_error_count
3,58VD-5D2M-BAXN-8ECY,13,13,0,13,True,319.0277735506013,4147.361056157817,1.5741586000076495,17566.80528078909,97,84,13,0,13,4010.817997,1.4527132634611917e-06,0
3,B5CQ-V9V3-CRDU-W7HA,14,14,0,14,True,278.49642524680695,3898.9499534552974,1.5410703999950783,16069.749767276488,104,95,14,0,14,3385.188923,3.4552972465462517e-06,0
3,CYQY-45FY-FYT2-D7GM,10,10,0,10,True,591.8655266698913,5918.655266698914,1.761112399995909,24713.276333494556,127,120,67,1,9,2156.124646,2.2422264009946957e-06,0
3,F5QQ-WGDU-2FN5-AZNK,10,10,0,10,True,351.98261135544516,3519.8261135544517,1.4287026999954833,13959.130567772254,114,108,10,0,10,2732.927293,1.4455481505137868e-06,0
3,JGHE-YDFH-4YH9-A34T,14,14,0,14,True,325.7566519894171,4560.593127851839,1.7528028000087943,18237.965639259208,118,115,60,2,12,1734.790921,2.8240551728231367e-06,0
3,NXJH-WJ7D-C6NE-HC4Q,12,12,0,12,True,680.7897055825526,8169.476466990632,2.9434166999999434,33982.382334953174,119,112,214,2,10,7313.657622,9.877367119770497e-06,0
3,QNAR-VTSZ-H7HV-NZMW,14,14,0,14,True,460.78228905014566,6450.952046702039,2.716518899993389,26184.760233510166,120,115,157,3,11,2576.194709,1.583069024491124e-05,0
3,R6Y3-FJFH-TQPX-WSYC,15,15,0,15,True,268.4717472330129,4027.0762084951934,1.5471579000004567,16755.381042475972,102,91,15,0,15,3259.168272,3.084556283283746e-06,0
3,T375-3NA5-MSG5-PT83,10,10,0,10,True,396.18799264113915,3961.8799264113914,1.1707963999942876,16124.399632056955,116,107,10,0,10,3359.880857,1.013512360259483e-06,0
3,TWSY-WKPZ-QP7K-MHSS,12,12,0,12,True,315.3029628700428,3783.6355544405133,1.7732122000015806,15363.177772202573,110,101,12,0,12,3345.154982,1.5845289453864098e-06,0
3,UF8U-8ATJ-J29U-6PBE,15,15,0,15,True,289.29307619572575,4339.396142935886,1.5441888000059407,17836.98071467944,114,106,22,1,14,3625.417314,2.0565196336974623e-06,0
3,VZF9-B56J-NCSV-P3K3,13,13,0,13,True,339.4091022382927,4412.318329097805,1.322551699995529,19111.591645489025,89,80,13,0,13,3401.288908,9.468395205658453e-07,0
3,WF7V-CX7V-PPNJ-5XUN,13,13,0,13,True,278.04081813916963,3614.5306358092053,1.4749589999992168,14762.653179046021,101,92,13,0,13,2848.81128,1.2426248758856673e-06,0
3,XWXX-XGP9-XTJX-MPUM,15,15,0,15,True,261.7977337290802,3926.966005936203,1.55185459999484,15839.830029681014,115,109,15,0,15,3758.974931,1.2328114280535374e-06,0
3,YTH6-FNPW-8QG5-5QDF,11,11,0,11,True,341.5241219457142,3756.7653414028564,1.321341200004099,15318.826707014281,108,98,11,0,11,2595.59504,1.756367964844685e-06,0
4,3D2P-8W3J-JRXG-ZM56,13,0,13,13,True,821.7201187754573,10682.361544080944,11.462281000000075,36926.80772040472,546,502,13,0,13,8705.177937,3.6216188163962215e-06,0
4,4TR3-ZB7V-9HNE-5BQ3,14,1,13,14,True,738.7064304346341,10341.890026084877,7.769027500005905,37974.450130424375,454,407,14,0,14,6995.345188,3.5563407436711714e-06,0
4,8AVW-SRQW-S5YH-Y4FH,12,11,1,12,True,824.162262846318,9889.947154155816,6.60849290000624,34734.73577077908,487,448,12,0,12,5104.86643,3.5822822610498406e-06,0
4,AVYD-8VMF-B9MT-DSBH,15,2,13,15,True,679.0717548821871,10186.076323232806,7.93885040000896,37325.381616164035,448,406,15,0,15,4650.229865,2.200044491473818e-06,0
4,DQDJ-BZ64-NU46-SU88,14,3,11,14,True,761.1696356735478,10656.37489942967,10.123431799991522,38711.87449714833,480,444,14,0,14,8280.334873,2.1623582142638043e-06,0
4,F52H-GGHH-BNEB-8RTC,13,10,3,13,True,767.1064397066383,9972.383716186298,7.988724299997557,36521.91858093149,441,398,13,0,13,5633.559464,2.8137019398855045e-06,0
4,JX7D-2RBH-AXWU-XF2N,10,4,6,10,True,1046.0824234494164,10460.824234494165,7.8906357000087155,35744.12117247083,551,507,10,0,10,7097.536098,2.505836164345965e-06,0
4,K23R-QVTP-JH4N-8JVD,13,4,9,13,True,846.3073684420954,11001.99578974724,9.221872599999188,41724.97894873619,439,397,13,0,13,6161.435401,1.8653840925253462e-06,0
4,K4QJ-VP4U-5FZS-DG5S,16,2,14,16,True,638.4012182155257,10214.41949144841,8.565860200003954,38752.09745724205,405,359,16,0,16,4260.119793,1.5515888662775978e-06,0
4,MM2S-RPHV-CYW9-ATMQ,10,3,7,10,True,1081.0328454631272,10810.328454631272,7.333038500000839,35811.64227315635,607,563,10,0,10,7660.833829,2.0813931769225746e-06,0
4,RAMK-X8KX-7R8R-6WRN,10,6,4,10,True,1134.0529736431463,11340.529736431463,8.225514000005205,36347.64868215732,677,636,10,0,10,8867.815669,1.7416314221918583e-06,0
4,XPV8-Y4NX-5S4K-NBME,13,12,1,13,True,811.171058167218,10545.223756173835,7.347124599997187,37781.11878086917,494,454,13,0,13,2770.857513,1.8261653167428449e-06,0
4,XURD-RUKJ-EDPK-PWGH,12,9,3,12,True,815.1344844471056,9781.613813365268,6.560237600002438,35073.06906682633,458,417,12,0,12,2933.416878,2.772238758552703e-06,0
4,Y3DR-V9N7-NK9G-2X53,13,11,2,13,True,781.5826255840449,10160.574132592583,8.927144200002658,36162.870662962916,484,443,13,0,13,4614.495129,3.436338374740444e-06,0
