mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1891d152dp+8,0x1.bef87d945276ap+9",448.1839686523479,893.9413323786405,retained_B_pool,1,True,True,True,7584899548442267045312135/309485009821345068724781056,1.2254066177774803e-05,112.18088243110208,112.18867041154346,0.007787980441378295,204.99999754918676,153.18088194093943,153.1886699213808,False,0.0,0.028885000006994233,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f12c15615fp+8,0x1.bef87f0973ea2p+9",448.18387993194295,893.9413768592824,retained_B_pool,2,True,True,True,7584883436208938006439087/309485009821345068724781056,1.2254040143488965e-05,112.1808901632937,112.1886781452088,0.007787981915100772,204.99999754919196,153.1808896731321,153.1886776550472,False,0.0,0.021600199994281866,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c1f89067944e4p+8,0x1.be8586d047598p+9",449.9709534394335,893.0431766842257,retained_B_pool,3,True,True,True,495921757478953010712255/19342813113834066795298816,1.2819277003472962e-05,112.17968815921698,112.18937275210939,0.009684592892412525,204.9999974361446,153.1796876464459,153.18937223933833,False,0.0,0.02120709999871906,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c1f88a9897ed0p+8,0x1.be858846e5aafp+9",449.9708648081696,893.0432213422226,retained_B_pool,4,True,True,True,1983682383848529381564959/77371252455336267181195264,1.2819247103834641e-05,112.17969592919647,112.18938052569916,0.009684596502694376,204.99999743615058,153.1796954164266,153.1893800129293,False,0.0,0.02001860000018496,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c3c18c79e55bbp+8,0x1.be121c7633125p+9",451.7560497460324,892.1414935826657,retained_B_pool,5,True,True,True,8339367839640092825193475/309485009821345068724781056,1.347297552456439e-05,112.18044607223452,112.18939090456286,0.008944832328339203,204.9999973054049,153.1804455333155,153.18939036564385,False,0.0,0.02845549999619834,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c3c186aec72cbp+8,0x1.be121dedb4779p+9",451.7559613453165,892.1415383464038,retained_B_pool,6,True,True,True,8339346271211362406708803/309485009821345068724781056,1.347294062270521e-05,112.1804538679215,112.18939871149496,0.008944843573459593,204.99999730541188,153.18045332900388,153.18939817257734,False,0.0,0.028753100006724708,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c58a17ed398a6p+8,0x1.bd9e3bb57f0c9p+9",453.53942759184645,891.2361971731526,retained_B_pool,7,True,True,True,1101302318569865894367139/38685626227668133590597632,1.4233998967938533e-05,112.18046574937696,112.19034762145378,0.0098818720768179,204.9999971532002,153.180465180017,153.19034705209384,False,0.0,0.02021630000672303,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c113e333f09a2p+8,0x1.bebf10d5f2aa0p+9",449.0776855909736,893.4927012858279,retained_B_pool,8,True,True,True,1938398151726937137015135/77371252455336267181195264,1.2526604564300214e-05,112.18130343122041,112.19082683253352,0.009523401313103363,204.9999974946791,153.18130293015622,153.19082633146934,False,0.0,0.03426190000027418,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf4a309039e81p+8,0x1.bf31cd07a62c6p+9",447.28980351842625,894.3890695153611,retained_B_pool,9,True,True,True,7427607470324568583159407/309485009821345068724781056,1.1999947105323372e-05,112.18254296953147,112.19167720319079,0.009134233659324309,204.99999760001057,153.1825424895336,153.19167672319293,False,0.0,0.027268899997579865,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf4a24f0250e7p+8,0x1.bf31cfefd4085p+9",447.28962613014886,894.3891582284274,retained_B_pool,10,True,True,True,7427577325403318098311979/309485009821345068724781056,1.1999898447356827e-05,112.18255838417736,112.19169262106244,0.009134236885088853,204.99999760002032,153.1825579041814,153.1916921410665,False,0.0,0.025583199996617623,SAFE
