mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2fd3bdf6bp+8,0x1.bef877bfcc80ap+9",448.18432353389534,893.941154456,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",1,True,True,True,7584963379176375795836855/309485009821345068724781056,1.2254169291736616e-05,112.18085150232638,112.18863947687406,0.007787974547682097,204.99999754916615,153.18085101215962,153.1886389867073,False,0.0,0.027517900001839735,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",448.1842348135195,893.9411989366714,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",2,True,True,True,7584947287659192797897555/309485009821345068724781056,1.2254143371137616e-05,112.1808592345214,112.1886472105428,0.007787976021390364,204.99999754917133,153.18085874435567,153.18864672037705,False,0.0,0.031956800012267195,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c1f8a7a385831p+8,0x1.be8580f5cdebfp+9",449.9713079644162,893.0429980521657,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",7,True,True,True,7934821832154071889280155/309485009821345068724781056,1.2819396147278894e-05,112.1796570792909,112.18934165774313,0.009684578452223036,204.99999743612076,153.17965656651506,153.18934114496727,False,0.0,0.017810799996368587,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c3c1a97d51072p+8,0x1.be12151dace6fp+9",451.7564924547979,892.1412694067238,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",8,True,True,True,1042434393631396773382039/38685626227668133590597632,1.3473148783305078e-05,112.18040703159014,112.1893518076029,0.00894477601276833,204.99999730537024,153.1804064926642,153.18935126867694,False,0.0,0.028816700010793284,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.be65428611190p+8,0x1.bf6af95d9dde2p+9",446.3955463210814,894.8357350369299,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",19,True,True,True,455051683405088006453775/19342813113834066795298816,1.1762810459003958e-05,112.18399118219149,112.19179949977827,0.007808317586778912,204.9999976474379,153.1839907116791,153.19179902926584,False,0.0,0.02999219999765046,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bc9ae032aaf9cp+8,0x1.bfdd05b1510dcp+9",444.6049834887906,895.7267362256785,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",27,True,True,True,438451786871210566518347/19342813113834066795298816,1.1333713132444245e-05,112.18640595335432,112.1963466867971,0.00994073344277524,204.99999773325737,153.1864055000058,153.1963462334486,False,0.0,0.032359599994379096,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c3ea91b1c85eap+8,0x1.bdbd1186687f8p+9",451.9162856210884,891.4770973215336,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",44,True,True,True,80485889602355387534426063175/77371252455336267181195264,0.5202632077085809,112.26640143613105,112.27414927902626,0.007747842895213353,204.89594735845827,153.2455909078227,153.25333875071792,False,0.0,0.030470300000160933,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bd73c254bd550p+8,0x1.bf562d0c30c6bp+9",445.4521840059506,894.6732497442403,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",50,True,True,True,87594157927068702344841280775/77371252455336267181195264,0.5662242831739377,112.27654202344941,112.28436325191618,0.007821228466767138,204.8867551433652,153.25389305212246,153.26171428058922,False,0.0,0.034038300000247546,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c12f2a0342d9dp+8,0x1.be1ac55dab41fp+9",449.1842348135195,892.2091481291026,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",58,True,True,True,679740245406058233827436330675/309485009821345068724781056,1.0987832571902345,112.36011458348383,112.37006335907944,0.009948775595603365,204.78024334856195,153.31616325319624,153.32611202879184,False,0.0,0.032395200003520586,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bab85aa637d04p+8,0x1.bfb3e0e373892p+9",442.72013319838175,895.4053005518092,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",65,True,True,True,21743559947251306973253554775/9671406556917033397649408,1.1247482315578736,112.37137395558406,112.38125495357107,0.009880997987011142,204.7750503536884,153.32638402632176,153.33626502430877,False,0.0,0.02769629999238532,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.be73c254bd550p+8,0x1.be787934ee045p+9",446.4521840059506,892.9411989366714,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",73,True,True,True,258146293061404024648894750503/77371252455336267181195264,1.6696251429873428,112.4542093922738,112.46202362639744,0.007814234123642905,204.66607497140254,153.3874243865543,153.39523862067796,False,0.0,0.038045199995394796,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c22f2a0342d9dp+8,0x1.bd3d1186687f8p+9",450.1842348135195,890.4770973215336,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",83,True,True,True,1356997025786320790819928894647/309485009821345068724781056,2.1947554112484795,112.53964643847391,112.54809354358814,0.008447105114228748,204.5610489177503,153.45185622202396,153.4603033271382,False,0.0,0.031269900006009266,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bbb85aa637d04p+8,0x1.bed62d0c30c6bp+9",443.72013319838175,893.6732497442403,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",88,True,True,True,345119584732004200076015210819/77371252455336267181195264,2.232775686622972,112.54782719827394,112.55769009881197,0.009862900538038843,204.5534448626754,153.45851617080902,153.46837907134704,False,0.0,0.023791700004949234,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",998.3834989327382,-56.835565838280665,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",89,True,True,True,2129547348444399523576420607/19807040628566084398385987584,5.375733428536478e-05,112.46363498491593,112.47319475121411,0.009559766298181671,204.99998924853315,153.46363283462256,153.47319260092075,False,0.0,0.0379257000022335,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f33116a66ad6ap+9,-0x1.c6af11013c49fp+5",998.3835037252113,-56.835481652881974,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",90,True,True,True,2129547157297283656643133759/19807040628566084398385987584,5.3757329396830755e-05,112.46362835750219,112.47322060394352,0.009592246441329166,204.99998924853412,153.46362620720902,153.47321845365036,False,0.0,0.019721500008017756,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ea53ab5a53344p+8,0x1.b3c4f122713ecp+9",490.3268333867202,871.5386088421778,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",92,True,True,True,962467294381170529404155/19342813113834066795298816,2.487919675786543e-05,112.46420388838094,112.4738795601691,0.00967567178815898,204.99999502416065,153.46420289321307,153.47387856500123,False,0.0,0.020806300002732314,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f322487315371p+9,-0x1.d6a835b7807d9p+5",998.2678359845723,-58.83213370667335,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",94,True,True,True,2132865692144037798686132495/19807040628566084398385987584,5.384110102113482e-05,112.46476018760325,112.47450677252779,0.00974658492454239,204.9999892317798,153.4647580339592,153.47450461888377,False,0.0,0.030556500001694076,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f33f61fd92021p+9,-0x1.b6b57519a0a68p+5",998.4951779330187,-54.838602256980096,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",98,True,True,True,33222290475617315975118291/309485009821345068724781056,5.367350649976288e-05,112.46579297048334,112.47490059031213,0.009107619828796487,204.9999892652987,153.46579082354307,153.47489844337187,False,0.0,0.03474869999627117,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f34d2a74cb736p+9,-0x1.a6bb6630be80ep+5",998.602858161298,-52.841503506482795,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",101,True,True,True,530725994413088912180039375/4951760157141521099596496896,5.358963187518384e-05,112.46722566366,112.47497042520303,0.00774476154302306,204.9999892820736,153.46722352007473,153.47496828161775,False,0.0,0.02778309999848716,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f312f76772b79p+9,-0x1.e6a0df0c7b929p+5",998.148175173773,-60.82855043174852,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",106,True,True,True,2136182185985930574586873455/19807040628566084398385987584,5.3924821031614556e-05,112.46717592629503,112.47567245808443,0.008496531789404571,204.99998921503578,153.46717376930218,153.47567030109158,False,0.0,0.022855000002891757,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.95eefe5cf6884p+8,0x1.c8f387a77ed5dp+9",405.93356877344945,913.9025773400605,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464e1ee5338p+8,0x1.c9c26fc6f427bp+9",122,True,True,True,1305566070439273055374131/77371252455336267181195264,8.437022984253417e-06,112.48475380230487,112.49411054987623,0.009356747571359847,204.9999983125954,153.48475346482394,153.4941102123953,False,0.0,0.02188899999600835,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ec11a55e08d2ep+8,0x1.b3473211587a6p+9",492.06892955508636,870.556215446665,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",126,True,True,True,3428605797896776361743179/77371252455336267181195264,2.2156845943754888e-05,112.49218898052555,112.50201078434694,0.009821803821381536,204.99999556863082,153.49218809425173,153.5020098980731,False,0.0,0.02340399999229703,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.941ade32b827fp+8,0x1.c95b37017177ap+9",404.1049529742813,914.7126161388435,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464e1ee5338p+8,0x1.c9c26fc6f427bp+9",130,True,True,True,5217325123414847612267631/309485009821345068724781056,8.429043418800575e-06,112.50886993764072,112.51743521406183,0.008565276421109047,204.99999831419132,153.508869600479,153.5174348769001,False,0.0,0.022157700004754588,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",493.809142541919,869.570290842238,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",138,True,True,True,12387620402025439534310835/309485009821345068724781056,2.0013280277453305e-05,112.52075601251723,112.52938497726511,0.008628964747884993,204.99999599734394,153.520755211986,153.5293841767339,False,0.0,0.028981700001168065,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf1e61d1846p+8,0x1.b2c900e02d66ep+9",493.8090573441044,869.5703392240227,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",139,True,True,True,3096919392694063513836531/77371252455336267181195264,2.0013372704852372e-05,112.52076470591103,112.5293936723527,0.008628966441662556,204.99999599732547,153.52076390537613,153.52939287181778,False,0.0,0.028326100000413135,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf73c254bd550p+8,0x1.bd9ac55dab41fp+9",447.4521840059506,891.2091481291026,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",141,True,True,True,428079458176096677103647380991/77371252455336267181195264,2.7702357627426863,112.63280207469214,112.642743976862,0.009941902169856576,204.44595284745145,153.52199264418243,153.5319345463523,False,0.0,0.03683169999567326,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f30eca5579d71p+9,-0x1.a2f8c23c10434p+5",998.1155497403071,-52.37146422314291,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",143,True,True,True,1265891613366383350471997499207/1237940039285380274899124224,0.5114203262393175,112.55182319364576,112.55956812067393,0.007744927028170423,204.89771593475214,153.53136638059618,153.53911130762435,False,0.0,0.022767600006773137,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.924654196b3b0p+8,0x1.c9c26e76b38cep+9",402.2747207533639,915.5189960838995,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464e1ee5338p+8,0x1.c9c26fc6f427bp+9",146,True,True,True,325971505158720261084415/19342813113834066795298816,8.426165891251003e-06,112.53498341039234,112.54417223201851,0.009188821626167964,204.99999831476683,153.5349830733457,153.5441718949719,False,0.0,0.033448100002715364,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464e1ee5338p+8,0x1.c9c26fc6f427bp+9",402.2746295270513,915.5190361683048,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464e1ee5338p+8,0x1.c9c26fc6f427bp+9",147,True,True,True,1303886029256217067979223/77371252455336267181195264,8.42616600493784e-06,112.53499028906553,112.54417911402831,0.009188824962777176,204.9999983147668,153.5349899520189,153.54417877698168,False,0.0,0.03567270000348799,SAFE
