mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status,source
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.dc1f20bba9749p+8,0x1.b5aaa69fcd6eep+9",476.12159321677296,875.333209967908,legacy_213,1,True,True,True,2197343569730717222055990678363/309485009821345068724781056,3.5563237191964845,112.91899699533252,112.92648431860695,0.007487323274432356,204.28873525616044,153.7767440465646,153.78423136983903,False,0.0,0.03270530000736471,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f20f905dd4ba4p+9,-0x1.9554d3f9addf0p+4",996.1215932167729,-25.333209967908203,legacy_213,2,True,True,True,2197343569730683777615925835615/309485009821345068724781056,3.5563237191964845,113.21361411123914,113.22111877650273,0.007504665263596166,204.28873525616044,154.07136116247122,154.07886582773483,False,0.0,0.045976499997777864,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.9cd200b09f7cdp+8,0x1.ba7cb371049edp+9",412.82032302755107,884.9742261192856,legacy_213,3,True,True,True,14360104455709601352260333734631/309485009821345068724781056,23.475550741302413,116.08644529258714,116.09544942940983,0.009004136822682085,200.30488985173926,156.147423262935,156.1564273997577,False,0.0,0.03302620000613388,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e66900584fbe6p+9,-0x1.53e59b8824f70p+6",972.820323027551,-84.97422611928573,legacy_213,4,True,True,True,3590026113927392440494741389515/77371252455336267181195264,23.4755507413023,116.37424320702719,116.38326800051554,0.009024793488350724,200.30488985173926,156.43522117737504,156.4442459708634,False,0.0,0.03746580000733957,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f01f20bba9748p+8,0x1.a45899ce963f0p+9",496.1215932167729,840.6921938165306,legacy_213,5,True,True,True,3644185990646123969017563082415/77371252455336267181195264,23.834030505056603,117.24361369091174,117.25295187871403,0.009338187802285347,200.23319389898842,157.29025247070945,157.2995906585117,False,0.0,0.02633609999611508,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e80f905dd4ba4p+9,0x1.29d98c5a703e0p+3",976.1215932167729,9.307806183469381,legacy_213,6,True,True,True,14576743962584489144921043231767/309485009821345068724781056,23.834030505056603,117.55820717538876,117.56783843009161,0.009631254702853198,200.23319389898842,157.60484595518645,157.6144772098893,False,0.0,0.03852490001008846,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.5d84e0a59584fp+8,0x1.bf4ec0423bcecp+9",349.51905283832906,894.6152422706632,legacy_213,7,True,True,True,14025665985279404597806330680015/309485009821345068724781056,22.92240380826763,119.25455934724057,119.26216823346574,0.007608886225170863,197.09372712298548,158.67330477183768,158.68091365806285,False,0.0,0.025359799998113886,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.dac27052cac26p+9,-0x1.213b0108ef3b2p+7",949.5190528383289,-144.61524227066326,legacy_213,8,True,True,True,13294910504236922247770712837447/309485009821345068724781056,21.71485379455862,119.53683178449663,119.54672675754279,0.009894973046158384,197.09372712298543,158.95557720909372,158.96547218213988,False,0.0,0.04231129999971017,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.b0d200b09f7cdp+8,0x1.a92aa69fcd6eep+9",432.82032302755107,850.333209967908,legacy_213,9,True,True,True,27729856879991726539379207844675/309485009821345068724781056,45.85116464987368,120.16713962712586,120.17529033377046,0.008150706644599381,195.829767070025,159.33309304113087,159.34124374777548,False,0.0,0.04283589999249671,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.dc6900584fbe6p+9,-0x1.92aa69fcd6ef8p+5",952.820323027551,-50.3332099679082,legacy_213,10,True,True,True,27729856879991679080959049209935/309485009821345068724781056,45.85116464987357,120.47504044701377,120.48399018619828,0.008949739184515693,195.82976707002504,159.64099386101879,159.6499436002033,False,0.0,0.02670100000977982,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.21b6206359b62p+9,0x1.8e34802c27df2p+9",579.4228634059948,796.4101615137754,legacy_213,11,True,True,True,2321137573659873862980837081227/77371252455336267181195264,15.114219820388143,120.047392862699,120.05692096239984,0.00952809970084445,201.97715603592206,160.44282406988341,160.45235216958426,False,0.0,0.032270999989123084,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e9b6206359b62p+9,0x1.9e5bfe9ec1064p+6",979.4228634059948,103.58983848622444,legacy_213,12,True,True,True,9284550294639467665207560189183/309485009821345068724781056,15.11421982038803,120.401458862614,120.4110200382842,0.009561175670199873,201.9771560359221,160.79689006979842,160.80645124546862,False,0.0,0.041908500003046356,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.7184e0a59584fp+8,0x1.adfcb371049edp+9",369.51905283832906,859.9742261192856,legacy_213,13,True,True,True,29037236953371949115052784687803/309485009821345068724781056,48.067425103709866,123.12335255717515,123.13148273936987,0.008130182194719282,192.20042734993956,161.56343802716307,161.5715682093578,False,0.0,0.03363530000206083,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.020f905dd4ba4p+9,0x1.93068cfd5f0f1p+9",516.1215932167729,806.051177665153,legacy_213,14,True,True,True,101428876265664115188419327451/1208925819614629174706176,42.86887000787465,122.51281305958499,122.52024228391538,0.0074292243303943906,196.42622599842477,161.79805825926994,161.80548748360033,False,0.0,0.043358599999919534,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.d0c27052cac26p+9,-0x1.b7e59b8824f70p+6",929.5190528383289,-109.97422611928573,legacy_213,15,True,True,True,7076788664010320536101738586115/77371252455336267181195264,46.82915997121404,123.42337139305539,123.43147988381173,0.008108490756342235,192.20042734993956,161.8634568630433,161.87156535379964,False,0.0,0.03277570000500418,SAFE,
M0,Csafe,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.de0f905dd4ba4p+9,0x1.5f97302a0f0e0p+5",956.1215932167729,43.94882233484691,legacy_213,16,True,True,True,6491448081002497543157321297735/77371252455336267181195264,42.86887000787465,122.85167155012525,122.86072807316121,0.009056523035965824,196.4262259984248,162.1369167498102,162.14597327284616,False,0.0,0.023742900011711754,SAFE,
