mode,region,level,step_m,candidate_count,cumulative_count,new_score_count,key,x,y,D_lower_m,D_upper_m,T_s,J_lower_m,J_upper_m,inner_gap_m,boundary_distance_m,delta_J_m,delta_q_m,stop_reason
M0,Csafe,0,50,213,213,213,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.dc1f20bba9749p+8,0x1.b5aaa69fcd6eep+9",476.12159321677296,875.333209967908,112.91899699533252,112.92648431860695,204.28873525616044,153.7767440465646,153.78423136983903,0.007487323274432356,3.5563237191964845,0.0,0.0,CONTINUE
M1,Csafe,0,50,274,274,61,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c835f2eedf69bp+8,0x1.bcef957fb028ap+9",456.21073811487594,889.8717498407507,112.18583920045725,112.19353645639544,204.99999687359593,153.18583857517643,153.19353583111462,0.007697255938182934,1.5632019085387583e-05,0.0,0.0,CONTINUE
M1,Csafe,1,20,102,371,97,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c835f8b179b6ep+8,0x1.bcef9405b1f43p+9",456.21082600804846,889.8717047804752,112.18583133379714,112.19352858825623,204.99999687358547,153.18583070851423,153.19352796297332,0.007697254459088754,1.5632071267646097e-05,-7.868141295830355e-06,9.87706343236126e-05,CONTINUE
M1,Csafe,2,10,113,469,98,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf4a1f1e73a46p+8,0x1.bf31d16454b25p+9",447.2895373375253,894.389202634197,112.18256610005598,112.1917003385562,204.9999976000252,153.18256562006104,153.19169985856126,0.009134238500223546,1.1999872754131502e-05,-0.001828104412055609,9.999858919064105,CONTINUE
M1,Csafe,3,5,115,579,110,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c3c186aec72cbp+8,0x1.be121dedb4779p+9",451.7559613453165,892.1415383464038,112.1804538679215,112.18939871149496,204.99999730541188,153.18045332900388,153.18939817257734,0.008944843573459593,1.3472939258463157e-05,-0.0023016859839231074,5.0000938159193185,CONTINUE
M1,Csafe,4,2,115,687,108,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f12c15615fp+8,0x1.bef87f0973ea2p+9",448.18387993194295,893.9413768592824,112.1808901632937,112.1886781452088,204.99999754919196,153.1808896731321,153.1886776550472,0.007787981915100772,1.225403889293375e-05,-0.0007205175301407962,3.9998980357266585,CONTINUE
M1,Csafe,5,1,115,797,110,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1891d152dp+8,0x1.bef87d945276ap+9",448.1839686523479,893.9413323786405,112.18088243110208,112.18867041154346,204.99999754918676,153.18088194093943,153.1886699213808,0.007787980441378295,1.225406481353275e-05,-7.7336663935057e-06,9.92463488587847e-05,MIN_STEP
M2,Q0,0,50,1267,1267,470,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1891d152dp+8,0x1.bef87d945276ap+9",448.1839686523479,893.9413323786405,112.18088243110208,112.18867041154346,204.99999754918676,153.18088194093943,153.1886699213808,0.007787980441378295,1.2254066177774803e-05,0.0,0.0,CONTINUE
M2,Q0,1,20,90,1352,85,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",448.18405737274617,893.9412878979922,112.18087469890915,112.18866267787726,204.99999754918178,153.1808742087455,153.18866218771362,0.007787978968110565,1.2254091075192264e-05,-7.733667189313564e-06,9.924634571600107e-05,CONTINUE
M2,Q0,2,10,90,1423,71,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2432c7b51p+8,0x1.bef87aaa0f841p+9",448.18414609313646,893.9412434173356,112.18086696671583,112.18865494421046,204.99999754917658,153.18086647655116,153.18865445404577,0.007787977494629672,1.2254117109478102e-05,-7.733667843012881e-06,9.924634232149063e-05,CONTINUE
