seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,clearance_point,polygon_certified_count,near_certified_count,polygon_clear_travel_m,polygon_clear_mec_travel_m,same_state_clear_saving_m,polygon_zero_move_count,nccp_fallback_count,max_clearance_vertex_distance,certificate_audit_violations,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s,cohort,derivation_index,route_refresh,unknown_first,row_path,row_sha256,trace_path,scene_path,scene_file_sha256,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,trace_sha256,audit_passed
0,151a16298157648bfcb523715bd4d5fdbe3bd7d55a263e734f1874f300eeb1f4,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,1151.1480204,11511.480204,39087.40102970727,1.9072254999991856,cpu,0,0,10,0,0,615,569,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,f122967d1d742a7384f4190cc31ed490fffded0fe709011913b26ae2d18aed52,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,5,recovered_practice_engine_local,grid_v1,mec_center,10,0,787.4088248998354,787.4088248998354,0.0,0,0,17.862848758794218,0,9835.82038,1468.1780590000023,0.0,0.0,207.48176499999795,0.0,development32,0,0,0,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_0000.json,0ab817ab6923cde37b9d5c7d817bd8ea6291d79ba1b5aad2b3ebf690b7dff80c,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_0000.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0000.json,4688e5d54a1046c6671149e22856c608a4f406285050d496b2e3c03d35fb3659,5.0,7797.7738,779.77738,11511.480204,3523.946128999999,1596.9562299999998,183,80,45,598,6286.820379999999,2990.0,559.0,22.0,110.0,22.0,126.0,630.0,125.0,450.0,2250.0,412.0,eced00e3c06a33b28a65e4802296513ce0ffbc3495421b8a626998b62b734c57,True
0,151a16298157648bfcb523715bd4d5fdbe3bd7d55a263e734f1874f300eeb1f4,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1_refresh,FULL_CLEAR,user_exit,10,10,1.0,,1057.6771678999999,10576.771679,36318.858391627095,2.231097399999271,cpu,0,0,10,0,0,551,508,c016182ec3774b8fefcfe9bdfd3edeab4368bb2b74068722d851af24e8174cac,f122967d1d742a7384f4190cc31ed490fffded0fe709011913b26ae2d18aed52,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,5,recovered_practice_engine_local,grid_v1,mec_center,10,0,1157.1883595590289,1157.1883595590289,0.0,0,0,18.442444360363478,0,9089.899642,1205.4343660000004,0.0,0.0,281.4376709999998,1.8189894035458565e-12,development32,0,1,0,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_refresh_0000.json,bbde02f4a9607f609ec1b9316c202017f1dd92f07875e55f4a1348139f4e7436,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_refresh_0000.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0000.json,4688e5d54a1046c6671149e22856c608a4f406285050d496b2e3c03d35fb3659,5.0,4152.105563,415.2105563,10576.771679,6028.666483999999,2650.102354999999,312,130,45,536,5910.899641999999,2680.0,499.0,37.0,185.0,37.0,49.0,245.0,48.0,450.0,2250.0,414.0,d9205cc921bb51a37a2b7a26dc99ea101d3982b7edfda02c5d6aa0885bc793de,True
0,151a16298157648bfcb523715bd4d5fdbe3bd7d55a263e734f1874f300eeb1f4,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1_unknown,FULL_CLEAR,user_exit,10,10,1.0,,1150.8480204,11508.480204,39087.40102970727,1.9690479999990202,cpu,0,0,10,0,0,615,566,1c1f474d09cf74b3e2613393a85ead559e23f6ab533715c54b651678b902c82b,f122967d1d742a7384f4190cc31ed490fffded0fe709011913b26ae2d18aed52,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,5,recovered_practice_engine_local,grid_v1,mec_center,10,0,787.4088248998354,787.4088248998354,0.0,0,0,17.862848758794218,0,9835.82038,1465.1780590000023,0.0,0.0,207.48176499999795,0.0,development32,0,0,1,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_unknown_0000.json,7c6281dea6f56d00efd28a5c9084eb3c9bbab70a5c46d393dff311d98e616a7b,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_unknown_0000.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0000.json,4688e5d54a1046c6671149e22856c608a4f406285050d496b2e3c03d35fb3659,5.0,7795.7738,779.57738,11508.480204,3523.946128999999,1596.9562299999998,183,80,45,598,6286.820379999999,2990.0,559.0,22.0,110.0,15.0,126.0,630.0,125.0,450.0,2250.0,419.0,08f815d87accea73251eb78279894fff3ebf44dcee2a4e7f81c6b8187ca838c3,True
0,151a16298157648bfcb523715bd4d5fdbe3bd7d55a263e734f1874f300eeb1f4,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1_refresh_unknown,FULL_CLEAR,user_exit,10,10,1.0,,1057.3771679,10573.771679,36318.858391627095,2.3012811000007787,cpu,0,0,10,0,0,551,505,115f6b83ca0895b97018e3b1694859065b4185026584c2df3cf860b5d07484de,f122967d1d742a7384f4190cc31ed490fffded0fe709011913b26ae2d18aed52,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,5,recovered_practice_engine_local,grid_v1,mec_center,10,0,1157.1883595590289,1157.1883595590289,0.0,0,0,18.442444360363478,0,9089.899642,1202.4343660000004,0.0,0.0,281.4376709999998,1.8189894035458565e-12,development32,0,1,1,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_refresh_unknown_0000.json,184e0138c87ddf0b8a9b20465df578356fd2f3c91cdeac2fa552ab2a09f76306,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_refresh_unknown_0000.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0000.json,4688e5d54a1046c6671149e22856c608a4f406285050d496b2e3c03d35fb3659,5.0,4143.105563,414.31055630000003,10573.771679,6034.666483999999,2650.102354999999,313,130,45,536,5910.899641999999,2680.0,499.0,37.0,185.0,24.0,49.0,245.0,48.0,450.0,2250.0,427.0,08331f9e30bf817eddc43219665658146b04e4cafd3145b7458fc0638b422342,True
1,5e2536d8b7513c70b79565acbd5a25ca4b6dcfdbcf5878e70925b89055b1a401,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,815.5267346,12232.901019,44854.50508159387,2.5440916000006837,cpu,1,296,36,22,3,529,479,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,cc3a8fbbde8b5e8b9f6a5a6a3dd6ffba78eaf7c849d36cafeb3d198a0ff50ce5,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,12,recovered_practice_engine_local,grid_v1,mec_center,14,0,2712.2560385837915,2712.2560385837915,0.0,0,0,19.79945858499472,0,9404.743634999999,1866.3433010000008,188.5410670000001,160.82180900000003,612.451207000002,0.0,development32,1,0,0,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_0001.json,5c6817d2ab570e256192d891471eb5173745fd003f307c41b4aa25a4b924041b,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_0001.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0001.json,99201e9ac30636796bb6e33ceb565d2dc4df465af4a88dbc50351b04bde0aa1c,107.0,9529.98793,635.3325286666666,12232.901019,2280.1011120000003,2075.1011120000003,71,60,45,505,6410.743634999998,2525.0,469.0,87.0,435.0,77.0,193.0,965.0,185.0,225.0,1125.0,207.0,52b50214a9ba5aa89d0282a2fa4da8fd320b72528cb07ae5cf80a57ebf2d5652,True
1,5e2536d8b7513c70b79565acbd5a25ca4b6dcfdbcf5878e70925b89055b1a401,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1_refresh,FULL_CLEAR,user_exit,15,15,1.0,,748.3844019333334,11225.766029,41083.830138916404,3.0307663999992656,cpu,0,0,15,0,4,496,454,c016182ec3774b8fefcfe9bdfd3edeab4368bb2b74068722d851af24e8174cac,cc3a8fbbde8b5e8b9f6a5a6a3dd6ffba78eaf7c849d36cafeb3d198a0ff50ce5,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,12,recovered_practice_engine_local,grid_v1,mec_center,15,0,2838.7241480549837,2838.7241480549837,0.0,0,0,18.93784844242901,0,8721.719754000002,1294.8141770000007,566.4872699999996,0.0,642.7448279999995,0.0,development32,1,1,0,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_refresh_0001.json,2a0d399aafc9b4cb00feef2a0a282d57718cb6fc6ae2aaac7e41ff988df11f03,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_refresh_0001.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0001.json,99201e9ac30636796bb6e33ceb565d2dc4df465af4a88dbc50351b04bde0aa1c,107.0,10399.26157,693.2841046666667,11225.766029,709.4266490000009,516.4266490000009,24,15,45,476,5899.719754000001,2380.0,442.0,55.0,275.0,49.0,196.0,980.0,195.0,225.0,1125.0,198.0,b101e71cdfa3d0987ea9a06a633251808ca0c9f4102a6e07843f1fb6106e8310,True
1,5e2536d8b7513c70b79565acbd5a25ca4b6dcfdbcf5878e70925b89055b1a401,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1_unknown,FULL_CLEAR,user_exit,15,15,1.0,,815.3934012666667,12230.901019,44854.50508159387,2.816699499999231,cpu,1,296,36,22,3,529,477,1c1f474d09cf74b3e2613393a85ead559e23f6ab533715c54b651678b902c82b,cc3a8fbbde8b5e8b9f6a5a6a3dd6ffba78eaf7c849d36cafeb3d198a0ff50ce5,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,12,recovered_practice_engine_local,grid_v1,mec_center,14,0,2712.2560385837915,2712.2560385837915,0.0,0,0,19.79945858499472,0,9404.743634999999,1864.3433010000008,188.5410670000001,160.82180900000003,612.451207000002,0.0,development32,1,0,1,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_unknown_0001.json,9801c56c6ec7b09a1091dbd20764c959a201fc3bb04486a5e1339d7b3d9fc21d,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_unknown_0001.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0001.json,99201e9ac30636796bb6e33ceb565d2dc4df465af4a88dbc50351b04bde0aa1c,107.0,9527.98793,635.1991953333333,12230.901019,2280.1011120000003,2075.1011120000003,71,60,45,505,6410.743634999998,2525.0,469.0,87.0,435.0,65.0,193.0,965.0,192.0,225.0,1125.0,212.0,5b054457ba20a4fd693125e8a0d82420b21eed9763ed86a8c789ce3031785a2a,True
1,5e2536d8b7513c70b79565acbd5a25ca4b6dcfdbcf5878e70925b89055b1a401,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1_refresh_unknown,FULL_CLEAR,user_exit,15,15,1.0,,748.3177352666667,11224.766029,41083.830138916404,2.8752141000004485,cpu,0,0,15,0,4,496,453,115f6b83ca0895b97018e3b1694859065b4185026584c2df3cf860b5d07484de,cc3a8fbbde8b5e8b9f6a5a6a3dd6ffba78eaf7c849d36cafeb3d198a0ff50ce5,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,12,recovered_practice_engine_local,grid_v1,mec_center,15,0,2838.7241480549837,2838.7241480549837,0.0,0,0,18.93784844242901,0,8722.719754000002,1292.8141770000007,566.4872699999996,0.0,642.7448279999995,0.0,development32,1,1,1,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_refresh_unknown_0001.json,6582f56e84321f3ba9274fcaec12ffd0ba08ac202b9075c2fcd6c29bdb230fa3,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_refresh_unknown_0001.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0001.json,99201e9ac30636796bb6e33ceb565d2dc4df465af4a88dbc50351b04bde0aa1c,107.0,10399.26157,693.2841046666667,11224.766029,709.4266490000009,516.4266490000009,24,15,45,476,5899.719754000001,2380.0,443.0,55.0,275.0,40.0,196.0,980.0,195.0,225.0,1125.0,208.0,fa51671f51ed73151f63fda0cf76b44d05f26b1109e47de8399e4a9501b04bb7,True
2,e829efac185da7330aed6a4a453a1b3574fa4e7f751bd9fc9762914b4814bf40,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,1063.2490053636363,11695.739059,40198.69529287392,1.8776342999990447,cpu,0,0,11,0,0,608,561,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,2668bd66d9ff0f926c8734f8c11ddb5a5bb6a6c06d8546821287da9aef1df10c,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,8,recovered_practice_engine_local,grid_v1,mec_center,10,1,974.2940977196836,974.2940977196836,0.0,0,0,17.93848971507811,0,9962.252202999998,1483.628036,0.0,0.0,249.85882000000038,0.0,development32,2,0,0,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_0002.json,b0d2ea16f09c0ac8e17b245bf3a0b0a70a79e119048c171cb35982048ee88a94,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_0002.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0002.json,0bf8028bba9c137e2fece35b71649b24b56cc4ee6334006233f417ff85600251,59.0,7891.992018,717.4538198181818,11695.739059,3509.6340519999994,3485.6340519999994,157,153,45,590,6460.252202999999,2950.0,552.0,54.0,270.0,42.0,131.0,655.0,131.0,405.0,2025.0,379.0,2d60f8ff07ae9950985306afbd9c93178c555a3bc30afa7ea0f590493d13dc75,True
2,e829efac185da7330aed6a4a453a1b3574fa4e7f751bd9fc9762914b4814bf40,sha256_discovery_design,4,P4_diagnostic_v1_grid_v1_refresh,FULL_CLEAR,user_exit,11,11,1.0,,980.3056176363636,10783.361794,36046.80896379025,2.2048766000007163,cpu,0,0,11,0,0,593,554,c016182ec3774b8fefcfe9bdfd3edeab4368bb2b74068722d851af24e8174cac,2668bd66d9ff0f926c8734f8c11ddb5a5bb6a6c06d8546821287da9aef1df10c,12c407c5d4d7924e0f973f40b0b6bf28e1705a21d1dc975f7dce7445a7b00a33,8,recovered_practice_engine_local,grid_v1,mec_center,10,1,904.0246140509903,904.0246140509903,0.0,0,0,16.71963849166022,0,9355.810363,1191.7465080000015,0.0,0.0,235.80492299999833,0.0,development32,2,1,0,J:\2026B_experiments\discovery_20260911\development32\q4\rows\P4_diagnostic_v1_grid_v1_refresh_0002.json,5776b427c266665d7a854daa2b356653390db335ef22709502d1be94a23678a2,J:\2026B_experiments\discovery_20260911\development32\q4\traces\P4_diagnostic_v1_grid_v1_refresh_0002.json.gz,J:\2026B_experiments\discovery_20260911\development32\scenes\q4_0002.json,0bf8028bba9c137e2fece35b71649b24b56cc4ee6334006233f417ff85600251,59.0,5666.184966,515.1077241818182,10783.361794,4635.228508,2427.587581,235,108,45,580,5910.8103630000005,2900.0,545.0,76.0,380.0,71.0,99.0,495.0,99.0,405.0,2025.0,375.0,15000eb973acc352c5c279682c52112b98c43f3a07041bea871e81bca1e5975b,True
