cohort,seed,seed_hex,derivation_index,candidate,route_refresh,unknown_first,valid_pair,baseline_status,candidate_status,mean_time_per_source_delta,last_source_first_seen_s_delta,last_source_first_seen_per_source_s_delta,final_discovery_measure_s_delta,post_last_seen_discovery_s_delta,post_all_cleared_discovery_s_delta,stage_discovery_s_delta,discovery_travel_s_delta,discovery_measure_s_delta,discovery_switch_s_delta,discovery_measures_delta,distance_delta,comparison,last_discovery_comparison
development32,0,151a16298157648bfcb523715bd4d5fdbe3bd7d55a263e734f1874f300eeb1f4,0,P4_diagnostic_v1_grid_v1_refresh,1,0,True,FULL_CLEAR,FULL_CLEAR,-93.47085250000009,-3645.668237,-364.5668237,-934.708525,2504.7203550000004,1053.1461249999993,-745.9207379999989,-375.9207379999998,-310.0,-60.0,-62,-2768.5426380801728,win,win
development32,0,151a16298157648bfcb523715bd4d5fdbe3bd7d55a263e734f1874f300eeb1f4,0,P4_diagnostic_v1_grid_v1_unknown,0,1,True,FULL_CLEAR,FULL_CLEAR,-0.2999999999999545,-2.0,-0.20000000000004547,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,win,win
development32,0,151a16298157648bfcb523715bd4d5fdbe3bd7d55a263e734f1874f300eeb1f4,0,P4_diagnostic_v1_grid_v1_refresh_unknown,1,1,True,FULL_CLEAR,FULL_CLEAR,-93.77085250000005,-3654.668237,-365.46682369999996,-937.708525,2510.7203550000004,1053.1461249999993,-745.9207379999989,-375.9207379999998,-310.0,-60.0,-62,-2768.5426380801728,win,win
development32,1,5e2536d8b7513c70b79565acbd5a25ca4b6dcfdbcf5878e70925b89055b1a401,1,P4_diagnostic_v1_grid_v1_refresh,1,0,True,FULL_CLEAR,FULL_CLEAR,-67.14233266666668,869.2736400000013,57.95157600000016,-1007.1349900000005,-1570.6744629999994,-1558.6744629999994,-683.0238809999973,-511.02388099999735,-145.0,-27.0,-29,-3770.6749426774622,win,loss
development32,1,5e2536d8b7513c70b79565acbd5a25ca4b6dcfdbcf5878e70925b89055b1a401,1,P4_diagnostic_v1_grid_v1_unknown,0,1,True,FULL_CLEAR,FULL_CLEAR,-0.13333333333332575,-2.0,-0.13333333333332575,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,win,win
development32,1,5e2536d8b7513c70b79565acbd5a25ca4b6dcfdbcf5878e70925b89055b1a401,1,P4_diagnostic_v1_grid_v1_refresh_unknown,1,1,True,FULL_CLEAR,FULL_CLEAR,-67.2089993333334,869.2736400000013,57.95157600000016,-1008.1349900000005,-1570.6744629999994,-1558.6744629999994,-682.0238809999973,-511.02388099999735,-145.0,-26.0,-29,-3770.6749426774622,win,loss
development32,2,e829efac185da7330aed6a4a453a1b3574fa4e7f751bd9fc9762914b4814bf40,2,P4_diagnostic_v1_grid_v1_refresh,1,0,True,FULL_CLEAR,FULL_CLEAR,-82.9433877272727,-2225.807052,-202.34609563636366,-912.3772649999992,1125.5944560000007,-1058.0464709999997,-606.4418399999977,-549.4418399999986,-50.0,-7.0,-10,-4151.886329083667,win,win
development32,2,e829efac185da7330aed6a4a453a1b3574fa4e7f751bd9fc9762914b4814bf40,2,P4_diagnostic_v1_grid_v1_unknown,0,1,True,FULL_CLEAR,FULL_CLEAR,-0.18181818181824383,-7.0,-0.636363636363626,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,win,win
development32,2,e829efac185da7330aed6a4a453a1b3574fa4e7f751bd9fc9762914b4814bf40,2,P4_diagnostic_v1_grid_v1_refresh_unknown,1,1,True,FULL_CLEAR,FULL_CLEAR,-83.03429681818182,-2231.807052,-202.89155018181827,-913.3772649999992,1131.5944560000007,-1058.0464709999997,-606.4418399999977,-549.4418399999986,-50.0,-7.0,-10,-4151.886329083667,win,win
development32,3,d6535e992d63a314c78c0531627f233bfec36e90cba9c56e989800ca49145f79,3,P4_diagnostic_v1_grid_v1_refresh,1,0,True,FULL_CLEAR,FULL_CLEAR,-141.85521845454548,-4757.394180000001,-432.4903800000001,-1560.4074029999992,3222.2085429999997,2820.2186439999996,-1313.416108000003,-637.4161080000031,-565.0,-111.0,-113,-4272.037015066642,win,win
