seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,260.2759700666667,3904.139551,15990.697747888986,0.5124402999990707,cpu,0,0,15,0,0,106,101,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,67d5b8e9c1bd64b99f561877a6bcf68d460522292c9ffa243333ab00f1b8e97b,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1875.99834,1505.6515259999994,0.0,0.0,522.4896850000007,0.0
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,357.7748098571428,5008.847338,21499.236700852474,0.5541002999998454,cpu,0,0,14,0,0,108,99,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,6504988f67731f6f53a8892dc59f16815ae82c90fd460836d49f0075213c7b41,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1945.821974,2663.8689010000003,0.0,0.0,399.15646299999946,0.0
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,313.39484015384613,4074.132922,16765.664614929265,0.5338431000000128,cpu,0,0,13,0,0,111,101,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,fa0d6996b45fb0cb89765d4a8804c4f81649adc707dcd57d318ed0c253fc39b2,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1609.7828290000007,2060.009825,0.0,0.0,404.3402679999993,4.547473508864641e-13
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,332.53949341666663,3990.473921,16502.369594499127,0.5607488000005105,cpu,0,0,12,0,0,107,95,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,27625219ae30d42518a0d3d19a21a238b9bee74c23228226a439fa791d411c13,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1582.313284,2131.4736460000004,0.0,0.0,276.68699099999964,0.0
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,375.244212,4127.686332,16863.43166042197,0.4604156999994302,cpu,0,0,11,0,0,118,110,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,922dfbf24fd3fb84805fab8054f5806bd6632eacd9f8c56a2c71fc421f468d0b,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,2127.334321,1637.496728999999,0.0,0.0,362.8552820000013,0.0
5,5555555555555555555555555555555555555555555555555555555555555555,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,304.61398584615387,3959.981816,16169.909065681184,0.4263544000004913,cpu,0,0,13,0,0,111,106,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,272c78947f468818b77a9dceeba71bfb434b723fc7e4bd538672a0dac9a63188,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1632.6547620000001,2048.9080859999995,0.0,0.0,278.4189680000003,0.0
6,0000000000000000000000000000000000000000000000000000000000000001,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,381.8998779090909,4200.898657,17419.49328895423,0.5285715999998502,cpu,0,0,11,0,0,112,102,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,dd5b673e0658725ae31d48c8f8005cb08756242f86ec8d90a0c778aa5f964965,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1690.1846959999998,2238.0419840000004,0.0,0.0,272.67197699999963,0.0
7,0000000000000000000000000000000000000000000000000000000000000002,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,342.6904363,3426.904363,13194.521819223331,0.34811640000043553,cpu,0,0,10,0,0,124,118,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,0f15777b9f8ce3559d8ef6e661c5a994b025270e5723338bdfd56edcac892414,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1464.2439380000003,1518.9738230000005,0.0,0.0,443.6866019999993,0.0
8,0000000000000000000000000000000000000000000000000000000000000004,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,306.160853,4898.573648,21177.868250070398,0.6029374000008829,cpu,0,0,16,0,0,99,88,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,bf2ea284830da4f97724848567a7669746a87e60e18056842fd6315379f1ab0f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1958.4699609999996,2262.648384,0.0,0.0,677.4553029999997,0.0
9,0000000000000000000000000000000000000000000000000000000000000008,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,255.880137125,4094.082194,16910.410971234774,0.6293389999991632,cpu,0,0,16,0,0,107,97,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,0d7fbbbc5f8736c471ca265e7378208c7ee7a6e7eeedd13caa4a7f08821f164e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1307.5528959999997,2275.500751,0.0,0.0,511.0285470000003,0.0
