seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s,validation_errors,valid_full_clear
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,4,P4_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,1528.1031195333335,22921.546793,95107.73396563908,1.5606752000003326,cpu,4,820,318,307,0,494,446,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,64d715059fd8d58ef3cd16ff06b767341474d33d91638db817b4118a9cf3ae66,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v1,9056.161513000012,1262.8976319999929,0.0,12236.091259999997,366.39638799999966,0.0,[],True
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,861.2874757333334,12919.312136,46086.560663656004,1.612817899998845,cpu,4,820,252,241,0,494,446,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,64d715059fd8d58ef3cd16ff06b767341474d33d91638db817b4118a9cf3ae66,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v1,9056.852902000002,1262.8976319999997,0.0,2233.1652139999987,366.3963879999999,0.0,[],True
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,755.3364340666667,11330.046511,41515.23254489037,1.82784250000077,cpu,0,0,15,0,6,500,452,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,64d715059fd8d58ef3cd16ff06b767341474d33d91638db817b4118a9cf3ae66,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v1,9056.785202000003,1263.5705249999987,546.735716,0.0,462.9550679999995,0.0,[],True
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,4,P4_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,756.1142978571428,10585.60017,37823.00084624861,1.1397361999988789,cpu,0,0,14,0,0,498,461,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,c42c26155be3407e68f839a18d92edcd9551ba42e3acc4068f96e1583f130e96,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,4,recovered_practice_engine_local,grid_v1,8826.517917999998,1082.2049610000006,0.0,0.0,676.8772909999998,1.8189894035458565e-12,[],True
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,756.1142978571428,10585.60017,37823.00084624861,1.1678884000011749,cpu,0,0,14,0,0,498,461,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,c42c26155be3407e68f839a18d92edcd9551ba42e3acc4068f96e1583f130e96,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,4,recovered_practice_engine_local,grid_v1,8826.517917999998,1082.2049610000006,0.0,0.0,676.8772909999998,1.8189894035458565e-12,[],True
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,756.1142978571428,10585.60017,37823.00084624861,1.1387018999994325,cpu,0,0,14,0,0,498,461,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,c42c26155be3407e68f839a18d92edcd9551ba42e3acc4068f96e1583f130e96,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,4,recovered_practice_engine_local,grid_v1,8826.517917999998,1082.2049610000006,0.0,0.0,676.8772909999998,1.8189894035458565e-12,[],True
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,4,P4_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,845.024532,10985.318916,39151.59458097416,1.098485399999845,cpu,0,0,13,0,0,522,480,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,251c4c9adcfb0bbdbea393349ba9878e8d9aa180c52db877c382fae94d4545f5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,3,recovered_practice_engine_local,grid_v1,9153.276306,1130.2395729999994,0.0,0.0,701.8030369999999,1.8189894035458565e-12,[],True
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,845.024532,10985.318916,39151.59458097416,1.0907250000000204,cpu,0,0,13,0,0,522,480,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,251c4c9adcfb0bbdbea393349ba9878e8d9aa180c52db877c382fae94d4545f5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,3,recovered_practice_engine_local,grid_v1,9153.276306,1130.2395729999994,0.0,0.0,701.8030369999999,1.8189894035458565e-12,[],True
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,845.024532,10985.318916,39151.59458097416,1.0912308000006306,cpu,0,0,13,0,0,522,480,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,251c4c9adcfb0bbdbea393349ba9878e8d9aa180c52db877c382fae94d4545f5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,3,recovered_practice_engine_local,grid_v1,9153.276306,1130.2395729999994,0.0,0.0,701.8030369999999,1.8189894035458565e-12,[],True
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,4,P4_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,1002.8143435000001,12033.772122,44363.86060129402,1.5372253999994427,cpu,0,0,12,0,0,526,471,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,899a1c2ab7b84464f32ba71366100d7f16923333cf3055d22582e10e734b86fb,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v1,10081.684589,1591.5029680000011,0.0,0.0,360.584564999999,0.0,[],True
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,1002.8143435000001,12033.772122,44363.86060129402,1.5736998000011226,cpu,0,0,12,0,0,526,471,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,899a1c2ab7b84464f32ba71366100d7f16923333cf3055d22582e10e734b86fb,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v1,10081.684589,1591.5029680000011,0.0,0.0,360.584564999999,0.0,[],True
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,1002.8143435000001,12033.772122,44363.86060129402,1.570909500000198,cpu,0,0,12,0,0,526,471,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,899a1c2ab7b84464f32ba71366100d7f16923333cf3055d22582e10e734b86fb,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v1,10081.684589,1591.5029680000011,0.0,0.0,360.584564999999,0.0,[],True
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,byte_pattern,4,P4_current_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,1250.2471631818182,13752.718795,52248.59397229435,0.8871030999998766,cpu,2,650,80,71,0,514,471,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,0ba3d587e9197f09f3310d3e633fd1d0ae24fe643d6b3ef24e6827e4bb58e362,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,2,recovered_practice_engine_local,grid_v1,9279.636867000001,1046.0535809999997,0.0,3229.367764,197.66058300000003,1.8189894035458565e-12,[],True
