cohort,problem,seed,seed_hex,baseline,candidate,baseline_s_per_source,candidate_s_per_source,delta_s_per_source,comparison,total_time_delta_s,distance_delta_m,certificate_travel_delta_m,discovery_delta_s,active_localization_delta_s,diagnostic_delta_s,optical_fallback_delta_s,certified_clear_delta_s
development100,4,0,0000000000000000000000000000000000000000000000000000000000000000,mec_center,nccp,755.3364340666667,771.9857112666667,16.64927720000003,loss,249.73915800000032,1223.6957782718455,-90.36841125978549,-5.181295000002137,3.849800000001096,269.1443360000004,0.0,-18.07368299999939
development100,4,0,0000000000000000000000000000000000000000000000000000000000000000,mec_center,segment_entry,755.3364340666667,772.0260374000001,16.689603333333366,loss,250.3440499999997,1226.7202483379297,-89.10289125631812,-4.476202000001649,3.5188040000025467,269.1220259999999,0.0,-17.820578000002
development100,4,0,0000000000000000000000000000000000000000000000000000000000000000,nccp,segment_entry,771.9857112666667,772.0260374000001,0.040326133333337566,loss,0.6048919999993814,3.0244700660841772,1.2655200034673726,0.7050930000004882,-0.33099599999854945,-0.022310000000516084,0.0,0.2531049999973902
development100,4,1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,mec_center,nccp,756.1142978571428,754.858523,-1.2557748571427965,win,-17.580847999999605,-87.90423258097144,-122.0013761615437,5.139392000000953,1.68003499999827,0.0,0.0,-24.400274999998146
development100,4,1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,mec_center,segment_entry,756.1142978571428,754.7460155,-1.368282357142789,win,-19.1559529999995,-95.77976334845152,-119.09385000352177,3.6753480000024865,0.9874679999995806,0.0,0.0,-23.818768999999747
development100,4,1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,nccp,segment_entry,754.858523,754.7460155,-0.11250749999999243,win,-1.575104999999894,-7.875530767480086,2.9075261580219376,-1.4640439999984665,-0.6925669999986894,0.0,0.0,0.5815059999983987
development100,4,2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,mec_center,nccp,845.024532,843.1854793846154,-1.8390526153846167,win,-23.90768399999979,-119.53842682074901,-104.63771776526846,-0.6648009999989881,-2.3153409999993073,0.0,0.0,-20.92754199999922
development100,4,2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,mec_center,segment_entry,845.024532,843.3300099999999,-1.69452200000012,win,-22.028786000000764,-110.14394553613965,-98.1784755684248,-0.15860299999985727,-2.2344899999998233,0.0,0.0,-19.63569299999972
development100,4,2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,nccp,segment_entry,843.1854793846154,843.3300099999999,0.14453061538449674,loss,1.878897999999026,9.394481284609355,6.459242196843661,0.5061979999991308,0.08085099999948397,0.0,0.0,1.2918489999995018
development100,4,3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,mec_center,nccp,1002.8143435000001,1000.5729850833333,-2.241358416666799,win,-26.896301000000676,-134.4815037111257,-129.43342192636305,-0.38881700000274577,-0.6207990000018526,0.0,0.0,-25.886684999996987
development100,4,3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,mec_center,segment_entry,1002.8143435000001,1000.6411293333334,-2.1732141666666394,win,-26.078569999999672,-130.39285428729636,-125.60076861790299,-0.1084019999980228,-0.8500130000034005,0.0,0.0,-25.120154999997453
