problem,seed,seed_hex,source_seed,baseline,candidate,baseline_status,candidate_status,baseline_time_per_source,candidate_time_per_source,time_delta_s_per_source,comparison,actual_polygon_clear_travel_delta_m,candidate_same_state_counterfactual_saving_m,whole_run_distance_delta_m,baseline_valid_full_clear,baseline_invalid_evidence,baseline_total,baseline_cleared,baseline_virtual_time_s,baseline_distance,baseline_polygon_clear_travel_m,baseline_same_state_clear_saving_m,baseline_polygon_certified_count,baseline_near_certified_count,baseline_polygon_zero_move_count,baseline_nccp_fallback_count,baseline_current_position_certified_count,baseline_current_position_certified_case_count,baseline_zero_move_clear_count,baseline_zero_move_clear_case_count,baseline_minimum_same_state_saving_m,candidate_valid_full_clear,candidate_invalid_evidence,candidate_total,candidate_cleared,candidate_virtual_time_s,candidate_distance,candidate_polygon_clear_travel_m,candidate_same_state_clear_saving_m,candidate_polygon_certified_count,candidate_near_certified_count,candidate_polygon_zero_move_count,candidate_nccp_fallback_count,candidate_current_position_certified_count,candidate_current_position_certified_case_count,candidate_zero_move_clear_count,candidate_zero_move_clear_case_count,candidate_minimum_same_state_saving_m
3,0,0000000000000000000000000000000000000000000000000000000000000000,0,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,260.2759700666667,259.05276573333333,-1.2232043333333422,win,-117.15764715293562,125.81174916320498,-91.74033735609919,True,False,15,15,3904.139551,15990.697747888986,2237.4484282566946,0.0,15,0,0,0,1,1,0,0,0.0,True,False,15,15,3885.791486,15898.957410532887,2120.290781103759,125.81174916320498,15,0,1,0,1,1,1,1,0.2175244680056494
3,1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,1,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,357.7748098571428,355.8509979285714,-1.9238119285714106,win,-128.2812808434967,127.04984257806959,-134.6668451920923,True,False,14,14,5008.847338,21499.236700852474,1645.7823167135382,0.0,14,0,0,0,0,0,0,0,0.0,True,False,14,14,4981.913971,21364.569855660382,1517.5010358700415,127.04984257806959,14,0,0,0,0,0,0,0,1.7660292225745025
3,2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,2,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,313.39484015384613,311.02485015384616,-2.369989999999973,win,-119.1562925005203,124.15859194244959,-154.04935348015715,True,False,13,13,4074.132922,16765.664614929265,1696.7013500561316,0.0,13,0,0,0,0,0,0,0,0.0,True,False,13,13,4043.323052,16611.615261449107,1577.5450575556113,124.15859194244959,13,0,0,0,0,0,0,0,1.7154986630489475
3,3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,3,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,332.53949341666663,329.82300200000003,-2.7164914166665994,win,-142.77161866893698,138.41931720039838,-162.98946351397717,True,False,12,12,3990.473921,16502.369594499127,1083.4349449042431,0.0,12,0,0,0,1,1,0,0,0.0,True,False,12,12,3957.876024,16339.38013098515,940.6633262353062,138.41931720039838,12,0,1,0,1,1,1,1,3.755162436178182
3,4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,4,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,375.244212,373.1387581818182,-2.105453818181786,win,339.4748984468433,99.34238265278435,-90.7999526530075,True,False,11,11,4127.686332,16863.43166042197,1539.2764043839552,0.0,11,0,0,0,0,0,0,0,0.0,True,False,11,11,4104.52634,16772.631707768964,1878.7513028307985,99.34238265278435,11,0,0,0,0,0,0,0,0.6441036303503438
3,5,5555555555555555555555555555555555555555555555555555555555555555,5,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,304.61398584615387,303.04766561538463,-1.5663202307692359,win,-149.0808702791661,149.08087027916622,-101.81079711974962,True,False,13,13,3959.981816,16169.909065681184,1067.094830453963,0.0,13,0,0,0,1,1,0,0,0.0,True,False,13,13,3939.619653,16068.098268561434,918.0139601747968,149.08087027916622,13,0,1,0,1,1,1,1,5.307267167598674
3,6,0000000000000000000000000000000000000000000000000000000000000001,6,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,381.8998779090909,378.17520581818184,-3.7246720909090527,win,1011.6284576809694,130.50292463447346,-249.85696756570906,True,False,11,11,4200.898657,17419.49328895423,1088.3598919945712,0.0,11,0,0,0,0,0,0,0,0.0,True,False,11,11,4159.927264,17169.63632138852,2099.9883496755406,130.50292463447346,11,0,0,0,0,0,0,0,1.6483310070151447
3,7,0000000000000000000000000000000000000000000000000000000000000002,7,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,342.6904363,341.51245009999997,-1.1779862000000207,win,-91.47549621251255,91.45546299356226,-58.89931028598767,True,False,10,10,3426.904363,13194.521819223331,1968.433010026379,0.0,10,0,0,0,0,0,0,0,0.0,True,False,10,10,3415.124501,13135.622508937344,1876.9575138138664,91.45546299356226,10,0,0,0,0,0,0,0,2.530901442606705
3,8,0000000000000000000000000000000000000000000000000000000000000004,8,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,306.160853,304.9782560625,-1.1825969374999659,win,-165.28590263542992,160.77333888738008,-94.60775034113976,True,False,16,16,4898.573648,21177.868250070398,2987.2765227881823,0.0,16,0,0,0,0,0,0,0,0.0,True,False,16,16,4879.652097,21083.26049972926,2821.9906201527524,160.77333888738008,16,0,0,0,0,0,0,0,0.4932426647868624
3,9,0000000000000000000000000000000000000000000000000000000000000040,12,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,291.22918473333334,290.0688836,-1.1603011333333484,win,-145.39180208403332,148.5803386843958,-87.02257561638908,True,False,15,15,4368.437771,18477.188862051677,2649.5479635715255,0.0,15,0,0,0,0,0,0,0,0.0,True,False,15,15,4351.033254,18390.166286435287,2504.156161487492,148.5803386843958,15,0,0,0,0,0,0,0,0.6647338240273939
3,10,0000000000000000000000000000000000000000000000000000000000001000,18,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,374.1362158,359.83422770000004,-14.30198809999996,win,218.4602608688765,90.45046850618499,-780.0994010162431,True,False,10,10,3741.362158,15251.810796361231,1638.79623263128,0.0,9,1,0,0,1,1,1,1,0.0,True,False,10,10,3598.342277,14471.711395344988,1857.2564935001565,90.45046850618499,9,1,1,0,1,1,2,1,2.4683766001436993
3,11,0000000000000000000000000000000000000000000000000000000000040000,24,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,263.74804675,262.008264875,-1.7397818750000056,win,-148.37340666877435,149.28669832123734,-139.18256160882083,True,False,16,16,4219.968748,17654.843741431305,2886.988682562397,0.0,15,1,0,0,0,0,1,1,0.0,True,False,16,16,4192.132238,17515.661179822484,2738.6152758936228,149.28669832123734,15,1,0,0,0,0,1,1,1.2100742800356556
3,12,0000000000000000000000000000000000000000000000000000000001000000,30,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,266.573534375,265.144404875,-1.4291294999999877,win,-127.1234636533668,122.91911438139114,-114.33037465833331,True,False,16,16,4265.17655,17740.882753129586,3594.4255809232127,0.0,15,1,0,0,1,1,1,1,0.0,True,False,16,16,4242.310478,17626.552378471253,3467.302117269846,122.91911438139114,15,1,1,0,1,1,2,1,0.17311731463189517
3,13,0000000000000000000000000000000000000000000000000000000040000000,36,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,259.6589266428571,257.7876645,-1.8712621428571197,win,-144.4016250633358,144.25968293392637,-130.98834963518857,True,False,14,14,3635.224973,14581.124858722094,1556.3967186300445,0.0,14,0,0,0,0,0,0,0,0.0,True,False,14,14,3609.027303,14450.136509086906,1411.9950935667086,144.25968293392637,14,0,0,0,0,0,0,0,0.36875013187273
3,14,0000000000000000000000000000000000000000000000000000001000000000,42,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,336.9791564615385,335.4071316153846,-1.5720248461538517,win,-104.65549424906521,100.90841553959258,-102.18162014568225,True,False,13,13,4380.729034,18403.645163491085,1548.6581831127892,0.0,13,0,0,0,2,1,0,0,0.0,True,False,13,13,4360.292711,18301.463543345402,1444.002688863724,100.90841553959258,13,0,2,0,2,1,2,1,0.9496213686643955
3,15,0000000000000000000000000000000000000000000000000000040000000000,48,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,311.0974622857143,309.3411349285714,-1.7563273571428795,win,-128.21507567384788,132.80612565472515,-122.94290814061969,True,False,14,14,4355.364472,18391.82234785918,2082.5342622888948,0.0,14,0,0,0,0,0,0,0,0.0,True,False,14,14,4330.775889,18268.87943971856,1954.3191866150469,132.80612565472515,14,0,0,0,0,0,0,0,1.7326559036437743
3,16,0000000000000000000000000000000000000000000000000001000000000000,54,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,324.2062354545455,322.5348681818182,-1.6713672727273092,win,-123.40320899349786,123.17116932002,-91.92518595072215,True,False,11,11,3566.26859,13881.342940748778,454.41688963078025,0.0,11,0,0,0,1,1,0,0,0.0,True,False,11,11,3547.88355,13789.417754798056,331.0136806372824,123.17116932002,11,0,1,0,1,1,1,1,3.6734563119252925
3,17,0000000000000000000000000000000000000000000000000040000000000000,60,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,312.8062658,310.9475261333333,-1.8587396666666791,win,-171.6064079888081,173.80560788425822,-139.40547267374131,True,False,15,15,4692.093987,19900.46992243752,1408.7310553876214,0.0,15,0,0,0,0,0,0,0,0.0,True,False,15,15,4664.212892,19761.06444976378,1237.1246473988133,173.80560788425822,15,0,0,0,0,0,0,0,3.8674429624834943
3,18,0000000000000000000000000000000000000000000000001000000000000000,66,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,308.0999425,306.96938766666665,-1.130554833333349,win,-95.46828007689487,89.90529514855325,-67.83330442786428,True,False,12,12,3697.19931,14970.996572384134,2047.9344997580438,0.0,12,0,0,0,0,0,0,0,0.0,True,False,12,12,3683.632652,14903.16326795627,1952.466219681149,89.90529514855325,12,0,0,0,0,0,0,0,0.7296590817249466
