seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,clearance_point,polygon_certified_count,near_certified_count,polygon_clear_travel_m,polygon_clear_mec_travel_m,same_state_clear_saving_m,polygon_zero_move_count,nccp_fallback_count,max_clearance_vertex_distance,certificate_audit_violations,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,755.3364340666667,11330.046511,41515.23254489037,1.8314010000030976,cpu,0,0,15,0,6,500,452,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,64d715059fd8d58ef3cd16ff06b767341474d33d91638db817b4118a9cf3ae66,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,12,recovered_practice_engine_local,grid_v1,mec_center,15,0,1939.7753349141053,1939.7753349141053,0.0,0,0,17.793891763650482,0,9056.785202000003,1263.5705249999987,546.735716,0.0,462.9550679999995,0.0
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,15,15,1.0,,771.9857112666667,11579.785669,42738.92832316222,1.8409949999986566,cpu,0,0,15,0,7,501,452,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,64d715059fd8d58ef3cd16ff06b767341474d33d91638db817b4118a9cf3ae66,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,12,recovered_practice_engine_local,grid_v1,nccp,15,0,1849.4069236543198,1985.1441881578262,135.73726450350605,1,0,19.998999999999995,0,9051.603907,1267.4203249999998,815.8800520000004,0.0,444.88138500000014,0.0
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,756.1142978571428,10585.60017,37823.00084624861,1.0895976000028895,cpu,0,0,14,0,0,498,461,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,c42c26155be3407e68f839a18d92edcd9551ba42e3acc4068f96e1583f130e96,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,4,recovered_practice_engine_local,grid_v1,mec_center,13,1,3034.3864570851447,3034.3864570851447,0.0,0,0,18.43714014766126,0,8826.517917999998,1082.2049610000006,0.0,0.0,676.8772909999998,1.8189894035458565e-12
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,14,14,1.0,,754.858523,10568.019322,37735.096613667636,1.096482000000833,cpu,0,0,14,0,0,498,461,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,c42c26155be3407e68f839a18d92edcd9551ba42e3acc4068f96e1583f130e96,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,4,recovered_practice_engine_local,grid_v1,nccp,13,1,2912.385080923601,3015.6082003093443,103.22311938574408,0,0,19.998999999999995,0,8831.657309999999,1083.8849959999989,0.0,0.0,652.4770160000016,0.0
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,845.024532,10985.318916,39151.59458097416,1.019380599995202,cpu,0,0,13,0,0,522,480,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,251c4c9adcfb0bbdbea393349ba9878e8d9aa180c52db877c382fae94d4545f5,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,3,recovered_practice_engine_local,grid_v1,mec_center,13,0,3184.0151922103564,3184.0151922103564,0.0,0,0,19.904506133391266,0,9153.276306,1130.2395729999994,0.0,0.0,701.8030369999999,1.8189894035458565e-12
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,13,13,1.0,,843.1854793846154,10961.411232,39032.05615415341,1.0314004000028945,cpu,0,0,13,0,0,522,480,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,251c4c9adcfb0bbdbea393349ba9878e8d9aa180c52db877c382fae94d4545f5,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,3,recovered_practice_engine_local,grid_v1,nccp,13,0,3079.377474445088,3177.3225094641757,97.94503501908737,1,0,19.998999999999988,0,9152.611505,1127.924232,0.0,0.0,680.8754950000007,0.0
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,1002.8143435000001,12033.772122,44363.86060129402,1.4909474000014598,cpu,0,0,12,0,0,526,471,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,899a1c2ab7b84464f32ba71366100d7f16923333cf3055d22582e10e734b86fb,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,9,recovered_practice_engine_local,grid_v1,mec_center,12,0,1502.9228199519243,1502.9228199519243,0.0,0,0,16.185644333861692,0,10081.684589,1591.5029680000011,0.0,0.0,360.584564999999,0.0
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,12,12,1.0,,1000.5729850833333,12006.875821,44229.379097582896,1.4995501000012155,cpu,0,0,12,0,0,526,471,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,899a1c2ab7b84464f32ba71366100d7f16923333cf3055d22582e10e734b86fb,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,9,recovered_practice_engine_local,grid_v1,nccp,12,0,1373.4893980255613,1502.576630866561,129.08723284099943,0,0,19.998999999999985,0,10081.295771999998,1590.8821689999993,0.0,0.0,334.697880000002,1.8189894035458565e-12
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,1040.9426024545455,11450.368627,41581.84312948173,1.0079168000011123,cpu,1,15,15,5,5,519,472,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,0ba3d587e9197f09f3310d3e633fd1d0ae24fe643d6b3ef24e6827e4bb58e362,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,2,recovered_practice_engine_local,grid_v1,mec_center,10,0,864.9745517509268,864.9745517509268,0.0,0,0,13.088831289604958,0,9279.636867000001,1047.7111839999993,858.3579239999999,41.66774099999975,222.99491100000085,1.8189894035458565e-12
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,byte_pattern,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,11,11,1.0,,1039.188603090909,11431.074634,41485.373160220035,1.030191300000297,cpu,1,15,15,5,5,519,472,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,0ba3d587e9197f09f3310d3e633fd1d0ae24fe643d6b3ef24e6827e4bb58e362,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,2,recovered_practice_engine_local,grid_v1,nccp,10,0,771.9070397966847,872.5741887010157,100.66714890433096,1,0,19.998999999999995,0,9278.469271,1047.6224779999998,858.9337339999997,41.667741000000206,204.38141000000059,1.8189894035458565e-12
5,5555555555555555555555555555555555555555555555555555555555555555,byte_pattern,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,916.3122949230769,11912.059834,42285.29918378449,1.4157561999963946,cpu,0,0,13,0,4,572,530,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,a79c8923d199554195d161b8b3dfa2a8b0ad3a9ab817f5bcf7e98c54b38c89c8,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,5,recovered_practice_engine_local,grid_v1,mec_center,13,0,1879.7057164898688,1879.7057164898688,0.0,0,0,19.608265817234077,0,9636.42021,1495.0826070000007,339.61587599999984,0.0,440.9411410000001,0.0
5,5555555555555555555555555555555555555555555555555555555555555555,byte_pattern,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,13,13,1.0,,914.2283376153846,11884.968389,42149.841947241075,1.4288730999978725,cpu,0,0,13,0,4,572,530,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,a79c8923d199554195d161b8b3dfa2a8b0ad3a9ab817f5bcf7e98c54b38c89c8,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,5,recovered_practice_engine_local,grid_v1,nccp,13,0,1765.8576046812682,1880.0489319755616,114.19132729429313,2,0,19.999,0,9628.786667999999,1498.3943240000015,339.61587600000075,0.0,418.171520999998,0.0
6,0000000000000000000000000000000000000000000000000000000000000001,one_bit,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,987.966284909091,10867.629134,39363.145673125146,0.8029303000002983,cpu,0,0,11,0,0,497,455,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,ff05d590c52c9bf6f094a6d61792a77225f7e59afc9d5ca64fc41bf3960bfe31,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,6,recovered_practice_engine_local,grid_v1,mec_center,11,0,2415.716036644038,2415.716036644038,0.0,0,0,19.626938146384905,0,9099.458743,1230.0271849999995,0.0,0.0,538.1432060000005,1.8189894035458565e-12
6,0000000000000000000000000000000000000000000000000000000000000001,one_bit,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,11,11,1.0,,985.5698120909091,10841.267933,39231.33966737666,0.8089830000026268,cpu,0,0,11,0,0,497,455,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,ff05d590c52c9bf6f094a6d61792a77225f7e59afc9d5ca64fc41bf3960bfe31,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,6,recovered_practice_engine_local,grid_v1,nccp,11,0,2316.3654128591347,2408.4700816954523,92.10466883631803,0,0,19.999,0,9093.59556,1229.39929,0.0,0.0,518.2730830000003,0.0
7,0000000000000000000000000000000000000000000000000000000000000002,one_bit,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,1203.8154547,12038.154547,44435.77272625138,1.1508118999990984,cpu,0,0,10,0,6,526,471,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,b481d5f702fe44a026fdf81caaea5c483491c929f6b20dcd90b65267e6b9c9a2,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,10,recovered_practice_engine_local,grid_v1,mec_center,10,0,1134.1911032384166,1134.1911032384166,0.0,0,0,19.76586849547002,0,9610.819313,1301.054376,849.4426370000001,0.0,276.8382210000002,0.0
