seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,4,P4_current_grid_v0,FULL_CLEAR,user_exit,15,15,1.0,,1439.4016084666666,21591.024127,88980.12065353841,1.9321598000005906,cpu,4,733,283,272,0,494,446,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,64d715059fd8d58ef3cd16ff06b767341474d33d91638db817b4118a9cf3ae66,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v0,9056.161512999994,1262.897632000001,0.0,10905.568594000004,366.3963880000024,0.0
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,15,15,1.0,,828.3214361333333,12424.821542,44664.10769222759,1.9059102999999595,cpu,4,733,182,171,0,494,446,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,64d715059fd8d58ef3cd16ff06b767341474d33d91638db817b4118a9cf3ae66,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v0,9059.299584999999,1263.8289750000008,0.0,1735.2965940000006,366.39638799999943,0.0
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,15,15,1.0,,772.346941,11585.204115,42766.02055826179,2.5006116000004113,cpu,0,0,15,0,7,501,452,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,64d715059fd8d58ef3cd16ff06b767341474d33d91638db817b4118a9cf3ae66,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,12,recovered_practice_engine_local,grid_v0,9056.785202000001,1262.502806999999,795.3563700000001,0.0,470.55973600000027,0.0
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,4,P4_current_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,756.1142978571428,10585.60017,37823.00084624861,1.5271579000000202,cpu,0,0,14,0,0,498,461,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,c42c26155be3407e68f839a18d92edcd9551ba42e3acc4068f96e1583f130e96,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,4,recovered_practice_engine_local,grid_v0,8826.517917999998,1082.2049610000006,0.0,0.0,676.8772909999998,1.8189894035458565e-12
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,756.1142978571428,10585.60017,37823.00084624861,1.3886461999991297,cpu,0,0,14,0,0,498,461,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,c42c26155be3407e68f839a18d92edcd9551ba42e3acc4068f96e1583f130e96,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,4,recovered_practice_engine_local,grid_v0,8826.517917999998,1082.2049610000006,0.0,0.0,676.8772909999998,1.8189894035458565e-12
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,14,14,1.0,,756.1142978571428,10585.60017,37823.00084624861,1.3110515999997006,cpu,0,0,14,0,0,498,461,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,c42c26155be3407e68f839a18d92edcd9551ba42e3acc4068f96e1583f130e96,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,4,recovered_practice_engine_local,grid_v0,8826.517917999998,1082.2049610000006,0.0,0.0,676.8772909999998,1.8189894035458565e-12
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,4,P4_current_grid_v0,FULL_CLEAR,user_exit,13,13,1.0,,845.024532,10985.318916,39151.59458097416,1.2508498999995936,cpu,0,0,13,0,0,522,480,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,251c4c9adcfb0bbdbea393349ba9878e8d9aa180c52db877c382fae94d4545f5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,3,recovered_practice_engine_local,grid_v0,9153.276306,1130.2395729999994,0.0,0.0,701.8030369999999,1.8189894035458565e-12
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,4,P4_route_only_grid_v0,FULL_CLEAR,user_exit,13,13,1.0,,845.024532,10985.318916,39151.59458097416,1.2833506999995734,cpu,0,0,13,0,0,522,480,01baedab3d71befa533deda16e1aa2e4e330d78abaf2be068bc1907a62cd77d4,251c4c9adcfb0bbdbea393349ba9878e8d9aa180c52db877c382fae94d4545f5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,3,recovered_practice_engine_local,grid_v0,9153.276306,1130.2395729999994,0.0,0.0,701.8030369999999,1.8189894035458565e-12
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,4,P4_diagnostic_v1_grid_v0,FULL_CLEAR,user_exit,13,13,1.0,,845.024532,10985.318916,39151.59458097416,1.259838399999353,cpu,0,0,13,0,0,522,480,2f7020bdf9f7a45a0dd4a2001f934e6ba015a67101bf6f278d6683e87d093747,251c4c9adcfb0bbdbea393349ba9878e8d9aa180c52db877c382fae94d4545f5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,3,recovered_practice_engine_local,grid_v0,9153.276306,1130.2395729999994,0.0,0.0,701.8030369999999,1.8189894035458565e-12
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,4,P4_current_grid_v0,FULL_CLEAR,user_exit,12,12,1.0,,1002.8143435000001,12033.772122,44363.86060129402,1.8148095999986253,cpu,0,0,12,0,0,526,471,9259d922f68339418b0405852bfeb7ae08286e3f350ecb20baad022cae431f9f,899a1c2ab7b84464f32ba71366100d7f16923333cf3055d22582e10e734b86fb,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,9,recovered_practice_engine_local,grid_v0,10081.684589,1591.5029680000011,0.0,0.0,360.584564999999,0.0
