time_s,r_m,Ta_K,Ca_kgkg,Tb_K,Cb_kgkg,abs_dT_K,abs_dC_kgkg
0.0,0.0,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.0001,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.0005,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.001,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.005,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.01,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.015,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.019,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.0195,301.15,2.55,301.15,2.55,0.0,0.0
0.0,0.02,301.15,2.55,301.15,2.55,0.0,0.0
0.001,0.0,301.15,2.55,301.15,2.55,0.0,0.0
0.001,0.0001,301.15,2.55,301.15,2.55,0.0,0.0
0.001,0.0005,301.15,2.55,301.15,2.55,0.0,0.0
0.001,0.001,301.15,2.55,301.15,2.55,0.0,0.0
0.001,0.005,301.15,2.55,301.15,2.55,0.0,0.0
0.001,0.01,301.15,2.55,301.15,2.55,0.0,0.0
0.001,0.015,301.15,2.55,301.15,2.55,0.0,0.0
0.001,0.019,301.1500000050694,2.5499990475567804,301.15000000061633,2.5499999960905817,4.453056590136839e-09,9.485338012815703e-07
0.001,0.0195,301.1500000100146,2.549998087437141,301.15000001018984,2.5499980381633636,1.752482603478711e-10,4.9273777502634175e-08
0.001,0.02,301.15000030258426,2.3618743090080874,301.1500001685102,2.451892765150093,1.34074070956558e-07,0.09001845614200565
0.01,0.0,301.15,2.55,301.15,2.55,0.0,0.0
0.01,0.0001,301.15,2.55,301.15,2.55,0.0,0.0
0.01,0.0005,301.15,2.55,301.15,2.55,0.0,0.0
0.01,0.001,301.15,2.55,301.15,2.55,0.0,0.0
0.01,0.005,301.15,2.55,301.15,2.55,0.0,0.0
0.01,0.01,301.15,2.55,301.15,2.55,0.0,0.0
0.01,0.015,301.15,2.55,301.15,2.55,0.0,0.0
0.01,0.019,301.15000005069436,2.5499904755678084,301.15000000616385,2.5499999609058195,4.453050905794953e-08,9.485338011039346e-06
0.01,0.0195,301.1500001001463,2.5499808743714127,301.15000010189885,2.549980381633639,1.752539446897572e-09,4.927377736940741e-07
0.01,0.02,301.1500030258427,2.3618578996346,301.15000168510244,2.4518582893096914,1.340740254818229e-06,0.09000038967509161
0.1,0.0,301.15,2.55,301.15,2.55,0.0,0.0
0.1,0.0001,301.15,2.55,301.15,2.55,0.0,0.0
0.1,0.0005,301.15,2.55,301.15,2.55,0.0,0.0
0.1,0.001,301.15,2.55,301.15,2.55,0.0,0.0
0.1,0.005,301.15,2.55,301.15,2.55,0.0,0.0
0.1,0.01,301.15,2.55,301.15,2.55,0.0,0.0
0.1,0.015,301.15,2.55,301.15,2.55,0.0,0.0
0.1,0.019,301.1500005069439,2.549904755678087,301.1500000616386,2.549999609058193,4.4530531795317074e-07,9.485338010595257e-05
0.1,0.0195,301.1500010014638,2.5498087437141335,301.15000101898886,2.5498038163363916,1.7525053408462554e-08,4.9273777418257225e-06
0.1,0.02,301.1500302584274,2.3616938058575077,301.15001685102465,2.4515135307999514,1.3407402775555965e-05,0.08981972494244372
1.0,0.0,301.15,2.55,301.15,2.55,0.0,0.0
1.0,0.0001,301.15,2.55,301.15,2.55,0.0,0.0
1.0,0.0005,301.15,2.55,301.15,2.55,0.0,0.0
1.0,0.001,301.15,2.55,301.15,2.55,0.0,0.0
1.0,0.005,301.15,2.55,301.15,2.55,0.0,0.0
1.0,0.01,301.15,2.55,301.15,2.55,0.0,0.0
1.0,0.015,301.15000000009115,2.5499999999999927,301.1500000000001,2.55,9.106315701501444e-11,7.105427357601002e-15
1.0,0.019,301.15002580140913,2.549047729330794,301.15000894701666,2.5499803372266348,1.6854392470122548e-05,0.0009326078958409312
1.0,0.0195,301.15004901331565,2.548091791724434,301.15005058314483,2.5480390109827793,1.569829180425586e-06,5.2780741654601115e-05
1.0,0.02,301.15034043601423,2.36005703244563,301.1502339813991,2.4480984305525286,0.00010645461514968702,0.0880413981068986
2.0,0.0,301.15,2.55,301.15,2.55,0.0,0.0
2.0,0.0001,301.15,2.55,301.15,2.55,0.0,0.0
2.0,0.0005,301.15,2.55,301.15,2.55,0.0,0.0
2.0,0.001,301.15,2.55,301.15,2.55,0.0,0.0
2.0,0.005,301.15,2.55,301.15,2.55,0.0,0.0
2.0,0.01,301.15,2.55,301.15,2.55,0.0,0.0
2.0,0.015,301.1500000033433,2.5499999999998124,301.150000000044,2.55,3.299305717519019e-09,1.8740564655672642e-13
2.0,0.019,301.1501011224924,2.5480958887695295,301.15005365727063,2.549923278443523,4.746522176901635e-05,0.0018273896739935402
2.0,0.0195,301.15018405452685,2.546194036003504,301.1501915355333,2.54608050848167,7.481006434773008e-06,0.0001135275218340226
2.0,0.02,301.15076433858627,2.3582479291789626,301.1505919977857,2.444377436222247,0.0001723408005886995,0.08612950704328437
5.0,0.0,301.15,2.55,301.15,2.55,0.0,0.0
5.0,0.0001,301.15,2.55,301.15,2.55,0.0,0.0
5.0,0.0005,301.15,2.55,301.15,2.55,0.0,0.0
5.0,0.001,301.15,2.55,301.15,2.55,0.0,0.0
5.0,0.005,301.15,2.55,301.15,2.55,0.0,0.0
5.0,0.01,301.1500000000034,2.55,301.15,2.55,3.410605131648481e-12,0.0
5.0,0.015,301.15000042381143,2.5499999999836005,301.15000006309447,2.55,3.607169674069155e-07,1.6399326341343112e-11
5.0,0.019,301.1506117236971,2.545243192372387,301.1504720927345,2.5495409076333884,0.00013963096262159524,0.004297715261001311
5.0,0.0195,301.1510114085872,2.5405630361789067,301.15104649491855,2.540226444320355,3.508633136561912e-05,0.00033659185855183793
5.0,0.02,301.1524453618603,2.3528801690882903,301.1521574774805,2.4336514923437935,0.00028788437981575044,0.08077132325550318
10.0,0.0,301.15,2.55,301.15,2.55,0.0,0.0
10.0,0.0001,301.15,2.55,301.15,2.55,0.0,0.0
10.0,0.0005,301.15,2.55,301.15,2.55,0.0,0.0
10.0,0.001,301.15,2.55,301.15,2.55,0.0,0.0
10.0,0.005,301.15,2.55,301.15,2.55,0.0,0.0
10.0,0.01,301.15000000200365,2.55,301.15000000010485,2.55,1.898797563626431e-09,0.0
10.0,0.015,301.150012453681,2.5499999995009985,301.15000577721673,2.549999999999998,6.676464238353219e-06,4.989995083803933e-10
10.0,0.019,301.1523046418599,2.5404993755888734,301.1520512353772,2.54828007026662,0.00025340648272731414,0.00778069467774678
10.0,0.0195,301.1534617355964,2.531379467368576,301.1535433781168,2.5305725515978885,8.164252039932762e-05,0.0008069157706875885
10.0,0.02,301.1562847109724,2.3441265316139774,301.1558886233183,2.4170756805555365,0.0003960876541100333,0.07294914894155902
20.0,0.0,301.1499999999999,2.55,301.15,2.55,5.684341886080802e-14,0.0
20.0,0.0001,301.1499999999999,2.55,301.15,2.55,5.684341886080802e-14,0.0
20.0,0.0005,301.15000000000003,2.55,301.15,2.55,5.684341886080802e-14,0.0
20.0,0.001,301.15000000000043,2.55,301.15,2.55,4.547473508864641e-13,0.0
20.0,0.005,301.1500000003484,2.55,301.1500000000252,2.55,3.2321167964255437e-10,0.0
20.0,0.01,301.150000569083,2.55,301.1500002015799,2.55,3.675030484373565e-07,0.0
20.0,0.015,301.15023312539563,2.549999985127579,301.15018126131463,2.549999999998447,5.1864081001440354e-05,1.4870867648397734e-08
20.0,0.019,301.1582324864373,2.5310602987169695,301.15783310753227,2.543921561204371,0.00039937890505825635,0.012861262487401603
20.0,0.0195,301.16121925812007,2.5137242958755315,301.1613782346076,2.5118063210755963,0.0001589764875120636,0.0019179747999351626
20.0,0.02,301.16672780330094,2.3273000409436486,301.166205106262,2.387861288090476,0.0005226970389458074,0.06056124714682731
30.0,0.0,301.15000000010326,2.55,301.15000000001,2.55,9.328005035058595e-11,0.0
30.0,0.0001,301.1500000001043,2.55,301.1500000000101,2.55,9.418954505235888e-11,0.0
30.0,0.0005,301.1500000001289,2.55,301.1500000000128,2.55,1.1607426131376997e-10,0.0
30.0,0.001,301.15000000021735,2.55,301.15000000002135,2.55,1.9599610823206604e-10,0.0
30.0,0.005,301.1500000288142,2.55,301.15000000775933,2.55,2.105485918946215e-08,0.0
30.0,0.01,301.150009486514,2.55,301.15000578201955,2.55,3.7044944747322006e-06,0.0
