policy,mixed,cleared,virtual_time_s,mean_time_per_source_s,runtime_s,localization_observations,optical_fallbacks,certified_clears,case,variant,total
P3,False,10,4351.532967,435.1532967,0.4993777999916347,28,0,10,000,A,10
P3,False,10,3425.015762,342.5015762,0.5798671999946237,31,0,10,000,B,10
P3,False,14,4481.977308,320.14123628571434,0.6086322000046493,37,0,14,001,A,14
P3,False,14,3578.835502,255.63110728571428,0.5780433000036282,40,0,14,001,B,14
P3,False,10,3985.224331,398.5224331,0.5171045999886701,30,0,10,002,A,10
P3,False,10,3565.740979,356.5740979,0.42933639998955186,31,0,10,002,B,10
P3,False,12,3612.150868,301.01257233333337,0.45824700000230223,33,0,12,003,A,12
P3,False,12,3430.997997,285.91649975,0.39338550000684336,33,2,10,003,B,12
P3,False,16,4357.648098,272.353006125,0.6953380000049947,42,0,16,004,A,16
P3,False,16,3972.105732,248.25660825,0.6486925000062911,45,0,16,004,B,16
P3,False,10,3562.281495,356.22814950000003,0.4258629999967525,27,0,10,005,A,10
P3,False,10,3106.456933,310.6456933,0.4931650000071386,29,0,10,005,B,10
P3,False,11,3612.266314,328.38784672727274,0.3965427999937674,29,0,11,006,A,11
P3,False,11,3612.266314,328.38784672727274,0.39273839999805205,29,0,11,006,B,11
P3,False,13,4243.84586,326.44968153846156,0.39882940000097733,31,0,13,007,A,13
P3,False,13,3875.684147,298.1295497692308,0.5028677999944193,34,0,13,007,B,13
P3,False,15,4550.181303,303.34542020000004,0.6393742999935057,38,0,15,008,A,15
P3,False,15,4517.649332,301.17662213333335,0.48260770000342745,38,1,14,008,B,15
P3,False,11,4564.887369,414.9897608181818,0.5771578999992926,31,0,11,009,A,11
P3,False,11,3876.641918,352.42199254545454,0.5121615999960341,34,0,11,009,B,11
P3,False,12,3593.325182,299.44376516666665,0.5394390000001295,31,0,12,010,A,12
P3,False,12,3263.618841,271.96823675,0.4098284999927273,30,0,12,010,B,12
P3,False,16,4866.837911,304.1773694375,0.6453345000045374,42,0,16,011,A,16
P3,False,16,3906.942305,244.1838940625,0.521411599998828,43,0,16,011,B,16
P3,False,13,3494.092434,268.7763410769231,0.468853999991552,36,1,12,012,A,13
P3,False,13,3404.645456,261.89580430769234,0.39103030000114813,38,0,13,012,B,13
P3,False,11,4089.391925,371.7629022727273,0.40725179998844396,27,0,11,013,A,11
P3,False,11,3335.619838,303.2381670909091,0.36111839998920914,28,0,11,013,B,11
P3,False,11,4478.925691,407.17506281818186,0.5294509999948787,30,0,11,014,A,11
P3,False,11,3852.760456,350.25095054545454,0.38232809999317396,30,0,11,014,B,11
P3,False,14,4543.700496,324.55003542857145,0.6526516000012634,40,0,14,015,A,14
P3,False,14,3860.996174,275.785441,0.4809222000039881,42,0,14,015,B,14
P3,False,11,3939.755961,358.1596328181818,0.3659017999889329,29,0,11,016,A,11
P3,False,11,3199.381669,290.852879,0.3974663999979384,32,0,11,016,B,11
P3,False,11,3634.448293,330.40439027272726,0.37900709999667015,28,0,11,017,A,11
P3,False,11,3234.490155,294.04455954545455,0.40084670000942424,31,0,11,017,B,11
P3,False,12,3832.014384,319.334532,0.5582651000004262,33,0,12,018,A,12
P3,False,12,3447.571628,287.2976356666667,0.4899263000115752,35,0,12,018,B,12
P3,False,11,3290.34211,299.12201,0.4827203000022564,32,0,11,019,A,11
P3,False,11,3183.028846,289.36625872727274,0.5654299000016181,34,0,11,019,B,11
P3,False,13,4175.512871,321.19329776923075,0.5850321000034455,35,0,13,020,A,13
P3,False,13,3563.370988,274.10546061538463,0.5308617999980925,39,0,13,020,B,13
P3,False,12,3971.104079,330.9253399166667,0.6165997000061907,31,0,12,021,A,12
P3,False,12,5203.250518,433.6042098333333,0.5166933000000427,33,1,11,021,B,12
P3,False,11,3816.709988,346.9736352727273,0.3689070999971591,27,0,11,022,A,11
P3,False,11,2972.028998,270.18445436363635,0.3177254000038374,26,0,11,022,B,11
P3,False,10,3626.790925,362.67909249999997,0.44899739998800214,27,0,10,023,A,10
P3,False,10,3182.704543,318.2704543,0.6546684000059031,30,0,10,023,B,10
P3,False,11,3805.053946,345.9139950909091,0.6161976000003051,30,0,11,024,A,11
P3,False,11,3420.001784,310.9092530909091,0.4811249000049429,31,0,11,024,B,11
P3,False,11,3091.099963,281.0090875454546,0.4512972999946214,27,0,11,025,A,11
P3,False,11,3039.081962,276.28017836363637,0.4216548000113107,30,0,11,025,B,11
P3,False,15,4064.153154,270.9435436,0.567994600001839,42,0,15,026,A,15
P3,False,15,3191.52073,212.7680486666667,0.7263447000004817,47,0,15,026,B,15
P3,False,13,3907.588416,300.5837243076923,0.63375459999952,37,0,13,027,A,13
P3,False,13,4438.698398,341.43833830769233,0.4274038000003202,37,1,12,027,B,13
P3,False,15,3900.048131,260.00320873333334,0.696780199999921,44,0,15,028,A,15
P3,False,15,3709.055462,247.27036413333332,0.5395545999926981,44,0,15,028,B,15
P3,False,14,3956.240543,282.5886102142857,0.6502943000086816,42,0,14,029,A,14
P3,False,14,3967.611216,283.4008011428571,0.5565473000024213,43,0,14,029,B,14
P3,False,14,4450.410654,317.8864752857143,0.7616173999995226,35,0,14,030,A,14
P3,False,14,3518.074952,251.291068,0.6451076000084868,41,0,14,030,B,14
P3,False,14,4485.330654,320.380761,0.7843349000031594,38,0,14,031,A,14
P3,False,14,4124.786772,294.6276265714286,0.8066586999921128,37,0,14,031,B,14
