policy,mixed,cleared,virtual_time_s,mean_time_per_source_s,runtime_s,localization_observations,optical_fallbacks,certified_clears,completion_reason,problem,case,variant,total,audit_passed
P3,False,10,4351.532967,435.1532967,0.3929288999934215,28,0,10,coverage_exhausted,3,0,A,10,True
P3,False,10,3425.015762,342.5015762,0.40999879999435507,31,0,10,coverage_exhausted,3,0,B,10,True
P3,False,14,4481.977308,320.14123628571434,0.5355886000033934,37,0,14,coverage_exhausted,3,1,A,14,True
P3,False,14,3578.835502,255.63110728571428,0.48815110001305584,40,0,14,coverage_exhausted,3,1,B,14,True
P3,False,10,3985.224331,398.5224331,0.42891069999313913,30,0,10,coverage_exhausted,3,2,A,10,True
P3,False,10,3565.740979,356.5740979,0.423274600005243,31,0,10,coverage_exhausted,3,2,B,10,True
P3,False,12,3612.150868,301.01257233333337,0.41058689999044873,33,0,12,coverage_exhausted,3,3,A,12,True
P3,False,12,3430.997997,285.91649975,0.36741690000053495,33,2,10,coverage_exhausted,3,3,B,12,True
P3,False,16,4357.648098,272.353006125,0.5494450999976834,42,0,16,coverage_exhausted,3,4,A,16,True
P3,False,16,3972.105732,248.25660825,0.5371926000079839,45,0,16,coverage_exhausted,3,4,B,16,True
P3,False,10,3562.281495,356.22814950000003,0.39377199999580625,27,0,10,coverage_exhausted,3,5,A,10,True
P3,False,10,3106.456933,310.6456933,0.40606409999600146,29,0,10,coverage_exhausted,3,5,B,10,True
P3,False,11,3612.266314,328.38784672727274,0.3625488999969093,29,0,11,coverage_exhausted,3,6,A,11,True
P3,False,11,3612.266314,328.38784672727274,0.38320630000089295,29,0,11,coverage_exhausted,3,6,B,11,True
P3,False,13,4243.84586,326.44968153846156,0.374001699994551,31,0,13,coverage_exhausted,3,7,A,13,True
P3,False,13,3875.684147,298.1295497692308,0.467909699989832,34,0,13,coverage_exhausted,3,7,B,13,True
P3,False,15,4550.181303,303.34542020000004,0.4993581000017002,38,0,15,coverage_exhausted,3,8,A,15,True
P3,False,15,4517.649332,301.17662213333335,0.3806306000042241,38,1,14,coverage_exhausted,3,8,B,15,True
P3,False,11,4564.887369,414.9897608181818,0.46700370000326075,31,0,11,coverage_exhausted,3,9,A,11,True
P3,False,11,3876.641918,352.42199254545454,0.4405957999988459,34,0,11,coverage_exhausted,3,9,B,11,True
P3,False,12,3593.325182,299.44376516666665,0.41186300000117626,31,0,12,coverage_exhausted,3,10,A,12,True
P3,False,12,3263.618841,271.96823675,0.33605810000153724,30,0,12,coverage_exhausted,3,10,B,12,True
P3,False,16,4866.837911,304.1773694375,0.5911635999946157,42,0,16,coverage_exhausted,3,11,A,16,True
P3,False,16,3906.942305,244.1838940625,0.5337687999999616,43,0,16,coverage_exhausted,3,11,B,16,True
P3,False,13,3494.092434,268.7763410769231,0.38426029999391176,36,1,12,coverage_exhausted,3,12,A,13,True
P3,False,13,3404.645456,261.89580430769234,0.3780466000025626,38,0,13,coverage_exhausted,3,12,B,13,True
P3,False,11,4089.391925,371.7629022727273,0.4010543000040343,27,0,11,coverage_exhausted,3,13,A,11,True
P3,False,11,3335.619838,303.2381670909091,0.34096040000440553,28,0,11,coverage_exhausted,3,13,B,11,True
P3,False,11,4478.925691,407.17506281818186,0.4022788000002038,30,0,11,coverage_exhausted,3,14,A,11,True
P3,False,11,3852.760456,350.25095054545454,0.35413019999396056,30,0,11,coverage_exhausted,3,14,B,11,True
P3,False,14,4543.700496,324.55003542857145,0.5473411999992095,40,0,14,coverage_exhausted,3,15,A,14,True
P3,False,14,3860.996174,275.785441,0.46718359999067616,42,0,14,coverage_exhausted,3,15,B,14,True
P3,False,11,3939.755961,358.1596328181818,0.3330036999977892,29,0,11,coverage_exhausted,3,16,A,11,True
P3,False,11,3199.381669,290.852879,0.3235777999943821,32,0,11,coverage_exhausted,3,16,B,11,True
P3,False,11,3634.448293,330.40439027272726,0.38380700000561774,28,0,11,coverage_exhausted,3,17,A,11,True
P3,False,11,3234.490155,294.04455954545455,0.34552570000232663,31,0,11,coverage_exhausted,3,17,B,11,True
P3,False,12,3832.014384,319.334532,0.46550680001382716,33,0,12,coverage_exhausted,3,18,A,12,True
P3,False,12,3447.571628,287.2976356666667,0.4446003000048222,35,0,12,coverage_exhausted,3,18,B,12,True
P3,False,11,3290.34211,299.12201,0.4468635999946855,32,0,11,coverage_exhausted,3,19,A,11,True
P3,False,11,3183.028846,289.36625872727274,0.4334859999944456,34,0,11,coverage_exhausted,3,19,B,11,True
P3,False,13,4175.512871,321.19329776923075,0.5399782000022242,35,0,13,coverage_exhausted,3,20,A,13,True
P3,False,13,3563.370988,274.10546061538463,0.4707373999990523,39,0,13,coverage_exhausted,3,20,B,13,True
P3,False,12,3971.104079,330.9253399166667,0.3699443999939831,31,0,12,coverage_exhausted,3,21,A,12,True
P3,False,12,5203.250518,433.6042098333333,0.3695794999948703,33,1,11,coverage_exhausted,3,21,B,12,True
P3,False,11,3816.709988,346.9736352727273,0.33657810000295285,27,0,11,coverage_exhausted,3,22,A,11,True
P3,False,11,2972.028998,270.18445436363635,0.2975841000006767,26,0,11,coverage_exhausted,3,22,B,11,True
P3,False,10,3626.790925,362.67909249999997,0.3787164999957895,27,0,10,coverage_exhausted,3,23,A,10,True
P3,False,10,3182.704543,318.2704543,0.36842990000150166,30,0,10,coverage_exhausted,3,23,B,10,True
P3,False,11,3805.053946,345.9139950909091,0.36691339999379124,30,0,11,coverage_exhausted,3,24,A,11,True
P3,False,11,3420.001784,310.9092530909091,0.3687939999945229,31,0,11,coverage_exhausted,3,24,B,11,True
P3,False,11,3091.099963,281.0090875454546,0.3076950999966357,27,0,11,coverage_exhausted,3,25,A,11,True
P3,False,11,3039.081962,276.28017836363637,0.31226829999650363,30,0,11,coverage_exhausted,3,25,B,11,True
P3,False,15,4064.153154,270.9435436,0.5054373999882955,42,0,15,coverage_exhausted,3,26,A,15,True
P3,False,15,3191.52073,212.7680486666667,0.5360816000029445,47,0,15,coverage_exhausted,3,26,B,15,True
P3,False,13,3907.588416,300.5837243076923,0.5344913000008091,37,0,13,coverage_exhausted,3,27,A,13,True
P3,False,13,4438.698398,341.43833830769233,0.4145208999980241,37,1,12,coverage_exhausted,3,27,B,13,True
P3,False,15,3900.048131,260.00320873333334,0.5205426000029547,44,0,15,coverage_exhausted,3,28,A,15,True
P3,False,15,3709.055462,247.27036413333332,0.4874502000020584,44,0,15,coverage_exhausted,3,28,B,15,True
P3,False,14,3956.240543,282.5886102142857,0.5427744000044186,42,0,14,coverage_exhausted,3,29,A,14,True
P3,False,14,3967.611216,283.4008011428571,0.5299861999956192,43,0,14,coverage_exhausted,3,29,B,14,True
P3,False,14,4450.410654,317.8864752857143,0.5327472999924794,35,0,14,coverage_exhausted,3,30,A,14,True
P3,False,14,3518.074952,251.291068,0.560236299992539,41,0,14,coverage_exhausted,3,30,B,14,True
P3,False,14,4485.330654,320.380761,0.5391475000069477,38,0,14,coverage_exhausted,3,31,A,14,True
P3,False,14,4124.786772,294.6276265714286,0.4963190999988001,37,0,14,coverage_exhausted,3,31,B,14,True
P4,True,16,9729.770944,608.110684,4.71039930000552,56,0,16,coverage_exhausted,4,0,A,16,True
P4,True,16,8254.61048,515.913155,1.777702000006684,56,0,16,public_max_cleared,4,0,B,16,True
P4,True,16,6445.703345,402.8564590625,1.3205258000089088,54,0,16,public_max_cleared,4,0,C,16,True
P4,True,12,10651.178732,887.5982276666667,1.2744581000006292,41,0,12,coverage_exhausted,4,1,A,12,True
P4,True,12,10651.178732,887.5982276666667,1.2897388999990653,41,0,12,coverage_exhausted,4,1,B,12,True
P4,True,12,9410.712507,784.22604225,1.180914099997608,40,0,12,coverage_exhausted,4,1,C,12,True
P4,True,14,10710.467393,765.0333852142858,1.6380096999928355,47,0,14,coverage_exhausted,4,2,A,14,True
P4,True,14,10710.467393,765.0333852142858,1.554938699991908,47,0,14,coverage_exhausted,4,2,B,14,True
P4,True,14,9337.131949,666.9379963571429,1.1558897999930196,43,0,14,coverage_exhausted,4,2,C,14,True
P4,True,15,10970.450455,731.3633636666667,1.5321267999970587,42,0,15,coverage_exhausted,4,3,A,15,True
P4,True,15,10970.450455,731.3633636666667,1.5251243999955477,42,0,15,coverage_exhausted,4,3,B,15,True
P4,True,15,9338.678956,622.5785970666667,1.309077800004161,47,0,15,coverage_exhausted,4,3,C,15,True
P4,True,14,10860.793099,775.7709356428571,1.2519029999966733,51,0,14,coverage_exhausted,4,4,A,14,True
P4,True,14,10860.793099,775.7709356428571,1.25506859998859,51,0,14,coverage_exhausted,4,4,B,14,True
P4,True,14,9107.436148,650.5311534285714,1.1207444000028772,47,0,14,coverage_exhausted,4,4,C,14,True
P4,True,12,11006.988908,917.2490756666666,1.5424201999994693,40,0,12,coverage_exhausted,4,5,A,12,True
P4,True,12,11006.988908,917.2490756666666,1.537740700005088,40,0,12,coverage_exhausted,4,5,B,12,True
P4,True,12,9187.319072,765.6099226666666,1.1425028999947244,38,0,12,coverage_exhausted,4,5,C,12,True
P4,True,10,10829.909328,1082.9909327999999,0.9920229999988806,31,0,10,coverage_exhausted,4,6,A,10,True
P4,True,10,10829.909328,1082.9909327999999,0.9946901999937836,31,0,10,coverage_exhausted,4,6,B,10,True
P4,True,10,9510.857285,951.0857285,0.9570872000040254,37,0,10,coverage_exhausted,4,6,C,10,True
P4,True,15,9723.630202,648.2420134666667,1.4118751000060001,52,0,15,coverage_exhausted,4,7,A,15,True
P4,True,15,9723.630202,648.2420134666667,1.4060892999987118,52,0,15,coverage_exhausted,4,7,B,15,True
P4,True,15,8980.728389,598.7152259333333,1.3273152000037953,53,0,15,coverage_exhausted,4,7,C,15,True
P4,True,13,10318.565691,793.7358223846154,1.3707151999988127,43,0,13,coverage_exhausted,4,8,A,13,True
P4,True,13,10318.565691,793.7358223846154,1.3759100000024773,43,0,13,coverage_exhausted,4,8,B,13,True
P4,True,13,9179.991591,706.1531993076923,1.2103470000001835,44,0,13,coverage_exhausted,4,8,C,13,True
P4,True,14,10995.48412,785.3917228571428,1.4071166000067024,50,0,14,coverage_exhausted,4,9,A,14,True
P4,True,14,10995.48412,785.3917228571428,1.4405649999971502,50,0,14,coverage_exhausted,4,9,B,14,True
P4,True,14,9327.979145,666.2842246428571,1.3903309000015724,44,0,14,coverage_exhausted,4,9,C,14,True
P4,True,16,10340.294312,646.2683945,1.1736440999957267,59,0,16,coverage_exhausted,4,10,A,16,True
P4,True,16,9391.830564,586.98941025,1.1851825999910943,59,0,16,public_max_cleared,4,10,B,16,True
P4,True,16,7876.253148,492.26582175,1.3569654000020819,55,0,16,public_max_cleared,4,10,C,16,True
P4,True,15,9362.055247,624.1370164666666,1.1314545999921393,50,0,15,coverage_exhausted,4,11,A,15,True
P4,True,15,9362.055247,624.1370164666666,1.127860900000087,50,0,15,coverage_exhausted,4,11,B,15,True
P4,True,15,7844.031255,522.935417,1.1466244000039296,47,0,15,coverage_exhausted,4,11,C,15,True
P4,True,12,10047.601477,837.3001230833333,1.1286536999978125,39,0,12,coverage_exhausted,4,12,A,12,True
P4,True,12,10047.601477,837.3001230833333,1.1207922999892617,39,0,12,coverage_exhausted,4,12,B,12,True
P4,True,12,9487.273997,790.6061664166667,1.1573975999926915,39,0,12,coverage_exhausted,4,12,C,12,True
P4,True,11,11088.57138,1008.0519436363636,1.0947120999917388,40,0,11,coverage_exhausted,4,13,A,11,True
P4,True,11,11088.57138,1008.0519436363636,1.1161584999936167,40,0,11,coverage_exhausted,4,13,B,11,True
P4,True,11,9163.339933,833.030903,1.273989100009203,38,0,11,coverage_exhausted,4,13,C,11,True
P4,True,11,10638.646075,967.1496431818182,1.3023465000005672,33,0,11,coverage_exhausted,4,14,A,11,True
P4,True,11,10638.646075,967.1496431818182,1.3021016999991843,33,0,11,coverage_exhausted,4,14,B,11,True
P4,True,11,9487.670242,862.5154765454546,1.1739858000073582,40,0,11,coverage_exhausted,4,14,C,11,True
P4,True,13,10120.02939,778.4637992307692,1.284437700000126,39,0,13,coverage_exhausted,4,15,A,13,True
P4,True,13,10120.02939,778.4637992307692,1.262849600010668,39,0,13,coverage_exhausted,4,15,B,13,True
P4,True,13,8904.689469,684.976113,1.4100870000111172,42,0,13,coverage_exhausted,4,15,C,13,True
P4,True,12,10697.27603,891.4396691666667,1.2457737999939127,41,0,12,coverage_exhausted,4,16,A,12,True
P4,True,12,10697.27603,891.4396691666667,1.2425177000113763,41,0,12,coverage_exhausted,4,16,B,12,True
P4,True,12,8919.817643,743.3181369166667,0.9847506000078283,43,0,12,coverage_exhausted,4,16,C,12,True
P4,True,16,9733.589813,608.3493633125,1.660488900000928,48,0,16,coverage_exhausted,4,17,A,16,True
P4,True,16,5740.559424,358.784964,1.6436596000130521,48,0,16,public_max_cleared,4,17,B,16,True
P4,True,16,8920.515173,557.5321983125,1.2076059999963036,53,0,16,public_max_cleared,4,17,C,16,True
P4,True,14,9400.085528,671.4346805714285,1.2687423000024864,47,0,14,coverage_exhausted,4,18,A,14,True
P4,True,14,9400.085528,671.4346805714285,1.2918374000000767,47,0,14,coverage_exhausted,4,18,B,14,True
P4,True,14,8525.66716,608.9762257142858,1.1519038999977056,49,0,14,coverage_exhausted,4,18,C,14,True
P4,True,15,11373.713745,758.247583,2.0592235999938566,48,0,15,coverage_exhausted,4,19,A,15,True
P4,True,15,11373.713745,758.247583,1.992231600001105,48,0,15,coverage_exhausted,4,19,B,15,True
P4,True,15,8902.655469,593.5103646,1.3497204999875976,44,0,15,coverage_exhausted,4,19,C,15,True
P4,True,14,10331.623673,737.9731195,1.4221790000010515,46,0,14,coverage_exhausted,4,20,A,14,True
P4,True,14,10331.623673,737.9731195,1.4230480999976862,46,0,14,coverage_exhausted,4,20,B,14,True
P4,True,14,8929.610156,637.8292968571429,1.0753610999963712,47,0,14,coverage_exhausted,4,20,C,14,True
P4,True,15,10477.531338,698.5020892,1.3957089000032283,53,0,15,coverage_exhausted,4,21,A,15,True
P4,True,15,10477.531338,698.5020892,1.4143626000004588,53,0,15,coverage_exhausted,4,21,B,15,True
P4,True,15,9033.763197,602.2508798,1.1509267000074033,49,0,15,coverage_exhausted,4,21,C,15,True
P4,True,15,10578.550832,705.2367221333334,1.1970403000013903,50,0,15,coverage_exhausted,4,22,A,15,True
P4,True,15,10578.550832,705.2367221333334,1.1927948999946238,50,0,15,coverage_exhausted,4,22,B,15,True
P4,True,15,8926.584563,595.1056375333334,1.1716442000033567,49,0,15,coverage_exhausted,4,22,C,15,True
P4,True,12,10712.751288,892.7292739999999,1.2567055999970762,38,0,12,coverage_exhausted,4,23,A,12,True
P4,True,12,10712.751288,892.7292739999999,1.2479249000025447,38,0,12,coverage_exhausted,4,23,B,12,True
P4,True,12,8867.165911,738.9304925833334,0.9348469000105979,40,0,12,coverage_exhausted,4,23,C,12,True
P4,True,15,10160.198602,677.3465734666667,1.271470199993928,53,0,15,coverage_exhausted,4,24,A,15,True
P4,True,15,10160.198602,677.3465734666667,1.2651089999999385,53,0,15,coverage_exhausted,4,24,B,15,True
P4,True,15,9511.412209,634.0941472666667,1.5704456999956165,58,0,15,coverage_exhausted,4,24,C,15,True
P4,True,13,11065.600769,851.2000591538462,1.5584987999900477,43,0,13,coverage_exhausted,4,25,A,13,True
P4,True,13,11065.600769,851.2000591538462,1.5321916999964742,43,0,13,coverage_exhausted,4,25,B,13,True
P4,True,13,8916.054695,685.8503611538462,1.2676152999920305,45,0,13,coverage_exhausted,4,25,C,13,True
P4,True,15,10018.559987,667.9039991333334,1.2910339999943972,51,0,15,coverage_exhausted,4,26,A,15,True
P4,True,15,10018.559987,667.9039991333334,1.283107100010966,51,0,15,coverage_exhausted,4,26,B,15,True
P4,True,15,8920.655054,594.7103369333333,1.2350788000039756,53,0,15,coverage_exhausted,4,26,C,15,True
P4,True,13,10736.836118,825.9104706153846,1.3044361999927787,41,0,13,coverage_exhausted,4,27,A,13,True
P4,True,13,10736.836118,825.9104706153846,1.2894696000003023,41,0,13,coverage_exhausted,4,27,B,13,True
P4,True,13,8976.702943,690.515611,1.2868381999869598,44,0,13,coverage_exhausted,4,27,C,13,True
P4,True,10,10505.823696,1050.5823696,0.9896974000002956,32,0,10,coverage_exhausted,4,28,A,10,True
P4,True,10,10505.823696,1050.5823696,0.9928092000045581,32,0,10,coverage_exhausted,4,28,B,10,True
P4,True,10,9045.239338,904.5239337999999,1.1023874999955297,33,0,10,coverage_exhausted,4,28,C,10,True
P4,True,15,9805.643865,653.709591,1.2833826999994926,44,0,15,coverage_exhausted,4,29,A,15,True
P4,True,15,9805.643865,653.709591,1.2891913000057684,44,0,15,coverage_exhausted,4,29,B,15,True
P4,True,15,8640.968791,576.0645860666666,1.1940477999887662,44,0,15,coverage_exhausted,4,29,C,15,True
P4,True,13,9656.517307,742.8090236153846,0.9563809999963269,45,0,13,coverage_exhausted,4,30,A,13,True
P4,True,13,9656.517307,742.8090236153846,0.9618867999961367,45,0,13,coverage_exhausted,4,30,B,13,True
P4,True,13,8915.679239,685.8214799230768,0.9089870000025257,48,0,13,coverage_exhausted,4,30,C,13,True
P4,True,14,10457.167299,746.9405213571429,1.4598933999950532,42,0,14,coverage_exhausted,4,31,A,14,True
P4,True,14,10457.167299,746.9405213571429,1.4740405000047758,42,0,14,coverage_exhausted,4,31,B,14,True
P4,True,14,9601.105833,685.7932737857143,0.9903484000096796,44,0,14,coverage_exhausted,4,31,C,14,True
