problem,case,total,omni,directional,cleared,full_clear,seconds_per_source,virtual_time_s,runtime_s,distance_m,measurements,channel_switches,clear_attempts,optical_fallbacks,certified_clears,last_source_first_detection_s,max_time_audit_error_s,protocol_error_count
3,B7W8-6XUH-A3EH-DNM8,14,14,0,14,True,283.46127398881634,3968.4578358434287,1.7785465000051772,15827.289179217143,123,118,14,0,14,3718.076267,2.447004590067081e-06,0
3,KU9N-2NXM-8SPW-A6YV,13,13,0,13,True,288.2506573635162,3747.2585457257105,1.6247538000025088,14901.292728628545,118,112,13,0,13,2626.780252,2.725710601225728e-06,0
3,NHN4-BVHE-CB7X-7SKT,13,13,0,13,True,256.9217479865534,3339.982723825194,1.4808525999978883,13114.913619125973,110,102,13,0,13,2969.90972,1.4749864476470975e-06,0
3,T7UW-8KW7-HNM7-E4G7,15,15,0,15,True,284.4259503508208,4266.389255262312,1.6932581000000937,17631.94627631156,112,105,15,0,15,2984.253271,2.9105176508892328e-06,0
3,ZR3B-CK8A-QEHF-KPEA,16,16,0,16,True,238.85182892859578,3821.6292628575325,1.7777806999947643,15528.146314287664,107,101,16,0,16,3292.006945,2.1424675651360303e-06,0
4,FZTJ-RRTM-49S8-M5TG,14,12,2,14,True,650.0136740116038,9100.191436162453,8.361164900008589,33085.95718081226,408,373,14,0,14,6545.783266,3.1921163099468686e-06,0
4,JEVT-ZCZX-WFAU-MN3V,10,8,2,10,True,880.6648305533542,8806.648305533543,6.721964099997422,29483.24152766771,482,450,10,0,10,1772.596577,2.5999434001278132e-06,0
4,N727-H75W-TQET-VRWU,12,6,6,12,True,723.1484534822558,8677.78144178707,7.516170199989574,31488.907208935343,393,355,12,0,12,1326.700477,2.8000358724966645e-06,0
4,U2PC-EJRP-XQS7-KNN5,10,7,3,10,True,879.9936274591516,8799.936274591517,6.578813100000843,30809.681372957588,437,403,10,0,10,3995.583423,1.4084835129324347e-06,0
4,ZEUR-Q2CV-VKF9-YR98,16,10,6,16,True,489.45083555383366,7831.2133688613385,6.928510099998675,29166.066844306686,324,298,16,0,16,6874.168653,1.795492153178202e-06,0
