mode,source,x,y,key,safety_status,step_m,D_lower_m,D_upper_m,T_s,J_lower_m,J_upper_m,inner_gap_m,score_elapsed_s
M1,finalist,447.8179432485635,892.5753069748561,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bfd164ba8e907p+8,0x1.be49a3a8b1157p+9",SAFE,0.5,112.40721266761275,112.4151499669539,204.72296702348802,153.35180607231035,153.35974337165152,0.00793729934115106,0.01995339999848511
M1,finalist,447.5679432485635,893.0083196767482,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf9164ba8e907p+8,0x1.be81109e81c60p+9",SAFE,0.5,112.36099005584272,112.37072973711118,204.77796903919497,153.31658386368173,153.32632354495018,0.00973968126845648,0.021808599994983524
M1,finalist,447.3179432485635,893.4413323786405,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf5164ba8e907p+8,0x1.beb87d945276ap+9",SAFE,0.5,112.31733326319005,112.32709978101573,204.83300595793932,153.28393445477792,153.2937009726036,0.00976651782568183,0.02245819999370724
M1,finalist,447.0679432485635,893.8743450805327,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf1164ba8e907p+8,0x1.beefea8a23274p+9",SAFE,0.5,112.27369776685399,112.28349107789481,204.8880777508906,153.2513133170321,153.26110662807292,0.009793311040823482,0.0231939999939641
M1,finalist,446.8179432485635,894.3073577824249,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bed164ba8e907p+8,0x1.bf27577ff3d7dp+9",SAFE,0.5,112.22874642560416,112.23801716574398,204.94318438923182,153.21738330345053,153.22665404359034,0.009270740139825762,0.03464109999185894
M1,finalist,448.2509559504557,892.8253069748561,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c0403ea62ff1ap+8,0x1.be69a3a8b1157p+9",SAFE,0.5,112.33892311765415,112.34675254548165,204.80650122408363,153.3002233624709,153.30805279029838,0.0078294278275024,0.03907009999966249
M1,finalist,448.0009559504557,893.2583196767482,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c0003ea62ff1ap+8,0x1.bea1109e81c60p+9",SAFE,0.5,112.29397566484029,112.30310767489206,204.8614802511229,153.26627171506487,153.27540372511663,0.009132010051772,0.048968600007356144
M1,finalist,447.7509559504557,893.6913323786405,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bfc03ea62ff1ap+8,0x1.bed87d945276ap+9",SAFE,0.5,112.24960048971617,112.2595223425759,204.91649417927042,153.23289932557026,153.24282117843,0.009921852859733349,0.03579199999512639
M1,finalist,447.5009559504557,894.1243450805327,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf803ea62ff1ap+8,0x1.bf0fea8a23274p+9",SAFE,0.5,112.20548839408525,112.21328472974982,204.9715429797213,153.1997969900295,153.20759332569406,0.00779633566456539,0.02233390000765212
M1,finalist,448.6839686523479,893.0753069748561,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c0af1891d152dp+8,0x1.be89a3a8b1157p+9",SAFE,0.5,112.27060619229816,112.27839071659594,204.8900505431778,153.24861630093372,153.2564008252315,0.007784524297775874,0.02925560000585392
M1,finalist,448.4339686523479,893.5083196767482,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c06f1891d152dp+8,0x1.bec1109e81c60p+9",SAFE,0.5,112.2257325258844,112.23531470302335,204.94500659660005,153.21473384520442,153.22431602234337,0.009582177138952375,0.02115800000319723
M1,finalist,448.1839686523479,893.9413323786405,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1891d152dp+8,0x1.bef87d945276ap+9",SAFE,0.5,112.18088243110208,112.18867041154346,204.99999754918676,153.18088194093943,153.1886699213808,0.007787980441378295,0.028885000006994233
M1,finalist,449.1169813542401,893.3253069748561,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c11df27d72b40p+8,0x1.bea9a3a8b1157p+9",SAFE,0.5,112.20240131843434,112.21211967174963,204.97361496182097,153.19712431079853,153.20684266411382,0.009718353315292916,0.03000159999646712
M1,finalist,449.077774266845,893.4926567164788,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c113e903ac91dp+8,0x1.bebf0f6012b73p+9",SAFE,0.5,112.18133350269547,112.19081907969488,204.99999749467344,153.18133300163015,153.19081857862957,0.009485576999409773,0.04077110000071116
M1,finalist,448.6309719001548,893.7170840238018,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c0a1875fdbdc2p+8,0x1.bedbc968c75b4p+9",SAFE,0.5,112.1816192040273,112.1897635145226,204.99999752240845,153.181618708509,153.1897630190043,0.008144310495296736,0.04363960000046063
M1,finalist,448.18405737274554,893.9412878979912,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c87ap+8,0x1.bef87c1f30ff1p+9",SAFE,0.5,112.18087469890915,112.18866267787726,204.99999754918153,153.18087420874545,153.18866218771356,0.007787978968110565,0.04171910000150092
M1,finalist,447.73703079648516,894.1652682831566,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bfbcae0cdf0c7p+8,0x1.bf152782d79cap+9",SAFE,0.5,112.18239571350955,112.19218724460032,204.9999975750342,153.18239522851638,153.19218675960715,0.009791531090769467,0.02264689998992253
M1,finalist,447.28989228326117,894.3890251234559,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.bf4a366173f83p+8,0x1.bf31cb9343486p+9",SAFE,0.5,112.18253525606336,112.1916694881076,204.9999976000057,153.1825347760645,153.19166900810876,0.00913423204424646,0.02291670000704471
M1,finalist,330.45701545502175,917.6828836194836,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4a74fef70115cp+8,0x1.cad768bafe540p+9",SAFE,0.5,117.4315640721153,117.44120242074179,200.0737003239146,157.44630413689822,157.4559424855247,0.009638348626495485,0.02468429999134969
M1,finalist,330.3618886902035,917.192016461887,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4a5ca4bcb9376p+8,0x1.ca9893fed40c9p+9",SAFE,0.5,117.50537260153368,117.51369410001402,199.97488787640123,157.50035017681392,157.50867167529427,0.008321498480341916,0.022968700010096654
M1,finalist,330.2670073700144,916.7011018026899,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4a445a985200cp+8,0x1.ca59bdb430dc2p+9",SAFE,0.5,117.57636585786375,117.58627232657035,199.87608434114338,157.55158272609242,157.56148919479904,0.009906468706603277,0.023701600002823398
M1,finalist,330.1723715181708,916.2101397646137,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4a2c208a314e3p+8,0x1.ca1ae5dc1c4d7p+9",SAFE,0.5,117.64960960102418,117.65868037037731,199.77728975642165,157.60506755230853,157.61413832166164,0.009070769353130004,0.026581400001305155
M1,finalist,330.0779811583277,915.719130470391,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4a13f692bcb8cp+8,0x1.c9dc0c779df17p+9",SAFE,0.5,117.72155957930453,117.73082820098497,199.67850416057814,157.65726041142017,157.6665290331006,0.009268621680448064,0.05113100000016857
