mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2432c7b51p+8,0x1.bef87aaa0f841p+9",448.18414609313646,893.9412434173356,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",1,True,True,True,7584931049341037920718427/309485009821345068724781056,1.2254117109478102e-05,112.18086696671583,112.18865494421046,0.007787977494629672,204.99999754917658,153.18086647655116,153.18865445404577,False,0.0,0.034845299989683554,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",448.18405737274617,893.9412878979922,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",2,True,True,True,7584914947381575259187799/309485009821345068724781056,1.2254091075192264e-05,112.18087469890915,112.18866267787726,0.007787978968110565,204.99999754918178,153.1808742087455,153.18866218771362,False,0.0,0.0348433000035584,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c919db04ef18ep+8,0x1.bcb517675e2f0p+9",457.1009982188924,889.4147767267114,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",21,True,True,True,2504311407086267954246735/77371252455336267181195264,1.6183733237085107e-05,112.18764347866562,112.1966686458399,0.009025167174286253,204.99999676325336,153.18764283131628,153.19666799849057,False,0.0,0.019846199997118674,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.b738f41989457p+8,0x1.c1306ca13d1cep+9",439.2224746666083,898.378315119591,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",24,True,True,True,6397248736397824750732127/309485009821345068724781056,1.0335312822462583e-05,112.2025938704117,112.21058019502254,0.007986324610840256,204.99999793293745,153.20259345699918,153.21057978161002,False,0.0,0.026757400002679788,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.d1f8ddebd3bb1p+8,0x1.ba665194be9bfp+9",465.97213624877173,884.7993646555623,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",33,True,True,True,16261849438963220873084315/309485009821345068724781056,2.627243509323307e-05,112.22018228370851,112.22956276844333,0.00938048473481956,204.999994745513,153.22018123281111,153.22956171754595,False,0.0,0.03135280001151841,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ae3785809a064p+8,0x1.c35cdeca25e0bp+9",430.21688083420145,902.7255490002584,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",36,True,True,True,1441230882193943447380419/77371252455336267181195264,9.313736313742993e-06,112.24797429682611,112.25730139367256,0.009327096846448057,204.99999813725273,153.24797392427666,153.2573010211231,False,0.0,0.03487180000229273,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.dc51f4d500b71p+8,0x1.b7a2cb275485cp+9",476.3201420904871,879.2718247568805,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",43,True,True,True,55839638738795427269546975/309485009821345068724781056,9.021380594731454e-05,112.2959486092129,112.30409183537182,0.00814322615892138,204.99998195723882,153.29594500066065,153.3040882268196,False,0.0,0.03253979999863077,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.a480d4c7d84aep+8,0x1.c5a540450ab44p+9",420.5032467749651,907.2910238554255,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",47,True,True,True,1352688307200564863704159/77371252455336267181195264,8.74154341090616e-06,112.32333955720222,112.33153754283016,0.008197985627944604,204.99999825169132,153.32333920754047,153.33153719316843,False,0.0,0.02145129999553319,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e516bbe400cebp+8,0x1.b53b802ba73f8p+9",485.0888044836017,874.4648489538804,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",58,True,True,True,24668659320471185597538119/309485009821345068724781056,3.985436944731191e-05,112.3927504731477,112.40259020306648,0.009839729918780904,204.9999920291261,153.39274887897292,153.4025886088917,False,0.0,0.029878500004997477,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.9b68d28f40b04p+8,0x1.c7b9adfdada82p+9",411.4094628842288,911.4506222818311,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",61,True,True,True,164330478427392505413631/9671406556917033397649408,8.495686643072986e-06,112.41635872500551,112.42618124947687,0.009822524471360339,204.99999830086267,153.41635838517806,153.42618090964942,False,0.0,0.01953710000088904,SAFE
