problem,group,case,action,path,channel,x,y,time,delta,distance,move,measure,switch,clear,outcome,stage
3,official,GMT5-XZ6U-J636-NXFS,1,/measure,1,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,direction,
3,official,GMT5-XZ6U-J636-NXFS,2,/measure,2,0.0,0.0,11.0,6.0,0.0,0.0,5.0,1.0,0.0,direction,
3,official,GMT5-XZ6U-J636-NXFS,3,/measure,3,0.0,0.0,17.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,4,/measure,4,0.0,0.0,23.0,6.0,0.0,0.0,5.0,1.0,0.0,direction,
3,official,GMT5-XZ6U-J636-NXFS,5,/measure,5,0.0,0.0,29.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,6,/measure,6,0.0,0.0,35.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,7,/measure,7,0.0,0.0,41.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,8,/measure,8,0.0,0.0,47.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,9,/measure,9,0.0,0.0,53.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,10,/measure,10,0.0,0.0,59.0,6.0,0.0,0.0,5.0,1.0,0.0,direction,
3,official,GMT5-XZ6U-J636-NXFS,11,/measure,11,0.0,0.0,65.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,12,/measure,12,0.0,0.0,71.0,6.0,0.0,0.0,5.0,1.0,0.0,direction,
3,official,GMT5-XZ6U-J636-NXFS,13,/measure,13,0.0,0.0,77.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,14,/measure,14,0.0,0.0,83.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
3,official,GMT5-XZ6U-J636-NXFS,15,/measure,15,0.0,0.0,89.0,6.0,0.0,0.0,5.0,1.0,0.0,direction,
3,official,GMT5-XZ6U-J636-NXFS,16,/measure,16,0.0,0.0,95.0,6.0,0.0,0.0,5.0,1.0,0.0,no_signal,
