key,channel,first,clear,first_position,clear_position
q3_official_GMT5-XZ6U-J636-NXFS,1,5.0,2393.861949,"[0.0, 0.0]","[279.5007032002651, -26.625403444973173]"
q3_official_GMT5-XZ6U-J636-NXFS,2,11.0,2620.410685,"[0.0, 0.0]","[622.187800379768, 983.2878446954921]"
q3_official_GMT5-XZ6U-J636-NXFS,4,23.0,1880.497979,"[0.0, 0.0]","[915.6742539133716, -204.34966694062814]"
q3_official_GMT5-XZ6U-J636-NXFS,10,59.0,3517.947098,"[0.0, 0.0]","[-758.2275058098811, 828.3817239274554]"
q3_official_GMT5-XZ6U-J636-NXFS,12,71.0,843.558955,"[0.0, 0.0]","[-540.6437401591764, -558.2241309383586]"
q3_official_GMT5-XZ6U-J636-NXFS,15,89.0,419.647935,"[0.0, 0.0]","[-427.7206734146848, 121.98362608423643]"
q3_official_GMT5-XZ6U-J636-NXFS,19,113.0,3354.226705,"[0.0, 0.0]","[-328.4621216389296, 830.9420030331046]"
q3_official_GMT5-XZ6U-J636-NXFS,16,652.206871,1143.886416,"[-1130.0, 1.3838508830365092e-13]","[-893.1608023214112, -667.5802549085215]"
q3_official_GMT5-XZ6U-J636-NXFS,7,974.776867,1319.09055,"[-565.0000000000005, -978.6087062764154]","[-737.601741710241, -1453.0956916012979]"
q3_official_GMT5-XZ6U-J636-NXFS,8,1638.356429,2178.264832,"[565.0000000000001, -978.6087062764157]","[1058.18920269413, -673.1077373552431]"
q3_official_GMT5-XZ6U-J636-NXFS,20,2029.72443,2847.808011,"[1130.0, 0.0]","[1233.057142772977, 961.4525304029883]"
q3_official_GMT5-XZ6U-J636-NXFS,17,2685.886466,3172.508651,"[565.0000000000001, 978.6087062764157]","[415.65118744109145, 1248.4226080169751]"
q4_official_99MS-BQAV-VMFP-73ME,1,5.0,542.659335,"[0.0, 0.0]","[-779.5751104761457, -808.3727325411063]"
q4_official_99MS-BQAV-VMFP-73ME,2,11.0,1575.599076,"[0.0, 0.0]","[-107.27879657357705, 1116.0781752742164]"
q4_official_99MS-BQAV-VMFP-73ME,6,35.0,5553.865715,"[0.0, 0.0]","[1187.6197136341857, 102.63765520575075]"
q4_official_99MS-BQAV-VMFP-73ME,7,41.0,463.82043,"[0.0, 0.0]","[-490.84755864961346, -930.7324500189225]"
q4_official_99MS-BQAV-VMFP-73ME,9,53.0,4628.349694,"[0.0, 0.0]","[766.9102778397898, -1103.2879549184206]"
q4_official_99MS-BQAV-VMFP-73ME,15,89.0,1276.161503,"[0.0, 0.0]","[-105.29271388025376, 1116.7342267776223]"
q4_official_99MS-BQAV-VMFP-73ME,16,95.0,691.896531,"[0.0, 0.0]","[-281.17365389350834, -389.3634727518748]"
q4_official_99MS-BQAV-VMFP-73ME,18,107.0,1127.546088,"[0.0, 0.0]","[-250.8140180788502, 456.795323772955]"
q4_official_99MS-BQAV-VMFP-73ME,20,318.0,3053.936384,"[-485.0, -840.0446416709054]","[-1393.4984021674165, -678.0503149639254]"
q4_official_99MS-BQAV-VMFP-73ME,3,862.147679,2962.887108,"[-970.0, 0.0]","[-1551.9883170360017, -310.69012175495567]"
q4_official_99MS-BQAV-VMFP-73ME,11,904.147679,3465.399435,"[-970.0, 0.0]","[-1088.1107134178937, 262.5977452515086]"
q4_official_99MS-BQAV-VMFP-73ME,19,946.147679,2824.809991,"[-970.0, 0.0]","[-1124.5390505675568, 121.463383415417]"
q4_official_99MS-BQAV-VMFP-73ME,10,1418.126337,2068.114417,"[-485.0, 840.0446416709054]","[-486.4567219332189, 1357.4349724397564]"
q4_official_99MS-BQAV-VMFP-73ME,14,1442.126337,1704.814152,"[-485.0, 840.0446416709054]","[-107.1602758315629, 1626.2290221379271]"
q4_official_99MS-BQAV-VMFP-73ME,4,4711.491238,5446.463273,"[485.0, -840.0446416709054]","[1421.6156077727464, -318.76677257181046]"
q4_official_99MS-BQAV-VMFP-73ME,13,5625.987572,5846.270641,"[970.0, 0.0]","[1027.118826414604, 928.7928543755916]"
q4_official_NKU4-RZ8H-7SPP-QB6H,3,17.0,3794.386602,"[0.0, 0.0]","[642.7210946049678, 579.0355493000178]"
q4_official_NKU4-RZ8H-7SPP-QB6H,5,29.0,3735.234321,"[0.0, 0.0]","[874.4224867013936, 628.3084287724972]"
q4_official_NKU4-RZ8H-7SPP-QB6H,8,47.0,2835.030779,"[0.0, 0.0]","[-558.1164277943659, 1232.1153654800528]"
q4_official_NKU4-RZ8H-7SPP-QB6H,11,65.0,4923.470614,"[0.0, 0.0]","[416.6646771764198, -1316.9185856179806]"
q4_official_NKU4-RZ8H-7SPP-QB6H,17,101.0,3899.555979,"[0.0, 0.0]","[402.3307584479651, 214.19032578087732]"
q4_official_NKU4-RZ8H-7SPP-QB6H,13,396.0,564.133608,"[-485.0, -840.0446416709054]","[-621.3145013537637, -1321.7497847214868]"
q4_official_NKU4-RZ8H-7SPP-QB6H,16,414.0,5959.75271,"[-485.0, -840.0446416709054]","[-531.0902081652207, 5.555868687638224]"
q4_official_NKU4-RZ8H-7SPP-QB6H,19,432.0,1154.038744,"[-485.0, -840.0446416709054]","[-1516.5023276964955, -572.5900189848405]"
q4_official_NKU4-RZ8H-7SPP-QB6H,18,1642.072533,1978.586894,"[-1940.0, 0.0]","[-1352.2181953857048, 883.2891198631719]"
q4_official_NKU4-RZ8H-7SPP-QB6H,9,2391.711321,2972.58383,"[-970.0, 1680.0892833418109]","[11.796089826880475, 1504.8156915102018]"
q4_official_NKU4-RZ8H-7SPP-QB6H,1,4026.902732,6402.576721,"[970.0, 0.0]","[797.6476418115888, 778.6178007411763]"
q4_official_NKU4-RZ8H-7SPP-QB6H,12,4068.902732,4325.115485,"[970.0, 0.0]","[1546.3757163311225, -790.8471574843925]"
q4_official_NKU4-RZ8H-7SPP-QB6H,7,6558.619953,6777.344538,"[1455.0, 840.0446416709054]","[1206.7300849411158, 1162.9292836822333]"
q4_official_X92F-RY88-WJYF-FU46,6,35.0,2918.178251,"[0.0, 0.0]","[205.98495977424722, 693.0419931782241]"
q4_official_X92F-RY88-WJYF-FU46,16,95.0,3288.228142,"[0.0, 0.0]","[-932.9021128933186, 288.96302843602246]"
q4_official_X92F-RY88-WJYF-FU46,20,318.0,669.842272,"[-485.0, -840.0446416709054]","[-878.3648501298425, -1462.1072458421363]"
q4_official_X92F-RY88-WJYF-FU46,1,324.0,943.205022,"[-485.0, -840.0446416709054]","[-449.4225266043842, -1459.579995011712]"
q4_official_X92F-RY88-WJYF-FU46,3,336.0,626.815041,"[-485.0, -840.0446416709054]","[-1026.90348849581, -1402.5713214521936]"
q4_official_X92F-RY88-WJYF-FU46,8,366.0,987.316452,"[-485.0, -840.0446416709054]","[-281.60929330893583, -1359.174229256827]"
q4_official_X92F-RY88-WJYF-FU46,14,402.0,1057.051004,"[-485.0, -840.0446416709054]","[-305.19283074475527, -1650.9642495454123]"
q4_official_X92F-RY88-WJYF-FU46,4,735.134203,1447.619039,"[-970.0, -1680.0892833418109]","[-369.0715479262184, -1480.8244943282257]"
q4_official_X92F-RY88-WJYF-FU46,13,2331.382335,2546.711775,"[970.0, 0.0]","[1168.3379290021599, 651.2424763219121]"
q4_official_X92F-RY88-WJYF-FU46,11,3095.468023,5582.213331,"[-485.0, 840.0446416709054]","[-253.18850733030547, 735.4837100048537]"
q4_official_X92F-RY88-WJYF-FU46,17,3119.468023,3636.972911,"[-485.0, 840.0446416709054]","[-1530.6267896247105, 845.4727492689724]"
q4_official_92JV-CBMC-SSMY-3WDT,1,5.0,2542.521296,"[0.0, 0.0]","[762.3865309263638, -176.86425772166888]"
q4_official_92JV-CBMC-SSMY-3WDT,18,107.0,1871.118538,"[0.0, 0.0]","[217.1938889178103, 442.83097200964426]"
q4_official_92JV-CBMC-SSMY-3WDT,6,354.0,1116.586408,"[-485.0, -840.0446416709054]","[-167.19580874093828, -1658.4337787633758]"
q4_official_92JV-CBMC-SSMY-3WDT,14,402.0,632.256377,"[-485.0, -840.0446416709054]","[-264.114414654888, -1634.8463345597258]"
q4_official_92JV-CBMC-SSMY-3WDT,16,414.0,1326.947208,"[-485.0, -840.0446416709054]","[-490.26752982191454, -716.2138019978429]"
q4_official_92JV-CBMC-SSMY-3WDT,7,1535.354337,7364.481724,"[-970.0, 0.0]","[-550.4298521207032, -1040.1895148338908]"
q4_official_92JV-CBMC-SSMY-3WDT,4,1990.930607,5691.898712,"[485.0, 840.0446416709054]","[-81.96635563146685, 561.8170588815822]"
q4_official_92JV-CBMC-SSMY-3WDT,10,2020.930607,5851.813903,"[485.0, 840.0446416709054]","[-711.118316713327, 282.0637540219826]"
q4_official_92JV-CBMC-SSMY-3WDT,12,2032.930607,5663.726025,"[485.0, 840.0446416709054]","[-170.7298132057008, 487.3497196811749]"
q4_official_92JV-CBMC-SSMY-3WDT,3,2279.930607,4346.464644,"[970.0, 0.0]","[782.0253278062919, 809.5704540049448]"
q4_official_92JV-CBMC-SSMY-3WDT,17,5558.246512,6370.691318,"[-485.0, 840.0446416709054]","[-897.3761941788366, 1266.5802397172556]"
