audit,certified_clears,clear_attempts,cleared,completion_reason,device,discovery_nodes,distance_m,execution_backend,localization_observations,mean_time_per_source_s,measures,mixed,optical_fallbacks,policy,problem,runtime_s,seed,status,total,variant,virtual_time_s,wall_s
True,15,15,15,coverage_exhausted,cpu,7,15990.697747888986,LOCAL_DEV,43,260.2759700666667,106,False,0,P3,3,0.9259296999953222,0,FULL_CLEAR,15,A,3904.139551,0.9264132999960566
True,15,15,15,coverage_exhausted,cpu,7,13283.000756363801,LOCAL_DEV,44,228.97334366666666,118,False,0,P3,3,0.9420511000062106,0,FULL_CLEAR,15,D,3434.600155,0.9425972000026377
True,14,14,14,coverage_exhausted,cpu,7,21499.236700852474,LOCAL_DEV,38,357.7748098571428,108,False,0,P3,3,0.9979634000046644,1,FULL_CLEAR,14,A,5008.847338,0.998441300005652
True,14,14,14,coverage_exhausted,cpu,7,15416.904073691843,LOCAL_DEV,41,275.1700582857143,118,False,0,P3,3,0.9636325000028592,1,FULL_CLEAR,14,D,3852.380816,0.9642048999958206
True,13,13,13,coverage_exhausted,cpu,7,16765.664614929265,LOCAL_DEV,33,313.39484015384613,111,False,0,P3,3,0.9428913000010652,2,FULL_CLEAR,13,A,4074.132922,0.9433551999973133
True,13,13,13,coverage_exhausted,cpu,7,14824.365361491018,LOCAL_DEV,37,292.68254384615386,130,False,0,P3,3,0.8418490000040038,2,FULL_CLEAR,13,D,3804.87307,0.8425019999995129
True,12,12,12,coverage_exhausted,cpu,7,16502.369594499127,LOCAL_DEV,34,332.53949341666663,107,False,0,P3,3,1.0071659000095678,3,FULL_CLEAR,12,A,3990.473921,1.007600299999467
True,12,12,12,coverage_exhausted,cpu,7,15672.079058149819,LOCAL_DEV,36,329.95131783333335,129,False,0,P3,3,0.9939011999958893,3,FULL_CLEAR,12,D,3959.415814,0.9944853999913903
True,11,11,11,coverage_exhausted,cpu,7,16863.43166042197,LOCAL_DEV,30,375.244212,118,False,0,P3,3,0.7837288999871816,4,FULL_CLEAR,11,A,4127.686332,0.7842175000114366
True,11,11,11,coverage_exhausted,cpu,7,13015.363720589428,LOCAL_DEV,31,309.00661327272724,124,False,0,P3,3,0.6604995999950916,4,FULL_CLEAR,11,D,3399.072746,0.6610713999980362
True,13,13,13,coverage_exhausted,cpu,7,16169.909065681184,LOCAL_DEV,36,304.61398584615387,111,False,0,P3,3,0.7649762000073679,5,FULL_CLEAR,13,A,3959.981816,0.7654350999946473
True,13,13,13,coverage_exhausted,cpu,7,14300.763548290779,LOCAL_DEV,38,275.8579008461539,111,False,0,P3,3,0.6868748000124469,5,FULL_CLEAR,13,D,3586.152711,0.6873588000016753
True,11,11,11,coverage_exhausted,cpu,7,17419.49328895423,LOCAL_DEV,33,381.8998779090909,112,False,0,P3,3,0.9967318999988493,6,FULL_CLEAR,11,A,4200.898657,0.9972531999956118
True,11,11,11,coverage_exhausted,cpu,7,16878.658534672748,LOCAL_DEV,34,375.15742781818176,117,False,0,P3,3,0.7753673999977764,6,FULL_CLEAR,11,D,4126.731706,0.7758739999990212
True,10,10,10,coverage_exhausted,cpu,7,13194.521819223331,LOCAL_DEV,28,342.6904363,124,False,0,P3,3,0.6653645000042161,7,FULL_CLEAR,10,A,3426.904363,0.6658368999924278
True,10,10,10,coverage_exhausted,cpu,7,13068.366350121705,LOCAL_DEV,29,337.1673269,119,False,0,P3,3,0.5756424999999581,7,FULL_CLEAR,10,D,3371.673269,0.5761887999979081
True,16,16,16,coverage_exhausted,cpu,7,21177.868250070398,LOCAL_DEV,43,306.160853,99,False,0,P3,3,1.1137084000074537,8,FULL_CLEAR,16,A,4898.573648,1.1142118999996455
True,16,16,16,coverage_exhausted,cpu,7,14861.650703035812,LOCAL_DEV,47,235.6456336875,121,False,0,P3,3,0.8613692000071751,8,FULL_CLEAR,16,D,3770.330139,0.8619009999965783
True,16,16,16,coverage_exhausted,cpu,7,16910.410971234774,LOCAL_DEV,45,255.880137125,107,False,0,P3,3,1.2077874999959022,9,FULL_CLEAR,16,A,4094.082194,1.2082937999948626
True,16,16,16,coverage_exhausted,cpu,7,17042.36888040189,LOCAL_DEV,48,265.5296110625,128,False,0,P3,3,1.0388323000079254,9,FULL_CLEAR,16,D,4248.473777,1.0394337000034284
True,14,14,14,coverage_exhausted,cpu,7,16956.411602031174,LOCAL_DEV,38,293.5201657142857,109,False,0,P3,3,0.9456827999965753,10,FULL_CLEAR,14,A,4109.28232,0.9461536000017077
True,14,14,14,coverage_exhausted,cpu,7,18343.43092868522,LOCAL_DEV,37,312.1918703571428,106,False,0,P3,3,0.8428672000009101,10,FULL_CLEAR,14,D,4370.686185,0.8433279999881051
True,16,16,16,coverage_exhausted,cpu,7,16220.866421171399,LOCAL_DEV,43,254.198330375,125,False,0,P3,3,1.0720682999963174,11,FULL_CLEAR,16,A,4067.173286,1.0727169000019785
True,16,16,16,coverage_exhausted,cpu,7,16060.380199648747,LOCAL_DEV,42,251.754752625,124,False,0,P3,3,1.0899877000047127,11,FULL_CLEAR,16,D,4028.076042,1.0905423999938648
True,15,15,15,coverage_exhausted,cpu,7,18477.188862051677,LOCAL_DEV,38,291.22918473333334,101,False,0,P3,3,1.0102497000043513,12,FULL_CLEAR,15,A,4368.437771,1.0107038999994984
True,15,15,15,coverage_exhausted,cpu,7,16489.544352676687,LOCAL_DEV,41,270.46059153333334,115,False,0,P3,3,0.9474728000059258,12,FULL_CLEAR,15,D,4056.908873,0.9481247999938205
True,10,10,10,coverage_exhausted,cpu,7,13728.454567640536,LOCAL_DEV,25,346.16909139999996,112,False,0,P3,3,0.6766429000126664,13,FULL_CLEAR,10,A,3461.690914,0.6772748000075808
True,10,10,10,coverage_exhausted,cpu,7,11042.07072861439,LOCAL_DEV,27,299.44141479999996,123,False,0,P3,3,0.5213515999930678,13,FULL_CLEAR,10,D,2994.414148,0.521663699997589
True,10,10,10,coverage_exhausted,cpu,7,15984.864502020819,LOCAL_DEV,25,389.9972903,110,False,0,P3,3,0.7544121000100859,14,FULL_CLEAR,10,A,3899.972903,0.7549016999982996
True,10,10,10,coverage_exhausted,cpu,7,11882.75652593007,LOCAL_DEV,29,317.1551305,125,False,0,P3,3,0.7130094000021927,14,FULL_CLEAR,10,D,3171.551305,0.7135609999968437
True,13,13,13,coverage_exhausted,cpu,7,20836.96769195783,LOCAL_DEV,36,371.87642584615384,102,False,0,P3,3,1.0434500999981537,15,FULL_CLEAR,13,A,4834.393536,1.0439036999887321
True,13,13,13,coverage_exhausted,cpu,7,14084.641878964072,LOCAL_DEV,41,275.22525953846156,117,False,0,P3,3,0.9789349000056973,15,FULL_CLEAR,13,D,3577.928374,0.9792379999998957
True,15,15,15,coverage_exhausted,cpu,7,18712.32543753184,LOCAL_DEV,41,289.8976725333333,90,False,0,P3,3,1.089994800000568,16,FULL_CLEAR,15,A,4348.465088,1.0904018000001088
True,15,15,15,coverage_exhausted,cpu,7,15725.237153676431,LOCAL_DEV,46,265.60316206666664,129,False,0,P3,3,1.1157333000010112,16,FULL_CLEAR,15,D,3984.047431,1.116392799987807
True,15,15,15,coverage_exhausted,cpu,7,14724.637888337209,LOCAL_DEV,43,244.52850506666667,109,False,0,P3,3,0.9876310999970883,17,FULL_CLEAR,15,A,3667.927576,0.9881376000121236
True,15,15,15,coverage_exhausted,cpu,7,14724.637888337209,LOCAL_DEV,43,244.52850506666667,109,False,0,P3,3,0.9220687999913935,17,FULL_CLEAR,15,D,3667.927576,0.9225583000079496
True,10,10,10,coverage_exhausted,cpu,7,15251.810796361231,LOCAL_DEV,25,374.1362158,108,False,0,P3,3,0.6412433999939822,18,FULL_CLEAR,10,A,3741.362158,0.6416842999897199
True,10,10,10,coverage_exhausted,cpu,7,11582.365078229646,LOCAL_DEV,27,309.8473014,123,False,0,P3,3,0.6364061000058427,18,FULL_CLEAR,10,D,3098.473014,0.637023399991449
True,10,10,10,coverage_exhausted,cpu,7,15549.107841393825,LOCAL_DEV,26,379.782157,108,False,0,P3,3,0.6969488999893656,19,FULL_CLEAR,10,A,3797.82157,0.6973830000060843
True,10,10,10,coverage_exhausted,cpu,7,12579.345897781994,LOCAL_DEV,27,330.18691789999997,124,False,0,P3,3,0.6883927000017138,19,FULL_CLEAR,10,D,3301.869179,0.6888786000054097
True,11,102,12,coverage_exhausted,cpu,7,27746.18840539013,LOCAL_DEV,35,544.4364730833333,110,False,1,P3,3,0.7560430000012275,20,FULL_CLEAR,12,A,6533.237677,0.7567400999978418
True,12,12,12,coverage_exhausted,cpu,7,14196.785342663326,LOCAL_DEV,37,295.1964223333333,108,False,0,P3,3,0.801229599994258,20,FULL_CLEAR,12,D,3542.357068,0.801519400003599
True,12,12,12,coverage_exhausted,cpu,7,15245.421626347419,LOCAL_DEV,32,315.25702716666666,113,False,0,P3,3,0.6912750000046799,21,FULL_CLEAR,12,A,3783.084326,0.6917691999988165
True,12,12,12,coverage_exhausted,cpu,7,15456.26366838361,LOCAL_DEV,34,322.18772774999996,120,False,0,P3,3,0.7111839999997756,21,FULL_CLEAR,12,D,3866.252733,0.7117290000023786
True,10,22,13,coverage_exhausted,cpu,7,16237.943618447684,LOCAL_DEV,31,307.1222093076923,110,False,3,P3,3,0.6650554000079865,22,FULL_CLEAR,13,A,3992.588721,0.6655350999935763
True,13,13,13,coverage_exhausted,cpu,7,13264.905430903576,LOCAL_DEV,34,258.9985453076923,109,False,0,P3,3,0.6429478999925777,22,FULL_CLEAR,13,D,3366.981089,0.6432172000058927
True,13,13,13,coverage_exhausted,cpu,7,19196.47198703477,LOCAL_DEV,36,348.56110753846156,106,False,0,P3,3,0.9829417999862926,23,FULL_CLEAR,13,A,4531.294398,0.983403600010206
True,13,13,13,coverage_exhausted,cpu,7,16865.560012058173,LOCAL_DEV,37,317.54707715384615,116,False,0,P3,3,0.9418021000019507,23,FULL_CLEAR,13,D,4128.112003,0.9422802000044612
True,16,16,16,coverage_exhausted,cpu,7,17654.843741431305,LOCAL_DEV,47,263.74804675,103,False,0,P3,3,1.1030166999989888,24,FULL_CLEAR,16,A,4219.968748,1.103476000003866
True,16,16,16,coverage_exhausted,cpu,7,12928.006801162574,LOCAL_DEV,53,208.350085,112,False,0,P3,3,0.900615899998229,24,FULL_CLEAR,16,D,3333.60136,0.9010911999939708
True,14,14,14,coverage_exhausted,cpu,7,19964.760411772906,LOCAL_DEV,37,335.4251487142857,107,False,0,P3,3,1.0175996999896597,25,FULL_CLEAR,14,A,4695.952082,1.0178774000087287
True,14,14,14,coverage_exhausted,cpu,7,15900.697065201686,LOCAL_DEV,41,281.79567221428573,117,False,0,P3,3,0.9319435999932466,25,FULL_CLEAR,14,D,3945.139411,0.9324274999962654
True,11,11,11,coverage_exhausted,cpu,7,17253.32285687796,LOCAL_DEV,31,374.2422336363636,103,False,0,P3,3,0.7479641000099946,26,FULL_CLEAR,11,A,4116.66457,0.7484464000008302
True,11,11,11,coverage_exhausted,cpu,7,13701.98105513468,LOCAL_DEV,33,315.12692845454546,113,False,0,P3,3,0.794158000004245,26,FULL_CLEAR,11,D,3466.396213,0.7946126999886474
True,14,378,15,coverage_exhausted,cpu,7,37082.30021205588,LOCAL_DEV,40,611.0306681999999,99,False,1,P3,3,0.9567047000018647,27,FULL_CLEAR,15,A,9165.460023,0.9576110999914818
True,15,15,15,coverage_exhausted,cpu,7,16542.05961030181,LOCAL_DEV,43,269.56079473333335,111,False,0,P3,3,0.9570062999991933,27,FULL_CLEAR,15,D,4043.411921,0.9573050000035437
True,14,14,14,coverage_exhausted,cpu,7,16067.882567937751,LOCAL_DEV,42,284.5411796428572,118,False,0,P3,3,1.0593575999955647,28,FULL_CLEAR,14,A,3983.576515,1.059871599994949
True,14,14,14,coverage_exhausted,cpu,7,14386.021023492056,LOCAL_DEV,36,263.37172885714284,124,False,0,P3,3,0.8537027999991551,28,FULL_CLEAR,14,D,3687.204204,0.8542540999915218
True,14,14,14,coverage_exhausted,cpu,7,18534.055731834713,LOCAL_DEV,35,313.0579390714286,102,False,0,P3,3,0.9247623999981442,29,FULL_CLEAR,14,A,4382.811147,0.9252245000097901
