id,variant,total,cleared,virtual_time_s,seconds_per_source,runtime_s,full_clear,audit_passed,error,nodes,completion_reason,baseline_exact_match,distance_m,measures,switches,clear_attempts,fallbacks,refresh_calls,route_changes,scene_hash,discovery_s,active_localization_s,diagnostic_s,optical_fallback_s,certified_clear_s
0,A,10,10,4075.242323,407.5242323,0.6598778999905335,True,True,,7,coverage_exhausted,True,16866.211615859356,110,102,10,0,0,0,4cbaf9fc88ba09d45e8ff8e8976583ab4ef217b07b81800cdbc534b4a8963f93,2021.9941729999996,1681.957765,0.0,0.0,371.29038500000024
0,B,10,10,3313.644043,331.3644043,0.49317540001356974,True,True,,7,coverage_exhausted,,12763.220216753543,119,116,10,0,20,3,4cbaf9fc88ba09d45e8ff8e8976583ab4ef217b07b81800cdbc534b4a8963f93,1746.4996990000002,1144.079385,0.0,0.0,423.0649589999997
1,A,14,14,4481.977308,320.14123628571434,0.9106050999980653,True,True,,7,coverage_exhausted,True,19164.886533351066,98,89,14,0,0,0,29f7593857583402f085f859a626f98103594de0eeb224a4aa711c17f3e49e21,1728.278628000001,2435.0597679999996,0.0,0.0,318.6389119999997
1,B,14,14,3578.835502,255.63110728571428,0.8997381999943173,True,True,,7,coverage_exhausted,,13889.17750695968,123,116,14,0,26,2,29f7593857583402f085f859a626f98103594de0eeb224a4aa711c17f3e49e21,1477.85487,1616.4513669999997,0.0,0.0,484.5292650000003
2,A,10,10,3985.224331,398.5224331,0.8524368000071263,True,True,,7,coverage_exhausted,True,16091.12164682622,121,112,10,0,0,0,57c5a2c0d15324a58b16b23aab9d751b5f27820fd2cf0c4e24d362fc9242163a,1775.932394,1983.9542419999998,0.0,0.0,225.33769500000005
2,B,10,10,3565.740979,356.5740979,0.7406569000013405,True,True,,7,coverage_exhausted,,13988.704878385488,121,113,10,0,20,2,57c5a2c0d15324a58b16b23aab9d751b5f27820fd2cf0c4e24d362fc9242163a,1507.2279910000002,1675.771341999999,0.0,0.0,382.74164600000086
3,A,12,12,3612.150868,301.01257233333337,0.9063233000051696,True,True,,7,coverage_exhausted,True,14630.754341283233,106,96,12,0,0,0,5428040137716def16c954b09da0876b445f3ba6257bc3ee6ac50e0690be005c,1801.965175,1581.6341500000003,0.0,0.0,228.5515429999998
3,B,12,12,3430.997997,285.91649975,0.772075799992308,True,True,,7,coverage_exhausted,,13139.989996964612,120,116,21,2,19,1,5428040137716def16c954b09da0876b445f3ba6257bc3ee6ac50e0690be005c,920.806018,1601.6345269999997,0.0,667.8971879999999,240.66026400000044
4,A,16,16,4357.648098,272.353006125,1.2044428000081098,True,True,,7,coverage_exhausted,True,18193.240480804634,108,99,16,0,0,0,0f2525663f1720f364b9adc1564175a0ffe5b138f39420afa8989d7b4fff241d,1354.3939489999998,2237.1602780000007,0.0,0.0,766.0938709999994
4,B,16,16,3972.105732,248.25660825,1.172910100009176,True,True,,7,coverage_exhausted,,15925.528658854502,119,112,16,0,28,4,0f2525663f1720f364b9adc1564175a0ffe5b138f39420afa8989d7b4fff241d,1297.3200810000003,1942.6305079999995,0.0,0.0,732.1551430000004
5,A,10,10,3562.281495,356.22814950000003,0.7039675999985775,True,True,,7,coverage_exhausted,True,14396.407474032843,107,98,10,0,0,0,6e127b28f7b3121519c29e49b3db31156f1aced7ce709fb4223394eaed653a2b,1757.5546450000002,1543.329478,0.0,0.0,261.39737199999985
5,B,10,10,3106.456933,310.6456933,0.775813799991738,True,True,,7,coverage_exhausted,,11677.284663529397,121,116,10,0,24,1,6e127b28f7b3121519c29e49b3db31156f1aced7ce709fb4223394eaed653a2b,1257.1549330000003,1590.1348989999992,0.0,0.0,259.1671010000005
6,A,11,11,3612.266314,328.38784672727274,0.5501062999974238,True,True,,7,coverage_exhausted,True,14056.331577676723,125,121,11,0,0,0,07c4f9a538109a036b8cd8c61fb9da1789b0fa99fb401380a2a87d283f40a7f7,1526.8647389999999,1791.3408890000003,0.0,0.0,294.06068599999986
6,B,11,11,3612.266314,328.38784672727274,0.5564300999976695,True,True,,7,coverage_exhausted,,14056.331577676723,125,121,11,0,19,0,07c4f9a538109a036b8cd8c61fb9da1789b0fa99fb401380a2a87d283f40a7f7,1526.8647389999999,1791.3408890000003,0.0,0.0,294.06068599999986
7,A,13,13,4243.84586,326.44968153846156,0.6203634000121383,True,True,,7,coverage_exhausted,True,17464.2292907264,115,111,13,0,0,0,a9384e2efab102cc452810f3f074a0adb4f2bfd1843c058f11df0f4184ab83a9,1845.302536,1660.6965540000003,0.0,0.0,737.8467700000001
7,B,13,13,3875.684147,298.1295497692308,0.7692871999897761,True,True,,7,coverage_exhausted,,15453.420731662618,121,115,13,0,26,3,a9384e2efab102cc452810f3f074a0adb4f2bfd1843c058f11df0f4184ab83a9,1553.97815,1877.6408359999996,0.0,0.0,444.0651610000004
8,A,15,15,4550.181303,303.34542020000004,0.8308608000079403,True,True,,7,coverage_exhausted,True,19620.906517146082,93,86,15,0,0,0,cb32a4cfe203f47a047351da4083dd6dc32ede499c3560a966c3eafe43c72c40,1934.9203380000008,2000.1340680000003,0.0,0.0,615.1268969999994
8,B,15,15,4517.649332,301.17662213333335,0.6761278999911156,True,True,,7,coverage_exhausted,,17733.246723233475,109,105,97,1,25,3,cb32a4cfe203f47a047351da4083dd6dc32ede499c3560a966c3eafe43c72c40,1345.036079,1100.4712670000001,0.0,1166.7387410000001,905.4032449999997
9,A,11,11,4564.887369,414.9897608181818,0.7411925000051269,True,True,,7,coverage_exhausted,True,19174.436832857456,114,105,11,0,0,0,08b644cc1218de339a7d0841af48149ed3790b4dad6f471b3115fcf46ff3f5a3,2055.012582,2260.6510220000005,0.0,0.0,249.22376499999956
9,B,11,11,3876.641918,352.42199254545454,0.7747932000056608,True,True,,7,coverage_exhausted,,15478.209585546272,122,116,11,0,27,2,08b644cc1218de339a7d0841af48149ed3790b4dad6f471b3115fcf46ff3f5a3,1690.4954649999995,1614.674613,0.0,0.0,571.4718400000002
