case,cohort,sources,A_s,D_s,D_saved_vs_A_s,D_saved_per_source_s
scene_000,old32,10,4075.242323,3313.644043,761.5982800000002,76.15982800000002
scene_001,old32,14,4481.977308,3578.835502,903.1418060000005,64.51012900000003
scene_002,old32,10,3985.224331,3565.740979,419.48335199999974,41.948335199999974
scene_003,old32,12,3612.150868,3382.938392,229.21247600000015,19.10103966666668
scene_004,old32,16,4357.648098,3972.105732,385.5423659999997,24.09639787499998
scene_005,old32,10,3562.281495,3106.456933,455.82456200000024,45.582456200000024
scene_006,old32,11,3612.266314,3612.266314,0.0,0.0
scene_007,old32,13,4243.84586,3875.684147,368.1617130000004,28.3201317692308
scene_008,old32,15,4550.181303,3710.501341,839.6799620000002,55.978664133333346
scene_009,old32,11,4564.887369,3876.641918,688.2454510000002,62.56776827272729
scene_010,old32,12,3593.325182,3263.618841,329.70634100000007,27.475528416666673
scene_011,old32,16,4866.837911,3906.942305,959.8956059999996,59.993475374999974
scene_012,old32,13,3494.092434,3404.645456,89.44697799999994,6.880536769230765
scene_013,old32,11,4089.391925,3335.619838,753.7720869999998,68.52473518181817
scene_014,old32,11,4478.925691,3852.760456,626.1652350000004,56.92411227272731
scene_015,old32,14,4543.700496,3860.996174,682.7043220000005,48.76459442857146
scene_016,old32,11,3939.755961,3199.381669,740.374292,67.30675381818182
scene_017,old32,11,3634.448293,3234.490155,399.95813799999996,36.35983072727272
scene_018,old32,12,3832.014384,3447.571628,384.4427559999999,32.036896333333324
scene_019,old32,11,3290.34211,3183.028846,107.31326399999989,9.755751272727263
scene_020,old32,13,4175.512871,3563.370988,612.1418829999998,47.08783715384614
scene_021,old32,12,3971.104079,3984.003623,-12.899543999999878,-1.0749619999999898
scene_022,old32,11,3816.709988,2972.028998,844.6809900000003,76.78918090909093
scene_023,old32,10,3626.790925,3182.704543,444.08638199999996,44.4086382
scene_024,old32,11,3805.053946,3420.001784,385.05216199999995,35.00474199999999
scene_025,old32,11,3091.099963,3039.081962,52.01800099999991,4.728909181818174
scene_026,old32,15,4064.153154,3191.52073,872.6324239999999,58.175494933333326
scene_027,old32,13,3907.588416,3252.770356,654.8180600000001,50.37062
scene_028,old32,15,3900.048131,3709.055462,190.9926690000002,12.732844600000014
scene_029,old32,14,3956.240543,3967.611216,-11.370672999999897,-0.8121909285714212
scene_030,old32,14,4450.410654,3518.074952,932.3357020000003,66.5954072857143
scene_031,old32,14,4485.330654,4124.786772,360.54388199999994,25.753134428571425
scene_032,new32,11,3337.722711,2993.705607,344.017104,31.274282181818183
scene_033,new32,10,3196.251533,3196.251533,0.0,0.0
scene_034,new32,11,4040.096005,3476.905057,563.1909479999999,51.19917709090908
scene_035,new32,13,3719.463549,3090.760616,628.702933,48.36176407692308
scene_036,new32,13,4302.061734,3464.237343,837.8243910000001,64.44803007692309
scene_037,new32,12,3730.302329,3638.623494,91.67883500000016,7.6399029166666805
scene_038,new32,14,4180.067003,3920.675597,259.3914060000002,18.527957571428583
scene_039,new32,14,4268.914934,3677.598469,591.3164650000003,42.23689035714288
scene_040,new32,10,3731.526011,2925.078174,806.4478369999997,80.64478369999998
scene_041,new32,13,4050.933678,3494.184611,556.7490669999997,42.82685130769229
scene_042,new32,12,3543.663131,3558.83031,-15.167179000000033,-1.263931583333336
scene_043,new32,16,4143.335452,3915.709364,227.62608800000044,14.226630500000027
scene_044,new32,13,4371.069763,3767.613192,603.4565710000006,46.41973623076928
scene_045,new32,10,3688.389181,3459.884967,228.50421400000005,22.850421400000005
scene_046,new32,14,3961.417243,3499.369835,462.0474079999999,33.00338628571428
scene_047,new32,10,3615.413495,3387.80881,227.6046849999998,22.76046849999998
scene_048,new32,14,3822.391445,3445.374905,377.0165400000001,26.929752857142862
scene_049,new32,11,4110.723382,3765.172547,345.550835,31.413712272727274
scene_050,new32,11,11109.611138,3421.654395,7687.956743000001,698.9051584545455
scene_051,new32,13,4001.086697,3849.907803,151.17889400000013,11.629145692307702
scene_052,new32,14,3932.159822,3498.272583,433.88723900000014,30.991945642857154
scene_053,new32,11,3756.666493,3225.544826,531.1216670000003,48.28378790909094
scene_054,new32,12,3890.090421,3478.788369,411.302052,34.275171
scene_055,new32,10,3465.922641,3030.9707,434.95194100000026,43.49519410000003
scene_056,new32,13,3666.848814,3435.549709,231.29910500000005,17.79223884615385
scene_057,new32,15,4105.405352,4093.359459,12.045892999999978,0.8030595333333319
scene_058,new32,16,4636.395164,3856.346265,780.0488989999994,48.753056187499965
scene_059,new32,10,3828.505525,2964.286615,864.21891,86.421891
scene_060,new32,12,4474.765429,3648.221357,826.5440720000001,68.87867266666667
scene_061,new32,15,4623.91249,4075.314572,548.5979179999995,36.5731945333333
scene_062,new32,10,3366.494284,3305.205436,61.28884799999969,6.128884799999969
scene_063,new32,14,4367.712883,3562.007998,805.7048850000001,57.55034892857144
