seed,total,C_s_per_source,R12_s_per_source,delta_s_per_source,delta_distance_m
0,15,592.0359094666667,473.6239288,-118.4119806666667,-7430.898528789548
1,14,633.5556095714285,496.24756399999995,-137.30804557142852,-6606.563202139088
2,13,624.3987870769231,526.5085661538461,-97.89022092307698,-5922.864347244242
3,12,724.9943040833333,613.4315271666667,-111.56277691666662,-4573.766592258828
4,11,763.4049139090909,610.4727456363636,-152.93216827272727,-5636.269228900146
5,13,690.797416,555.7716373846154,-135.02577861538464,-5686.675593845055
6,11,824.9228486363637,622.3694409090908,-202.55340772727288,-9330.437413341635
7,10,945.5701865000001,847.5218719000001,-98.04831460000003,-2582.4156940740613
8,16,546.0760354375,360.732773125,-185.34326231249997,-12082.460983188863
9,16,496.3483019375,387.303786125,-109.04451581250004,-6553.561246357782
10,14,592.2402097142857,562.9809808571429,-29.25922885714283,-888.1460182150477
11,16,543.6129920625,446.6840178125,-96.92897425000001,-4414.317901610993
12,15,582.7174298666666,490.1994171333333,-92.51801273333331,-5118.850950475036
13,10,912.4087872,674.4176567000001,-237.99113049999994,-7619.556509086997
14,10,922.0907577,678.4602971,-243.6304606,-7641.5230214438125
15,13,738.9626210769231,544.134776,-194.82784507692315,-9563.809914679987
16,15,594.0387980666667,543.0459140666667,-50.992884000000004,-1644.4662876696057
17,15,549.1142476666666,411.12736413333334,-137.9868835333333,-7784.016256745395
18,10,944.9337269,705.6717234,-239.2620035,-8383.100129908944
19,10,923.2798716,710.0439117,-213.2359599,-5891.797983121898
20,12,734.7006186666667,556.9447335,-177.75588516666676,-8075.353096681378
21,12,775.9092835833334,594.43112875,-181.4781548333334,-7478.689290034821
22,13,703.1921893076923,491.28162100000003,-211.91056830769224,-9614.186926060542
23,13,686.7394014615385,586.752105076923,-99.98729638461543,-5924.174249026139
24,16,581.9899994375,424.0385121875,-157.95148725000007,-9201.118963441797
25,14,648.7464835714285,515.76334,-132.9831435714285,-5883.82005868273
26,11,818.5203292727273,665.6253081818181,-152.89502109090915,-6104.226141667128
27,15,615.7275296666667,428.4770116,-187.25051806666664,-10063.788832811733
28,14,626.727606642857,466.47805014285717,-160.24955649999987,-8062.468929241761
29,14,648.4401305,456.59954921428573,-191.84058128571428,-9083.84067806949
30,16,578.8853391875,314.267740625,-264.6175985625,-14844.407889337162
31,12,761.4130275833332,574.3392551666667,-187.07377241666654,-8469.426335416396
32,15,596.2979063333333,470.4117336,-125.88617273333335,-8631.462968652195
33,11,821.3254775454545,637.935518,-183.38995954545453,-5916.447758295955
