id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks
0,regression,previous_C,R0,FULL_CLEAR,,16,16,7710.824452,481.92652825,481.92652825,27789.1222591669,350,323,16,0,3.5688538999966113,public_max_cleared,user_exit,0,2,5,b26ddbd5fc3c7517f38be3a3b20eb2c117737797ba7f7121f8b6943bd8097183,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,a83f9b9046a67008b589df491c3fa79e7c9047910fd773dfff7c4327160acf7c,0,core,5860.621367,1079.9648370000016,152.81270300000006,0.0,617.4255449999989,11.0,7417.330335,463.5831459375,7435.330335,18.0,0,3,0,30,332,3891.6213669999993,1660.0,309.0,89.0,445.0,82.0,123.0,615.0,120.0,120.0,600.0,107.0,True,True,False,7417.330335,14,2,293.4941170000002,139
0,regression,previous_C,R1,FULL_CLEAR,,16,16,7690.905041,480.6815650625,480.6815650625,27784.525201909353,347,319,16,0,3.514199400000507,public_max_cleared,user_exit,0,2,5,b26ddbd5fc3c7517f38be3a3b20eb2c117737797ba7f7121f8b6943bd8097183,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,7b6ab61b38248b4dd3aed2ba1ac0d2b554bb786d5fded8da95698455f218b2e9,0,core,5842.621367,974.7050060000013,152.81270300000006,0.0,720.7659649999994,11.0,7417.330335,463.5831459375,7417.330335,0,0,0,0,30,329,3891.6213669999993,1645.0,306.0,88.0,440.0,81.0,123.0,615.0,120.0,118.0,590.0,105.0,True,True,True,7417.330335,14,2,273.57470600000033,138
0,regression,previous_C,R2,FULL_CLEAR,,16,16,6586.985887,411.6866179375,411.6866179375,24804.929444508984,261,241,16,0,2.2859645999997156,public_max_cleared,user_exit,0,0,5,b26ddbd5fc3c7517f38be3a3b20eb2c117737797ba7f7121f8b6943bd8097183,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,ad6f6ac36a2f55f3a95b0c23b8acacf0e55549b599af596fed473e92300394c4,0,core,4257.571182,1315.2187709999998,0.0,0.0,1014.1959339999999,11.0,6133.730086,383.358130375,6449.026204,129.1775379999999,0,8,0,23,245,2802.571182,1225.0,230.0,48.0,240.0,48.0,105.0,525.0,98.0,92.0,460.0,84.0,True,True,False,6133.730086,14,2,453.25580100000025,96
0,regression,previous_C,R12,FULL_CLEAR,,16,16,6508.900192,406.806262,406.806262,24604.50097200874,255,233,16,0,2.4448477999976603,public_max_cleared,user_exit,0,0,5,b26ddbd5fc3c7517f38be3a3b20eb2c117737797ba7f7121f8b6943bd8097183,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,8b388593ef2e9bdd4e80ec6a5d13f907c92e148dce5ef7b19a5a8078bffe25e0,0,core,4128.393644,1493.0191649999997,0.0,0.0,887.4873830000001,11.0,6133.730086,383.358130375,6133.730086,0,0,0,0,22,237,2721.393644,1185.0,222.0,46.0,230.0,46.0,105.0,525.0,98.0,86.0,430.0,78.0,True,True,True,6133.730086,14,2,375.1701060000005,96
1,regression,previous_C,R0,FULL_CLEAR,,16,16,7751.642454,484.477653375,484.477653375,29948.212262426867,285,257,16,0,2.45360319998872,public_max_cleared,user_exit,0,0,2,00af031b8bddcdca30c0a32b58b5017cbffef48e865f4eb1d94c761598562506,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,a83f9b9046a67008b589df491c3fa79e7c9047910fd773dfff7c4327160acf7c,0,core,5975.978709,945.0139129999994,0.0,0.0,830.6498320000003,5.0,2392.028753,149.5017970625,7686.192681,4803.374916000001,0,160,0,34,274,4358.978709,1370.0,247.0,101.0,505.0,87.0,37.0,185.0,35.0,136.0,680.0,125.0,True,True,False,2392.028753,11,5,5359.613701,144
1,regression,previous_C,R1,FULL_CLEAR,,16,16,3917.788044,244.86175275,244.86175275,15213.940213206666,134,125,16,0,2.7219985999981873,public_max_cleared,user_exit,0,5,2,00af031b8bddcdca30c0a32b58b5017cbffef48e865f4eb1d94c761598562506,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,7b6ab61b38248b4dd3aed2ba1ac0d2b554bb786d5fded8da95698455f218b2e9,0,core,1172.6037929999998,1572.975626,404.0163139999995,0.0,768.1923110000005,5.0,2392.028753,149.5017970625,2392.028753,0,0,0,0,8,114,491.6037929999999,570.0,111.0,46.0,230.0,45.0,37.0,185.0,35.0,31.0,155.0,31.0,True,True,True,2392.028753,11,5,1525.7592909999998,98
1,regression,previous_C,R2,FULL_CLEAR,,16,16,5823.347241,363.9592025625,363.9592025625,22351.73623844491,216,193,16,0,2.151086400001077,public_max_cleared,user_exit,0,0,2,00af031b8bddcdca30c0a32b58b5017cbffef48e865f4eb1d94c761598562506,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,ad6f6ac36a2f55f3a95b0c23b8acacf0e55549b599af596fed473e92300394c4,0,core,3666.7078370000013,854.0952740000005,0.0,0.0,1302.5441299999989,5.0,5225.102608,326.568913,5545.084751,319.9821430000002,0,15,0,21,200,2483.707837000001,1000.0,183.0,54.0,270.0,48.0,62.0,310.0,57.0,84.0,420.0,78.0,True,True,False,5225.102608,14,2,598.2446330000002,102
1,regression,previous_C,R12,FULL_CLEAR,,16,16,5553.682914,347.105182125,347.105182125,21363.41460232482,204,181,16,0,2.370265899997321,public_max_cleared,user_exit,0,0,2,00af031b8bddcdca30c0a32b58b5017cbffef48e865f4eb1d94c761598562506,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,8b388593ef2e9bdd4e80ec6a5d13f907c92e148dce5ef7b19a5a8078bffe25e0,0,core,3346.725694000001,1110.5353269999998,0.0,0.0,1096.4218929999993,5.0,5225.102608,326.568913,5225.102608,0,0,0,0,19,185,2251.7256940000007,925.0,170.0,50.0,250.0,45.0,62.0,310.0,57.0,73.0,365.0,68.0,True,True,True,5225.102608,14,2,328.58030599999984,101
2,regression,previous_C,R0,FULL_CLEAR,,16,16,8918.874214,557.429638375,557.429638375,34289.37105709773,335,306,16,0,2.382939000002807,public_max_cleared,user_exit,0,2,9,54413849870c175805afc3d7a313ed958fe5993fdbdf03ffe5ce934aec8cb27f,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,a83f9b9046a67008b589df491c3fa79e7c9047910fd773dfff7c4327160acf7c,0,core,6714.845975000001,1049.8033199999998,225.96000099999992,0.0,928.2649179999986,29.0,8573.650565,535.8531603125,8760.650565,187.0,0,8,0,36,324,4799.845975000001,1620.0,295.0,97.0,485.0,89.0,83.0,415.0,82.0,144.0,720.0,124.0,True,True,False,8573.650565,15,1,345.22364899999957,140
2,regression,previous_C,R1,FULL_CLEAR,,16,16,8823.334751,551.4584219375,551.4584219375,34026.67374181143,328,298,16,0,2.3839153999870177,public_max_cleared,user_exit,0,2,9,54413849870c175805afc3d7a313ed958fe5993fdbdf03ffe5ce934aec8cb27f,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,7b6ab61b38248b4dd3aed2ba1ac0d2b554bb786d5fded8da95698455f218b2e9,0,core,6527.845975000001,1139.6702379999995,225.96000099999992,0.0,929.8585369999997,29.0,8573.650565,535.8531603125,8573.650565,0,0,0,0,35,316,4659.845975000001,1580.0,288.0,96.0,480.0,88.0,83.0,415.0,82.0,137.0,685.0,118.0,True,True,True,8573.650565,15,1,249.6841860000004,140
