id,cohort,family,total,comparison,delta_s_per_source,delta_percent,delta_total_s,baseline_s_per_source,valid
0,regression,previous_C,16,R1-R0,-1.244963187499991,-0.2583304953186069,-19.919410999999855,481.92652825,True
0,regression,previous_C,16,R2-R0,-70.2399103125,-14.574817154714287,-1123.838565,481.92652825,True
0,regression,previous_C,16,R12-R0,-75.12026624999999,-15.587493496733023,-1201.9242599999998,481.92652825,True
0,regression,previous_C,16,R12-R1,-73.8753030625,-15.368865467701982,-1182.004849,480.6815650625,True
0,regression,previous_C,16,R12-R2,-4.880355937499985,-1.1854541111756258,-78.08569499999976,411.6866179375,True
1,regression,previous_C,16,R1-R0,-239.615900625,-49.458607420955744,-3833.85441,484.477653375,True
1,regression,previous_C,16,R2-R0,-120.51845081249996,-24.875956604589796,-1928.2952129999994,484.477653375,True
1,regression,previous_C,16,R12-R0,-137.37247125,-28.3547590467851,-2197.95954,484.477653375,True
1,regression,previous_C,16,R12-R1,102.243429375,41.755573594782255,1635.89487,244.86175275,True
1,regression,previous_C,16,R12-R2,-16.854020437500026,-4.630744412790555,-269.6643270000004,363.9592025625,True
2,regression,previous_C,16,R1-R0,-5.9712164374999475,-1.0712054089744916,-95.53946299999916,557.429638375,True
2,regression,previous_C,16,R2-R0,-120.36470281249996,-21.592806432643783,-1925.8352449999993,557.429638375,True
2,regression,previous_C,16,R12-R0,-167.00970762499998,-29.96067954188102,-2672.1553219999996,557.429638375,True
2,regression,previous_C,16,R12-R1,-161.03849118750003,-29.202290649892632,-2576.6158590000005,551.4584219375,True
2,regression,previous_C,16,R12-R2,-46.64500481250002,-10.672328301163802,-746.3200770000003,437.0649355625,True
3,regression,previous_C,13,R1-R0,0.0,0.0,0.0,802.0512623076922,True
3,regression,previous_C,13,R2-R0,-278.35042192307685,-34.704816886915246,-3618.555485,802.0512623076922,True
3,regression,previous_C,13,R12-R0,-278.35042192307685,-34.704816886915246,-3618.555485,802.0512623076922,True
3,regression,previous_C,13,R12-R1,-278.35042192307685,-34.704816886915246,-3618.555485,802.0512623076922,True
3,regression,previous_C,13,R12-R2,0.0,0.0,0.0,523.7008403846154,True
4,regression,previous_C,16,R1-R0,-68.57480893750005,-12.997725554340242,-1097.1969430000008,527.5908361875,True
4,regression,previous_C,16,R2-R0,-210.61777925,-39.92066669921248,-3369.884468,527.5908361875,True
4,regression,previous_C,16,R12-R0,-194.37077881250002,-36.84119690498619,-3109.9324610000003,527.5908361875,True
4,regression,previous_C,16,R12-R1,-125.79596987499997,-27.405572443440203,-2012.7355179999995,459.01602725,True
4,regression,previous_C,16,R12-R2,16.24700043749999,5.125672381896969,259.95200699999987,316.9730569375,True
5,development,strict_mixed_stratified,10,R1-R0,0.0,0.0,0.0,921.7760489,True
5,development,strict_mixed_stratified,10,R2-R0,-239.74146900000005,-26.008645948882613,-2397.4146900000005,921.7760489,True
5,development,strict_mixed_stratified,10,R12-R0,-239.74146900000005,-26.008645948882613,-2397.4146900000005,921.7760489,True
5,development,strict_mixed_stratified,10,R12-R1,-239.74146900000005,-26.008645948882613,-2397.4146900000005,921.7760489,True
5,development,strict_mixed_stratified,10,R12-R2,0.0,0.0,0.0,682.0345798999999,True
6,development,strict_mixed_stratified,11,R1-R0,0.0,0.0,0.0,855.0472505454545,True
6,development,strict_mixed_stratified,11,R2-R0,-197.04345272727267,-23.044744322793164,-2167.4779799999997,855.0472505454545,True
6,development,strict_mixed_stratified,11,R12-R0,-197.04345272727267,-23.044744322793164,-2167.4779799999997,855.0472505454545,True
6,development,strict_mixed_stratified,11,R12-R1,-197.04345272727267,-23.044744322793164,-2167.4779799999997,855.0472505454545,True
6,development,strict_mixed_stratified,11,R12-R2,0.0,0.0,0.0,658.0037978181819,True
7,development,strict_mixed_stratified,12,R1-R0,0.0,0.0,0.0,760.9392155,True
7,development,strict_mixed_stratified,12,R2-R0,-164.93317658333342,-21.67494764676554,-1979.1981190000006,760.9392155,True
7,development,strict_mixed_stratified,12,R12-R0,-164.93317658333342,-21.67494764676554,-1979.1981190000006,760.9392155,True
7,development,strict_mixed_stratified,12,R12-R1,-164.93317658333342,-21.67494764676554,-1979.1981190000006,760.9392155,True
7,development,strict_mixed_stratified,12,R12-R2,0.0,0.0,0.0,596.0060389166666,True
8,development,strict_mixed_stratified,13,R1-R0,0.0,0.0,0.0,680.3396154615384,True
8,development,strict_mixed_stratified,13,R2-R0,-152.96475553846153,-22.483587911412616,-1988.5418219999992,680.3396154615384,True
8,development,strict_mixed_stratified,13,R12-R0,-152.96475553846153,-22.483587911412616,-1988.5418219999992,680.3396154615384,True
8,development,strict_mixed_stratified,13,R12-R1,-152.96475553846153,-22.483587911412616,-1988.5418219999992,680.3396154615384,True
8,development,strict_mixed_stratified,13,R12-R2,0.0,0.0,0.0,527.3748599230769,True
9,development,strict_mixed_stratified,14,R1-R0,0.0,0.0,0.0,676.1980833571428,True
9,development,strict_mixed_stratified,14,R2-R0,-138.8613917857142,-20.5356086039618,-1944.0594849999998,676.1980833571428,True
9,development,strict_mixed_stratified,14,R12-R0,-138.8613917857142,-20.5356086039618,-1944.0594849999998,676.1980833571428,True
9,development,strict_mixed_stratified,14,R12-R1,-138.8613917857142,-20.5356086039618,-1944.0594849999998,676.1980833571428,True
9,development,strict_mixed_stratified,14,R12-R2,0.0,0.0,0.0,537.3366915714286,True
10,development,strict_mixed_stratified,15,R1-R0,0.0,0.0,0.0,599.9281100000001,True
10,development,strict_mixed_stratified,15,R2-R0,-128.22462953333343,-21.373332470341058,-1923.3694430000005,599.9281100000001,True
10,development,strict_mixed_stratified,15,R12-R0,-128.22462953333343,-21.373332470341058,-1923.3694430000005,599.9281100000001,True
10,development,strict_mixed_stratified,15,R12-R1,-128.22462953333343,-21.373332470341058,-1923.3694430000005,599.9281100000001,True
10,development,strict_mixed_stratified,15,R12-R2,0.0,0.0,0.0,471.70348046666663,True
11,development,strict_mixed_stratified,16,R1-R0,-168.50707768750001,-40.49569331445883,-2696.1132430000002,416.111106875,True
11,development,strict_mixed_stratified,16,R2-R0,-53.6749734375,-12.899192679714746,-858.799575,416.111106875,True
11,development,strict_mixed_stratified,16,R12-R0,-132.35464743750003,-31.807525742700115,-2117.6743590000005,416.111106875,True
11,development,strict_mixed_stratified,16,R12-R1,36.15243024999998,14.600905473401356,578.4388839999997,247.6040291875,True
11,development,strict_mixed_stratified,16,R12-R2,-78.67967400000003,-21.70856234828691,-1258.8747840000005,362.4361334375,True
12,development,strict_mixed_stratified,10,R1-R0,0.0,0.0,0.0,903.7262401,True
12,development,strict_mixed_stratified,10,R2-R0,-205.94197430000008,-22.788092805318122,-2059.4197430000004,903.7262401,True
12,development,strict_mixed_stratified,10,R12-R0,-205.94197430000008,-22.788092805318122,-2059.4197430000004,903.7262401,True
12,development,strict_mixed_stratified,10,R12-R1,-205.94197430000008,-22.788092805318122,-2059.4197430000004,903.7262401,True
12,development,strict_mixed_stratified,10,R12-R2,0.0,0.0,0.0,697.7842658,True
13,development,strict_mixed_stratified,11,R1-R0,0.0,0.0,0.0,806.9346617272728,True
13,development,strict_mixed_stratified,11,R2-R0,-158.47077563636367,-19.638613031834726,-1743.1785320000008,806.9346617272728,True
13,development,strict_mixed_stratified,11,R12-R0,-158.47077563636367,-19.638613031834726,-1743.1785320000008,806.9346617272728,True
13,development,strict_mixed_stratified,11,R12-R1,-158.47077563636367,-19.638613031834726,-1743.1785320000008,806.9346617272728,True
13,development,strict_mixed_stratified,11,R12-R2,0.0,0.0,0.0,648.4638860909091,True
14,development,strict_mixed_stratified,12,R1-R0,0.0,0.0,0.0,728.8979774166668,True
14,development,strict_mixed_stratified,12,R2-R0,-136.47227608333344,-18.723097101601713,-1637.6673130000008,728.8979774166668,True
14,development,strict_mixed_stratified,12,R12-R0,-136.47227608333344,-18.723097101601713,-1637.6673130000008,728.8979774166668,True
14,development,strict_mixed_stratified,12,R12-R1,-136.47227608333344,-18.723097101601713,-1637.6673130000008,728.8979774166668,True
14,development,strict_mixed_stratified,12,R12-R2,0.0,0.0,0.0,592.4257013333333,True
15,development,strict_mixed_stratified,13,R1-R0,0.0,0.0,0.0,687.9953097692307,True
15,development,strict_mixed_stratified,13,R2-R0,-151.42644323076922,-22.009807491501807,-1968.5437620000002,687.9953097692307,True
15,development,strict_mixed_stratified,13,R12-R0,-151.42644323076922,-22.009807491501807,-1968.5437620000002,687.9953097692307,True
15,development,strict_mixed_stratified,13,R12-R1,-151.42644323076922,-22.009807491501807,-1968.5437620000002,687.9953097692307,True
15,development,strict_mixed_stratified,13,R12-R2,0.0,0.0,0.0,536.5688665384615,True
16,development,strict_mixed_stratified,14,R1-R0,0.0,0.0,0.0,608.5605648571428,True
16,development,strict_mixed_stratified,14,R2-R0,-155.83133407142856,-25.606544865096435,-2181.638677,608.5605648571428,True
16,development,strict_mixed_stratified,14,R12-R0,-155.83133407142856,-25.606544865096435,-2181.638677,608.5605648571428,True
16,development,strict_mixed_stratified,14,R12-R1,-155.83133407142856,-25.606544865096435,-2181.638677,608.5605648571428,True
16,development,strict_mixed_stratified,14,R12-R2,0.0,0.0,0.0,452.72923078571426,True
17,development,strict_mixed_stratified,15,R1-R0,0.0,0.0,0.0,582.7991986,True
17,development,strict_mixed_stratified,15,R2-R0,-109.4277441333333,-18.776234489718004,-1641.4161619999995,582.7991986,True
17,development,strict_mixed_stratified,15,R12-R0,-109.4277441333333,-18.776234489718004,-1641.4161619999995,582.7991986,True
17,development,strict_mixed_stratified,15,R12-R1,-109.4277441333333,-18.776234489718004,-1641.4161619999995,582.7991986,True
17,development,strict_mixed_stratified,15,R12-R2,0.0,0.0,0.0,473.37145446666665,True
18,development,strict_mixed_stratified,16,R1-R0,-44.5866093125,-10.073280146031333,-713.385749,442.622548625,True
18,development,strict_mixed_stratified,16,R2-R0,-127.56167418749999,-28.81951554067192,-2040.9867869999998,442.622548625,True
18,development,strict_mixed_stratified,16,R12-R0,-233.000843375,-52.64097911387783,-3728.013494,442.622548625,True
18,development,strict_mixed_stratified,16,R12-R1,-188.4142340625,-47.33598538562495,-3014.627745,398.0359393125,True
