case,cohort,variant,sources,cleared,seconds,seconds_per_source,fallbacks,optical_seconds,measures,clear_attempts,wall_seconds,passed,error
scene_000,old32,A,10,10,4075.242323,407.5242323,0,0.0,110,10,0.6384681000054115,True,
scene_000,old32,D,10,10,3313.644043,331.3644043,0,0.0,119,10,0.5276072999986354,True,
scene_001,old32,A,14,14,4481.977308,320.14123628571434,0,0.0,98,14,0.7986115999956382,True,
scene_001,old32,D,14,14,3578.835502,255.63110728571428,0,0.0,123,14,0.7174957999959588,True,
scene_002,old32,A,10,10,3985.224331,398.5224331,0,0.0,121,10,0.6379755999951158,True,
scene_002,old32,D,10,10,3565.740979,356.5740979,0,0.0,121,10,0.5749448999995366,True,
scene_003,old32,A,12,12,3612.150868,301.01257233333337,0,0.0,106,12,0.6237969000067096,True,
scene_003,old32,D,12,12,3382.938392,281.9115326666667,0,0.0,123,12,0.6246026000007987,True,
scene_004,old32,A,16,16,4357.648098,272.353006125,0,0.0,108,16,0.8109116999985417,True,
scene_004,old32,D,16,16,3972.105732,248.25660825,0,0.0,119,16,0.774960499998997,True,
scene_005,old32,A,10,10,3562.281495,356.22814950000003,0,0.0,107,10,0.5806659000081709,True,
scene_005,old32,D,10,10,3106.456933,310.6456933,0,0.0,121,10,0.608047700006864,True,
scene_006,old32,A,11,11,3612.266314,328.38784672727274,0,0.0,125,11,0.5205837999965297,True,
scene_006,old32,D,11,11,3612.266314,328.38784672727274,0,0.0,125,11,0.5783227999927476,True,
scene_007,old32,A,13,13,4243.84586,326.44968153846156,0,0.0,115,13,0.5387893000006443,True,
scene_007,old32,D,13,13,3875.684147,298.1295497692308,0,0.0,121,13,0.6747285000019474,True,
scene_008,old32,A,15,15,4550.181303,303.34542020000004,0,0.0,93,15,0.7429358000081265,True,
scene_008,old32,D,15,15,3710.501341,247.36675606666668,0,0.0,110,15,0.570893200012506,True,
scene_009,old32,A,11,11,4564.887369,414.9897608181818,0,0.0,114,11,0.6786938000004739,True,
scene_009,old32,D,11,11,3876.641918,352.42199254545454,0,0.0,122,11,0.6429917999921599,True,
scene_010,old32,A,12,12,3593.325182,299.44376516666665,0,0.0,120,12,0.5832333999860566,True,
scene_010,old32,D,12,12,3263.618841,271.96823675,0,0.0,125,12,0.4928605999884894,True,
scene_011,old32,A,16,16,4866.837911,304.1773694375,0,0.0,98,16,0.8593284000089625,True,
scene_011,old32,D,16,16,3906.942305,244.1838940625,0,0.0,108,16,0.7095578000007663,True,
scene_012,old32,A,13,13,3494.092434,268.7763410769231,1,396.2957940000001,107,20,0.5533427000045776,True,
scene_012,old32,D,13,13,3404.645456,261.89580430769234,0,0.0,115,13,0.5425898000103189,True,
scene_013,old32,A,11,11,4089.391925,371.7629022727273,0,0.0,112,11,0.5456759000080638,True,
scene_013,old32,D,11,11,3335.619838,303.2381670909091,0,0.0,115,11,0.5895158000057563,True,
scene_014,old32,A,11,11,4478.925691,407.17506281818186,0,0.0,111,11,0.5755266999913147,True,
scene_014,old32,D,11,11,3852.760456,350.25095054545454,0,0.0,119,11,0.5193017999990843,True,
scene_015,old32,A,14,14,4543.700496,324.55003542857145,0,0.0,117,14,0.8564440000045579,True,
scene_015,old32,D,14,14,3860.996174,275.785441,0,0.0,124,14,0.7119118999980856,True,
scene_016,old32,A,11,11,3939.755961,358.1596328181818,0,0.0,104,11,0.46973119999165647,True,
scene_016,old32,D,11,11,3199.381669,290.852879,0,0.0,122,11,0.4690102000022307,True,
scene_017,old32,A,11,11,3634.448293,330.40439027272726,0,0.0,97,11,0.5639727999950992,True,
scene_017,old32,D,11,11,3234.490155,294.04455954545455,0,0.0,112,11,0.5067410999909043,True,
scene_018,old32,A,12,12,3832.014384,319.334532,0,0.0,106,12,0.6766585000004852,True,
scene_018,old32,D,12,12,3447.571628,287.2976356666667,0,0.0,118,12,0.6248285000037868,True,
scene_019,old32,A,11,11,3290.34211,299.12201,0,0.0,118,11,0.6735655999946175,True,
scene_019,old32,D,11,11,3183.028846,289.36625872727274,0,0.0,126,11,0.6430519999994431,True,
scene_020,old32,A,13,13,4175.512871,321.19329776923075,0,0.0,92,13,0.7764830999949481,True,
scene_020,old32,D,13,13,3563.370988,274.10546061538463,0,0.0,106,13,0.677186899993103,True,
scene_021,old32,A,12,12,3971.104079,330.9253399166667,0,0.0,112,12,0.5461676999984775,True,
scene_021,old32,D,12,12,3984.003623,332.0003019166667,0,0.0,117,12,0.6117081999982474,True,
scene_022,old32,A,11,11,3816.709988,346.9736352727273,0,0.0,118,11,0.5758130000031088,True,
scene_022,old32,D,11,11,2972.028998,270.18445436363635,0,0.0,118,11,0.45319829999061767,True,
scene_023,old32,A,10,10,3626.790925,362.67909249999997,0,0.0,105,10,0.5925046999909682,True,
scene_023,old32,D,10,10,3182.704543,318.2704543,0,0.0,112,10,0.5630434000049718,True,
scene_024,old32,A,11,11,3805.053946,345.9139950909091,0,0.0,117,11,0.6484266000043135,True,
scene_024,old32,D,11,11,3420.001784,310.9092530909091,0,0.0,126,11,0.5429328000027454,True,
scene_025,old32,A,11,11,3091.099963,281.0090875454546,0,0.0,109,11,0.46093159999873023,True,
scene_025,old32,D,11,11,3039.081962,276.28017836363637,0,0.0,118,11,0.4963471000082791,True,
scene_026,old32,A,15,15,4064.153154,270.9435436,0,0.0,88,15,0.8695133000001078,True,
scene_026,old32,D,15,15,3191.52073,212.7680486666667,0,0.0,106,15,0.8294195000053151,True,
scene_027,old32,A,13,13,3907.588416,300.5837243076923,0,0.0,104,13,0.8412075999949593,True,
scene_027,old32,D,13,13,3252.770356,250.2131043076923,0,0.0,108,13,0.7302596999943489,True,
scene_028,old32,A,15,15,3900.048131,260.00320873333334,0,0.0,103,15,0.8084248000086518,True,
scene_028,old32,D,15,15,3709.055462,247.27036413333332,0,0.0,102,15,0.7170100000075763,True,
