N,cohort,comparison,delta_detection_s,delta_failed_clear_s,delta_movement_s,delta_s_per_source,delta_switch_s,delta_total_s,directional_count,family,id,strict_mixed
16,development,B-A,-180,0,-1268.1604640739606,-92.19752900000003,-27,-1475.1604640000005,15,practice-gen-v1,0,True
16,development,C-B,-90,0,-1720.907134612668,-113.05669593749997,2,-1808.9071349999995,15,practice-gen-v1,0,True
16,development,C-A,-270,0,-2989.0675986866286,-205.2542249375,-25,-3284.067599,15,practice-gen-v1,0,True
12,development,B-A,0,0,0.0,0.0,0,0.0,9,practice-gen-v1,1,True
12,development,C-B,-395,0,-776.4662269389286,-103.37218541666675,-69,-1240.4662250000001,9,practice-gen-v1,1,True
12,development,C-A,-395,0,-776.4662269389286,-103.37218541666675,-69,-1240.4662250000001,9,practice-gen-v1,1,True
14,development,B-A,0,0,0.0,0.0,0,0.0,7,practice-gen-v1,2,True
14,development,C-B,-385,0,-920.335441310388,-98.0953888571429,-68,-1373.3354440000003,7,practice-gen-v1,2,True
14,development,C-A,-385,0,-920.335441310388,-98.0953888571429,-68,-1373.3354440000003,7,practice-gen-v1,2,True
15,development,B-A,0,0,0.0,0.0,0,0.0,13,practice-gen-v1,3,True
15,development,C-B,80,0,-1740.7715020823264,-108.78476660000001,29,-1631.7714990000004,13,practice-gen-v1,3,True
15,development,C-A,80,0,-1740.7715020823264,-108.78476660000001,29,-1631.7714990000004,13,practice-gen-v1,3,True
14,development,B-A,0,0,0.0,0.0,0,0.0,8,practice-gen-v1,4,True
14,development,C-B,-365,0,-1322.3569518387958,-125.2397822142857,-66,-1753.3569509999998,8,practice-gen-v1,4,True
14,development,C-A,-365,0,-1322.3569518387958,-125.2397822142857,-66,-1753.3569509999998,8,practice-gen-v1,4,True
12,development,B-A,0,0,0.0,0.0,0,0.0,8,practice-gen-v1,5,True
12,development,C-B,-695,0,-993.6698369897829,-151.63915299999996,-131,-1819.6698359999991,8,practice-gen-v1,5,True
12,development,C-A,-695,0,-993.6698369897829,-151.63915299999996,-131,-1819.6698359999991,8,practice-gen-v1,5,True
10,development,B-A,0,0,0.0,0.0,0,0.0,4,practice-gen-v1,6,True
10,development,C-B,-75,0,-1234.052045234995,-131.90520429999992,-10,-1319.0520429999997,4,practice-gen-v1,6,True
10,development,C-A,-75,0,-1234.052045234995,-131.90520429999992,-10,-1319.0520429999997,4,practice-gen-v1,6,True
15,development,B-A,0,0,0.0,0.0,0,0.0,5,practice-gen-v1,7,True
15,development,C-B,-65,0,-667.9018143243433,-49.52678753333339,-10,-742.9018130000004,5,practice-gen-v1,7,True
15,development,C-A,-65,0,-667.9018143243433,-49.52678753333339,-10,-742.9018130000004,5,practice-gen-v1,7,True
13,development,B-A,0,0,0.0,0.0,0,0.0,7,practice-gen-v1,8,True
13,development,C-B,-190,0,-916.5740983519281,-87.58262307692314,-32,-1138.5740999999998,7,practice-gen-v1,8,True
13,development,C-A,-190,0,-916.5740983519281,-87.58262307692314,-32,-1138.5740999999998,7,practice-gen-v1,8,True
14,development,B-A,0,0,0.0,0.0,0,0.0,10,practice-gen-v1,9,True
14,development,C-B,-700,0,-831.5049760701135,-119.10749821428567,-136,-1667.5049749999998,10,practice-gen-v1,9,True
14,development,C-A,-700,0,-831.5049760701135,-119.10749821428567,-136,-1667.5049749999998,10,practice-gen-v1,9,True
16,development,B-A,-120,0,-809.4637483719227,-59.27898425000001,-19,-948.4637480000001,4,practice-gen-v1,10,True
16,development,C-B,-440,0,-992.5774134424064,-94.7235885,-83,-1515.577416,4,practice-gen-v1,10,True
16,development,C-A,-560,0,-1802.0411618143291,-154.00257275,-102,-2464.041164,4,practice-gen-v1,10,True
15,development,B-A,0,0,0.0,0.0,0,0.0,2,practice-gen-v1,11,True
15,development,C-B,-385,0,-1062.0239944665504,-101.20159946666661,-71,-1518.0239920000004,2,practice-gen-v1,11,True
15,development,C-A,-385,0,-1062.0239944665504,-101.20159946666661,-71,-1518.0239920000004,2,practice-gen-v1,11,True
12,development,B-A,0,0,0.0,0.0,0,0.0,4,practice-gen-v1,12,True
12,development,C-B,-120,0,-423.32747923369027,-46.69395666666662,-17,-560.3274799999999,4,practice-gen-v1,12,True
12,development,C-A,-120,0,-423.32747923369027,-46.69395666666662,-17,-560.3274799999999,4,practice-gen-v1,12,True
11,development,B-A,0,0,0.0,0.0,0,0.0,8,practice-gen-v1,13,True
11,development,C-B,-460,0,-1381.2314471895493,-175.02104063636364,-84,-1925.2314470000001,8,practice-gen-v1,13,True
11,development,C-A,-460,0,-1381.2314471895493,-175.02104063636364,-84,-1925.2314470000001,8,practice-gen-v1,13,True
11,development,B-A,0,0,0.0,0.0,0,0.0,9,practice-gen-v1,14,True
11,development,C-B,-335,0,-756.975829358567,-104.6341666363636,-59,-1150.9758330000004,9,practice-gen-v1,14,True
11,development,C-A,-335,0,-756.975829358567,-104.6341666363636,-59,-1150.9758330000004,9,practice-gen-v1,14,True
13,development,B-A,0,0,0.0,0.0,0,0.0,6,practice-gen-v1,15,True
13,development,C-B,-455,0,-671.339920831185,-93.4876862307691,-89,-1215.3399209999989,6,practice-gen-v1,15,True
13,development,C-A,-455,0,-671.339920831185,-93.4876862307691,-89,-1215.3399209999989,6,practice-gen-v1,15,True
12,development,B-A,0,0,0.0,0.0,0,0.0,7,practice-gen-v1,16,True
12,development,C-B,-530,0,-1148.458388327006,-148.12153224999997,-99,-1777.4583870000006,7,practice-gen-v1,16,True
12,development,C-A,-530,0,-1148.458388327006,-148.12153224999997,-99,-1777.4583870000006,7,practice-gen-v1,16,True
16,development,B-A,-480,0,-3440.030388239954,-249.56439931250003,-73,-3993.0303890000005,11,practice-gen-v1,17,True
16,development,C-B,690,0,2359.955748119823,198.74723431249998,130,3179.9557489999997,11,practice-gen-v1,17,True
16,development,C-A,210,0,-1080.0746401201309,-50.817165000000045,57,-813.0746400000007,11,practice-gen-v1,17,True
14,development,B-A,0,0,0.0,0.0,0,0.0,2,practice-gen-v1,18,True
14,development,C-B,-185,0,-657.4183671350023,-62.45845485714278,-32,-874.4183679999987,2,practice-gen-v1,18,True
14,development,C-A,-185,0,-657.4183671350023,-62.45845485714278,-32,-874.4183679999987,2,practice-gen-v1,18,True
15,development,B-A,0,0,0.0,0.0,0,0.0,13,practice-gen-v1,19,True
15,development,C-B,-1035,0,-1236.0582769036832,-164.73721839999996,-200,-2471.0582759999998,13,practice-gen-v1,19,True
15,development,C-A,-1035,0,-1236.0582769036832,-164.73721839999996,-200,-2471.0582759999998,13,practice-gen-v1,19,True
14,development,B-A,0,0,0.0,0.0,0,0.0,11,practice-gen-v1,20,True
14,development,C-B,-225,0,-1144.0135187082742,-100.14382264285712,-33,-1402.0135169999994,11,practice-gen-v1,20,True
14,development,C-A,-225,0,-1144.0135187082742,-100.14382264285712,-33,-1402.0135169999994,11,practice-gen-v1,20,True
15,development,B-A,0,0,0.0,0.0,0,0.0,1,practice-gen-v1,21,True
15,development,C-B,-510,0,-838.7681449114928,-96.2512094,-95,-1443.7681410000005,1,practice-gen-v1,21,True
15,development,C-A,-510,0,-838.7681449114928,-96.2512094,-95,-1443.7681410000005,1,practice-gen-v1,21,True
15,development,B-A,0,0,0.0,0.0,0,0.0,10,practice-gen-v1,22,True
15,development,C-B,-455,0,-1111.9662720479726,-110.13108460000001,-85,-1651.9662690000005,10,practice-gen-v1,22,True
15,development,C-A,-455,0,-1111.9662720479726,-110.13108460000001,-85,-1651.9662690000005,10,practice-gen-v1,22,True
12,development,B-A,0,0,0.0,0.0,0,0.0,1,practice-gen-v1,23,True
12,development,C-B,-540,0,-1213.5853771788563,-153.79878141666654,-92,-1845.5853769999994,1,practice-gen-v1,23,True
12,development,C-A,-540,0,-1213.5853771788563,-153.79878141666654,-92,-1845.5853769999994,1,practice-gen-v1,23,True
