table,field,dtype,rows,missing
all_actions.csv,case_id,int64,286341,0
all_actions.csv,action_index,int64,286341,0
all_actions.csv,path,str,286341,0
all_actions.csv,stage,str,286341,0
all_actions.csv,channel,float64,286341,2000
all_actions.csv,start_x_m,float64,286341,0
all_actions.csv,start_y_m,float64,286341,0
all_actions.csv,end_x_m,float64,286341,0
all_actions.csv,end_y_m,float64,286341,0
all_actions.csv,time_before_s,float64,286341,0
all_actions.csv,time_after_s,float64,286341,0
all_actions.csv,delta_s,float64,286341,0
all_actions.csv,accepted,bool,286341,0
all_actions.csv,measure_result,str,286341,15185
all_actions.csv,clear_result,str,286341,273156
all_actions.csv,travel_s,float64,286341,0
all_actions.csv,measure_s,float64,286341,0
all_actions.csv,switch_s,float64,286341,0
all_actions.csv,clear_s,float64,286341,0
all_sources_m.csv,case_id,int64,12994,0
all_sources_m.csv,channel,int64,12994,0
all_sources_m.csv,x_um,int64,12994,0
all_sources_m.csv,y_um,int64,12994,0
all_sources_m.csv,max_receive_um,int64,12994,0
all_sources_m.csv,kind,str,12994,0
all_sources_m.csv,direction_udeg,float64,12994,5996
all_sources_m.csv,x_m,float64,12994,0
all_sources_m.csv,y_m,float64,12994,0
all_sources_m.csv,receive_radius_m,float64,12994,0
all_sources_m.csv,direction_deg,float64,12994,5996
all_sources_raw_fields.csv,case_id,int64,12994,0
all_sources_raw_fields.csv,channel,int64,12994,0
all_sources_raw_fields.csv,x_um,int64,12994,0
all_sources_raw_fields.csv,y_um,int64,12994,0
all_sources_raw_fields.csv,max_receive_um,int64,12994,0
all_sources_raw_fields.csv,kind,str,12994,0
all_sources_raw_fields.csv,direction_udeg,float64,12994,5996
ct_events.csv,case_id,int64,12282,0
ct_events.csv,event_index,int64,12282,0
ct_events.csv,channel,int64,12282,0
ct_events.csv,rho,float64,12282,0
ct_events.csv,model,str,12282,0
ct_events.csv,adopted,bool,12282,0
ct_events.csv,baseline_bridge_us,int64,12282,0
ct_events.csv,candidate_bridge_us,int64,12282,0
ct_events.csv,saving_us,int64,12282,0
ct_events.csv,baseline_bridge_distance,float64,12282,0
ct_events.csv,candidate_bridge_distance,float64,12282,0
ct_events.csv,bridge_consumed,bool,12282,0
ct_events.csv,coalescence_prestate_pass,bool,12282,0
ct_events.csv,time_before,float64,12282,0
ct_events.csv,clear_success,object,12282,64
ct_events.csv,clear_end_us,float64,12282,64
ct_events.csv,bridge_end_us,float64,12282,64
ct_events.csv,total_planning_wall_s,float64,12282,0
ct_events.csv,bridge_validation_s,float64,12282,64
ct_events.csv,start_x_m,float64,12282,0
ct_events.csv,start_y_m,float64,12282,0
ct_events.csv,z_x_m,float64,12282,0
ct_events.csv,z_y_m,float64,12282,0
ct_events.csv,q_x_m,float64,12282,0
ct_events.csv,q_y_m,float64,12282,0
ct_events.csv,next_x_m,float64,12282,420
ct_events.csv,next_y_m,float64,12282,420
ct_events.csv,fallback_z,object,12282,12218
ct_polygons.csv,case_id,int64,49995,0
ct_polygons.csv,event_index,int64,49995,0
ct_polygons.csv,vertex_index,int64,49995,0
ct_polygons.csv,x_m,float64,49995,0
ct_polygons.csv,y_m,float64,49995,0
ecdf_by_family.csv,family,str,1000,0
ecdf_by_family.csv,id,int64,1000,0
ecdf_by_family.csv,seconds_per_source,float64,1000,0
ecdf_by_family.csv,cumulative_probability,float64,1000,0
formal_metadata_only.csv,problem_no,int64,6,0
formal_metadata_only.csv,formal_index,int64,6,0
formal_metadata_only.csv,case_code,str,6,0
formal_metadata_only.csv,created_at_utc,str,6,0
formal_metadata_only.csv,client_version,str,6,0
formal_metadata_only.csv,build_id,str,6,0
formal_metadata_only.csv,content_encryption,str,6,0
formal_metadata_only.csv,payload_schema_version,str,6,0
formal_metadata_only.csv,file,str,6,0
formal_metadata_only.csv,bytes,int64,6,0
formal_metadata_only.csv,sha256,str,6,0
formal_metadata_only.csv,result_status,str,6,0
formal_metadata_only.csv,solver_version,str,6,0
formal_metadata_only.csv,total_sources,float64,6,6
formal_metadata_only.csv,cleared,float64,6,6
formal_metadata_only.csv,virtual_time_s,float64,6,6
