case_id,channel,x_um,y_um,max_receive_um,kind,direction_udeg,x_m,y_m,receive_radius_m,direction_deg
0,1,-162792454,-721995716,1484019397,directional,347016821.0,-162.792454,-721.995716,1484.019397,347.016821
0,2,214097904,1401255000,1054251999,omni,,214.097904,1401.255,1054.251999,
0,3,854256946,574410856,1484563794,omni,,854.256946,574.410856,1484.563794,
0,6,602106343,-1043220489,1308009076,directional,349477345.0,602.106343,-1043.220489,1308.009076,349.477345
0,9,-224510331,-910390722,1096773967,omni,,-224.510331,-910.390722,1096.773967,
0,11,-1032426802,1083414022,1246388492,directional,96106909.0,-1032.426802,1083.414022,1246.388492,96.106909
0,12,42527965,-1342801551,1286578324,directional,178872427.0,42.527965,-1342.801551,1286.578324,178.872427
0,14,-988514303,-962408385,1260355580,directional,97887925.0,-988.514303,-962.408385,1260.35558,97.887925
0,15,-142431513,-1611039660,1286466364,omni,,-142.431513,-1611.03966,1286.466364,
0,16,-298870199,-515626376,1147825809,omni,,-298.870199,-515.626376,1147.825809,
0,17,624622623,1281471151,1005342766,omni,,624.622623,1281.471151,1005.342766,
0,19,-938953036,-368436282,1344411230,omni,,-938.953036,-368.436282,1344.41123,
0,20,-685141741,-484261895,1439147272,omni,,-685.141741,-484.261895,1439.147272,
1,1,-973424320,1455390936,1288560877,omni,,-973.42432,1455.390936,1288.560877,
1,3,547986503,-612339072,1428717737,directional,59242240.0,547.986503,-612.339072,1428.717737,59.24224
1,4,1005857490,1318958874,1484026439,omni,,1005.85749,1318.958874,1484.026439,
1,5,-914301163,-415113879,1086485040,omni,,-914.301163,-415.113879,1086.48504,
1,6,-67795752,294884910,1488196780,omni,,-67.795752,294.88491,1488.19678,
1,7,-982482147,-1285949308,1200186744,omni,,-982.482147,-1285.949308,1200.186744,
1,8,218041625,-1291887213,1434386301,omni,,218.041625,-1291.887213,1434.386301,
1,9,-1192979603,82372492,1290722378,omni,,-1192.979603,82.372492,1290.722378,
1,12,-1425109884,-762031351,1047317187,omni,,-1425.109884,-762.031351,1047.317187,
1,14,1596139601,30955180,1062826317,omni,,1596.139601,30.95518,1062.826317,
1,15,-893000821,-245440554,1179455874,omni,,-893.000821,-245.440554,1179.455874,
1,16,-301655632,-843719520,1168861657,omni,,-301.655632,-843.71952,1168.861657,
1,17,-122791366,-309444280,1010045182,omni,,-122.791366,-309.44428,1010.045182,
1,18,1418396830,-784164261,1008545521,omni,,1418.39683,-784.164261,1008.545521,
1,19,1502393056,705640625,1037385017,omni,,1502.393056,705.640625,1037.385017,
1,20,1396548203,-208431981,1199975202,omni,,1396.548203,-208.431981,1199.975202,
2,1,870445643,-1234059293,1113694093,directional,333384400.0,870.445643,-1234.059293,1113.694093,333.3844
2,2,1459463637,-549225211,1226320295,directional,39770587.0,1459.463637,-549.225211,1226.320295,39.770587
2,3,760345428,299682462,1180977654,directional,88302844.0,760.345428,299.682462,1180.977654,88.302844
2,4,-1007862805,58549152,1287827228,directional,298794108.0,-1007.862805,58.549152,1287.827228,298.794108
2,5,1197822302,-445141106,1286703674,directional,174472334.0,1197.822302,-445.141106,1286.703674,174.472334
2,6,-1439124319,-162577368,1042467163,directional,77958072.0,-1439.124319,-162.577368,1042.467163,77.958072
2,9,-338823515,83349774,1439715481,directional,171692725.0,-338.823515,83.349774,1439.715481,171.692725
2,11,1210838600,945349481,1118226381,omni,,1210.8386,945.349481,1118.226381,
2,12,653648453,265217970,1384078489,directional,81876515.0,653.648453,265.21797,1384.078489,81.876515
2,14,-959469471,535206400,1215839975,directional,343329930.0,-959.469471,535.2064,1215.839975,343.32993
2,15,-662381923,-959600396,1304513176,directional,20771236.0,-662.381923,-959.600396,1304.513176,20.771236
2,16,1489642549,-471003070,1120886995,omni,,1489.642549,-471.00307,1120.886995,
2,17,-646152687,-462313197,1475659006,omni,,-646.152687,-462.313197,1475.659006,
2,18,960460799,425256691,1485034416,omni,,960.460799,425.256691,1485.034416,
2,19,699212132,-959137960,1079298231,directional,327058378.0,699.212132,-959.13796,1079.298231,327.058378
2,20,-304950989,-1396242770,1023249900,directional,266464338.0,-304.950989,-1396.24277,1023.2499,266.464338
3,1,-1034679651,118332773,1307656503,directional,200763169.0,-1034.679651,118.332773,1307.656503,200.763169
3,4,65895122,-1507045223,1017166881,directional,333834135.0,65.895122,-1507.045223,1017.166881,333.834135
3,5,-633019894,293034134,1294490162,directional,209482424.0,-633.019894,293.034134,1294.490162,209.482424
3,7,-9893073,1290358356,1425395663,directional,136151771.0,-9.893073,1290.358356,1425.395663,136.151771
