case_id,channel,x_um,y_um,max_receive_um,kind,direction_udeg
0,1,-162792454,-721995716,1484019397,directional,347016821.0
0,2,214097904,1401255000,1054251999,omni,
0,3,854256946,574410856,1484563794,omni,
0,6,602106343,-1043220489,1308009076,directional,349477345.0
0,9,-224510331,-910390722,1096773967,omni,
0,11,-1032426802,1083414022,1246388492,directional,96106909.0
0,12,42527965,-1342801551,1286578324,directional,178872427.0
0,14,-988514303,-962408385,1260355580,directional,97887925.0
0,15,-142431513,-1611039660,1286466364,omni,
0,16,-298870199,-515626376,1147825809,omni,
0,17,624622623,1281471151,1005342766,omni,
0,19,-938953036,-368436282,1344411230,omni,
0,20,-685141741,-484261895,1439147272,omni,
1,1,-973424320,1455390936,1288560877,omni,
1,3,547986503,-612339072,1428717737,directional,59242240.0
1,4,1005857490,1318958874,1484026439,omni,
1,5,-914301163,-415113879,1086485040,omni,
1,6,-67795752,294884910,1488196780,omni,
1,7,-982482147,-1285949308,1200186744,omni,
1,8,218041625,-1291887213,1434386301,omni,
1,9,-1192979603,82372492,1290722378,omni,
1,12,-1425109884,-762031351,1047317187,omni,
1,14,1596139601,30955180,1062826317,omni,
1,15,-893000821,-245440554,1179455874,omni,
1,16,-301655632,-843719520,1168861657,omni,
1,17,-122791366,-309444280,1010045182,omni,
1,18,1418396830,-784164261,1008545521,omni,
1,19,1502393056,705640625,1037385017,omni,
1,20,1396548203,-208431981,1199975202,omni,
2,1,870445643,-1234059293,1113694093,directional,333384400.0
2,2,1459463637,-549225211,1226320295,directional,39770587.0
2,3,760345428,299682462,1180977654,directional,88302844.0
2,4,-1007862805,58549152,1287827228,directional,298794108.0
2,5,1197822302,-445141106,1286703674,directional,174472334.0
2,6,-1439124319,-162577368,1042467163,directional,77958072.0
2,9,-338823515,83349774,1439715481,directional,171692725.0
2,11,1210838600,945349481,1118226381,omni,
2,12,653648453,265217970,1384078489,directional,81876515.0
2,14,-959469471,535206400,1215839975,directional,343329930.0
2,15,-662381923,-959600396,1304513176,directional,20771236.0
2,16,1489642549,-471003070,1120886995,omni,
2,17,-646152687,-462313197,1475659006,omni,
2,18,960460799,425256691,1485034416,omni,
2,19,699212132,-959137960,1079298231,directional,327058378.0
2,20,-304950989,-1396242770,1023249900,directional,266464338.0
3,1,-1034679651,118332773,1307656503,directional,200763169.0
3,4,65895122,-1507045223,1017166881,directional,333834135.0
3,5,-633019894,293034134,1294490162,directional,209482424.0
3,7,-9893073,1290358356,1425395663,directional,136151771.0
3,9,381119022,799768009,1130049803,directional,50331250.0
3,10,1428443936,-83582942,1274484217,directional,265531066.0
3,11,119459897,-1627889666,1222923186,directional,232438935.0
3,13,-1189499581,-1179728563,1264626657,omni,
3,15,-496982254,13711388,1387226858,directional,169446113.0
3,18,-877917687,933082462,1261825415,omni,
3,19,1211250840,216012614,1223396015,directional,33854074.0
3,20,1269974179,987722451,1064815362,directional,39378933.0
4,2,499632756,-1368319229,1129081144,omni,
4,3,993502211,328636773,1394341779,directional,272513727.0
4,5,422065774,970967526,1481058771,omni,
4,8,-492492022,-276398637,1455898662,directional,179242016.0
4,9,900093883,282310509,1185504384,omni,
4,11,329194097,-131101208,1315862795,directional,139825443.0
4,12,1045615162,-391220851,1317523054,omni,
4,13,-518956137,-405526300,1328277838,omni,
4,14,1376187588,803937564,1224489437,directional,161511421.0
4,15,-862819844,337705212,1371922110,omni,
4,16,464765808,1617154823,1153868024,omni,
4,17,145836695,-462017000,1146717729,omni,
4,19,-1433742903,569699070,1098961354,omni,
4,20,1241962387,1210096113,1472866140,omni,
5,1,109314143,-426541943,1016173032,directional,350263629.0
5,2,-326727105,-148963522,1248542582,directional,28624827.0
5,5,-1256830826,-461995947,1167036939,directional,90852153.0
5,6,-791669009,-178994956,1057114614,directional,329458301.0
5,7,-483569833,346410145,1390900066,directional,175636766.0
5,8,-103030241,597406615,1140186275,directional,24703811.0
5,9,-533663912,416315873,1110029979,directional,21095461.0
5,11,-1413328949,-1024826711,1259752728,directional,242309131.0
5,12,-358462702,-565829110,1083983129,directional,305467622.0
5,14,356378240,-1214641756,1119901203,directional,140155481.0
5,15,316718662,-248157226,1192048596,directional,173577558.0
5,16,784180616,604293511,1259095358,directional,247624458.0
5,17,1566225,1216671687,1094057312,directional,166882582.0
5,18,-987966179,-1396857495,1337575316,directional,348111194.0
5,20,-1266610665,732695918,1368964105,directional,88514338.0
6,1,-243042137,-1065465088,1052420933,omni,
6,2,277967836,-288708564,1365093420,omni,
6,3,432530333,-280391308,1423376988,omni,
6,4,1287548970,1214533059,1136696217,omni,
6,5,-1018900494,-599309547,1232860689,omni,
6,7,-1318635268,-794017988,1199540184,directional,122575138.0
6,9,1565865984,-232251684,1236157543,omni,
6,10,332734795,-691687135,1021159887,omni,
6,13,-39581993,841483436,1058224339,omni,
6,14,-501805090,721955499,1182067450,directional,22230388.0
6,15,877928926,-1506902222,1097095575,omni,
6,16,390727243,-23641098,1174526526,omni,
6,18,-438748569,-387703056,1295338390,omni,
6,20,18710918,901865802,1043764101,directional,43359915.0
7,1,-1434885735,-137850229,1047326661,omni,
7,2,-89838869,1520047616,1415915699,omni,
7,3,-116693019,-1615215645,1015466117,omni,
7,4,623484462,-682445401,1200268037,omni,
7,5,-1157547295,1119603161,1261954088,omni,
7,6,-1530633363,-814671479,1218151061,omni,
7,7,-1386205154,-462089198,1053928092,omni,
7,10,328588338,-172028022,1079773923,omni,
7,11,-730639619,-880994186,1240991384,directional,114501575.0
7,13,-1082370734,1251475156,1141205842,omni,
7,14,172657875,-698013518,1149584851,omni,
7,17,260522063,-1681358371,1117460975,omni,
7,18,654996597,-445585192,1289797295,omni,
7,19,-1427631133,-92233530,1291832096,omni,
8,3,-633496292,-774178625,1105117049,omni,
8,6,598067794,731730751,1004608355,omni,
8,11,904147063,-1470463016,1297710554,omni,
8,12,-535354167,-1452645460,1393998134,omni,
8,13,-621471155,208592163,1211759595,directional,272298240.0
8,14,-811365787,-491507490,1183217568,omni,
8,15,-1064828752,997064432,1352131373,omni,
8,16,1544857053,574457322,1211322233,directional,101016963.0
8,18,70714629,1479336420,1229923440,directional,22294860.0
8,19,-1268111583,1108935681,1295866325,omni,
9,1,-1041901304,-619245572,1284572666,omni,
9,2,-98455706,-1209771157,1070419970,omni,
9,3,771635853,131351317,1214503687,omni,
9,4,642478280,-434997465,1156422654,omni,
9,6,447304914,1627115776,1455118881,directional,11313072.0
9,7,949237673,1234544084,1082907445,omni,
9,10,1324694439,950645192,1413036065,directional,310432271.0
9,11,1056937954,-1137669272,1435719408,omni,
9,12,-536248551,-631279638,1320198435,omni,
9,13,358026180,-323204101,1063503087,directional,351476558.0
9,14,834850583,-68901146,1046135703,directional,58371265.0
9,15,493412472,327762196,1202329219,directional,289738639.0
9,16,511360683,-107616757,1435193164,omni,
9,18,-369054204,1576882267,1319486958,directional,95108308.0
9,19,1508448617,-659234829,1104678355,directional,145863057.0
9,20,-1097485004,1143636272,1045268055,omni,
10,2,-1644463933,-201492198,1216177346,omni,
10,3,1133676700,-903947357,1153479908,directional,97093746.0
10,4,311136889,-767603651,1306271380,omni,
10,5,742174004,-219699358,1291335494,omni,
10,6,-702438845,-893063254,1431944661,omni,
10,7,1181873893,-584960544,1177108990,directional,152514375.0
10,8,-29018871,1633354987,1220579844,omni,
10,9,91216271,-1276612964,1386656601,omni,
10,13,-488756817,-115969011,1158722007,omni,
10,14,466634139,-673909819,1291842296,directional,302606692.0
10,16,54751300,434766618,1361700304,omni,
10,18,347757588,-1449082134,1391753643,directional,110095327.0
10,19,621925961,89426606,1043360482,directional,342918166.0
10,20,-623407474,-1052208338,1096525896,omni,
11,2,1325487094,227314879,1228645189,directional,67811632.0
11,4,-725028740,-866762945,1256786971,directional,39836160.0
11,7,-1669651787,32343965,1427508525,directional,180351353.0
11,8,-82664293,828187761,1489535329,omni,
11,9,-17351712,1196608577,1079073890,directional,292947612.0
11,10,-1170446008,-859044534,1449045537,omni,
11,13,1369164709,-463643793,1294755186,directional,348359568.0
11,16,-667637548,-252945356,1477076818,directional,303263294.0
11,18,-834588300,-962907110,1194896165,directional,26755316.0
11,19,1102634909,-1061330159,1292459299,directional,217495476.0
11,20,-1117134852,152582958,1477492258,directional,190542611.0
12,2,-1469011253,-370009179,1225250599,omni,
12,3,-772755018,907614842,1408466829,omni,
12,4,1378871950,-748691176,1435824576,directional,308020907.0
12,5,558033507,340495577,1498594211,omni,
12,7,1096909412,-90072678,1310745043,directional,308115148.0
12,8,-168252060,-1016755172,1101991931,directional,149146985.0
12,9,1539368762,448967082,1092057838,omni,
12,10,-1079147033,-881114418,1130774862,omni,
12,11,343346698,1691583071,1191517257,directional,163902144.0
12,12,1128594799,-1277984093,1187767579,directional,9662450.0
12,13,-652607079,-863347338,1020916430,directional,134436946.0
12,15,885495474,-945217575,1280513261,omni,
12,17,-797250866,-121988694,1360069287,omni,
12,20,826248139,143474115,1175962350,omni,
13,1,735417411,-725304301,1081650851,omni,
13,2,827976011,688465802,1402756509,omni,
13,3,120702169,1432180726,1020300681,omni,
13,4,1425528001,787559929,1279181339,omni,
