case_id,family,total_sources,stage,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
0,mixed,13,discovery,15242.24043666705,3048.448091,270.0,1420.0,0.0,4738.448091,284
0,mixed,13,active_localization,9193.727502287216,1838.7454990000008,10.0,85.0,0.0,1933.7454990000008,17
0,mixed,13,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
0,mixed,13,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
0,mixed,13,certified_clear,1419.2166393875264,283.8433279999989,0.0,0.0,65.0,348.8433279999989,13
1,mixed,16,discovery,11747.478828307507,2349.495769,193.0,1020.0,0.0,3562.495769,204
1,mixed,16,active_localization,6980.057141219737,1396.0114270000013,11.0,80.0,0.0,1487.0114270000013,16
1,mixed,16,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
1,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
1,mixed,16,certified_clear,3000.228942091281,600.0457879999989,0.0,0.0,80.0,680.0457879999989,16
2,mixed,16,discovery,13956.696404241879,2791.339283,197.0,1040.0,0.0,4028.339283,208
2,mixed,16,active_localization,6180.67215815286,1236.1344319999994,12.0,85.0,0.0,1333.1344319999994,17
2,mixed,16,diagnostic,380.87013306109816,76.17402700000002,0.0,5.0,0.0,81.17402700000002,1
2,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
2,mixed,16,certified_clear,2744.062222948826,548.812444000001,0.0,0.0,80.0,628.812444000001,16
3,mixed,12,discovery,18722.141350704813,3744.4282730000004,298.0,1555.0,0.0,5597.428273,311
3,mixed,12,active_localization,5437.161395578688,1087.4322779999984,8.0,70.0,0.0,1165.4322779999984,14
3,mixed,12,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
3,mixed,12,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
3,mixed,12,certified_clear,2346.7613783859765,469.35227600000167,0.0,0.0,60.0,529.3522760000017,12
4,mixed,14,discovery,15564.551043165377,3112.9102120000016,221.0,1170.0,0.0,4503.910212000002,234
4,mixed,14,active_localization,5726.554593513609,1145.3109179999997,8.0,50.0,0.0,1203.3109179999997,10
