group,n,mean,median,P90,P95,P99,max,std_sample,normalized_variance,mean_game_s,full,audited,failed_attempts,failed_games,fallbacks
all_1000,1000,520.3934166103988,518.2913426098901,654.816562159091,678.4420810099999,736.8992910869999,782.0298454,103.0481283050112,0.03921178641743302,6576.319029984999,1000,1000,191,17,18
all_directional,69,568.2900642813441,567.78242225,707.1960509200001,737.3641530599999,754.6754509559998,763.6203806000001,102.69036215625172,0.032652711016339916,6979.265211594202,69,69,7,2,3
mixed,931,516.843611358739,516.1691256923077,652.1715107,675.2972043272728,718.19719307,782.0298454,102.2394035645816,0.03913076242419813,6546.455134677765,931,931,184,15,15
N=10,154,664.116503892857,660.3089636,718.19719307,742.70187491,768.142192226,782.0298454,40.930965931432006,0.003798528956653647,6641.165038928571,154,154,18,3,3
N=11,124,605.6709243042521,599.3450815,654.6197857090909,673.8009563136362,704.7972121536362,740.6981280909091,36.84840707641606,0.0037013826578888207,6662.380167346773,124,124,28,1,1
N=12,144,558.4925557037036,550.5489410416667,611.869655525,626.4340424666666,656.4794432666665,677.58386825,38.75664741679089,0.0048156800691382,6701.910668444445,144,144,22,3,3
N=13,146,517.8790686375132,514.8446428076923,562.2304730000001,577.6370572307692,615.5763091730771,637.2739316923077,33.64809064955967,0.004221474148996595,6732.427892287672,146,146,88,5,5
N=14,147,483.2731655330417,481.1053027857143,525.8591017285714,538.4456972071429,553.3567771285714,555.9195115,32.50985904166009,0.004525273277367468,6765.824317462586,147,147,6,2,2
N=15,154,455.915313639394,446.6817863333333,507.44396653333337,526.5141355166667,565.003386374,585.9547894666666,37.400949174650606,0.006729718344606282,6838.729704590909,154,154,29,3,4
N=16,131,349.0907993964695,351.3474549375,428.82487325,438.64292621875,453.60743239375,484.340579875,59.352343522308715,0.02890672813250172,5585.452790343512,131,131,0,0,0
