case_id,action_count,cost_sum_s,end_time_s,ledger_error_s
0,316,7021.036918,7021.036918,0.0
1,238,5729.552984,5729.552984,0.0
2,244,6071.460186,6071.460186,0.0
3,339,7292.212827,7292.212827,0.0
4,260,6510.523076,6510.523076,0.0
5,304,6664.40537,6664.40537,0.0
6,246,5891.227715,5891.227715,0.0
7,299,6106.459207,6106.459207,0.0
8,317,6602.595162,6602.595162,0.0
9,187,4847.167035,4847.167035,0.0
10,260,6235.479351,6235.479351,0.0
11,343,6731.594269,6731.594269,0.0
12,289,6810.467105,6810.467105,0.0
13,212,5068.470559,5068.470559,0.0
14,295,6556.213722,6556.213722,0.0
15,251,6328.061479,6328.061479,0.0
16,295,6777.983244,6777.983244,0.0
17,333,8010.886161,8010.886161,0.0
18,250,6736.635245,6736.635245,0.0
19,261,6364.043862,6364.043862,0.0
20,167,4095.408657,4095.408657,0.0
21,298,6879.235383,6879.235383,0.0
22,327,8131.006419,8131.006419,0.0
23,314,7749.449278,7749.449278,0.0
24,283,6468.859854,6468.859854,0.0
25,281,7143.9974,7143.9974,0.0
26,290,7057.878738,7057.878738,0.0
27,266,6582.462336,6582.462336,0.0
28,291,7252.893809,7252.893809,0.0
29,228,5970.023553,5970.023553,0.0
30,303,7097.29693,7097.29693,0.0
31,273,6848.060487,6848.060487,0.0
32,315,5936.01154,5936.01154,0.0
33,367,7820.298454,7820.298454,0.0
34,276,6573.298304,6573.298304,0.0
35,249,5756.879659,5756.879659,0.0
36,244,5999.766151,5999.766151,0.0
37,259,6308.522396,6308.522396,0.0
38,311,6410.205534,6410.205534,0.0
39,328,7495.689128,7495.689128,0.0
40,244,5814.27003,5814.27003,0.0
41,269,6489.550022,6489.550022,0.0
42,340,6832.920874,6832.920874,0.0
43,264,7319.495068,7319.495068,0.0
44,319,6354.293807,6354.293807,0.0
45,305,6753.553541,6753.553541,0.0
46,302,6834.73543,6834.73543,0.0
47,326,6631.565704,6631.565704,0.0
48,260,5870.843937,5870.843937,0.0
49,334,7131.686925,7131.686925,0.0
50,238,6561.60266,6561.60266,0.0
51,297,6595.096624,6595.096624,0.0
52,339,6521.715107,6521.715107,0.0
53,283,6442.665075,6442.665075,0.0
54,299,6395.482102,6395.482102,0.0
55,275,6161.661108,6161.661108,0.0
56,252,6460.242708,6460.242708,0.0
57,290,6342.326602,6342.326602,0.0
58,242,6101.739137,6101.739137,0.0
59,296,6655.253013,6655.253013,0.0
60,330,7018.692418,7018.692418,0.0
61,243,5825.992985,5825.992985,0.0
62,318,7332.886476,7332.886476,0.0
63,246,6073.515279,6073.515279,0.0
64,284,6890.11249,6890.11249,0.0
65,302,6904.262404,6904.262404,0.0
66,254,6171.425726,6171.425726,0.0
67,290,6579.760316,6579.760316,0.0
68,320,6387.413617,6387.413617,0.0
69,280,6815.16633,6815.16633,0.0
70,297,7727.07894,7727.07894,0.0
71,303,7169.596461,7169.596461,0.0
72,260,6808.407432,6808.407432,0.0
73,310,6975.943304,6975.943304,0.0
74,276,6869.924421,6869.924421,0.0
75,297,7040.928216,7040.928216,0.0
76,286,6472.219796,6472.219796,0.0
77,276,6271.18973,6271.18973,0.0
78,349,6729.20947,6729.20947,0.0
79,341,7503.215406,7503.215406,0.0
80,156,4227.811617,4227.811617,0.0
81,321,6716.943165,6716.943165,0.0
82,208,5406.934295,5406.934295,0.0
83,320,7310.889836,7310.889836,0.0
84,304,6157.71807,6157.71807,0.0
85,318,6661.376216,6661.376216,0.0
86,317,6370.160756,6370.160756,0.0
87,304,6511.054736,6511.054736,0.0
88,290,7465.583618,7465.583618,0.0
89,243,5451.173977,5451.173977,0.0
90,349,8147.679409,8147.679409,0.0
91,264,6651.214551,6651.214551,0.0
92,327,6972.454944,6972.454944,0.0
93,294,6078.309789,6078.309789,0.0
94,276,7275.787388,7275.787388,0.0
95,206,5586.127758,5586.127758,0.0
