audit,delta,directional_count,full,historical_B,historical_failed,id,revised_B,revised_failed,scene_hash,total
True,-0.012182923076920815,5,True,540.0919458461539,0,0,540.0797629230769,0,c344134eaa5f324601f07f10b4747709c7c395d45081baaa3ec48316c2fae656,13
True,0.0,1,True,358.0970615,0,1,358.0970615,0,49829375b45e3ddc61f3ff4f71cac44cad4e3889f1f6a02c96fd7422efcdd26f,16
True,0.008081375000017488,12,True,379.45818025,0,2,379.466261625,0,c2684cb2d4821d43494693a30a9c10cb2bd2bf6d6d922a98c8d52c3e37837798,16
True,0.0,10,True,607.6844022500001,0,3,607.6844022500001,0,39f1b588df5a8b5deba60740a1380b3ae69dc1307e7a9a2636f4909fe062d24e,12
True,0.0,4,True,465.0373625714286,0,4,465.0373625714286,0,bc09257ccc9e47be0cf67e1c3ac53f83d250cb2b8465714360decd98eb9fa866,14
True,0.0484808666666936,15,True,444.24521046666666,0,5,444.29369133333336,0,1c744e0be63cce6722094669aa74d0b73602e3614e3f69357a325210c577e64d,15
True,0.0,3,True,420.80197964285713,0,6,420.80197964285713,0,e0e85f10123ce8c72bd983e3808e86f57ed2591de3401326e6a19c6038210d71,14
True,0.0,1,True,436.1756576428571,0,7,436.1756576428571,0,11e452be1437d6f1d2961cec2c7c9ad16417d7c88200d6a35fb504f08ecdfb67,14
True,0.0,3,True,660.2595162,0,8,660.2595162,0,f3aed650f28b7441c2e92a972a730d9d6ce4df60f655352c2ea4908e8b642588,10
True,0.0,7,True,302.9479396875,0,9,302.9479396875,0,74ccbf548feaf7be2be84553c308a903969a63321000d24336d62e46e18054de,16
True,0.0,5,True,445.3913822142857,0,10,445.3913822142857,0,e9fbfa1625fc78e1bd10dad4a24e514504278904005a5e5cbde61c732f06771f,14
True,0.009783090909081693,9,True,611.9533322727273,0,11,611.9631153636363,0,4d2c17e9939d7e4d4815d2f03ea99a84bb22795933adc4d42148292da779e0fc,11
True,0.0,6,True,486.46193607142857,0,12,486.46193607142857,0,4547d6bc2a6b1b1631c7f4701c91fab9ab3603494ff32cb8a6fccf95963cbbbf,14
True,0.0,2,True,316.7794099375,0,13,316.7794099375,0,68b8d4a2a0e934d2702f5d864e9e04b33293bc68a9a9c80a62c8df5f7564d45f,16
True,0.0,3,True,596.0194292727273,0,14,596.0194292727273,0,6b54bee9923df5f81fee9d9048b6e64ea0a849896ebfd8b413cc630093a3141a,11
