id,N,A_s_per_source,B_s_per_source,delta_s_per_source,delta_game_s,A_failed_clears,B_failed_clears
0,13,529.7770056923077,540.0919458461539,10.314940153846123,134.09422199999972,0,0
1,16,347.8528333125,358.0970615,10.24422818749997,163.90765099999953,0,0
2,16,415.2562520625,379.45818025,-35.798071812499984,-572.7691489999997,0,0
3,12,596.204042,607.6844022500001,11.480360250000103,137.76432300000033,0,0
4,14,481.29438949999997,465.0373625714286,-16.25702692857135,-227.59837699999935,0,0
5,15,504.1412372666666,444.24521046666666,-59.89602679999996,-898.4404019999993,0,0
6,14,479.5820280714286,420.80197964285713,-58.78004842857149,-822.9206780000004,0,0
7,14,499.2172438571429,436.1756576428571,-63.04158621428576,-882.5822070000004,0,0
8,10,661.459508,660.2595162,-1.1999918000000207,-11.999918000000434,0,0
9,16,422.3447714375,302.9479396875,-119.39683174999999,-1910.3493079999998,0,0
10,14,445.76525314285715,445.3913822142857,-0.3738709285714208,-5.234193000000232,0,0
11,11,682.0729140909091,611.9533322727273,-70.11958181818181,-771.3154000000004,19,0
12,14,481.1106515714286,486.46193607142857,5.351284499999963,74.91798299999937,0,0
13,16,373.5744874375,316.7794099375,-56.79507749999999,-908.7212399999999,0,0
14,11,653.1621759090909,596.0194292727273,-57.142746636363654,-628.570213,0,0
15,15,418.627187,421.6922704666667,3.0650834666666924,45.976252000000386,0,0
16,13,589.1796013076923,521.3833264615384,-67.79627484615389,-881.3515729999999,0,0
17,12,638.23995225,667.57384675,29.333894500000042,352.0067340000005,0,0
18,14,471.125678,480.93291371428575,9.807235714285753,137.30130000000008,0,0
19,15,447.93447826666664,424.2696452,-23.66483306666663,-354.9724959999994,0,0
20,16,260.3014026875,255.9630410625,-4.3383616250000046,-69.41378600000007,0,0
21,13,583.4451773076923,529.1719525384616,-54.27322476923075,-705.5519219999996,0,0
22,12,582.3376081666667,677.58386825,95.24626008333337,1142.955121,0,0
23,16,423.4826090625,484.340579875,60.857970812500014,973.7275330000002,0,0
