seed,total,delta_vs_C_s_per_source,confirmed16_s,completion_s,after_confirmed16_s,remaining_nodes_at_release,remaining_targets_at_release,post_known16_active_localization_s,whole_stage_delta_active_localization_s,post_known16_diagnostic_s,whole_stage_delta_diagnostic_s,post_known16_optical_fallback_s,whole_stage_delta_optical_fallback_s,post_known16_certified_clear_s,whole_stage_delta_certified_clear_s,post_known16_discovery_s,whole_stage_delta_discovery_s,movement_delta_m,diagnostic_count_delta,fallback_count_delta
75,16,98.57367649999998,6013.686203,7231.175724,1217.4895209999995,3,4.0,199.35228700000062,-202.30760999999893,837.8869189999978,724.1365149999979,63.82525000000078,63.82525000000078,116.42506500000036,247.86684399999928,0,743.6578250000002,7395.894134303166,7,1
78,16,40.838065125000014,5753.633995,6584.278268,830.6442729999999,5,3.0,195.70977099999982,154.2377170000002,564.857618,1022.8361,0.0,32.700098000000025,70.07688400000006,-88.95870500000171,0,-467.40616799999816,2757.045205936538,9,1
194,16,13.596393250000006,6141.982696,7143.377267,1001.3945709999998,5,3.0,174.70654999999988,-13.915136000000302,711.8670540000003,654.9035070000018,0.0,0.0,114.82096699999965,205.3986219999989,0,-628.844701,2657.7114681231797,1,0
201,16,38.55047981249999,5390.312216,5916.679034,526.3668179999995,7,3.0,318.0715959999998,286.5621439999993,139.55490199999986,229.57858399999984,0.0,0.0,68.74031999999988,73.76142699999934,0,26.90552200000093,2804.038396923941,3,0
203,16,50.62043093750003,6390.915812,7542.254461,1151.3386490000003,2,3.0,124.52738299999965,236.06809899999973,798.9265189999996,822.3662889999996,0.0,0.0,227.88474700000097,-105.38438899999915,0,-143.12310399999933,4474.634490407036,4,0
259,16,41.266874937500006,5501.449376,6817.64193,1316.1925540000002,5,4.0,361.3622409999998,320.5804279999993,698.4436850000011,698.4436850000011,0.0,0.0,256.3866279999993,-40.378530000000296,0,-318.37558400000034,4006.350002708208,7,0
261,16,126.5134510625,6596.877959,7783.588013,1186.7100539999992,2,5.0,310.7181389999996,573.9075360000008,631.4966679999998,714.6299300000005,0.0,0.0,244.49524699999984,-265.1054839999997,0,1000.7832349999985,8391.076083461707,5,0
262,16,67.41558262500001,8045.545064,8227.687308,182.14224400000057,0,,136.30198399999972,886.0108609999997,0.0,-70.38313199999993,0.0,0.0,45.84026000000085,-271.50833999999884,0,534.5299329999998,3383.246614023523,-2,0
305,16,65.21865987500001,5534.344837,6476.112427,941.7675900000004,5,5.0,561.3211079999992,534.1278329999986,138.84465100000034,92.22472000000016,0.0,0.0,241.60183100000086,-257.060534999998,0,674.2065399999997,3787.492809063282,0,0
310,16,47.2480495625,6844.813758,7980.840649,1136.0268909999995,3,5.0,140.3073829999994,-142.81515600000125,737.3007720000005,1140.6351600000005,0.0,0.0,258.4187359999996,-9.719241999999213,0,-232.13196900000094,2639.843977929402,10,0
315,16,4.520003812500022,6627.360669,7492.674102,865.3134330000003,2,3.0,283.0404579999995,329.3159689999984,310.7603140000001,93.74180900000056,33.85092700000041,33.85092700000041,237.66173400000025,663.9731440000016,0,-1048.5617880000018,2931.6003017100775,1,1
358,16,88.62782143749996,6697.849976,7137.437972,439.5879959999993,3,3.0,408.1426769999998,372.0765520000002,0.0,309.23771399999987,0.0,0.0,31.445318999999472,193.6681619999988,0,543.0627150000009,5565.225724116266,2,0
426,16,22.852081749999968,6833.280443,7209.931086,376.65064299999995,1,3.0,131.086413,406.18898700000113,0.0,0.0,0.0,0.0,245.56422999999995,2.992088999999396,0,-43.54776800000127,1093.166541038252,0,0
463,16,8.044719937499963,6544.730483,6727.979216,183.24873299999945,0,,137.66697299999942,355.59967100000017,0.0,0.0,0.0,0.0,45.58176000000003,-51.52399299999945,0,-175.36015900000166,848.577593580656,0,0
485,16,93.15739056249998,5323.151771,5493.133215,169.981444,5,1.0,156.75366600000052,91.78930500000035,0.0,0.0,0.0,0.0,13.227777999999489,248.16335499999968,0,1150.5655889999998,6412.59126784679,0,0
508,16,27.89111656249997,6233.216022,6614.030927,380.8149050000002,2,2.0,142.3362590000006,544.2099700000003,123.0387440000004,-228.8618179999994,0.0,0.0,115.43990199999917,-96.62829800000122,0,227.5380110000001,2561.2893465713787,-5,0
