method,development_or_holdout,runs,full_clear,safety_pass,mean_s_per_source,improvement_pct,P50,P95,P99,max,normalized_variance,CV,movement_km,measure_count,switch_count,diagnostic_count,fallback_count,confirmed16_s,last_detection_s,route_compute_ms_p95,decision_compute_ms_p95,wins,ties,losses,mean_delta,median_delta,max_regression,N16_mean,N16_P95,N16_max,classification,mean_delta_ci_low,mean_delta_ci_high,P95_change_pct,P99_change_pct,max_change_pct,mean_improvement_ci_low,mean_improvement_ci_high,P95_improvement_ci_low,P95_improvement_ci_high,P99_improvement_ci_low,P99_improvement_ci_high
A1,development,128,128,True,538.0441406458845,2.109330151344102,543.8522102692307,695.4485266777272,733.66934251,762.42052,0.0388657501973384,0.1971439834165336,24.209807072927607,314.6796875,291.6953125,1.7578125,0.0546875,4901.66499461111,4767.316528359375,15.879859996493904,2.6375150016974658,81,0,47,-11.593676193788797,-8.634464755681819,70.48804833333327,367.51647615972223,436.2399832437499,466.520697,STRONG,-18.46027872498936,-4.6684481281521775,-5.651338231767977,-4.7027668003743255,-6.332010036662872,0.8624635711120224,3.3234227569059844,0.6686854284787214,8.276597833413401,-0.8260142300282602,10.774515474802
B-lite,development,128,128,True,583.0359130742816,-6.076382521610668,568.5936327664836,756.128302015,819.7676957500001,826.2017631000001,0.0327983240939503,0.1811030758820798,25.917907734976037,355.6171875,331.6796875,1.7890625,0.0390625,5426.063834444444,5199.403936648438,11.404679990664592,19.60460000263992,20,8,100,33.39809623460837,32.987551749999994,130.6409979375,420.0682751701389,466.16235125625,470.6254586875,STOP,27.64631181501738,39.583636700300126,2.5808391039411127,6.480656536827767,1.5039029297666984,-7.28954747563593,-4.973666393045192,-7.843358206710027,-0.087508835460226,-10.505036232240506,0.4322769014272531
C1,development,128,128,True,549.6378168396732,0.0,543.7315960000001,737.10481277,769.8747569860001,813.9605859999999,0.0391984953333798,0.1979860988387313,24.811567009228224,318.640625,295.3671875,1.9375,0.0546875,5303.0421618888895,5095.433614195314,11.837999996350836,4.908224997052457,0,128,0,0.0,0.0,0.0,389.2823608784722,460.2665249125,471.866453875,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2,development,128,128,True,585.1911372244803,-6.468499672972428,579.1424815939395,766.733723685,814.9123359970001,826.1473685000001,0.0330708535983752,0.1818539347893668,26.143780664688983,352.6875,328.640625,1.8125,0.0390625,5433.309992777777,5165.756486875,11.39465000596828,19.89504999801284,12,9,107,35.55332038480706,32.22326454807694,152.95976587500002,420.4058250659722,466.085042484375,470.110066875,STOP,29.57476110415044,41.65568244818323,4.019633354943952,5.8499877548029655,1.497220222896667,-7.673615322380755,-5.327554528558274,-6.780797302912674,-2.043546731681234,-9.85970969700418,2.7820498739726363
D,development,128,128,True,550.4398591004153,-0.1459219573634484,543.7315960000001,737.10481277,769.8747569860001,813.9605859999999,0.0382934419159231,0.1956871020683867,24.878581952332183,318.5546875,295.3671875,1.8046875,0.046875,5303.0421618888895,5095.433614195314,11.615380001603617,2.709649989265015,2,116,10,0.802042260742188,0.0,37.858116,394.9857725104167,471.7851530125,476.1036475,STOP,0.1744685709106452,1.6446321523437502,0.0,0.0,0.0,-0.303457219403111,-0.0314459742532796,0.0,0.0,0.0,0.0
E-H2,development,128,128,True,626.5920556416941,-14.000899582291314,628.8261105833333,809.19145598,839.6109409600001,847.1434833,0.0371056618960217,0.1926282998316231,27.763387239678465,383.59375,359.296875,2.515625,0.0703125,5138.671081,4845.82953178125,11.744899995392188,579.9563100095838,8,0,120,76.95423880202087,83.41399789015145,181.72159592307685,429.8355633958333,498.00750316875,525.258529625,STOP,68.8413116850074,85.1173036631153,9.77970052035102,9.058120602240782,4.076720405231016,-15.517608670107842,-12.453194716159087,-13.936209924917309,-6.60854075645804,-13.24512928567716,-2.224144376021452
R12,development,128,128,True,549.6378168396732,0.0,543.7315960000001,737.10481277,769.8747569860001,813.9605859999999,0.0391984953333798,0.1979860988387313,24.811567009228224,318.640625,295.3671875,1.9375,0.0546875,5303.0421618888895,5095.433614195314,11.79142000255524,2.5872750084090512,0,128,0,0.0,0.0,0.0,389.2823608784722,460.2665249125,471.866453875,BASELINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,holdout,256,256,True,545.4668961713961,0.8027177251473949,545.9822574647436,707.422104725,725.2738931499999,792.5786628,0.0354299623360917,0.1882284843908905,24.6683625778218,318.01953125,295.32421875,1.80078125,0.04296875,5434.948261055555,4997.687264531251,16.29374999611172,2.8061599950888176,151,0,105,-4.41399135134281,-4.710100641666656,161.58311899999995,393.6234070277778,470.180811453125,491.9661343125,STOP,-8.933321415117295,0.2887556986436479,-0.8457851151583484,-1.025943232501414,4.482087543513735,-0.0525631525215647,1.6243695871181858,-1.118590774750532,2.5982445552599223,-5.92181978516606,4.680807736202786
R12,holdout,256,256,True,549.8808875227389,0.0,547.0306121891025,713.4564128681818,732.7919222849999,758.5785099,0.0338335807307432,0.1839390679837842,25.01397457874497,317.30078125,293.94921875,2.0390625,0.0390625,5575.395463166667,5086.643294382812,12.65483000606763,2.710525004658848,0,256,0,0.0,0.0,0.0,403.5573760121528,468.80653271875,481.2896080625,BASELINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,regression,519,519,True,544.0443526319965,1.0491608659834897,545.073215,719.9468741699999,757.9910685900006,807.3103666,0.0367563046723845,0.1917193382848599,24.834083364761103,318.6107899807322,295.4894026974952,2.030828516377649,0.0462427745664739,5184.358043367647,5068.290050651252,13.899669997772415,2.4511199939297508,284,0,235,-5.7684204513692485,-6.571926500000018,190.4145630625,378.0496601167279,478.46211898125,516.8203255,REGRESSION_ONLY,-9.1129481727334,-2.503269356798846,-0.8382621803718959,-3.4527511942140654,-4.7445979429242,0.458889955938119,1.6489231701525604,-0.1198908408549526,3.4795569655258314,-0.990557731268311,6.119784736315015
