id,support_visits,support_travel_m,predicted_value_s_sum,post_known16_s,baseline_post_known16_s,post_known16_delta_s,whole_distance_delta_m,measure_delta,diagnostic_delta,fallback_delta
8,0,0.0,0.0,196.98052300000015,196.98052300000015,0.0,0.0,0,0,0
9,1,609.1416211187199,1.2972240695261803,1439.0465430000004,1497.8064720000002,-58.75992899999983,-243.79964717733674,-2,-3,0
11,0,0.0,0.0,786.2126769999995,786.2126769999995,0.0,0.0,0,0,0
24,1,902.7201949570247,234.64308143798314,1141.3066770000005,969.6057959999998,171.70088100000066,858.5044019192428,0,0,0
30,1,1749.559181622177,588.4137584601337,1185.4699460000002,1022.0927469999996,163.3771990000006,816.8859887335639,0,0,0
38,2,959.5555956848038,161.91213635829035,800.0930150000004,640.360968,159.73204700000042,773.6602397549468,1,0,0
44,1,936.0676611563238,53.21471564262595,1848.083287,1779.3685869999997,68.71470000000022,368.57349752783557,-1,-2,0
50,1,796.1952913976996,86.21071020651789,1139.1814289999993,1065.6264439999995,73.55498499999976,367.77492936740964,0,0,0
75,1,244.9744768160989,145.73050229819182,1356.337909,1217.4895209999995,138.84838800000057,824.2419289077079,-1,-1,-1
78,0,0.0,0.0,830.6442729999999,830.6442729999999,0.0,0.0,0,0,0
96,0,0.0,0.0,1013.729601,1013.729601,0.0,0.0,0,0,0
103,0,0.0,0.0,1037.7956649999996,1037.7956649999996,0.0,0.0,0,0,0
110,2,4363.92557476011,723.2836257593526,1949.9727749999995,1700.1960199999994,249.7767550000001,1248.8837777575864,0,-2,0
122,3,3895.1097147718865,1207.8336380056403,2560.079044,2270.126259,289.95278499999995,1399.7639240110802,2,-4,0
142,1,869.4055929865456,510.815194903661,1343.2531929999996,1194.7969379999995,148.45625500000006,767.2812731085833,-1,0,0
155,1,1006.1690705685171,248.30803722537087,1394.905746,1167.2264769999997,227.6792690000002,1138.3963564944715,0,-2,0
161,0,0.0,0.0,1045.1040940000005,1045.1040940000005,0.0,0.0,0,0,0
191,0,0.0,0.0,1298.5773230000004,1298.5773230000004,0.0,0.0,0,0,0
194,0,0.0,0.0,1001.3945709999998,1001.3945709999998,0.0,0.0,0,0,0
