cohort,method,id,N,baseline_s,candidate_s,delta_s,improvement_pct,distance_delta_m,measure_delta,post_known16_s,baseline_post_known16_s,trace_path,seed,total,delta_vs_C_s_per_source,confirmed16_s,completion_s,after_confirmed16_s,remaining_nodes_at_release,remaining_targets_at_release,post_known16_active_localization_s,whole_stage_delta_active_localization_s,post_known16_diagnostic_s,whole_stage_delta_diagnostic_s,post_known16_optical_fallback_s,whole_stage_delta_optical_fallback_s,post_known16_certified_clear_s,whole_stage_delta_certified_clear_s,post_known16_discovery_s,whole_stage_delta_discovery_s,movement_delta_m,diagnostic_count_delta,fallback_count_delta
regression,A1,75,16,451.94848275,483.26094925,31.312466500000028,-6.928326500726589,2704.9973150250626,-3,345.9684040000002,1217.4895209999995,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0075.json.gz,75,16,98.57367649999998,6013.686203,7231.175724,1217.4895209999995,3,4.0,199.35228700000064,-202.30760999999893,837.8869189999978,724.1365149999979,63.82525000000078,63.82525000000078,116.42506500000036,247.86684399999928,0,743.6578250000002,7395.894134303166,7,1
regression,A1,78,16,411.51739175,417.5146228125,5.9972310625000205,-1.4573457119264166,29.77852247775081,15,227.37280100000044,830.6442729999999,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0078.json.gz,78,16,40.838065125000014,5753.633995,6584.278268,830.6442729999999,5,3.0,195.70977099999985,154.2377170000002,564.857618,1022.8361,0.0,32.700098000000025,70.07688400000006,-88.95870500000171,0,-467.40616799999816,2757.045205936538,9,1
regression,A1,194,16,446.4610791875,453.7129146875,7.251835500000027,-1.6242928752484789,-2189.853176221546,94,1606.3026720000007,1001.3945709999998,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0194.json.gz,194,16,13.596393250000006,6141.982696,7143.377267,1001.3945709999998,5,3.0,174.70654999999988,-13.915136000000302,711.8670540000003,654.9035070000018,0.0,0.0,114.82096699999964,205.3986219999989,0,-628.844701,2657.71146812318,1,0
regression,A1,201,16,369.792439625,359.1260111875,-10.666428437499974,2.884436590514561,-1813.3142701632128,32,180.3664950000002,526.3668179999995,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0201.json.gz,201,16,38.55047981249999,5390.312216,5916.679034,526.3668179999995,7,3.0,318.0715959999998,286.5621439999993,139.55490199999986,229.57858399999984,0.0,0.0,68.74031999999988,73.76142699999934,0,26.90552200000093,2804.038396923941,3,0
regression,A1,203,16,471.3909038125,403.9763914375,-67.41451237500002,14.30119075904247,-4163.160996514442,-42,1061.231476,1151.3386490000005,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0203.json.gz,203,16,50.62043093750003,6390.915812,7542.254461,1151.3386490000005,2,3.0,124.52738299999965,236.06809899999973,798.9265189999996,822.3662889999996,0.0,0.0,227.88474700000097,-105.38438899999916,0,-143.12310399999933,4474.634490407036,4,0
regression,A1,259,16,426.102620625,377.5049271875,-48.59769343749997,11.405161828438814,-2357.8154628029406,-52,1405.5128510000004,1316.1925540000002,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0259.json.gz,259,16,41.266874937500006,5501.449376,6817.64193,1316.1925540000002,5,4.0,361.3622409999998,320.5804279999993,698.4436850000011,698.4436850000011,0.0,0.0,256.3866279999993,-40.378530000000296,0,-318.37558400000034,4006.350002708208,7,0
regression,A1,261,16,486.4742508125,494.7442185625,8.269967750000035,-1.6999805716721328,591.5974158465215,2,1186.710054,1186.7100539999992,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0261.json.gz,261,16,126.5134510625,6596.877959,7783.588013,1186.7100539999992,2,5.0,310.7181389999996,573.9075360000008,631.4966679999998,714.6299300000005,0.0,0.0,244.49524699999984,-265.1054839999997,0,1000.7832349999984,8391.076083461707,5,0
regression,A1,262,16,514.23045675,460.6979201875,-53.53253656250001,10.410222860161234,-2237.602934495306,-74,827.8687710000004,182.14224400000057,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0262.json.gz,262,16,67.41558262500001,8045.545064,8227.687308,182.14224400000057,0,,136.30198399999972,886.0108609999997,0.0,-70.38313199999993,0.0,0.0,45.84026000000085,-271.50833999999884,0,534.5299329999998,3383.246614023523,-2,0
regression,A1,305,16,404.7570266875,352.456738625,-52.30028806249999,12.921403364018524,-3224.0230479657403,-33,1310.0426880000005,941.7675900000004,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0305.json.gz,305,16,65.21865987500001,5534.344837,6476.112427,941.7675900000004,5,5.0,561.3211079999992,534.1278329999986,138.84465100000034,92.22472000000016,0.0,0.0,241.60183100000089,-257.060534999998,0,674.2065399999997,3787.492809063282,0,0
regression,A1,310,16,498.8025405625,328.6225970625,-170.17994349999998,34.11769781847701,-8899.39547876636,-160,1434.725692,1136.0268909999995,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0310.json.gz,310,16,47.2480495625,6844.813758,7980.840649,1136.0268909999995,3,5.0,140.3073829999994,-142.81515600000125,737.3007720000005,1140.6351600000005,0.0,0.0,258.4187359999996,-9.719241999999213,0,-232.1319690000009,2639.843977929402,10,0
regression,A1,315,16,468.292131375,456.5660065625,-11.726124812500018,2.5040191852187976,-78.09001529978923,-28,224.63406299999951,865.3134330000003,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0315.json.gz,315,16,4.520003812500022,6627.360669,7492.674102,865.3134330000003,2,3.0,283.0404579999995,329.3159689999984,310.7603140000001,93.74180900000056,33.85092700000041,33.85092700000041,237.66173400000025,663.9731440000016,0,-1048.5617880000018,2931.600301710077,1,1
regression,A1,358,16,446.08987325,427.5660785625,-18.52379468749996,4.152480430130446,-461.9035670974045,-34,530.7309850000001,439.5879959999993,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0358.json.gz,358,16,88.62782143749996,6697.849976,7137.437972,439.5879959999993,3,3.0,408.1426769999998,372.0765520000002,0.0,309.23771399999987,0.0,0.0,31.445318999999472,193.6681619999988,0,543.0627150000009,5565.225724116266,2,0
regression,A1,426,16,450.620692875,331.5866296875,-119.03406318749995,26.415578571869855,-6567.725081835375,-99,457.9894119999999,376.650643,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0426.json.gz,426,16,22.852081749999968,6833.280443,7209.931086,376.650643,1,3.0,131.086413,406.18898700000113,0.0,0.0,0.0,0.0,245.56422999999995,2.992088999999396,0,-43.54776800000127,1093.166541038252,0,0
regression,A1,463,16,420.498701,400.504583,-19.99411799999996,4.754858446043087,-624.5294398333317,-34,381.15354000000025,183.24873299999945,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0463.json.gz,463,16,8.044719937499963,6544.730483,6727.979216,183.24873299999945,0,,137.66697299999942,355.59967100000017,0.0,0.0,0.0,0.0,45.58176000000003,-51.52399299999945,0,-175.36015900000166,848.577593580656,0,0
regression,A1,485,16,343.3208259375,353.871114,10.550288062499988,-3.0730113833585597,-455.9769582657973,43,1872.1580389999997,169.981444,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0485.json.gz,485,16,93.15739056249998,5323.151771,5493.133215,169.981444,5,1.0,156.75366600000052,91.78930500000035,0.0,0.0,0.0,0.0,13.227777999999487,248.16335499999968,0,1150.5655889999998,6412.59126784679,0,0
regression,A1,508,16,413.3769329375,400.051532625,-13.325400312499994,3.223547143235184,-601.032040238515,-16,287.95068999999967,380.8149050000002,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\A1_0508.json.gz,508,16,27.89111656249997,6233.216022,6614.030927,380.8149050000002,2,2.0,142.3362590000006,544.2099700000003,123.0387440000004,-228.8618179999994,0.0,0.0,115.43990199999917,-96.62829800000122,0,227.5380110000001,2561.2893465713787,-5,0
regression,D,75,16,451.94848275,460.626507,8.678024250000021,-1.9201357192740744,824.2419289077043,-1,1356.337909,1217.4895209999995,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0075.json.gz,75,16,98.57367649999998,6013.686203,7231.175724,1217.4895209999995,3,4.0,199.35228700000064,-202.30760999999893,837.8869189999978,724.1365149999979,63.82525000000078,63.82525000000078,116.42506500000036,247.86684399999928,0,743.6578250000002,7395.894134303166,7,1
regression,D,78,16,411.51739175,411.51739175,0.0,0.0,0.0,0,830.6442729999999,830.6442729999999,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0078.json.gz,78,16,40.838065125000014,5753.633995,6584.278268,830.6442729999999,5,3.0,195.70977099999985,154.2377170000002,564.857618,1022.8361,0.0,32.700098000000025,70.07688400000006,-88.95870500000171,0,-467.40616799999816,2757.045205936538,9,1
regression,D,194,16,446.4610791875,446.4610791875,0.0,0.0,0.0,0,1001.3945709999998,1001.3945709999998,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0194.json.gz,194,16,13.596393250000006,6141.982696,7143.377267,1001.3945709999998,5,3.0,174.70654999999988,-13.915136000000302,711.8670540000003,654.9035070000018,0.0,0.0,114.82096699999964,205.3986219999989,0,-628.844701,2657.71146812318,1,0
regression,D,201,16,369.792439625,385.004889125,15.212449499999993,-4.113780561719072,1191.9959550685744,1,769.7660099999994,526.3668179999995,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0201.json.gz,201,16,38.55047981249999,5390.312216,5916.679034,526.3668179999995,7,3.0,318.0715959999998,286.5621439999993,139.55490199999986,229.57858399999984,0.0,0.0,68.74031999999988,73.76142699999934,0,26.90552200000093,2804.038396923941,3,0
regression,D,203,16,471.3909038125,484.2615276875,12.870623874999978,-2.730350494866429,979.6499156267964,2,1357.268631,1151.3386490000005,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0203.json.gz,203,16,50.62043093750003,6390.915812,7542.254461,1151.3386490000005,2,3.0,124.52738299999965,236.06809899999973,798.9265189999996,822.3662889999996,0.0,0.0,227.88474700000097,-105.38438899999916,0,-143.12310399999933,4474.634490407036,4,0
regression,D,259,16,426.102620625,411.5618445,-14.54077612499998,3.412505678484634,-1138.2620954201775,-1,1083.5401360000003,1316.1925540000002,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0259.json.gz,259,16,41.266874937500006,5501.449376,6817.64193,1316.1925540000002,5,4.0,361.3622409999998,320.5804279999993,698.4436850000011,698.4436850000011,0.0,0.0,256.3866279999993,-40.378530000000296,0,-318.37558400000034,4006.350002708208,7,0
regression,D,261,16,486.4742508125,486.4742508125,0.0,0.0,0.0,0,1186.7100539999992,1186.7100539999992,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0261.json.gz,261,16,126.5134510625,6596.877959,7783.588013,1186.7100539999992,2,5.0,310.7181389999996,573.9075360000008,631.4966679999998,714.6299300000005,0.0,0.0,244.49524699999984,-265.1054839999997,0,1000.7832349999984,8391.076083461707,5,0
regression,D,262,16,514.23045675,514.23045675,0.0,0.0,0.0,0,182.14224400000057,182.14224400000057,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0262.json.gz,262,16,67.41558262500001,8045.545064,8227.687308,182.14224400000057,0,,136.30198399999972,886.0108609999997,0.0,-70.38313199999993,0.0,0.0,45.84026000000085,-271.50833999999884,0,534.5299329999998,3383.246614023523,-2,0
regression,D,305,16,404.7570266875,431.913760125,27.15673343750001,-6.709391473632609,2067.538666434819,4,1376.2753250000003,941.7675900000004,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0305.json.gz,305,16,65.21865987500001,5534.344837,6476.112427,941.7675900000004,5,5.0,561.3211079999992,534.1278329999986,138.84465100000034,92.22472000000016,0.0,0.0,241.60183100000089,-257.060534999998,0,674.2065399999997,3787.492809063282,0,0
regression,D,310,16,498.8025405625,505.883182375,7.080641812500005,-1.4195280169413629,591.451355148165,-1,1249.3171599999996,1136.0268909999995,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0310.json.gz,310,16,47.2480495625,6844.813758,7980.840649,1136.0268909999995,3,5.0,140.3073829999994,-142.81515600000125,737.3007720000005,1140.6351600000005,0.0,0.0,258.4187359999996,-9.719241999999213,0,-232.1319690000009,2639.843977929402,10,0
regression,D,315,16,468.292131375,468.292131375,0.0,0.0,0.0,0,865.3134330000003,865.3134330000003,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0315.json.gz,315,16,4.520003812500022,6627.360669,7492.674102,865.3134330000003,2,3.0,283.0404579999995,329.3159689999984,310.7603140000001,93.74180900000056,33.85092700000041,33.85092700000041,237.66173400000025,663.9731440000016,0,-1048.5617880000018,2931.600301710077,1,1
regression,D,358,16,446.08987325,451.14429,5.05441675000003,-1.1330489780402075,429.3533420654312,-1,520.4586639999998,439.5879959999993,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0358.json.gz,358,16,88.62782143749996,6697.849976,7137.437972,439.5879959999993,3,3.0,408.1426769999998,372.0765520000002,0.0,309.23771399999987,0.0,0.0,31.445318999999472,193.6681619999988,0,543.0627150000009,5565.225724116266,2,0
regression,D,426,16,450.620692875,460.095523,9.47483012500004,-2.102617628265091,732.9864019509805,1,528.2479250000006,376.650643,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0426.json.gz,426,16,22.852081749999968,6833.280443,7209.931086,376.650643,1,3.0,131.086413,406.18898700000113,0.0,0.0,0.0,0.0,245.56422999999995,2.992088999999396,0,-43.54776800000127,1093.166541038252,0,0
regression,D,463,16,420.498701,420.498701,0.0,0.0,0.0,0,183.24873299999945,183.24873299999945,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0463.json.gz,463,16,8.044719937499963,6544.730483,6727.979216,183.24873299999945,0,,137.66697299999942,355.59967100000017,0.0,0.0,0.0,0.0,45.58176000000003,-51.52399299999945,0,-175.36015900000166,848.577593580656,0,0
regression,D,485,16,343.3208259375,343.3208259375,0.0,0.0,0.0,0,169.981444,169.981444,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0485.json.gz,485,16,93.15739056249998,5323.151771,5493.133215,169.981444,5,1.0,156.75366600000052,91.78930500000035,0.0,0.0,0.0,0.0,13.227777999999487,248.16335499999968,0,1150.5655889999998,6412.59126784679,0,0
regression,D,508,16,413.3769329375,413.3769329375,0.0,0.0,0.0,0,380.8149050000002,380.8149050000002,J:\2026B_experiments\q4-r13-routing-study\r13\results\regression\core\traces\D_0508.json.gz,508,16,27.89111656249997,6233.216022,6614.030927,380.8149050000002,2,2.0,142.3362590000006,544.2099700000003,123.0387440000004,-228.8618179999994,0.0,0.0,115.43990199999917,-96.62829800000122,0,227.5380110000001,2561.2893465713787,-5,0
