id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks,research_hash,official_calls,formal_test_count,route_compute_ms_p95,decision_compute_ms_p95,support_visits,route_refresh_count
8,regression,one_bit,A1,FULL_CLEAR,,16,16,4468.833727,279.3021079375,279.3021079375,16749.168640849035,176,159,16,0,1.7451626999973089,public_max_cleared,user_exit,0,0,1,81394eba99b59e2bf6cfa4b6879d0f8e44435c15ccdb7de1eebbd2b7688d14c3,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,2391.7513450000006,1263.864904000001,0.0,0.0,813.2174779999984,17.0,4188.940119,261.8087574375,4188.940119,0.0,0.0,0,0,14,158,1453.7513450000008,790.0,148.0,27.0,135.0,27.0,77.0,385.0,77.0,54.0,270.0,44.0,True,True,True,4188.940119,14.0,2.0,279.8936080000003,77,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,12.03854999912437,1.7841300090367438,0,43
9,regression,one_bit,A1,FULL_CLEAR,,16,16,5111.233647,319.4521029375,319.4521029375,20641.168235025965,153,138,16,0,2.203545000011218,public_max_cleared,user_exit,0,12,7,e15f3147c2ebb1f87a34330d86bf19343c6feacb65007199e04de3980c99859e,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,1421.7513679999995,1161.599608,1618.6715120000003,0.0,909.211159,29.0,2663.983748,166.49898425,2663.983748,0.0,0.0,0,0,8,128,655.7513679999997,640.0,126.0,42.0,210.0,42.0,55.0,275.0,53.0,31.0,155.0,31.0,True,True,True,2663.983748,8.0,8.0,2447.249899,99,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,17.206179996719577,3.3670599950710245,0,25
11,regression,one_bit,A1,FULL_CLEAR,,16,16,6963.015687,435.1884804375,435.1884804375,25050.07844110148,317,288,16,0,2.815931000004639,public_max_cleared,user_exit,0,4,14,159d1e8bd6652d79bbaaa7aaa78124b4a30e6a799dc478f68b9f150b78be1f06,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4519.694371999999,1313.5006490000003,179.68253300000015,0.0,950.1381330000004,71.0,6791.033417,424.4395885625,6791.033417,0.0,0.0,0,0,22,295,2765.694371999999,1475.0,279.0,44.0,220.0,38.0,164.0,820.0,157.0,87.0,435.0,84.0,True,True,True,6791.033417,15.0,1.0,171.98227000000043,98,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,15.074744995945366,2.124225004081381,0,54
24,regression,one_bit,A1,FULL_CLEAR,,16,16,7127.766289,445.4853930625,445.4853930625,27718.83145484805,255,229,16,0,2.807498800000758,public_max_cleared,user_exit,0,5,14,70c44197e57572fcc99fb03dd07be503774847a0e399d6365ed710b57302ef66,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3826.537083999999,1581.5639160000007,962.971348000001,0.0,756.6939409999994,5.0,6741.288438,421.330527375,6741.288438,0.0,0.0,0,0,21,227,2478.537083999999,1135.0,213.0,63.0,315.0,56.0,84.0,420.0,81.0,80.0,400.0,76.0,True,True,True,6741.288438,14.0,2.0,386.47785100000056,122,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,16.063479997683316,2.866830005950759,0,55
30,regression,one_bit,A1,FULL_CLEAR,,16,16,4501.079741,281.3174838125,281.3174838125,17410.39871324706,158,149,16,0,1.8372379999927944,public_max_cleared,user_exit,0,9,2,ec0be67107a0d46c697e45dccd77b8acdd5a932984554f2c778debfdf2ef6d30,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,1792.2155530000002,682.6573029999997,1311.8026430000004,0.0,714.4042419999992,5.0,2561.631827,160.1019891875,2561.631827,0.0,0.0,0,0,9,140,957.2155530000002,700.0,135.0,60.0,300.0,56.0,44.0,220.0,43.0,36.0,180.0,36.0,True,True,True,2561.631827,8.0,8.0,1939.4479139999996,110,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,10.962294998171268,3.275609995034756,0,24
38,regression,one_bit,A1,FULL_CLEAR,,16,16,6786.279642,424.142477625,424.142477625,24691.398210815256,298,278,16,0,2.382468800002244,public_max_cleared,user_exit,0,3,8,9e5b6cd7717e218a6291d30bba290030c0c6c64bf663ef7ae7edf15755954a54,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4149.192945999999,1737.9904069999989,346.82134599999995,0.0,552.2749430000024,35.0,6614.191591,413.3869744375,6614.191591,0.0,0.0,0,0,23,277,2500.192945999999,1385.0,264.0,65.0,325.0,65.0,120.0,600.0,108.0,92.0,460.0,91.0,True,True,True,6614.191591,15.0,1.0,172.08805100000063,118,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,13.950379999005229,2.546700002858414,0,55
44,regression,one_bit,A1,FULL_CLEAR,,16,16,5128.30976,320.51936,320.51936,19351.54880553288,199,183,16,0,2.3049561999941943,public_max_cleared,user_exit,0,8,4,a789da407697e6f1ef32eba4c78a9dfa14d88448733ee9d1914fa883acf3bd0b,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,2352.033651,879.9344029999988,1215.8009319999996,0.0,680.5407740000015,5.0,3208.46039,200.528774375,3208.46039,0.0,0.0,0,0,12,179,1286.0336510000002,895.0,171.0,72.0,360.0,67.0,63.0,315.0,60.0,44.0,220.0,44.0,True,True,True,3208.46039,6.0,10.0,1919.84937,124,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,23.619520005013324,4.302425005880649,0,24
50,regression,one_bit,A1,FULL_CLEAR,,16,16,6548.654015,409.2908759375,409.2908759375,23313.270092913244,304,286,16,0,2.075040900002932,public_max_cleared,user_exit,0,5,6,4bbba566f854c3be94d7b9ff1a468364f13e3cbd4c4b985203a5272e1554e29a,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4360.824717,1008.1819210000004,566.9697840000001,0.0,612.6775929999994,41.0,6390.126793,399.3829245625,6390.126793,0.0,0.0,0,0,22,289,2639.8247170000004,1445.0,276.0,100.0,500.0,93.0,104.0,520.0,102.0,85.0,425.0,81.0,True,True,True,6390.126793,15.0,1.0,158.5272219999997,146,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,14.330509997671475,3.0775899955187924,0,44
75,regression,one_bit,A1,FULL_CLEAR,,16,16,7732.175188,483.26094925,483.26094925,29950.875948621684,281,257,16,0,2.028348299994832,public_max_cleared,user_exit,0,4,15,e54691b7a810ca6d787ca7606879e1b485dde7581529cf3d554151f329a0063e,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4942.259025,1228.4147909999992,616.7156930000001,0.0,944.7856790000008,23.0,7386.206784,461.637924,7386.206784,0.0,0.0,0,0,25,264,3374.259025,1320.0,248.0,84.0,420.0,77.0,82.0,410.0,80.0,98.0,490.0,91.0,True,True,True,7386.206784,15.0,1.0,345.9684040000002,133,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,15.302074998180602,3.222019995882874,0,50
78,regression,one_bit,A1,FULL_CLEAR,,16,16,6680.233965,417.5146228125,417.5146228125,24931.16984059055,273,249,16,0,2.186461300007068,public_max_cleared,user_exit,0,7,8,7da8a58d4bd4e7af97deddc6cb6eca4e4c753ad7611b2764a0b7378086a22416,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4170.075069,1084.4764410000012,739.174174,0.0,686.5082809999992,5.0,6452.861164,403.30382275,6452.861164,0.0,0.0,0,0,22,254,2661.075069,1270.0,239.0,82.0,410.0,69.0,86.0,430.0,84.0,86.0,430.0,86.0,True,True,True,6452.861164,15.0,1.0,227.37280100000044,133,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,15.080970001872627,3.018285001598997,0,47
