seed,time_s,channel,current_channel,nodes,scan_credit_s,next_action,next_channel,next_path
0,432.0,13,19,23,138,active_localization,2,/measure
0,527.833413,2,2,23,137,certified_clear,2,/clear
0,527.833413,13,2,23,138,certified_clear,2,/clear
0,546.425004,13,2,23,138,active_localization,17,/measure
0,742.333757,13,17,23,138,certified_clear,17,/clear
0,742.333757,17,17,23,137,certified_clear,17,/clear
0,749.03261,13,17,23,138,active_localization,15,/measure
0,791.614656,13,15,23,138,active_localization,15,/measure
0,839.321116,13,15,23,138,certified_clear,15,/clear
0,839.321116,15,15,23,137,certified_clear,15,/clear
0,852.27753,13,15,23,138,discovery,1,/measure
0,1037.102107,13,20,22,132,certified_clear,13,/clear
0,1329.009485,6,6,22,131,certified_clear,6,/clear
0,2215.401644,18,18,20,119,certified_clear,18,/clear
0,2457.979338,12,12,19,113,certified_clear,12,/clear
0,3339.430185,5,5,15,89,certified_clear,5,/clear
0,4040.584652,8,8,12,71,certified_clear,8,/clear
0,5181.233067,11,11,6,35,certified_clear,11,/clear
0,6115.114425,7,7,3,17,certified_clear,7,/clear
0,6631.603168,10,10,1,5,certified_clear,10,/clear
0,6839.428213,9,9,1,5,certified_clear,9,/clear
1,432.0,1,19,23,138,active_localization,10,/measure
1,506.4029,1,10,23,138,certified_clear,10,/clear
1,506.4029,10,10,23,137,certified_clear,10,/clear
1,517.800882,1,10,23,138,certified_clear,1,/clear
1,733.358565,17,17,23,137,certified_clear,17,/clear
1,1066.335958,19,19,22,131,certified_clear,19,/clear
1,1563.208683,3,18,20,120,certified_clear,3,/clear
1,2319.581565,2,2,18,107,certified_clear,2,/clear
1,2785.129517,6,6,16,95,certified_clear,6,/clear
1,2964.270967,12,12,15,89,certified_clear,12,/clear
1,3052.938037,18,18,15,89,certified_clear,18,/clear
1,4471.107956,15,15,9,53,certified_clear,15,/clear
1,4838.878271,20,20,8,47,certified_clear,20,/clear
1,4955.561796,5,16,7,42,discovery,16,/measure
1,5046.543939,5,14,6,36,certified_clear,5,/clear
1,5409.478174,7,7,5,29,certified_clear,7,/clear
1,6216.947318,11,11,2,11,certified_clear,11,/clear
2,543.861921,12,12,23,137,certified_clear,12,/clear
2,702.298274,10,10,23,137,certified_clear,10,/clear
2,825.413168,8,8,23,137,certified_clear,8,/clear
2,1026.095203,1,20,22,132,discovery,20,/measure
2,1165.077346,1,19,21,126,certified_clear,1,/clear
2,1889.605723,9,9,19,113,certified_clear,9,/clear
2,2998.581149,14,14,15,89,certified_clear,14,/clear
2,3036.129417,20,20,15,89,certified_clear,20,/clear
2,3338.716033,11,11,14,83,certified_clear,11,/clear
2,4068.646794,6,6,11,65,certified_clear,6,/clear
2,5652.136661,2,2,4,23,certified_clear,2,/clear
2,6046.705266,5,5,3,17,certified_clear,5,/clear
2,6165.008286,13,19,2,12,certified_clear,13,/clear
2,6165.008286,18,19,2,12,certified_clear,13,/clear
2,6251.880466,18,19,2,12,certified_clear,18,/clear
3,602.555698,8,8,23,137,certified_clear,8,/clear
3,1156.004837,13,13,21,125,certified_clear,13,/clear
3,1606.111718,18,18,20,119,certified_clear,18,/clear
3,2338.338171,14,14,17,101,certified_clear,14,/clear
3,2781.29127,15,15,16,95,certified_clear,15,/clear
3,3169.215882,1,1,15,89,certified_clear,1,/clear
3,3306.069186,7,7,15,89,certified_clear,7,/clear
3,3426.471462,12,12,15,89,certified_clear,12,/clear
3,3516.630308,2,20,14,84,certified_clear,2,/clear
4,450.300816,8,8,23,137,certified_clear,8,/clear
4,607.646228,18,18,23,137,certified_clear,18,/clear
4,757.656319,4,4,23,137,certified_clear,4,/clear
4,1335.206426,17,17,21,125,certified_clear,17,/clear
4,2742.92722,14,14,16,95,certified_clear,14,/clear
4,2867.148999,11,20,15,90,certified_clear,11,/clear
4,3293.178671,3,3,14,83,certified_clear,3,/clear
4,3446.687329,16,20,13,78,certified_clear,15,/clear
4,3446.687329,1,20,13,78,certified_clear,15,/clear
4,3446.687329,15,20,13,78,certified_clear,15,/clear
4,3596.182964,16,20,13,78,certified_clear,1,/clear
4,3596.182964,1,20,13,78,certified_clear,1,/clear
4,3639.263831,16,20,13,78,discovery,20,/measure
4,3810.303697,16,19,12,72,discovery,19,/measure
4,3913.28584,16,20,11,66,discovery,20,/measure
4,4175.969029,16,19,10,60,certified_clear,16,/clear
4,4693.262733,10,20,9,54,certified_clear,10,/clear
5,499.421092,5,5,23,137,certified_clear,5,/clear
5,1083.69011,10,10,21,125,certified_clear,10,/clear
5,1395.684701,18,18,20,119,certified_clear,18,/clear
5,1996.444424,13,13,19,113,certified_clear,13,/clear
5,2271.271282,7,20,18,108,certified_clear,7,/clear
5,2450.853709,2,2,18,107,certified_clear,2,/clear
5,2482.412257,19,19,18,107,certified_clear,19,/clear
5,2827.347287,17,20,17,102,certified_clear,16,/clear
5,2827.347287,16,20,17,102,certified_clear,16,/clear
5,2910.497162,17,20,17,102,certified_clear,17,/clear
5,3631.900946,4,4,16,95,certified_clear,4,/clear
5,4883.504732,3,15,10,60,certified_clear,3,/clear
5,5698.431354,6,6,7,41,certified_clear,6,/clear
5,6479.481735,9,15,3,18,certified_clear,9,/clear
6,556.971662,6,6,23,137,certified_clear,6,/clear
6,713.345323,18,18,23,137,certified_clear,18,/clear
6,1040.022914,2,2,22,131,certified_clear,2,/clear
6,1256.373497,14,14,22,131,certified_clear,14,/clear
6,2035.348073,7,7,19,113,certified_clear,7,/clear
6,3837.59283,4,4,11,65,certified_clear,4,/clear
6,4958.673537,13,20,6,36,active_localization,16,/measure
6,5024.739941,13,16,6,36,active_localization,16,/measure
6,5124.13328,13,16,6,36,certified_clear,16,/clear
6,5124.13328,16,16,6,35,certified_clear,16,/clear
6,5134.963565,13,16,6,36,certified_clear,13,/clear
6,5371.730898,10,10,6,35,certified_clear,10,/clear
6,6146.636305,17,19,2,12,certified_clear,17,/clear
6,6358.898624,20,20,2,11,certified_clear,20,/clear
7,603.304884,13,13,23,137,certified_clear,13,/clear
7,1206.931538,6,6,21,125,certified_clear,6,/clear
7,1648.304871,3,3,20,119,certified_clear,3,/clear
7,5254.369391,15,15,13,77,certified_clear,15,/clear
7,6816.801844,5,5,7,41,certified_clear,5,/clear
7,6975.819883,20,20,7,41,certified_clear,20,/clear
7,7108.387992,14,19,6,36,certified_clear,14,/clear
8,561.246561,9,9,23,137,certified_clear,9,/clear
8,717.613445,3,3,23,137,certified_clear,3,/clear
8,942.5703,12,20,22,132,certified_clear,12,/clear
8,1243.499582,11,19,21,126,certified_clear,18,/clear
8,1243.499582,18,19,21,126,certified_clear,18,/clear
8,1348.18203,11,19,21,126,certified_clear,11,/clear
8,1799.104298,6,6,20,119,certified_clear,6,/clear
8,1960.313401,7,20,19,114,certified_clear,7,/clear
8,2169.745437,8,8,19,113,certified_clear,8,/clear
8,2723.743125,2,19,17,102,certified_clear,2,/clear
8,4633.331178,4,20,8,48,discovery,20,/measure
8,4633.331178,16,20,8,48,discovery,20,/measure
8,4730.313321,4,19,7,42,certified_clear,4,/clear
8,4730.313321,16,19,7,42,certified_clear,4,/clear
8,4877.350273,16,19,7,42,certified_clear,16,/clear
