seed,remaining_nodes,remaining_targets,confirmed16_s,post_known16_s,fallback_count,nearest_optional_m
8,4,1,5574.743847,196.98052300000018,0,988.4159449855241
9,8,6,4699.054106,1497.8064720000002,1,969.9999999999999
11,4,2,6360.731608,786.2126769999995,0,969.9999999999999
24,6,3,5815.010399,969.6057959999998,1,189.91071665818893
30,10,5,4006.191103,1022.0927469999997,0,189.91071665818913
38,4,3,5509.955588,640.360968,0,969.9999999999999
44,13,7,3302.356951,1779.3685869999995,0,969.9999999999999
50,9,5,4822.717276,1065.6264439999995,0,969.9999999999999
75,3,4,6013.686203,1217.4895209999995,1,969.9999999999999
78,5,3,5753.633995,830.6442729999999,1,969.9999999999999
96,9,4,4528.637398,1013.729601,0,969.9999999999999
103,9,5,4707.236089,1037.7956649999996,0,189.91071665818893
110,11,5,4580.147818,1700.1960199999994,0,189.91071665818913
122,17,8,2611.290852,2270.1262589999997,0,969.9999999999999
142,11,5,4516.800516,1194.7969379999995,0,969.9999999999999
155,14,4,3499.448344,1167.2264769999997,0,969.9999999999999
161,10,5,4147.954637,1045.1040940000003,0,969.9999999999999
191,3,4,6762.719623,1298.5773230000004,0,189.91071665818913
194,5,3,6141.982696,1001.3945709999998,0,969.9999999999999
201,7,3,5390.312216,526.3668179999995,0,969.9999999999999
203,2,3,6390.915812,1151.3386490000003,0,189.91071665818893
215,20,7,1906.122258,1572.225624,0,969.9999999999999
216,3,1,5699.748738,185.15799100000004,0,969.9999999999999
217,13,5,3355.97276,885.0433680000001,0,969.9999999999999
218,5,3,5557.747877,956.3136140000006,0,969.9999999999999
235,6,3,5981.224172,461.0997099999995,0,969.9999999999999
238,10,4,4483.805838,574.4212520000001,0,969.9999999999999
246,6,1,5517.284871,366.95935800000007,0,988.4159449855243
253,2,1,6157.374838,259.4555479999999,0,189.91071665818893
257,10,4,5086.740307,624.8920319999997,0,969.9999999999999
259,5,4,5501.449376,1316.1925540000002,0,970.0
261,2,5,6596.877959,1186.7100539999992,0,189.91071665818893
262,0,1,8045.545064,182.14224400000057,0,
272,3,2,6824.14376,338.1950660000002,0,969.9999999999999
287,10,3,4333.12651,707.3368300000002,0,189.91071665818893
288,2,1,6935.630854,202.81443800000034,0,189.91071665818913
303,16,7,3030.73693,1682.6082299999998,0,189.91071665818893
305,5,5,5534.344837,941.7675900000004,0,969.9999999999999
310,3,5,6844.813758,1136.0268909999995,0,969.9999999999999
314,10,2,4473.380022,683.0469439999997,0,969.9999999999999
315,2,3,6627.360669,865.3134330000003,1,969.9999999999999
319,12,5,3992.116102,1131.6871819999997,0,189.91071665818893
320,18,7,2664.613597,2140.611518,0,189.91071665818893
331,14,5,3475.005921,1247.5017589999998,0,189.91071665818893
332,5,3,5731.530345,925.1898650000003,0,189.91071665818913
335,3,4,6415.148178,891.0601539999998,0,969.9999999999999
358,3,3,6697.849976,439.5879959999993,0,969.9999999999999
362,13,5,3743.576444,952.2112259999999,0,189.91071665818913
369,4,1,5406.922695,424.5932619999994,0,189.91071665818893
371,6,2,5433.770443,187.25041299999975,0,969.9999999999999
378,11,3,4246.495524,1239.0958090000004,0,969.9999999999999
387,2,2,6974.313111,418.09005499999967,0,970.0
404,12,4,3941.897956,931.721528,0,969.9999999999999
408,14,4,3211.248403,1185.5109200000002,0,969.9999999999999
426,1,3,6833.280443,376.65064299999995,0,189.91071665818913
440,3,3,6561.880056,947.2249750000001,0,969.9999999999999
446,0,2,7190.209093,1469.41169,0,
448,5,2,5964.491029,338.37327900000037,0,189.91071665818913
456,13,6,3657.370613,1669.2437650000002,0,969.9999999999999
463,0,1,6544.730483,183.24873299999945,0,
472,5,5,5570.331734,1124.913181,0,189.91071665818893
475,7,1,5318.512667,188.56002799999987,0,988.4159449855241
482,6,2,5530.924508,375.002152,0,189.91071665818893
485,5,1,5323.151771,169.981444,0,969.9999999999999
495,10,6,4720.210545,872.4570670000003,0,969.9999999999999
503,8,4,4467.140082,985.521772,0,969.9999999999999
508,2,2,6233.216022,380.8149050000002,0,189.91071665818893
509,4,3,5757.996777,430.09825099999944,0,969.9999999999999
