cohort,method,id,time_s,channel,current_channel,nodes,credit_s,action
development,A1,0,432.0,13,19,23,138,local
development,A1,0,737.955089,2,2,23,137,local
development,A1,0,1182.155271,9,9,22,131,local
development,A1,0,1443.09512,4,4,21,125,local
development,A1,0,1539.789478,11,11,21,125,local
development,A1,0,1620.840303,18,18,21,125,local
development,A1,0,3623.709777,6,6,13,77,local
development,A1,0,3743.489696,1,20,12,72,local
development,A1,0,5475.849241,14,14,6,35,local
development,A1,0,6383.218725,10,10,1,5,local
development,A1,1,678.236182,12,12,23,137,local
development,A1,1,910.609671,6,20,22,132,local
development,A1,1,1026.148435,6,13,22,132,local
development,A1,1,1035.740636,6,13,22,132,local
development,A1,1,1049.225917,6,13,22,132,local
development,A1,1,1095.150106,6,13,22,132,local
development,A1,1,1122.263622,6,1,22,132,local
development,A1,1,1122.263622,1,1,22,131,local
development,A1,1,1171.252447,6,1,22,132,local
development,A1,1,1653.076599,16,16,21,125,local
development,A1,1,2439.258892,5,5,18,107,local
development,A1,1,3096.116664,17,17,15,89,local
development,A1,1,3242.481379,19,19,15,89,local
development,A1,1,3529.08924,14,14,14,83,local
development,A1,1,4711.921564,4,4,9,53,local
development,A1,1,4827.142837,18,20,8,48,local
development,A1,2,489.321829,17,17,23,137,local
development,A1,2,662.810569,5,5,23,137,local
development,A1,2,1221.832563,11,11,21,125,local
development,A1,2,1252.477812,18,18,21,125,local
development,A1,2,1707.923608,3,19,19,114,local
development,A1,2,1879.176406,3,10,19,114,local
development,A1,2,1879.176406,10,10,19,113,local
development,A1,2,1887.291166,3,10,19,114,explore
development,A1,2,2017.998891,3,20,18,108,local
development,A1,2,2017.998891,12,20,18,108,local
development,A1,2,2017.998891,6,20,18,108,local
development,A1,2,2153.997281,12,20,18,108,local
development,A1,2,2153.997281,6,20,18,108,local
development,A1,2,2229.826306,6,20,18,108,local
development,A1,2,3405.210303,1,1,14,83,local
development,A1,2,4587.63944,4,4,10,59,local
development,A1,2,5305.140911,15,19,6,36,local
development,A1,2,6351.079248,13,19,2,12,explore
development,A1,2,6442.061391,13,20,1,6,local
development,A1,3,432.0,17,19,23,138,local
development,A1,3,452.674483,17,14,23,138,local
development,A1,3,469.062904,14,14,23,137,local
development,A1,3,469.062904,17,14,23,138,local
development,A1,3,492.747092,17,14,23,138,local
development,A1,3,612.982156,8,8,23,137,local
development,A1,3,612.982156,17,8,23,138,local
development,A1,3,624.19662,17,8,23,138,local
development,A1,3,1197.07373,7,7,22,131,local
development,A1,3,1794.281715,13,20,19,114,local
development,A1,3,1925.465337,13,2,19,114,local
development,A1,3,1925.465337,2,2,19,113,local
development,A1,3,1937.104985,13,2,19,114,local
development,A1,3,3600.768462,19,19,13,77,local
development,A1,3,3626.978869,5,5,13,77,local
development,A1,3,4009.960944,18,18,12,71,local
development,A1,3,4243.349844,11,11,11,65,local
development,A1,3,4268.788922,6,6,11,65,local
development,A1,3,5958.894066,1,15,3,18,explore
development,A1,3,6203.577255,1,16,2,12,local
development,A1,4,481.218119,3,3,23,137,local
development,A1,4,599.542037,16,16,23,137,local
development,A1,4,663.010139,9,9,23,137,local
development,A1,4,1268.875879,2,2,21,125,local
development,A1,4,1521.448135,5,5,20,119,local
development,A1,4,1602.673907,4,4,20,119,local
development,A1,4,1734.311774,17,17,20,119,local
development,A1,4,2043.015778,10,10,19,113,local
development,A1,4,2233.402624,13,20,18,108,local
development,A1,4,2497.444096,6,19,17,102,local
development,A1,4,2497.444096,8,19,17,102,local
development,A1,4,2497.444096,19,19,17,101,local
development,A1,4,2604.687207,8,19,17,102,local
development,A1,4,2604.687207,19,19,17,101,local
development,A1,4,2706.07209,8,19,17,102,explore
development,A1,4,2852.227092,8,20,16,96,explore
development,A1,4,2943.209235,8,18,15,90,explore
development,A1,4,3193.892424,8,20,14,84,explore
development,A1,4,3440.892424,8,18,13,78,explore
development,A1,4,3531.874567,8,20,12,72,explore
development,A1,4,3782.557756,8,18,11,66,explore
development,A1,4,4029.557756,8,20,10,60,explore
development,A1,4,4120.539899,8,18,9,54,local
development,A1,4,4120.539899,1,18,9,54,local
development,A1,4,4184.260215,8,18,9,54,explore
development,A1,4,4389.75637,8,20,8,48,explore
development,A1,4,4824.75637,8,18,7,42,explore
development,A1,4,5065.75637,8,20,6,36,explore
development,A1,4,5150.738513,8,18,5,30,local
development,A1,4,5364.159088,8,18,5,30,local
development,A1,4,5374.159088,8,18,5,30,local
development,A1,4,5374.159088,18,18,5,29,local
development,A1,4,5383.695002,8,18,5,30,local
development,A1,5,526.91015,9,9,23,137,local
development,A1,5,619.835937,15,15,23,137,local
development,A1,5,1087.728319,13,13,22,131,local
development,A1,5,1157.165012,16,16,22,131,local
development,A1,5,1410.190281,8,20,21,126,local
development,A1,5,2057.645252,5,5,20,119,local
development,A1,5,3175.832482,11,11,16,95,local
development,A1,5,3231.33139,12,12,16,95,local
development,A1,5,3271.242018,14,14,16,95,local
development,A1,5,4717.619039,2,2,10,59,local
development,A1,5,4852.505877,7,7,9,53,local
development,A1,5,5068.981897,19,19,8,47,local
