cohort,method,kind,rank,id,delta_s
development,A1,best,1,48,-138.286831125
development,A1,best,2,21,-136.89707359999989
development,A1,best,3,13,-125.04242049999999
development,A1,best,4,34,-110.13605924999996
development,A1,best,5,1,-106.42195036363626
development,A1,best,6,52,-103.85549469230762
development,A1,best,7,105,-87.98019009999996
development,A1,best,8,98,-83.92929700000002
development,A1,best,9,23,-81.14287658333342
development,A1,best,10,91,-79.15304839999999
development,A1,worst,1,114,70.48804833333327
development,A1,worst,2,35,62.49382049999997
development,A1,worst,3,97,59.54435693750003
development,A1,worst,4,55,54.663349374999996
development,A1,worst,5,106,52.60612254545447
development,A1,worst,6,47,49.264995666666664
development,A1,worst,7,126,47.67827420000003
development,A1,worst,8,40,46.62666200000001
development,A1,worst,9,44,42.24236600000006
development,A1,worst,10,94,41.60303230769239
development,B-lite,best,1,91,-32.99445530000003
development,B-lite,best,2,23,-22.358041500000013
development,B-lite,best,3,29,-20.115605545454514
development,B-lite,best,4,72,-14.857307083333353
development,B-lite,best,5,52,-14.623246615384573
development,B-lite,best,6,123,-13.876413357142894
development,B-lite,best,7,10,-13.424102230769222
development,B-lite,best,8,105,-12.845323099999973
development,B-lite,best,9,13,-11.741909937499997
development,B-lite,best,10,89,-11.063205600000003
development,B-lite,worst,1,97,130.6409979375
development,B-lite,worst,2,126,128.23164380000003
development,B-lite,worst,3,36,123.24410436363632
development,B-lite,worst,4,114,104.68546933333334
development,B-lite,worst,5,112,102.29181100000005
development,B-lite,worst,6,124,101.24496786666668
development,B-lite,worst,7,64,92.04557354545454
development,B-lite,worst,8,82,89.51036613333338
development,B-lite,worst,9,54,88.23264906666668
development,B-lite,worst,10,18,87.13412214285711
development,C1,best,1,0,0.0
development,C1,best,2,1,0.0
development,C1,best,3,2,0.0
development,C1,best,4,3,0.0
development,C1,best,5,4,0.0
development,C1,best,6,5,0.0
development,C1,best,7,6,0.0
development,C1,best,8,7,0.0
development,C1,best,9,8,0.0
development,C1,best,10,9,0.0
development,C1,worst,1,127,0.0
development,C1,worst,2,126,0.0
development,C1,worst,3,125,0.0
development,C1,worst,4,124,0.0
development,C1,worst,5,123,0.0
development,C1,worst,6,122,0.0
development,C1,worst,7,121,0.0
development,C1,worst,8,120,0.0
development,C1,worst,9,119,0.0
development,C1,worst,10,118,0.0
development,C2,best,1,21,-41.96458719999998
development,C2,best,2,29,-23.726091636363662
development,C2,best,3,10,-13.424102230769222
development,C2,best,4,13,-11.741909937499997
development,C2,best,5,83,-10.18807212500002
development,C2,best,6,15,-8.618209909090979
development,C2,best,7,89,-2.745288533333337
development,C2,best,8,116,-2.163735428571499
development,C2,best,9,6,-1.756387000000018
development,C2,best,10,23,-1.2722103333333052
development,C2,worst,1,97,152.95976587500002
development,C2,worst,2,126,112.08417469999995
development,C2,worst,3,78,110.45187300000009
development,C2,worst,4,40,104.899474
development,C2,worst,5,124,101.24496786666668
development,C2,worst,6,2,97.80289266666682
development,C2,worst,7,18,96.99906021428569
development,C2,worst,8,96,96.57229180000002
development,C2,worst,9,87,96.09934315384623
development,C2,worst,10,82,89.51036613333338
development,D,best,1,97,-6.971153937499992
development,D,best,2,69,-1.9916724374999717
development,D,best,3,0,0.0
development,D,best,4,1,0.0
development,D,best,5,2,0.0
development,D,best,6,3,0.0
development,D,best,7,4,0.0
development,D,best,8,5,0.0
development,D,best,9,7,0.0
development,D,best,10,8,0.0
development,D,worst,1,104,37.858115999999995
development,D,worst,2,20,17.134633437500042
development,D,worst,3,13,14.070318437499964
development,D,worst,4,90,12.803587124999979
development,D,worst,5,34,10.794675874999996
development,D,worst,6,83,8.480449187499971
development,D,worst,7,111,6.00541287499999
development,D,worst,8,6,4.237193625000032
development,D,worst,9,62,0.14810575000001336
development,D,worst,10,118,0.09174343750004255
development,E-H2,best,1,48,-82.63706743749998
development,E-H2,best,2,34,-78.43137324999998
development,E-H2,best,3,90,-54.41441806250003
development,E-H2,best,4,100,-41.26418049999995
development,E-H2,best,5,6,-39.65851306249999
development,E-H2,best,6,52,-36.22776023076915
development,E-H2,best,7,76,-10.232454562499981
development,E-H2,best,8,121,-9.008628166666654
development,E-H2,best,9,98,8.581484700000033
development,E-H2,best,10,94,9.968061846153887
development,E-H2,worst,1,66,181.72159592307685
development,E-H2,worst,2,126,170.08083080000006
development,E-H2,worst,3,16,159.70133441666667
development,E-H2,worst,4,22,156.30774990909083
development,E-H2,worst,5,109,155.6837867142856
development,E-H2,worst,6,35,150.56525120000003
development,E-H2,worst,7,32,148.0097549285715
development,E-H2,worst,8,49,144.7579978000001
development,E-H2,worst,9,97,142.70855662500003
development,E-H2,worst,10,51,141.2725319166667
