cohort,method,id,kind,time_s,remaining_nodes,remaining_targets,nearest_node_m,accepted,index,point,estimated_cost,direct_cost,estimated_value_s,travel_m
development,A1,6,release,6262.409456,4.0,4.0,189.91071665818893,,,,,,,
development,A1,13,release,2681.825171,16.0,6.0,969.9999999999999,,,,,,,
development,A1,20,release,3584.173253,12.0,6.0,969.9999999999999,,,,,,,
development,A1,27,release,5543.851238,6.0,2.0,189.91071665818893,,,,,,,
development,A1,34,release,3393.735307,16.0,6.0,969.9999999999999,,,,,,,
development,A1,41,release,5813.990562,3.0,2.0,969.9999999999999,,,,,,,
development,A1,48,release,2054.786324,19.0,7.0,969.9999999999999,,,,,,,
development,A1,55,release,6003.757314,2.0,3.0,970.0,,,,,,,
development,A1,62,release,5229.543035,7.0,4.0,969.9999999999999,,,,,,,
development,A1,69,release,4794.966702,7.0,4.0,189.91071665818893,,,,,,,
development,A1,76,release,5419.91599,6.0,2.0,189.91071665818893,,,,,,,
development,A1,83,release,5810.647029,5.0,3.0,969.9999999999999,,,,,,,
development,A1,90,release,6403.989631,3.0,2.0,969.9999999999999,,,,,,,
development,A1,97,release,4704.772047,8.0,3.0,969.9999999999999,,,,,,,
development,A1,104,release,4831.619025,10.0,4.0,969.9999999999999,,,,,,,
development,A1,111,release,4478.569037,11.0,4.0,189.91071665818913,,,,,,,
development,A1,118,release,5806.499667,5.0,4.0,189.91071665818913,,,,,,,
development,A1,125,release,5410.919115,7.0,4.0,189.91071665818893,,,,,,,
development,B-lite,6,release,6539.038527,3.0,3.0,969.9999999999999,,,,,,,
development,B-lite,13,release,4558.107966,7.0,6.0,969.9999999999999,,,,,,,
development,B-lite,20,release,4427.15646,8.0,7.0,189.91071665818893,,,,,,,
development,B-lite,27,release,4963.664841,8.0,5.0,969.9999999999999,,,,,,,
development,B-lite,34,release,5666.398725,10.0,5.0,969.9999999999999,,,,,,,
development,B-lite,41,release,5350.457641,9.0,5.0,969.9999999999999,,,,,,,
development,B-lite,48,release,5458.233649,6.0,5.0,969.9999999999999,,,,,,,
development,B-lite,55,release,6514.08707,5.0,2.0,189.91071665818893,,,,,,,
development,B-lite,62,release,4293.053461,9.0,10.0,189.91071665818893,,,,,,,
development,B-lite,69,release,5642.200327,4.0,7.0,189.91071665818893,,,,,,,
development,B-lite,76,release,5843.526433,6.0,5.0,969.9999999999999,,,,,,,
development,B-lite,83,release,5763.056847,5.0,6.0,189.91071665818913,,,,,,,
development,B-lite,90,release,5955.022586,4.0,5.0,988.4159449855241,,,,,,,
development,B-lite,97,release,5495.80046,5.0,7.0,969.9999999999999,,,,,,,
development,B-lite,104,release,4038.189675,12.0,9.0,969.9999999999999,,,,,,,
development,B-lite,111,release,5723.382001,5.0,2.0,969.9999999999999,,,,,,,
development,B-lite,118,release,6550.18121,1.0,3.0,988.4159449855243,,,,,,,
development,B-lite,125,release,4887.591141,9.0,6.0,189.91071665818893,,,,,,,
development,C1,6,release,6716.292376,2.0,2.0,988.4159449855243,,,,,,,
development,C1,13,release,5135.176046,6.0,4.0,969.9999999999999,,,,,,,
development,C1,20,release,4661.175694,8.0,5.0,189.91071665818893,,,,,,,
development,C1,27,release,5042.750071,8.0,4.0,189.91071665818893,,,,,,,
development,C1,34,release,5608.164631,10.0,5.0,969.9999999999999,,,,,,,
development,C1,41,release,5350.457641,9.0,5.0,969.9999999999999,,,,,,,
development,C1,48,release,5687.766071,5.0,2.0,969.9999999999999,,,,,,,
development,C1,55,release,6317.644211,2.0,1.0,969.9999999999999,,,,,,,
development,C1,62,release,3977.684538,12.0,7.0,189.91071665818893,,,,,,,
development,C1,69,release,4827.296225,9.0,5.0,189.91071665818893,,,,,,,
development,C1,76,release,5392.38273,6.0,3.0,969.9999999999999,,,,,,,
development,C1,83,release,6368.304452,4.0,2.0,189.91071665818913,,,,,,,
development,C1,90,release,7130.210865,2.0,2.0,969.9999999999999,,,,,,,
development,C1,97,release,2853.773806,16.0,8.0,969.9999999999999,,,,,,,
development,C1,104,release,3754.685621,15.0,8.0,969.9999999999999,,,,,,,
development,C1,111,release,4723.095137,8.0,5.0,969.9999999999999,,,,,,,
development,C1,118,release,5838.714576,2.0,2.0,988.4159449855243,,,,,,,
development,C1,125,release,6069.184223,5.0,1.0,969.9999999999999,,,,,,,
development,C2,6,release,6435.076026,3.0,4.0,969.9999999999999,,,,,,,
development,C2,13,release,4558.107966,7.0,6.0,969.9999999999999,,,,,,,
development,C2,20,release,4427.15646,8.0,7.0,189.91071665818893,,,,,,,
development,C2,27,release,4963.664841,8.0,5.0,969.9999999999999,,,,,,,
development,C2,34,release,5666.398725,10.0,5.0,969.9999999999999,,,,,,,
development,C2,41,release,5350.457641,9.0,5.0,969.9999999999999,,,,,,,
development,C2,48,release,5724.692545,6.0,3.0,969.9999999999999,,,,,,,
development,C2,55,release,6514.08707,5.0,2.0,189.91071665818893,,,,,,,
development,C2,62,release,4293.053461,9.0,10.0,189.91071665818893,,,,,,,
development,C2,69,release,5642.200327,4.0,7.0,189.91071665818893,,,,,,,
development,C2,76,release,5843.526433,6.0,5.0,969.9999999999999,,,,,,,
development,C2,83,release,5763.056847,5.0,6.0,189.91071665818913,,,,,,,
development,C2,90,release,5955.022586,4.0,5.0,988.4159449855241,,,,,,,
development,C2,97,release,5380.843682,5.0,9.0,969.9999999999999,,,,,,,
development,C2,104,release,4038.189675,12.0,9.0,969.9999999999999,,,,,,,
development,C2,111,release,5723.382001,5.0,2.0,969.9999999999999,,,,,,,
development,C2,118,release,5838.714576,2.0,2.0,988.4159449855243,,,,,,,
development,C2,125,release,5681.949008,5.0,5.0,969.9999999999999,,,,,,,
development,D,6,release,6716.292376,2.0,2.0,988.4159449855243,,,,,,,
development,D,6,support_decision,6716.292376,,,,True,0.0,"[1940.0, 0.0]",552.0069389038417,930.9317615804375,378.9248226765958,988.4159449855244
development,D,6,support_decision,7113.181298,,,,True,0.0,"[485.0, 840.0446416709054]",509.6185571932733,539.331210123132,29.712652929858677,1934.8173727334542
development,D,13,release,5135.176046,6.0,4.0,969.9999999999999,,,,,,,
development,D,13,support_decision,5135.176046,,,,False,3.0,"[485.0, 840.0446416709054]",624.2556683000848,252.15344078353183,-372.102227516553,970.0
development,D,13,support_decision,5211.463197,,,,False,3.0,"[485.0, 840.0446416709054]",633.4004895485706,165.65202491787545,-467.74846463069514,1158.6739440293904
development,D,13,support_decision,5338.516657,,,,True,0.0,"[0.0, 1680.0892833418109]",849.9729197851092,964.3080485297053,114.33512874459609,1879.319288515402
development,D,13,support_decision,5821.870453,,,,False,0.0,"[0.0, 1870.0]",747.4945656523223,540.1965631148831,-207.29800253743917,631.2186668889291
development,D,13,support_decision,5898.832177,,,,False,2.0,"[485.0, 840.0446416709054]",248.6189037552493,135.30193404721496,-113.31696970803435,689.176420067989
development,D,13,support_decision,5999.523557,,,,True,4.0,"[1619.4675050769001, 935.0]",525.5119307223536,792.36087998664,266.8489492642865,1245.2915388509468
development,D,20,release,4661.175694,8.0,5.0,189.91071665818893,,,,,,,
development,D,20,support_decision,4661.175694,,,,False,0.0,"[1619.4675050769001, 935.0]",130.81462332168022,93.60041792352494,-37.21420539815527,189.91071665818893
development,D,20,support_decision,4685.563418,,,,False,0.0,"[1619.4675050769001, 935.0]",115.87113891364763,64.12000006436077,-51.75113884928686,241.84376108378078
development,D,20,support_decision,4728.813823,,,,False,4.0,"[485.0, 840.0446416709054]",367.1809357476503,245.36295944065526,-121.81797630699506,916.3660636258668
development,D,20,support_decision,4941.071191,,,,True,1.0,"[970.0, 1680.0892833418109]",638.423417452462,856.3948675454112,217.97145009294923,569.4912558025069
development,D,20,support_decision,5175.412103,,,,False,3.0,"[485.0, 840.0446416709054]",572.0073118824803,317.3845858732626,-254.62272600921767,531.1868091245849
development,D,20,support_decision,5196.270591,,,,False,3.0,"[485.0, 840.0446416709054]",291.4835243207301,90.888514599638,-200.5950097210921,475.7150002713672
development,D,20,support_decision,5272.836688,,,,True,4.0,"[970.0, 0.0]",785.4809313910516,1045.2193869511286,259.738455560077,1449.4955015044138
development,D,20,support_decision,5568.735788,,,,False,3.0,"[485.0, 840.0446416709054]",348.10155175823104,231.5637866945628,-116.53776506366825,969.9999999999999
development,D,27,release,5042.750071,8.0,4.0,189.91071665818893,,,,,,,
development,D,27,support_decision,5042.750071,,,,False,0.0,"[1619.4675050769001, 935.0]",248.0101528083814,154.9075687449714,-93.10258406341,189.91071665818893
development,D,27,support_decision,5072.827557,,,,False,0.0,"[1619.4675050769001, 935.0]",137.54245165416003,71.55063190028612,-65.99181975387391,276.54427927433875
development,D,27,support_decision,5125.14968,,,,False,1.0,"[1940.0, 0.0]",296.64740529466656,213.86996596089517,-82.77743933377138,683.7258543705104
development,D,27,support_decision,5300.255947,,,,False,5.0,"[970.0, 0.0]",553.6582821164255,444.28851882628317,-109.36976329014237,559.8175330492215
development,D,27,support_decision,5743.807837,,,,False,6.0,"[-485.0, 840.0446416709054]",765.1661715951702,622.8098722178866,-142.35629937728368,1088.2214108277176
development,D,34,release,5608.164631,10.0,5.0,969.9999999999999,,,,,,,
development,D,34,support_decision,5608.164631,,,,False,3.0,"[485.0, -840.0446416709054]",321.8474449304955,157.28890138803098,-164.55854354246452,969.9999999999999
development,D,34,support_decision,5746.185291,,,,False,0.0,"[1455.0, -840.0446416709054]",591.4579016329861,359.61848428069084,-231.8394173522953,550.9148497829414
development,D,34,support_decision,5864.434412,,,,False,3.0,"[485.0, -840.0446416709054]",409.94754797786,353.7073428403353,-56.2402051375247,207.1651313049619
development,D,34,support_decision,6024.152779,,,,True,3.0,"[485.0, -840.0446416709054]",488.3956253997428,581.6253344344382,93.22970903469536,487.72726886476573
