cohort,method,id,N,baseline_s,candidate_s,delta_s,improvement_pct,distance_delta_m,measure_delta,post_known16_s,baseline_post_known16_s,trace_path
development,A1,0,10,743.7616928,683.7625092999999,-59.99918350000007,8.066990284767739,-2624.9591737913433,-12,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0000.json.gz
development,A1,1,11,690.230715090909,583.8087647272728,-106.42195036363626,15.418315649662107,-5108.20727823396,-25,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0001.json.gz
development,A1,2,12,594.9172105833333,578.5492700833333,-16.367940499999918,2.7512971904024575,-722.0764471491748,-8,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0002.json.gz
development,A1,3,13,559.4055166153846,502.9765866923077,-56.42892992307691,10.087303082832166,-1852.8804500774932,-60,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0003.json.gz
development,A1,4,14,496.43408871428574,448.7986815714286,-47.63540714285716,9.595514938594984,-2639.47848577024,-23,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0004.json.gz
development,A1,5,15,457.42669813333333,446.27096566666665,-11.155732466666677,2.4388022195011794,-401.67994576290585,-14,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0005.json.gz
development,A1,6,16,471.866453875,430.896327875,-40.97012599999999,8.682568057879614,-4147.610084607757,29,631.9317899999996,833.5708859999995,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0006.json.gz
development,A1,7,10,738.4458083000001,684.5871923,-53.8586160000001,7.2935096109475905,-2847.930801473227,4,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0007.json.gz
development,A1,8,11,669.0200831818182,649.4225572727272,-19.59752590909102,2.929288133756225,-1282.8639182203224,7,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0008.json.gz
development,A1,9,12,575.2638424166666,549.3934437500001,-25.870398666666574,4.4971362284801035,-2417.2239047662442,29,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0009.json.gz
development,A1,10,13,546.0069040769231,516.320025,-29.686879076923105,5.437088589037464,-1669.6471345353493,-9,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0010.json.gz
development,A1,11,14,512.9626,495.57050614285714,-17.39209385714281,3.3905188910737016,-1357.4465560753451,4,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0011.json.gz
development,A1,12,15,480.66360406666666,452.138803,-28.52480106666667,5.934462444281586,-3189.360066974805,35,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0012.json.gz
development,A1,13,16,386.1688009375,261.1263804375,-125.04242049999999,32.38024930974102,-6813.3936514621455,-108,1496.1969160000003,1043.5247690000006,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0013.json.gz
development,A1,14,10,712.4332158999999,671.1269129,-41.30630299999996,5.797919310628807,-1930.3151441205446,-4,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0014.json.gz
development,A1,15,11,640.7460734545455,632.7992458181818,-7.9468276363636505,1.2402460140752414,772.9244847162518,-41,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0015.json.gz
development,A1,16,12,521.3897100833334,527.820566,6.430855916666587,-1.2334067574211849,510.85135436156634,-4,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0016.json.gz
development,A1,17,13,628.1263039230769,623.5591261538461,-4.567177769230739,0.7271113692748687,503.1334439475322,-27,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0017.json.gz
development,A1,18,14,487.87779635714287,476.85747464285714,-11.020321714285728,2.258828296055204,-331.42252362433646,-16,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\A1_0018.json.gz
