cohort,method,id,index,time_s,kind,r12_m,planned_m,snapshot_saving_s,gap,route_ms,route_survival_nodes,executed_m,route_survival_time,fraction_of_planned_route_executed,end_reason
development,A1,0,0,0.0,initial,18709.95996986228,18691.544024876755,3.683188997105026,0.0009852554160862887,402.20229999977164,1,0.0,119.0,0.0,after_discovery
development,A1,0,1,119.0,after_discovery,19420.049253204088,18691.544024876755,145.70104566546652,0.038975123048034875,5.441600005724467,1,969.9999999999999,313.0,0.051895124271650196,after_discovery
development,A1,0,2,432.0,after_discovery,17739.959969862277,17721.54402487675,3.683188997105026,0.001039183998847595,7.519800012232736,0,0.0,0.0,0.0,localization
development,A1,0,3,623.725672,localize,17634.01853496335,17615.602589977825,3.683188997105026,0.0010454337222618004,5.659599992213771,0,0.0,0.0,0.0,localization
development,A1,0,4,710.834141,localize,17215.39366719176,17215.39366719176,0.0,0.0,6.420400008209981,0,0.0,0.0,0.0,localization
development,A1,0,5,737.955089,localize,17299.741343452624,17299.741343452624,0.0,0.0,5.018399999244139,0,0.0,0.0,0.0,localization
development,A1,0,6,753.758874,localize,17353.610321354037,17353.610321354037,0.0,0.0,4.9266999994870275,1,602.0662964772825,228.41325900000004,0.034694008066807024,after_discovery
development,A1,0,7,982.172133,after_discovery,16769.95996986228,16751.544024876755,3.683188997105026,0.0010993580626464444,5.032399989431724,0,0.0,0.0,0.0,localization
development,A1,0,8,1060.938367,localize,16389.035937873727,16389.035937873727,0.0,0.0,7.162800000514835,0,0.0,0.0,0.0,localization
development,A1,0,9,1182.155271,localize,15924.999158543604,15924.999158543604,0.0,0.0,8.179899989045225,0,0.0,0.0,0.0,localization
development,A1,0,10,1193.046969,localize,15896.92887417658,15896.92887417658,0.0,0.0,8.373499993467703,1,115.38484929982353,125.07697000000007,0.007258310722347002,after_discovery
development,A1,0,11,1318.123939,after_discovery,15781.544024876754,15781.544024876754,0.0,0.0,6.476399998064153,0,0.0,0.0,0.0,localization
development,A1,0,12,1380.419252,localize,15518.985595865945,15518.985595865945,0.0,0.0,10.717299999669194,0,0.0,0.0,0.0,localization
development,A1,0,13,1443.09512,localize,15542.768825143763,15542.768825143763,0.0,0.0,7.921700002043508,0,0.0,0.0,0.0,localization
development,A1,0,14,1454.581805,localize,15573.474747777565,15573.474747777565,0.0,0.0,13.972100001410581,0,0.0,0.0,0.0,localization
development,A1,0,15,1489.347387,localize,15451.4436439478,15451.4436439478,0.0,0.0,14.341600006446242,0,0.0,0.0,0.0,localization
development,A1,0,16,1519.435797,localize,15345.354602181806,15345.354602181806,0.0,0.0,8.275900006992742,0,0.0,0.0,0.0,localization
development,A1,0,17,1539.789478,localize,15284.968346173706,15284.968346173706,0.0,0.0,11.84540000394918,0,0.0,0.0,0.0,localization
development,A1,0,18,1564.949449,localize,15185.041010408067,15185.041010408067,0.0,0.0,12.779800003045239,0,0.0,0.0,0.0,localization
development,A1,0,19,1586.119026,localize,15213.140452095495,15213.140452095495,0.0,0.0,50.90299999574199,0,0.0,0.0,0.0,localization
development,A1,0,20,1620.840303,localize,15069.5003803671,15069.5003803671,0.0,0.0,14.609799996833317,0,0.0,0.0,0.0,localization
development,A1,0,21,1644.782421,localize,15077.984414965218,15077.984414965218,0.0,0.0,23.95700001216028,1,248.02444510294038,133.60488899999996,0.016449442994301736,after_discovery
development,A1,0,22,1778.38731,after_discovery,15540.049253204092,14829.95996986228,142.0178566683622,0.04788207687578845,15.596100012771785,1,189.91071665818893,120.98214299999995,0.012805881947363918,after_discovery
development,A1,0,23,1899.369453,after_discovery,14640.04925320409,14640.04925320409,0.0,0.0,10.989700007485226,1,988.4159449855241,280.6831890000001,0.06751452320211296,after_discovery
development,A1,0,24,2180.052642,after_discovery,13651.633308218567,13651.633308218567,0.0,0.0,5.624500001431443,1,970.0,277.0,0.07105376903260652,after_discovery
development,A1,0,25,2457.052642,after_discovery,12681.633308218567,12681.633308218567,0.0,0.0,6.467199986218475,1,189.91071665818913,120.98214299999972,0.014975256896531931,after_discovery
development,A1,0,26,2578.034785,after_discovery,12491.722591560378,12491.722591560378,0.0,0.0,4.568599993945099,1,988.4159449855243,280.6831890000003,0.07912567203928425,after_discovery
development,A1,0,27,2858.717974,after_discovery,11503.306646574854,11503.306646574854,0.0,0.0,5.450700002256781,1,969.9999999999999,277.0,0.08432358014978418,after_discovery
development,A1,0,28,3135.717974,after_discovery,10533.306646574854,10533.306646574854,0.0,0.0,3.5402000066824257,1,969.9999999999999,277.0,0.0920888409068977,after_discovery
development,A1,0,29,3412.717974,after_discovery,9563.306646574852,9563.306646574852,0.0,0.0,6.935400000656955,0,0.0,0.0,0.0,localization
development,A1,0,30,3471.448008,localize,9388.488168076505,9388.488168076505,0.0,0.0,4.7291999944718555,0,0.0,0.0,0.0,localization
development,A1,0,31,3623.709777,localize,8754.303625929086,8754.303625929086,0.0,0.0,4.01140000030864,0,0.0,0.0,0.0,localization
development,A1,0,32,3639.335146,localize,8724.079396871892,8724.079396871892,0.0,0.0,2.2030999971320853,1,130.77275029703844,104.1545500000002,0.014989862465480123,after_discovery
development,A1,0,33,3743.489696,after_discovery,8593.306646574852,8593.306646574852,0.0,0.0,1.8721999949775636,0,0.0,0.0,0.0,localization
development,A1,0,34,3850.025592,localize,9096.12778344039,9096.12778344039,0.0,0.0,1.6688999894540757,1,692.731853523726,209.5463709999999,0.07615678561429763,after_discovery
development,A1,0,35,4059.571963,after_discovery,8403.395929916664,8403.395929916664,0.0,0.0,1.793599993106909,1,988.4159449855243,268.68318899999986,0.11762101336516777,after_discovery
development,A1,0,36,4328.255152,after_discovery,7414.979984931139,7414.979984931139,0.0,0.0,1.4801000070292503,1,969.9999999999999,265.0,0.13081626679657288,after_discovery
development,A1,0,37,4593.255152,after_discovery,6444.979984931139,6444.979984931139,0.0,0.0,1.1895000061485916,1,189.91071665818893,108.98214300000018,0.02946645561385991,after_discovery
development,A1,0,38,4702.237295,after_discovery,6255.0692682729505,6255.0692682729505,0.0,0.0,0.8911000040825456,1,988.4159449855241,268.6831890000003,0.15801838518383501,after_discovery
development,A1,0,39,4970.920484,after_discovery,5266.653323287426,5266.653323287426,0.0,0.0,1.1770999990403652,1,969.9999999999999,265.0,0.18417768181379543,after_discovery
development,A1,0,40,5235.920484,after_discovery,4296.653323287426,4296.653323287426,0.0,0.0,2.096600001095794,0,0.0,0.0,0.0,localization
development,A1,0,41,5330.419713,localize,3858.965720200382,3858.965720200382,0.0,0.0,0.5577999982051551,0,0.0,0.0,0.0,localization
development,A1,0,42,5475.849241,localize,3584.813260744312,3584.813260744312,0.0,0.0,0.5393000028561801,0,0.0,0.0,0.0,localization
development,A1,0,43,5485.341996,localize,3568.107111620986,3568.107111620986,0.0,0.0,0.7429999968735501,1,241.45378833355932,114.2907580000001,0.06766999442005742,after_discovery
development,A1,0,44,5599.632754,after_discovery,3326.6533232874267,3326.6533232874267,0.0,0.0,0.36720000207424164,1,189.91071665818913,102.98214300000018,0.05708761875749583,after_discovery
development,A1,0,45,5702.614897,after_discovery,3136.7426066292373,3136.7426066292373,0.0,0.0,0.6224999960977584,1,988.4159449855243,262.6831889999994,0.3151090379225225,after_discovery
development,A1,0,46,5965.298086,after_discovery,2148.326661643713,2148.326661643713,0.0,0.0,0.26339999749325216,1,969.9999999999999,259.0,0.451514202806495,after_discovery
development,A1,0,47,6224.298086,after_discovery,1178.3266616437134,1178.3266616437134,0.0,0.0,0.1812999980757013,1,189.91071665818893,102.98214300000018,0.16116983756717507,after_discovery
development,A1,0,48,6327.280229,after_discovery,988.4159449855243,988.4159449855243,0.0,0.0,0.10080001084133983,0,0.0,0.0,0.0,localization
development,A1,0,49,6383.218725,localize,1201.6058622289786,1201.6058622289786,0.0,0.0,0.12589999823831022,0,0.0,0.0,0.0,localization
development,A1,0,50,6468.772037,localize,1544.2652779211323,1544.2652779211323,0.0,0.0,0.13980000221636146,1,1544.2652779211323,368.8530559999999,1.0,exit
development,A1,1,0,0.0,initial,18709.95996986228,18691.544024876755,3.683188997105026,0.0009852554160862887,869.2034999985481,1,0.0,119.0,0.0,after_discovery
development,A1,1,1,119.0,after_discovery,19420.049253204088,18691.544024876755,145.70104566546652,0.038975123048034875,10.447900000144728,1,969.9999999999999,313.0,0.051895124271650196,after_discovery
development,A1,1,2,432.0,after_discovery,17739.959969862277,17721.54402487675,3.683188997105026,0.001039183998847595,16.12780000141356,0,0.0,0.0,0.0,localization
development,A1,1,3,531.379889,localize,17796.404557266407,17409.14194678584,77.45252209611354,0.022244784473830197,23.67239999875892,0,0.0,0.0,0.0,localization
development,A1,1,4,678.236182,localize,17484.924809934837,17297.026669426843,37.57962810159879,0.010863031207560726,14.556599999195896,0,0.0,0.0,0.0,localization
development,A1,1,5,689.079867,localize,17289.193044802916,17289.193044802916,0.0,0.0,19.796000007772818,1,537.6490199261626,221.529804,0.03109740394088424,after_discovery
development,A1,1,6,910.609671,after_discovery,16769.959969862277,16751.544024876755,3.683188997104298,0.0010993580626462271,9.21780000498984,0,0.0,0.0,0.0,localization
development,A1,1,7,1026.148435,localize,16222.369225152122,16222.369225152122,0.0,0.0,10.498100004042499,0,0.0,0.0,0.0,localization
development,A1,1,8,1035.740636,localize,16240.582292874877,16240.582292874877,0.0,0.0,4.7264000022551045,0,0.0,0.0,0.0,localization
development,A1,1,9,1049.225917,localize,16232.213911640425,16232.213911640425,0.0,0.0,5.642400006763637,0,0.0,0.0,0.0,localization
development,A1,1,10,1095.150106,localize,16242.98908528216,16242.98908528216,0.0,0.0,8.058100007474422,0,0.0,0.0,0.0,localization
development,A1,1,11,1122.263622,localize,16220.018206719238,16220.018206719238,0.0,0.0,4.744000005302951,0,0.0,0.0,0.0,localization
development,A1,1,12,1171.252447,localize,16218.353276422173,16218.353276422173,0.0,0.0,4.706100007751957,0,0.0,0.0,0.0,localization
development,A1,1,13,1352.025207,localize,17056.58747372428,16261.464959937282,159.02450275739974,0.04889611826154102,6.755999987944961,1,461.5049900750009,188.30099800000016,0.02838028376975827,after_discovery
development,A1,1,14,1540.326205,after_discovery,16769.959969862277,15781.544024876754,197.68318899710465,0.06263113060594477,8.087900001555681,0,0.0,0.0,0.0,localization
development,A1,1,15,1653.076599,localize,15269.070014015495,15269.070014015495,0.0,0.0,8.002299990039319,0,0.0,0.0,0.0,localization
development,A1,1,16,1664.800361,localize,15279.608308785691,15279.608308785691,0.0,0.0,7.562000013422221,1,468.06428390893706,183.61285699999985,0.03063326457392253,after_discovery
development,A1,1,17,1848.413218,after_discovery,14811.544024876754,14811.544024876754,0.0,0.0,7.243899992317893,1,969.9999999999999,283.0000000000002,0.06548945865271269,after_discovery
development,A1,1,18,2131.413218,after_discovery,13841.544024876754,13841.544024876754,0.0,0.0,3.2066999992821366,1,189.91071665818893,126.98214299999972,0.01372034191538685,after_discovery
development,A1,1,19,2258.395361,after_discovery,13651.633308218567,13651.633308218567,0.0,0.0,2.9380999912973493,0,0.0,0.0,0.0,localization
development,A1,1,20,2439.258892,localize,12816.00215223174,12816.00215223174,0.0,0.0,3.1755999953020364,0,0.0,0.0,0.0,localization
development,A1,1,21,2455.314325,localize,12863.089913432272,12863.089913432272,0.0,0.0,3.148699994198978,1,199.8725501992301,123.97451000000001,0.015538455498978775,after_discovery
development,A1,1,22,2579.288835,after_discovery,12663.217363233041,12663.217363233041,0.0,0.0,4.842599999392405,1,969.9999999999999,277.0,0.07659980652439417,after_discovery
development,A1,1,23,2856.288835,after_discovery,11693.217363233041,11693.217363233041,0.0,0.0,2.428100007819012,1,189.91071665818893,120.98214300000018,0.016241100354067204,after_discovery
development,A1,1,24,2977.270978,after_discovery,11503.306646574852,11503.306646574852,0.0,0.0,1.820000004954636,0,0.0,0.0,0.0,localization
development,A1,1,25,3096.116664,localize,11097.097315852134,11097.097315852134,0.0,0.0,1.8577000009827316,0,0.0,0.0,0.0,localization
development,A1,1,26,3107.832535,localize,11079.649431639926,11079.649431639926,0.0,0.0,1.8502000020816922,0,0.0,0.0,0.0,localization
development,A1,1,27,3219.403897,localize,10845.710548330788,10845.710548330788,0.0,0.0,1.9909000111510977,0,0.0,0.0,0.0,localization
development,A1,1,28,3228.996098,localize,10827.817791560163,10827.817791560163,0.0,0.0,3.038599999854341,0,0.0,0.0,0.0,localization
development,A1,1,29,3242.481379,localize,10790.84039521903,10790.84039521903,0.0,0.0,1.7210999940289184,0,0.0,0.0,0.0,localization
development,A1,1,30,3252.321284,localize,10810.467407279733,10810.467407279733,0.0,0.0,1.7699999880278483,1,295.576705690407,131.11534099999972,0.027341713781160525,after_discovery
development,A1,1,31,3383.436625,after_discovery,10514.89070158933,10514.89070158933,0.0,0.0,1.7210999940289184,0,0.0,0.0,0.0,localization
development,A1,1,32,3518.08924,localize,9912.47626111497,9912.47626111497,0.0,0.0,3.0528999923262745,0,0.0,0.0,0.0,localization
development,A1,1,33,3529.08924,localize,9889.408950923234,9889.408950923234,0.0,0.0,1.6061000060290098,0,0.0,0.0,0.0,localization
development,A1,1,34,3539.77324,localize,9907.543897687854,9907.543897687854,0.0,0.0,2.8956999885849655,1,362.6531960985256,138.53063900000006,0.03660374355577257,after_discovery
development,A1,1,35,3678.303879,after_discovery,9544.890701589327,9544.890701589327,0.0,0.0,2.8554000018630177,1,970.0,259.0,0.10162505054546979,after_discovery
development,A1,1,36,3937.303879,after_discovery,8574.890701589327,8574.890701589327,0.0,0.0,2.2252000053413212,1,189.91071665818913,102.98214299999972,0.022147304644126814,after_discovery
development,A1,1,37,4040.286022,after_discovery,8384.979984931138,8384.979984931138,0.0,0.0,1.0670000046957284,1,988.4159449855243,262.68318899999986,0.11787934458541724,after_discovery
